%time,field.header.seq,field.header.stamp,field.header.frame_id,field.roll,field.pitch,field.jaw,field.roll_dot,field.pitch_dot,field.jaw_dot
41000000,0,41000000,,6.5769932965e-24,-4.75279418391e-23,3.75196879893e-24,0.0,0.0,0.0
80000000,1,80000000,,-1.75097372345e-19,-1.30094869613e-19,-4.31217205988e-24,0.0,0.0,0.0
120000000,2,120000000,,2.63085776099e-19,1.33361056886e-19,-6.5616254972e-24,0.0,0.0,0.0
160000000,3,160000000,,-1.00188083252e-06,3.66281369679e-06,-7.66305902289e-07,0.00206893496215,0.00822099205106,-0.000142848206451
200000000,4,200000000,,-4.16665398006e-06,5.6620833675e-06,-3.47437821802e-06,-0.00461520068347,0.00639555091038,-0.000353256677045
240000000,5,240000000,,1.6134698626e-06,-4.64086588181e-06,-7.23296579963e-06,0.00165593309794,-0.00585284456611,-3.07799964503e-05
280000000,6,280000000,,3.68143645346e-07,-2.77130936865e-07,-8.72711007105e-06,-0.00280924071558,0.0038430748973,-0.000222851464059
320000000,7,320000000,,2.05018250199e-06,2.67255109065e-06,-6.96066808814e-06,0.00222382578067,0.00291611347347,0.000150905980263
360000000,8,360000000,,-6.87949466283e-07,1.64570979067e-09,-4.22775747211e-06,5.6339299892e-10,7.16715098728e-13,1.31753527359e-12
400000000,9,400000000,,-9.78000798568e-07,-1.21198286251e-06,-3.21348397847e-06,-9.15013398384e-10,-1.20719911845e-09,5.42103029133e-11
440000000,10,440000000,,-5.01792065677e-08,-1.06825692736e-09,-2.1734836082e-06,2.73781219917e-10,3.72500391643e-10,5.58297115136e-12
480000000,11,480000000,,-4.7617778165e-08,1.51229295753e-09,-2.14995543502e-06,0.0,0.0,0.0
520000000,12,520000000,,-1.12911038741e-06,-5.15560145686e-07,-2.15398085857e-06,-9.25397128718e-13,-6.29774064929e-13,-4.18481286272e-15
561000000,13,561000000,,-2.89602280645e-06,-1.67904852333e-06,-2.16887724491e-06,-1.74557503868e-12,-7.08068369562e-13,-1.75370785602e-14
600000000,14,600000000,,-4.56212501376e-06,-2.7542873795e-06,-2.19010121327e-06,-1.12383431554e-12,-8.04339071476e-13,-1.83607300099e-14
640000000,15,640000000,,-6.85042959958e-06,-3.82752887162e-06,-2.23096617447e-06,-1.84215663557e-12,-1.01341840735e-12,-3.92634601047e-14
680000000,16,680000000,,-8.87990972842e-06,-4.93235438626e-06,-2.28036697081e-06,-1.90762336483e-12,-6.64697788998e-13,-4.78423995299e-14
720000000,17,720000000,,-1.09040311145e-05,-5.97350344833e-06,-2.34237381846e-06,-1.60992356599e-12,-1.01142564376e-12,-5.8146419808e-14
760000000,18,760000000,,-1.30939843075e-05,-2.87511829811e-05,-2.13497492041e-06,-2.68875789688e-11,-6.33977981224e-10,6.91254779112e-12
800000000,19,800000000,,-1.49047100422e-05,-9.45185529417e-05,-1.41562986755e-06,-5.00898968312e-05,-0.00228479621001,2.39766632149e-05
840000000,20,840000000,,-1.66725239978e-05,-0.000206684024306,-2.42889740321e-07,-4.16493639932e-05,-0.00310412980616,3.3994048863e-05
880000000,21,880000000,,-1.83318461495e-05,-0.000331563642249,1.28905981001e-06,-3.08325834339e-05,-0.00311101577245,4.21415898018e-05
920000000,22,920000000,,-1.91904855456e-05,-0.000446372316219,3.11128405883e-06,-1.87576315511e-05,-0.00252546393313,4.85306009068e-05
