%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
43000000,0,43000000,,-1.17006864749e-15,-1.1732255047e-15,-1.17322549052e-15,-1.1700686333e-15
50000000,1,50000000,,-2.3596973617e-15,-2.36165175972e-15,-2.36165396685e-15,-2.35969960805e-15
91000000,2,91000000,,-3.5547265534e-15,-3.55628142477e-15,-3.556433443e-15,-3.55487854755e-15
130000000,3,130000000,,-4.74916422633e-15,-4.75131505792e-15,-4.75153144206e-15,-4.74938057047e-15
163000000,4,163000000,,4.38126326928e-15,5.53144628612e-15,-1.6042469806e-14,-1.71928520882e-14
208000000,5,208000000,,-8.80184034507e-05,-6.35488752227e-05,8.80184034372e-05,6.35488752091e-05
272000000,6,272000000,,-5.05540930921e-05,-7.07733394341e-05,5.05540930769e-05,7.0773339419e-05
292000000,7,292000000,,-5.93076078697e-05,7.86882545524e-06,5.93076078534e-05,-7.86882547162e-06
328000000,8,328000000,,-6.44477300511e-05,-2.46284931878e-05,6.4447730034e-05,2.46284931707e-05
374000000,9,374000000,,-4.84896457973e-05,2.61888303872e-05,4.84896457796e-05,-2.61888304049e-05
408000000,10,408000000,,1.32354904148e-05,3.57593852741e-05,-1.32354904329e-05,-3.57593852923e-05
461000000,11,461000000,,-1.84879308817e-06,1.15700382839e-05,1.84879306981e-06,-1.15700383022e-05
487000000,12,487000000,,-9.16420707724e-06,2.4335535989e-06,9.1642070589e-06,-2.43355361726e-06
565000000,13,565000000,,-1.09908116375e-05,7.54272686444e-07,1.09908116194e-05,-7.54272704592e-07
599000000,14,599000000,,-1.1036426958e-05,3.74843216761e-07,1.10364269402e-05,-3.74843234531e-07
616000000,15,616000000,,-1.0596902062e-05,-9.32436899714e-08,1.05969020448e-05,9.32436726896e-08
649000000,16,649000000,,-1.09434303016e-05,-1.5437703762e-06,1.09434302849e-05,1.54377035952e-06
692000000,17,692000000,,-1.20235474156e-05,-3.76887238276e-06,1.20235473995e-05,3.76887236673e-06
738000000,18,738000000,,-1.36624935409e-05,-6.45572564702e-06,1.36624935256e-05,6.4557256317e-06
777000000,19,777000000,,-6.70402666108e-05,-6.37650711489e-05,6.70402665961e-05,6.37650711343e-05
815000000,20,815000000,,-0.000103279044576,-0.000102449158048,0.000103279044562,0.000102449158034
860000000,21,860000000,,-0.000124439040447,-0.000125539368842,0.000124439040434,0.000125539368829
888000000,22,888000000,,-0.00017423673178,-0.000138408700607,0.000174236731767,0.000138408700594
931000000,23,931000000,,-0.000202256438135,-0.000141731799764,0.000202256438122,0.000141731799751
969000000,24,969000000,,-0.000214341063563,-0.000140555446667,0.000214341063551,0.000140555446655
1008000000,25,1008000000,,-0.000217845855163,-0.000136963031537,0.000217845855151,0.000136963031524
1051000000,26,1051000000,,-0.000231529742865,-0.000147476728538,0.000231529742853,0.000147476728525
1097000000,27,1097000000,,-0.000217680115064,-0.000150490033316,0.000217680115051,0.000150490033303
1144000000,28,1144000000,,-0.000219004048816,-0.000154794642499,0.000219004048803,0.000154794642485
1172000000,29,1172000000,,-0.000220406717187,-0.000156682375389,0.000220406717173,0.000156682375375
1220000000,30,1220000000,,-0.000225406279058,-0.000159537139416,0.000225406279044,0.000159537139402
1258000000,31,1258000000,,-0.000230439510501,-0.000162006793766,0.000230439510486,0.000162006793752
1290000000,32,1290000000,,-0.00021243607855,-0.000108500016015,0.000212436078535,0.000108500016
1330000000,33,1330000000,,-0.000198611908658,-7.27937636257e-05,0.000198611908643,7.27937636111e-05
1372000000,34,1372000000,,-0.000184386646577,-4.67815475707e-05,0.000184386646563,4.6781547556e-05
1433000000,35,1433000000,,-0.00017173988643,-2.45747368198e-05,0.000171739886415,2.4574736805e-05
1464000000,36,1464000000,,-0.000156878892732,-8.43238310045e-06,0.000156878892717,8.43238308562e-06
1492000000,37,1492000000,,-0.000145174609951,6.38567745221e-06,0.000145174609936,-6.38567746707e-06
1540000000,38,1540000000,,-0.000130470158661,1.6465509746e-05,0.000130470158646,-1.64655097608e-05
1577000000,39,1577000000,,-0.000119519305124,2.50840154807e-05,0.000119519305109,-2.50840154956e-05
1611000000,40,1611000000,,-0.000107451840829,3.07173845702e-05,0.000107451840814,-3.07173845851e-05
1665000000,41,1665000000,,-9.81754650005e-05,3.46077421975e-05,9.81754649856e-05,-3.46077422125e-05
1684000000,42,1684000000,,-7.60930942456e-05,3.69189357212e-05,7.60930942306e-05,-3.69189357362e-05
