%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
127000000,0,127000000,,427.0,427.0,427.0,427.0
258000000,1,258000000,,777.1002447,776.899603733,777.100420737,776.899730831
320000000,2,320000000,,416.717659726,416.799444432,416.717778341,416.799428695
400000000,3,400000000,,660.471340794,660.443431922,660.471437774,660.443379545
520000000,4,520000000,,645.444856477,645.47833209,645.444874806,645.478327223
640000000,5,640000000,,601.914005336,601.91349232,601.91402653,601.913492507
720000000,6,720000000,,460.336271876,460.335756611,460.336295923,460.335764149
840000000,7,840000000,,330.371775942,330.371806054,330.3719825,330.372010952
920000000,8,920000000,,287.024659305,287.015158007,287.025007778,287.015434825
1000000000,9,1000000000,,335.984345131,335.972488429,335.984773813,335.97276954
1120000000,10,1120000000,,406.865411976,406.876301664,406.865847337,406.876602644
1240000000,11,1240000000,,455.125972668,455.125459058,455.126423481,455.125778133
1324000000,12,1324000000,,470.606065913,470.584010451,470.606490785,470.584227451
1442000000,13,1442000000,,439.959349476,439.955148563,439.959692956,439.955197712
1521000000,14,1521000000,,419.655066176,419.651296826,419.655356525,419.651284055
1642000000,15,1642000000,,379.053673869,379.050076484,379.053888772,379.050015049
1721000000,16,1721000000,,387.251275299,387.249261251,387.251427486,387.249187413
1840000000,17,1840000000,,399.052957886,399.052752264,399.053035886,399.052674545
1920000000,18,1920000000,,400.788756475,400.789012817,400.788807238,400.788941961
2000000000,19,2000000000,,433.974955777,433.976430842,433.975014046,433.976323859
2120000000,20,2120000000,,428.389437397,428.388526252,428.389452583,428.388478248
2240000000,21,2240000000,,421.357134187,421.357211061,421.357133524,421.357220021
2320000000,22,2320000000,,441.414162479,441.41386429,441.414163678,441.41389943
2440000000,23,2440000000,,408.420401717,408.420031863,408.420411573,408.420094571
2520000000,24,2520000000,,413.795130101,413.794702169,413.795150194,413.794775516
2641000000,25,2641000000,,394.275493701,394.275008606,394.275529856,394.275090167
2721000000,26,2721000000,,426.089616111,426.089281658,426.089664409,426.089363688
2840000000,27,2840000000,,433.163068973,433.161517316,433.163070947,433.161602479
2920000000,28,2920000000,,431.932167253,431.936285183,431.932221696,431.936337156
3000000000,29,3000000000,,439.32977213,439.331936212,439.32987901,439.331944235
3120000000,30,3120000000,,416.137045622,416.13240313,416.137180948,416.132384393
3206000000,31,3206000000,,427.049885648,427.049192736,427.050012618,427.049233536
3320000000,32,3320000000,,435.08465575,435.083995033,435.084818339,435.084007068
3440000000,33,3440000000,,421.612476017,421.611839328,421.612659676,421.611824379
3521000000,34,3521000000,,430.638155259,430.637531551,430.638345393,430.637497115
3640000000,35,3640000000,,430.462884695,430.468818298,430.462962245,430.468748855
3721000000,36,3721000000,,424.005319804,424.007171266,424.005375885,424.007106038
3840000000,37,3840000000,,437.394322404,437.389084744,437.394416791,437.3889918
3930000000,38,3930000000,,440.392152155,440.391534512,440.392232356,440.391438463
4000000000,39,4000000000,,421.352583916,421.358938096,421.352628814,421.358947147
4121000000,40,4121000000,,426.313579923,426.314986993,426.313613649,426.315069676
4200000000,41,4200000000,,429.523069621,429.517912634,429.523094913,429.517964964
4321000000,42,4321000000,,437.337861505,437.337149882,437.337868866,437.337227392
4440000000,43,4440000000,,436.593086093,436.592352598,436.593093085,436.592473486
4520000000,44,4520000000,,433.646842968,433.651646497,433.64685914,433.651794463
4600000000,45,4600000000,,427.39254401,427.393265743,427.392660697,427.393392962
4720000000,46,4720000000,,443.986310506,443.987631863,443.986469487,443.987726089
4846000000,47,4846000000,,429.145275836,429.146578632,429.145433117,429.146637974
4921000000,48,4921000000,,421.306348896,421.307355716,421.30649749,421.307394414
5000000000,49,5000000000,,421.856767034,421.857735792,421.856906934,421.857757769
5120000000,50,5120000000,,429.794072019,429.790210891,429.794244982,429.790260894
5240000000,51,5240000000,,434.043241663,434.042711408,434.043415784,434.042732938
5320000000,52,5320000000,,431.353179732,431.356525317,431.353290393,431.356504309
5400000000,53,5400000000,,443.099498519,443.099850446,443.099544701,443.099798157
5520000000,54,5520000000,,438.766354756,438.763376515,438.766429794,438.763302072
5641000000,55,5641000000,,431.159893818,431.159373917,431.159932711,431.159274605
5721000000,56,5721000000,,422.841858775,422.845441063,422.841869767,422.845396792
5800000000,57,5800000000,,427.236790473,427.237135194,427.236790782,427.237169157
5921000000,58,5921000000,,424.415525163,424.41606653,424.41553963,424.416137811
6040000000,59,6040000000,,429.164560072,429.164843344,429.164594945,429.164929181
6120000000,60,6120000000,,437.50143605,437.49864225,437.501420817,437.498707052
6240000000,61,6240000000,,429.927356819,429.926750899,429.927349104,429.926842288
6320000000,62,6320000000,,436.555816968,436.557925802,436.555920339,436.558006888
6441000000,63,6441000000,,441.357609004,441.358070512,441.357763129,441.358133066
6520000000,64,6520000000,,432.724184584,432.721843662,432.724319367,432.721937304
6640000000,65,6640000000,,430.162528165,430.162012484,430.162688161,430.162114991
6720000000,66,6720000000,,419.085415033,419.087458774,419.085571782,419.087498041
6840000000,67,6840000000,,431.141342085,431.141496688,431.141476627,431.141459359
6920000000,68,6920000000,,430.657678285,430.655683183,430.657803649,430.655622428
7000000000,69,7000000000,,439.683984469,439.683559571,439.684158857,439.683516652
7120000000,70,7120000000,,439.095053206,439.094641922,439.095223178,439.09456736
7240000000,71,7240000000,,431.169194646,431.172501025,431.169258674,431.172440657
7331000000,72,7331000000,,423.763563194,423.764578341,423.763589894,423.764539608
7442000000,73,7442000000,,431.913803289,431.915037725,431.913819736,431.9150283
7520000000,74,7520000000,,426.12127749,426.118069634,426.121293029,426.118007227
7640000000,75,7640000000,,439.848000121,439.85164482,439.848031585,439.851679295
7720000000,76,7720000000,,431.14692403,431.147362216,431.146972602,431.147444939
7840000000,77,7840000000,,444.00533635,444.002377095,444.005356351,444.002453039
7920000000,78,7920000000,,428.129627045,428.129095023,428.129635887,428.129185228
8040000000,79,8040000000,,427.524812347,427.524265646,427.524823457,427.524387479
8125000000,80,8125000000,,430.903707456,430.908205897,430.903777236,430.908307507
8244000000,81,8244000000,,437.882626816,437.884136979,437.88277794,437.884179837
8321000000,82,8321000000,,444.85655491,444.858501093,444.856709133,444.858523641
8440000000,83,8440000000,,426.541494835,426.537089269,426.54165504,426.537159079
8520000000,84,8520000000,,426.810951214,426.810556055,426.811126136,426.810613007
8640000000,85,8640000000,,422.019374422,422.024586807,422.019495493,422.024549746
8727000000,86,8727000000,,429.519584085,429.520840684,429.519677512,429.520770892
8840000000,87,8840000000,,444.154298152,444.15040733,444.154434028,444.150334846
8920000000,88,8920000000,,435.146932454,435.146613327,435.147059101,435.14651866
9040000000,89,9040000000,,436.514215685,436.519812084,436.514281262,436.519734248
9120000000,90,9120000000,,436.000339254,436.00207403,436.000361007,436.002046522
9240000000,91,9240000000,,427.050565307,427.052649999,427.050576246,427.052666992
9320000000,92,9320000000,,426.910316657,426.912090801,426.910333578,426.912125668
9440000000,93,9440000000,,423.7091603,423.704445343,423.709144194,423.704438351
9520000000,94,9520000000,,430.420732589,430.426719694,430.420712997,430.426739081
9640000000,95,9640000000,,429.278166494,429.279005904,429.278248865,429.279110823
9720000000,96,9720000000,,434.70873076,434.704714597,434.708836677,434.704835006
9840000000,97,9840000000,,443.653052444,443.652667704,443.653118902,443.652808031
9920000000,98,9920000000,,432.038010934,432.037628246,432.038096965,432.037784046
10040000000,99,10040000000,,436.801914506,436.806333699,436.802069392,436.806386285
10120000000,100,10120000000,,427.483190917,427.484706499,427.483350584,427.484723482
10250000000,101,10250000000,,429.05799118,429.059490379,429.058139276,429.059475156
10321000000,102,10321000000,,429.245430821,429.242054138,429.245600433,429.242066883
10449000000,103,10449000000,,430.013103951,430.012883902,430.013292887,430.012882244
10521000000,104,10521000000,,437.767728721,437.771664116,437.767858196,437.771630982
10640000000,105,10640000000,,434.951432349,434.952533166,434.951475449,434.952488906
10725000000,106,10725000000,,429.175335405,429.172304973,429.175408287,429.172242679
10800000000,107,10800000000,,437.740099208,437.739875916,437.740166183,437.739796259
10920000000,108,10920000000,,431.285935122,431.290172881,431.285957435,431.290147784
11000000000,109,11000000000,,422.365493216,422.366154651,422.365496252,422.366209765
11121000000,110,11121000000,,428.12182438,428.122798589,428.121833505,428.122890181
11200000000,111,11200000000,,440.897298706,440.894351108,440.897284508,440.894415802
11320000000,112,11320000000,,435.755514779,435.746905685,435.755538972,435.748775283
11441000000,113,11441000000,,433.026251448,433.019004847,433.026347536,433.024259444
11520000000,114,11520000000,,433.227880035,433.232165182,433.227990816,433.23882062
11640000000,115,11640000000,,424.853396862,424.85931497,424.853511388,424.866380033
11722000000,116,11722000000,,417.779957339,417.77276682,417.780071649,417.778635664
11800000000,117,11800000000,,445.992912571,445.980995449,445.993026559,445.984776539
11920000000,118,11920000000,,433.348047663,433.331165546,433.348162166,433.330598774
12000000000,119,12000000000,,435.481953812,435.464844084,435.482070192,435.461181495
12120000000,120,12120000000,,439.584525673,439.571772323,439.584643272,439.562796102
12243000000,121,12243000000,,431.505624262,431.500965824,431.50575077,431.486817687
12320000000,122,12320000000,,437.542122952,437.542461158,437.542252501,437.524876599
12440000000,123,12440000000,,425.952291284,425.956787484,425.952426485,425.934609432
12521000000,124,12521000000,,426.628040675,426.638281088,426.628179246,426.613293414
12640000000,125,12640000000,,433.435157937,433.454861291,433.435302735,433.426102106
12720000000,126,12720000000,,448.996583113,449.020445373,448.996733126,448.989401189
12801000000,127,12801000000,,439.267718557,439.296166417,439.267874765,439.262868936
12920000000,128,12920000000,,433.858601665,433.887506676,433.858770772,433.851468887
13000000000,129,13000000000,,447.402980118,447.43367114,447.403158045,447.395768515
13120000000,130,13120000000,,426.670536568,426.69872064,426.670729606,426.658043421
13203000000,131,13203000000,,419.239036898,419.268038892,419.23924054,419.225403939
13323000000,132,13323000000,,429.31589636,429.346201646,429.316116966,429.30051582
13440000000,133,13440000000,,437.186669431,437.21691131,437.186907924,437.168105121
13520000000,134,13520000000,,446.174149284,446.205015623,446.174399474,446.154034784
13640000000,135,13640000000,,447.245529308,447.276398144,447.245797151,447.221939404
13722000000,136,13722000000,,428.963869728,428.994891914,428.964148859,428.938000551
13845000000,137,13845000000,,426.453035447,426.48842554,426.453348197,426.424882945
13921000000,138,13921000000,,428.327953795,428.362183069,428.32828312,428.294013385
14040000000,139,14040000000,,431.352167469,431.393380845,431.352513704,431.319715392
14120000000,140,14120000000,,436.925770176,436.973432209,436.92612487,436.89743057
14240000000,141,14240000000,,425.747287463,425.799587482,425.747653325,425.721801548
14321000000,142,14321000000,,434.513366081,434.576070596,434.513738449,434.498481785
14400000000,143,14400000000,,439.035797018,439.091218273,439.036176777,439.013842336
14520000000,144,14520000000,,439.677022182,439.738179902,439.67741221,439.662662605
14640000000,145,14640000000,,428.929644391,428.98911019,428.930044605,428.915402688
14721000000,146,14721000000,,435.944808798,436.002508238,435.94521618,435.930000472
14801000000,147,14801000000,,409.323951497,409.379813949,409.324364872,409.308373108
14920000000,148,14920000000,,427.882911276,427.938369456,427.883332571,427.868228025
15001000000,149,15001000000,,437.526281263,437.582352255,437.526708133,437.512959696
15120000000,150,15120000000,,437.235451138,437.231247197,437.235885958,437.16185774
15240000000,151,15240000000,,439.012500677,439.096102005,439.012942462,439.023415532
15320000000,152,15320000000,,431.178611159,431.241905656,431.179057023,431.167250031
15440000000,153,15440000000,,425.954634208,426.021364508,425.955085015,425.944891093
15520000000,154,15520000000,,437.430296301,437.503332587,437.43074979,437.42736083
15640000000,155,15640000000,,432.760048525,432.836109001,432.760504821,432.762251414
15729000000,156,15729000000,,424.232378199,424.303834419,424.232835633,424.232235412
15840000000,157,15840000000,,438.2447878,438.324254168,438.245245401,438.257702714
15920000000,158,15920000000,,430.44033346,430.504424425,430.440791851,430.44085408
16000000000,159,16000000000,,438.122635383,438.188282755,438.123093865,438.128057557
16120000000,160,16120000000,,428.480084789,428.544168423,428.480542643,428.489151805
