%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
116000000,1,116000000,,427.0,427.0,427.0,427.0
200000000,2,200000000,,777.100332718,776.899667282,777.100332718,776.899667282
301000000,3,301000000,,416.717719034,416.799436563,416.717719034,416.799436563
400000000,4,400000000,,660.471389284,660.443405734,660.471389284,660.443405734
500000000,5,500000000,,645.444865642,645.478329657,645.444865642,645.478329657
600000000,6,600000000,,601.914015933,601.913492413,601.914015933,601.913492413
700000000,7,700000000,,460.336283899,460.33576038,460.336283899,460.33576038
800000000,8,800000000,,330.371879221,330.371908503,330.371879221,330.371908503
900000000,9,900000000,,287.024833542,287.015296416,287.024833542,287.015296416
1000000000,10,1000000000,,335.984559472,335.972628985,335.984559472,335.972628985
1100000000,11,1100000000,,406.865629656,406.876452154,406.865629656,406.876452154
1201000000,12,1201000000,,455.126198074,455.125618595,455.126198074,455.125618595
1300000000,13,1300000000,,470.606278349,470.584118951,470.606278349,470.584118951
1400000000,14,1400000000,,439.959521216,439.955173138,439.959521216,439.955173138
1506000000,15,1506000000,,419.655211351,419.65129044,419.655211351,419.65129044
1605000000,16,1605000000,,379.053781321,379.050045767,379.053781321,379.050045767
1700000000,17,1700000000,,387.251351392,387.249224332,387.251351392,387.249224332
1800000000,18,1800000000,,399.052996886,399.052713404,399.052996886,399.052713404
1901000000,19,1901000000,,400.788781856,400.788977389,400.788781856,400.788977389
2000000000,20,2000000000,,433.974984911,433.97637735,433.974984911,433.97637735
2100000000,21,2100000000,,428.38944499,428.38850225,428.38944499,428.38850225
2200000000,22,2200000000,,421.357133855,421.357215541,421.357133855,421.357215541
2300000000,23,2300000000,,441.414163078,441.41388186,441.414163078,441.41388186
2400000000,24,2400000000,,408.420406645,408.420063217,408.420406645,408.420063217
2500000000,25,2500000000,,413.795140148,413.794738843,413.795140148,413.794738843
2600000000,26,2600000000,,394.275511779,394.275049386,394.275511779,394.275049386
2700000000,27,2700000000,,426.08964026,426.089322673,426.08964026,426.089322673
2800000000,28,2800000000,,433.16306996,433.161559898,433.16306996,433.161559898
2900000000,29,2900000000,,431.932194475,431.93631117,431.932194475,431.93631117
3000000000,30,3000000000,,439.32982557,439.331940223,439.32982557,439.331940223
3102000000,31,3102000000,,416.137113285,416.132393762,416.137113285,416.132393762
3200000000,32,3200000000,,427.049949133,427.049213136,427.049949133,427.049213136
3300000000,33,3300000000,,435.084737045,435.084001051,435.084737045,435.084001051
3402000000,34,3402000000,,421.612567847,421.611831854,421.612567847,421.611831854
3500000000,35,3500000000,,430.638250326,430.637514333,430.638250326,430.637514333
3602000000,36,3602000000,,430.46292347,430.468783577,430.46292347,430.468783577
3700000000,37,3700000000,,424.005347845,424.007138652,424.005347845,424.007138652
3800000000,38,3800000000,,437.394369598,437.389038272,437.394369598,437.389038272
3905000000,39,3905000000,,440.392192256,440.391486488,440.392192256,440.391486488
4000000000,40,4000000000,,421.352606365,421.358942621,421.352606365,421.358942621
4101000000,41,4101000000,,426.313596786,426.315028334,426.313596786,426.315028334
4200000000,42,4200000000,,429.523082267,429.517938799,429.523082267,429.517938799
4302000000,43,4302000000,,437.337865186,437.337188637,437.337865186,437.337188637
4400000000,44,4400000000,,436.593089589,436.592413042,436.593089589,436.592413042
4500000000,45,4500000000,,433.646851054,433.65172048,433.646851054,433.65172048
4600000000,46,4600000000,,427.392602354,427.393329353,427.392602354,427.393329353
4700000000,47,4700000000,,443.986389996,443.987678976,443.986389996,443.987678976
4801000000,48,4801000000,,429.145354476,429.146608303,429.145354476,429.146608303
4900000000,49,4900000000,,421.306423193,421.307375065,421.306423193,421.307375065
5000000000,50,5000000000,,421.856836984,421.857746781,421.856836984,421.857746781
5100000000,51,5100000000,,429.7941585,429.790235892,429.7941585,429.790235892
5200000000,52,5200000000,,434.043328723,434.042722173,434.043328723,434.042722173
5311000000,53,5311000000,,431.353235062,431.356514813,431.353235062,431.356514813
5400000000,54,5400000000,,443.09952161,443.099824301,443.09952161,443.099824301
5500000000,55,5500000000,,438.766392275,438.763339294,438.766392275,438.763339294
5601000000,56,5601000000,,431.159913264,431.159324261,431.159913264,431.159324261
5701000000,57,5701000000,,422.841864271,422.845418928,422.841864271,422.845418928
5800000000,58,5800000000,,427.236790628,427.237152176,427.236790628,427.237152176
5902000000,59,5902000000,,424.415532397,424.41610217,424.415532397,424.41610217
6001000000,60,6001000000,,429.164577508,429.164886262,429.164577508,429.164886262
6100000000,61,6100000000,,437.501428433,437.498674651,437.501428433,437.498674651
6200000000,62,6200000000,,429.927352961,429.926796593,429.927352961,429.926796593
6300000000,63,6300000000,,436.555868653,436.557966345,436.555868653,436.557966345
6400000000,64,6400000000,,441.357686067,441.358101789,441.357686067,441.358101789
6500000000,65,6500000000,,432.724251975,432.721890483,432.724251975,432.721890483
6600000000,66,6600000000,,430.162608163,430.162063737,430.162608163,430.162063737
6702000000,67,6702000000,,419.085493408,419.087478408,419.085493408,419.087478408
6801000000,68,6801000000,,431.141409356,431.141478024,431.141409356,431.141478024
6900000000,69,6900000000,,430.657740967,430.655652806,430.657740967,430.655652806
7000000000,70,7000000000,,439.684071663,439.683538112,439.684071663,439.683538112
7108000000,71,7108000000,,439.095138192,439.094604641,439.095138192,439.094604641
7200000000,72,7200000000,,431.16922666,431.172470841,431.16922666,431.172470841
7300000000,73,7300000000,,423.763576544,423.764558975,423.763576544,423.764558975
7400000000,74,7400000000,,431.913811512,431.915033012,431.913811512,431.915033012
7505000000,75,7505000000,,426.121285259,426.118038431,426.121285259,426.118038431
7602000000,76,7602000000,,439.848015853,439.851662058,439.848015853,439.851662058
7700000000,77,7700000000,,431.146948316,431.147403577,431.146948316,431.147403577
7800000000,78,7800000000,,444.00534635,444.002415067,444.00534635,444.002415067
7900000000,79,7900000000,,428.129631466,428.129140125,428.129631466,428.129140125
8002000000,80,8002000000,,427.524817902,427.524326562,427.524817902,427.524326562
8114000000,81,8114000000,,430.903742346,430.908256702,430.903742346,430.908256702
8201000000,82,8201000000,,437.882702378,437.884158408,437.882702378,437.884158408
8300000000,83,8300000000,,444.856632021,444.858512367,444.856632021,444.858512367
8400000000,84,8400000000,,426.541574937,426.537124174,426.541574937,426.537124174
8500000000,85,8500000000,,426.811038675,426.810584531,426.811038675,426.810584531
8601000000,86,8601000000,,422.019434957,422.024568277,422.019434957,422.024568277
8700000000,87,8700000000,,429.519630798,429.520805788,429.519630798,429.520805788
8800000000,88,8800000000,,444.15436609,444.150371088,444.15436609,444.150371088
8900000000,89,8900000000,,435.146995778,435.146565994,435.146995778,435.146565994
9000000000,90,9000000000,,436.514248474,436.519773166,436.514248474,436.519773166
9102000000,91,9102000000,,436.00035013,436.002060276,436.00035013,436.002060276
9200000000,92,9200000000,,427.050570776,427.052658495,427.050570776,427.052658495
9300000000,93,9300000000,,426.910325118,426.912108235,426.910325118,426.912108235
9400000000,94,9400000000,,423.709152247,423.704441847,423.709152247,423.704441847
9500000000,95,9500000000,,430.420722793,430.426729387,430.420722793,430.426729387
9601000000,96,9601000000,,429.278207679,429.279058364,429.278207679,429.279058364
9700000000,97,9700000000,,434.708783718,434.704774801,434.708783718,434.704774801
9800000000,98,9800000000,,443.653085673,443.652737867,443.653085673,443.652737867
9901000000,99,9901000000,,432.03805395,432.037706146,432.03805395,432.037706146
10000000000,100,10000000000,,436.801991949,436.806359992,436.801991949,436.806359992
10100000000,101,10100000000,,427.48327075,427.48471499,427.48327075,427.48471499
10202000000,102,10202000000,,429.058065228,429.059482767,429.058065228,429.059482767
10308000000,103,10308000000,,429.245515627,429.242060511,429.245515627,429.242060511
10401000000,104,10401000000,,430.013198419,430.012883073,430.013198419,430.012883073
10505000000,105,10505000000,,437.767793458,437.771647549,437.767793458,437.771647549
10600000000,106,10600000000,,434.951453899,434.952511036,434.951453899,434.952511036
10700000000,107,10700000000,,429.175371846,429.172273826,429.175371846,429.172273826
10800000000,108,10800000000,,437.740132696,437.739836087,437.740132696,437.739836087
10902000000,109,10902000000,,431.285946278,431.290160332,431.285946278,431.290160332
11000000000,110,11000000000,,422.365494734,422.366182208,422.365494734,422.366182208
11100000000,111,11100000000,,428.121828943,428.122844385,428.121828943,428.122844385
11200000000,112,11200000000,,440.897291607,440.894383455,440.897291607,440.894383455
11300000000,113,11300000000,,435.755526876,435.747840484,435.755526876,435.747840484
11400000000,114,11400000000,,433.026299492,433.021632145,433.026299492,433.021632145
