%time,field.layout.data_offset,field.data0,field.data1
32000000,0,-429.95943108,-429.95943108
78000000,0,-429.95943108,-429.95943108
116000000,0,-429.95943108,-429.95943108
155000000,0,-387.782633079,-387.782633079
202000000,0,-324.391659663,-324.391659663
238000000,0,-277.970829294,-277.970829294
279000000,0,-213.729767032,-213.729777946
317000000,0,-134.641114889,-134.641149042
356000000,0,-109.712985589,-109.713033816
399000000,0,-95.4490128351,-95.4490714785
437000000,0,-52.2952739807,-52.2953380468
479000000,0,-8.5601497384,-8.56021889239
520000000,0,27.6014226178,27.6013492549
566000000,0,58.9079186426,58.9078524803
599000000,0,79.363482882,79.3634229678
639000000,0,99.025048985,99.0249950775
679000000,0,110.557494692,110.557445672
718000000,0,119.844296275,119.844251463
756000000,0,108.696494417,108.205108831
797000000,0,96.8500254844,96.4329622542
839000000,0,87.0215561772,86.6661547844
877000000,0,60.7672381163,60.016910145
918000000,0,37.057802078,36.4183842219
958000000,0,10.2766866194,9.73393455476
1006000000,0,-11.8532499538,-12.317656801
1041000000,0,-25.114218591,-25.6783576359
1080000000,0,-35.2956621768,-35.7764531421
1118000000,0,-43.9717161585,-44.3814825769
1156000000,0,-41.3698996832,-41.7191439168
1198000000,0,-38.7300538258,-39.0289158229
1234000000,0,-36.3649130459,-36.6186356332
1275000000,0,-27.431866142,-27.6481408716
1316000000,0,-20.3777146899,-20.5650447859
1359000000,0,-11.3754138728,-11.5332101258
1389000000,0,-3.5065998777,-3.6405924439
1437000000,0,2.87099139302,2.7562914456
1478000000,0,4.32364481321,4.22546148121
1518000000,0,5.20151211609,5.11845934633
1559000000,0,3.11779197245,3.04697558305
1595000000,0,1.17912679919,1.11849726096
1639000000,0,-0.635458192583,-0.686552893337
1679000000,0,-7.30309311063,-7.20554256352
1721000000,0,-13.3014333862,-13.2173323305
1758000000,0,-18.6051672174,-18.5338166786
1799000000,0,-22.2509135114,-22.1903783342
1835000000,0,-25.2756213091,-25.2240591332
1878000000,0,-26.2265312718,-26.1829555562
1917000000,0,-26.8864469405,-26.8490269108
1957000000,0,-27.2283033791,-27.1962958478
1997000000,0,-27.5286759182,-27.501626081
2034000000,0,-22.9780055708,-22.9549638045
2079000000,0,-18.9868358134,-18.9672095375
2116000000,0,-15.7432250575,-15.7263745246
2156000000,0,-13.5901620283,-13.5758056491
2201000000,0,-11.7312867333,-11.7191528481
2239000000,0,-10.2288741992,-10.2185366411
2279000000,0,-9.9349010466,-9.92612712638
2319000000,0,-9.74698830678,-9.73945152658
2357000000,0,-6.74556843991,-6.7391718129
2399000000,0,-4.05454083459,-4.04909017278
2446000000,0,-1.76139849166,-1.75675391498
2479000000,0,-4.45981705471,-4.45586061164
2519000000,0,-6.92675094082,-6.92336738775
2562000000,0,-8.36644722794,-8.3635667898
2597000000,0,-9.51940539996,-9.5169538226
2638000000,0,-10.5018914707,-10.499805345
2679000000,0,-14.0436654823,-14.0419001479
2721000000,0,-17.1693986447,-17.1678935202
2757000000,0,-15.5769826181,-15.5757017446
2797000000,0,-13.7665066618,-13.765431341
2842000000,0,-12.3032121646,-12.3023029756
2881000000,0,-10.0876453247,-10.0868679061
2919000000,0,-8.07723230885,-8.07657277612
2956000000,0,-6.60861438572,-6.60805726018
3000000000,0,-5.31060834926,-5.3101437237
3037000000,0,-3.26647188734,-3.26608927252
3079000000,0,-1.35503688571,-1.35472830711
3119000000,0,0.230792632207,0.23103978122
3161000000,0,-1.65720225505,-1.65701266925
3203000000,0,-3.66114936177,-3.66101329783
3236000000,0,-3.80048814951,-3.80038479197
3277000000,0,-3.6626876749,-3.66261993496
3319000000,0,-3.55388488758,-3.55384527177
3355000000,0,-2.32559472203,-2.3255847599
3392000000,0,-1.19857428688,-1.19859042398
3435000000,0,-0.394435952097,-0.394470712333
3479000000,0,-1.4310861657,-1.43114502574
3511000000,0,-2.45361313611,-2.45369044976
3566000000,0,-2.06317214221,-2.06326570497
3597000000,0,-1.65773753351,-1.65784537799
3635000000,0,-1.32022966287,-1.32034938807
3673000000,0,-1.04571549289,-1.04583210581
3712000000,0,-0.848717388197,-0.848829031715
3758000000,0,-1.09404345572,-1.09414779927
3799000000,0,-1.82915912068,-1.82925616408
3840000000,0,-2.43905074074,-2.43914172813
3874000000,0,-1.00297976616,-1.00307101882
3918000000,0,0.471074853858,0.470983049546
3959000000,0,1.3760969708,1.37600543402
3994000000,0,2.55928073184,2.55919067276
4038000000,0,1.54238147327,1.54229725139
4076000000,0,0.111227564842,0.111148880952
4113000000,0,-1.26640273468,-1.26647606681
4166000000,0,-1.67713974047,-1.67720720435
4200000000,0,-1.9682210745,-1.96828354801
4240000000,0,-1.77473934233,-1.77479640642
4277000000,0,-1.59061675775,-1.5906694499
4321000000,0,-1.43981946109,-1.43986857437
4346000000,0,-0.274131112407,-0.274173861933
4406000000,0,0.883381055294,0.883343657232
4437000000,0,1.84371553343,1.84368257728
4486000000,0,2.53813321638,2.53810400728
4523000000,0,3.14368257683,3.14365665408
4553000000,0,3.27644371822,3.27641942412
4602000000,0,3.33580670224,3.33578358604
4638000000,0,2.79263035849,2.7925986997
4677000000,0,1.98197831756,1.98193380209
4717000000,0,1.32495328639,1.32489834264
4762000000,0,3.10680316025,3.10673235535
4799000000,0,4.64668424003,4.64660099829
4839000000,0,6.00159029305,6.00149611551
4883000000,0,6.01975934943,6.01965594168
4921000000,0,5.05611955187,5.05600854495
4951000000,0,3.89202921347,3.89191260396
4998000000,0,1.65917927255,1.6590569686
5036000000,0,0.15180364687,0.151677728364
5074000000,0,-0.955202934806,-0.955330727276
5113000000,0,-2.08462851975,-2.08475822615
5154000000,0,-1.91717273047,-1.91730774016
5199000000,0,-1.62856826223,-1.62870952478
5238000000,0,-1.4121981499,-1.41234409709
5277000000,0,-0.666488877587,-0.666638792417
5316000000,0,0.0841848574339,0.084031121623
5354000000,0,0.300622641557,0.300474983759
5398000000,0,0.454781799049,0.454639361017
5436000000,0,2.25318426106,2.25305572013
5477000000,0,3.86288435508,3.86276799211
5516000000,0,5.23458023493,5.23447424793
5565000000,0,5.80447666487,5.80437555602
5598000000,0,6.23816335179,6.23806600689
5638000000,0,6.6092081081,6.60911398547
5677000000,0,6.62086708536,6.62077706804
5719000000,0,5.78262858931,5.7825464925
5752000000,0,4.33466084599,4.334587033
5799000000,0,2.37191831375,2.37185527627
5839000000,0,1.52414214521,1.52408865686
5882000000,0,0.925295935635,0.925249950189
5921000000,0,0.361156690623,0.361117764984
5957000000,0,-0.3011776233,-0.301212057008
5993000000,0,-1.05843936363,-1.05847091621
6044000000,0,-1.73690080629,-1.73692977445
6076000000,0,-1.64358666278,-1.64361628034
6119000000,0,-1.50661367281,-1.50664413854
6158000000,0,-0.228213813591,-0.22823785016
6198000000,0,0.920659036576,0.92064080745
6307000000,0,1.89966389047,1.89965060762
6307000000,0,1.74220096486,1.74219122564
6317000000,0,1.50424794569,1.50424054592
6357000000,0,2.32090087358,2.32087803837
6400000000,0,2.8943083212,2.89427468405
6441000000,0,3.45429390015,3.45424971606
6479000000,0,4.50796994045,4.50791095592
6521000000,0,5.52675272795,5.52667967457
6559000000,0,5.22718264527,5.22709999061
6614000000,0,4.87152679272,4.87143660854
6631000000,0,4.55288097224,4.55278404205
6678000000,0,4.13581346665,4.13570950679
6719000000,0,3.55436073062,3.55424848454
6759000000,0,1.40965903978,1.40954005245
6796000000,0,-0.406535299478,-0.406659869675
6838000000,0,-1.95419425212,-1.95432357686
6877000000,0,-1.54253371185,-1.54266387135
6919000000,0,-1.1304194446,-1.13055026423
6954000000,0,-0.85671075002,-0.855175654117
6998000000,0,-0.637425818382,-0.636124865119
7039000000,0,0.912750664563,0.913814186437
7077000000,0,2.18555980524,2.18644452274
7118000000,0,3.24867083321,3.24940620349
7152000000,0,4.14114835029,4.14174676582
7197000000,0,4.86257880482,4.86306623252
7237000000,0,5.50893647075,5.50932446216
7276000000,0,4.92753575249,4.92785618592
7319000000,0,4.39054694025,4.39081184593
7360000000,0,3.29641078715,3.29663019942
7405000000,0,1.89292228142,1.89310530521
7442000000,0,0.724574804463,0.724727533806
7481000000,0,0.747404535189,0.747530892617
7519000000,0,0.925864687698,0.925969929409
7563000000,0,0.1926007907,0.192686943235
7619000000,0,-0.347970515318,-0.347898002104
7637000000,0,-0.852093187235,-0.852033392824
7678000000,0,0.621757572663,0.62180347671
7719000000,0,1.96026777829,1.96030250162
7758000000,0,1.96560241231,1.9656250612
7799000000,0,1.85056122912,1.85057334384
7837000000,0,1.75027411491,1.75027705095
7881000000,0,3.3040307955,3.30402992464
7916000000,0,4.92882799829,4.92882423421
7965000000,0,4.03818515562,4.09283799939
7996000000,0,3.25121706351,3.29853910567
8045000000,0,2.44831137258,2.48815415059
8079000000,0,1.7346540027,1.76860416542
8114000000,0,1.18997431698,1.21948771788
8159000000,0,0.998649988043,1.02319412176
8196000000,0,0.991367097606,1.0126101993
8231000000,0,0.985224299695,1.00368305162
8279000000,0,1.3317170209,1.34693484365
8316000000,0,2.35108729174,2.36392836808
8359000000,0,4.09623703774,4.10724563394
8400000000,0,5.72998069981,5.73930083213
8428000000,0,7.08542246801,7.09334175934
8477000000,0,5.72087233701,5.72759708346
8511000000,0,4.36966636538,4.3753731299
8561000000,0,3.28191272529,3.28677003333
8601000000,0,2.33116512474,2.33527838668
8640000000,0,1.50235158202,1.50581622405
8679000000,0,0.155543877297,0.158477793167
8716000000,0,-0.958142245361,-0.955628598696
8759000000,0,-1.13672825633,-1.13461873867
8801000000,0,-1.03605676472,-1.03426544163
8852000000,0,-0.943840727933,-0.942340874738
8878000000,0,1.14225713307,1.14352101308
8917000000,0,3.07218669728,3.0732436152
8957000000,0,3.50203609196,3.50292192823
8997000000,0,3.75699524811,3.75772793722
9039000000,0,3.9685233083,3.96912893973
9073000000,0,4.3321366903,4.33264223751
9116000000,0,4.66833994415,4.66875910647
9159000000,0,4.8777033055,4.87805562253
9194000000,0,5.04173197468,5.04203154551
9237000000,0,5.18946954327,5.18972160069
9277000000,0,4.11508751437,4.11530054454
9319000000,0,3.07655395518,3.07673386655
9359000000,0,2.19320735105,2.19335889708
9399000000,0,1.40026769273,1.40039375444
9439000000,0,0.727265658976,0.727370094994
9478000000,0,-0.269600397145,-0.269508834704
9522000000,0,-1.15388206286,-1.15380165461
9561000000,0,-0.978344108772,-0.978272938797
9602000000,0,-0.760589201554,-0.760525830501
9640000000,0,-0.588290965534,-0.58823377122
9676000000,0,-0.594899012201,-0.598749450993
9719000000,0,-0.607361806525,-0.61066798245
9759000000,0,0.184168180731,0.181357073237
9798000000,0,0.827920088504,0.825490443432
9841000000,0,1.40773611775,1.40565005175
9879000000,0,3.08994733493,3.0881525738
9915000000,0,4.6938477646,4.69231442545
9966000000,0,4.41729115896,4.41597693498
10010000000,0,4.08751770227,4.08637667313
10037000000,0,3.79735750705,3.7963688593
10052000000,0,4.17629891016,4.19190462233
10116000000,0,4.57960397946,4.59282577455
10164000000,0,3.63224183968,3.64348515162
10195000000,0,2.72908847047,2.73864578093
10238000000,0,1.99509858607,2.00328569043
10278000000,0,1.33400701969,1.34096000076
10312000000,0,0.999387229273,1.00543688689
10361000000,0,0.676881155229,0.68182587539
10397000000,0,0.495196056965,0.499472632295
10449000000,0,0.320563328193,0.324197691622
10483000000,0,0.225267998166,0.228312468113
10517000000,0,0.199924637779,0.202491023602
10557000000,0,1.13625836943,1.16553450136
10601000000,0,2.16808367299,2.19281233703
10634000000,0,2.96343820111,2.98466157817
10671000000,0,3.3088347607,3.32684022922
10719000000,0,3.55195889746,3.56735741721
10757000000,0,3.065990976,3.07915551624
10802000000,0,2.48364574484,2.49480801941
10836000000,0,3.21541389595,3.22483954771
10855000000,0,3.84346009621,3.85157986404
10919000000,0,4.45234461194,4.45919832754
10959000000,0,4.10127854538,4.1071148347
10998000000,0,3.69101430324,3.69598435543
11039000000,0,2.17602517521,2.18025959671
11077000000,0,0.764844337823,0.768466694742
11117000000,0,-0.499487785921,-0.496413796563
11160000000,0,-0.732322481778,-0.729693780089
11200000000,0,-0.899504282704,-0.897274571942
11238000000,0,0.76328093445,0.72119906719
11279000000,0,2.30226666121,2.26655215508
11318000000,0,3.54959910296,3.51904530304
11358000000,0,3.95242831797,3.92638901896
11396000000,0,4.21873157427,4.19644991138
11441000000,0,4.46266863797,4.44382902437
11483000000,0,4.28467174967,4.26847563551
11520000000,0,4.10463985117,4.09082453997
11560000000,0,3.97252882716,3.96073864896
11596000000,0,3.87574839191,3.86556783382
11638000000,0,3.78179754494,3.77316788703
11671000000,0,2.99871636805,2.99138706599
11713000000,0,1.7181287006,1.71192578328
11759000000,0,-0.217500101322,-0.222828748402
11799000000,0,-1.94490851888,-1.94950048324
11838000000,0,-2.64470892162,-2.64864070583
11880000000,0,0.244448970265,0.241101947309
11917000000,0,2.47023356836,2.46733761159
11959000000,0,2.82659950481,2.82413635671
11999000000,0,2.90926650797,2.90712175464
12038000000,0,3.26823813477,3.26644050861
12073000000,0,3.54680605158,3.54517658154
12119000000,0,3.88540447155,3.88406839806
12156000000,0,4.7203323189,4.70508459925
12212000000,0,5.41164398843,5.3985455707
12244000000,0,5.82803629918,5.8162049316
12296000000,0,5.43993256261,5.43067226386
12320000000,0,5.05553837288,5.04718509498
12346000000,0,5.14044658482,5.13339166354
12398000000,0,5.53468958026,5.52875669094
12439000000,0,5.83749782437,5.83242002744
12477000000,0,4.54714806519,4.54281948007
12519000000,0,3.25327116946,3.24957611022
12555000000,0,2.32011078952,2.31925323477
12597000000,0,1.46529770066,1.46454888406
12638000000,0,0.756093548218,0.755434967236
12669000000,0,1.09774543343,1.09716475632
12716000000,0,1.41665917848,1.41613646045
12750000000,0,3.32015538504,3.31967919032
12799000000,0,6.22054222518,6.22012496841
12834000000,0,6.81081695072,6.81044162978
12874000000,0,7.11967588627,7.11932388759
12921000000,0,7.48749297121,7.48717744314
12956000000,0,6.99405542676,6.99375876548
12998000000,0,6.54696797929,6.54669113723
13039000000,0,8.1491985652,8.14893671187
13075000000,0,9.52338566057,9.52313411131
13115000000,0,10.6402988269,10.6400601176
13150000000,0,8.7458326153,8.74559887928
13199000000,0,6.966452106,6.96622699554
13246000000,0,3.73372599524,3.73350390641
13278000000,0,2.25401832331,2.25379884889
13323000000,0,0.160233228014,0.160015638521
13359000000,0,-0.0904933801609,-0.0907110029444
13398000000,0,-0.168436814803,-0.168654914911
13428000000,0,-0.222141865043,-0.222360138285
13478000000,0,0.306650845173,0.306430714806
13515000000,0,1.25874051191,1.25851783143
13559000000,0,3.04466654494,3.04444025301
13599000000,0,4.99197777572,4.9917479369
13640000000,0,6.68954431094,6.68931144489
13679000000,0,8.25269333659,8.25245525139
13722000000,0,9.27421502422,9.27397378115
13758000000,0,9.01303583802,8.94675295754
13797000000,0,7.56741746541,7.51066800986
13823000000,0,6.4786213598,6.429052747
13872000000,0,4.92085673035,4.87956759396
13924000000,0,3.64621677435,3.61112587868
13965000000,0,2.87599462119,2.84580570762
13998000000,0,2.19431686892,2.16864472803
14039000000,0,1.64177312525,1.61976077816
14079000000,0,1.47824795639,1.45944132625
14120000000,0,1.46544775034,1.44943181409
14159000000,0,2.22159732548,2.20784352312
14196000000,0,2.8581893449,2.84623291527
14236000000,0,3.52098590249,3.51089231436
14279000000,0,2.45439317538,2.4457543993
14316000000,0,1.53714584553,1.52961859401
14352000000,0,1.70956991614,1.70313850921
14400000000,0,2.15918052277,2.15367591239
14438000000,0,3.14320920647,3.13850606188
14479000000,0,4.04125510444,4.03718545599
14519000000,0,4.75066829584,4.74712894498
14558000000,0,5.47695133778,5.47387589592
14581000000,0,6.11790816775,6.1152243972
14635000000,0,6.65060105073,6.64827686678
14686000000,0,5.43160550537,5.42958765596
14721000000,0,4.58744500139,4.58565914831
14755000000,0,4.736302704,4.73469493984
14796000000,0,4.92938923308,4.92797722637
14821000000,0,3.22917922508,3.22790102318
14881000000,0,-0.380601533013,-0.381745755475
14919000000,0,-3.30607844113,-3.30711787961
14961000000,0,-3.37934787891,-3.38029612868
14994000000,0,-3.17777650184,-3.17864256845
15049000000,0,-1.82240444598,-1.82320594361
15080000000,0,-0.466149622921,-0.466896751925
15123000000,0,0.72164332829,0.720943486192
15159000000,0,1.66942518089,1.66876397467
15197000000,0,2.4984664465,2.49783799165
15237000000,0,3.17220757762,3.17160761812
15280000000,0,4.05140228957,4.05082585747
15318000000,0,4.77389137534,4.77333484167
15352000000,0,4.86188040337,4.86133798754
15385000000,0,4.41147734004,4.41094701033
15438000000,0,3.80172277139,3.80120856844
15479000000,0,2.74688982415,2.74638470724
15525000000,0,1.72571364892,1.72521890823
