%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1000000,0,1000000,world,0.0,0.0,0.74,0.0,0.0,0.0,1.0
11000000,1,11000000,world,-1.07738277069e-27,-1.09807001825e-27,0.739461,-5.3725141903e-27,4.12735521657e-27,1.15199516752e-27,1.0
21000000,2,21000000,world,1.63692024856e-24,1.51811157212e-24,0.737942,1.20292517363e-23,-1.19965837191e-23,-1.854574052e-24,1.0
31000000,3,31000000,world,-4.38394968409e-25,-6.00545634499e-25,0.735443,7.22102059036e-24,-1.67577970031e-23,7.60542676413e-25,1.0
41000000,4,41000000,world,-1.4288227372e-24,-1.79321964477e-24,0.731964,3.00119168489e-24,-2.37804484207e-23,1.87282292978e-24,1.0
51000000,5,51000000,world,-2.69206115799e-25,-7.55861801429e-25,0.727505,1.38393085235e-24,-2.25640175756e-23,9.00100114244e-26,1.0
61000000,6,61000000,world,4.36934927905e-25,3.89341348587e-26,0.722066,5.0410970436e-24,-1.98350052118e-23,-1.05020053119e-24,1.0
71000000,7,71000000,world,-2.70876163347e-19,2.70442832997e-19,0.715647,-2.61888218536e-20,-2.67151001813e-20,1.30092259982e-24,1.0
81000000,8,81000000,world,-9.82139323021e-19,9.80614931571e-19,0.708248,-4.98665189606e-20,-5.31882223695e-20,-2.27368895081e-24,1.0
91000000,9,91000000,world,-1.73690716921e-18,1.73424121102e-18,0.699869,-2.3097863588e-20,-3.03371133878e-20,-1.61005437333e-24,1.0
101000000,10,101000000,world,-2.53102176468e-18,2.52723064541e-18,0.69051,1.22726194256e-19,1.0827060196e-19,-4.43157486953e-24,1.0
111000000,11,111000000,world,-3.35781237289e-18,3.35281083113e-18,0.680171,3.09905710894e-19,2.89423072149e-19,-3.18611731017e-24,1.0
121000000,12,121000000,world,-4.21933315137e-18,4.20066552921e-18,0.668852,4.14814246527e-19,3.96035834586e-19,-3.38395465082e-24,1.0
131000000,13,131000000,world,1.16351295138e-15,1.10804500336e-15,0.656553000915,6.56749875417e-15,-5.55485349219e-15,-1.37219739413e-15,1.0
141000000,14,141000000,world,2.74482608402e-14,2.58118487533e-14,0.643274351277,2.31717432189e-13,-2.14929221695e-13,-3.19735813602e-14,1.0
151000000,15,151000000,world,2.63767609942e-14,2.30539891827e-14,0.629018374184,6.15100341196e-13,-6.31751783961e-13,-2.81852846431e-14,1.0
161000000,16,161000000,world,-1.71618950753e-06,1.17206691488e-07,0.624997960689,-9.86066695383e-07,-1.33937702205e-06,-3.14117809018e-07,0.999999999999
171000000,17,171000000,world,3.76586061589e-06,2.07212111854e-06,0.624996408728,-2.21430062016e-06,2.93587807938e-06,-1.01964011604e-06,0.999999999993
181000000,18,181000000,world,-3.39144171114e-06,-3.62031214234e-06,0.624996394731,2.23178831017e-06,-2.96912580263e-06,-2.2837578045e-06,0.99999999999
191000000,19,191000000,world,4.5258137493e-06,1.06686820664e-06,0.624996332382,-2.25310743314e-06,3.07752142129e-06,-3.69407052955e-06,0.999999999986
201000000,20,201000000,world,-2.75428733127e-06,-4.44491586044e-06,0.624996490054,2.18523245581e-06,-2.90369381109e-06,-4.82151057596e-06,0.999999999982
211000000,21,211000000,world,4.96259393056e-06,1.02933328818e-07,0.624996435082,-2.23858896204e-06,2.99851086151e-06,-6.14793326949e-06,0.999999999974
221000000,22,221000000,world,-2.1063270796e-06,-5.2321218021e-06,0.624996603134,2.13240596121e-06,-2.81080679527e-06,-7.21220751709e-06,0.999999999968
231000000,23,231000000,world,5.35135680508e-06,-8.37431018658e-07,0.624996559164,-2.14858556732e-06,2.89697557998e-06,-8.47078254575e-06,0.999999999958
241000000,24,241000000,world,6.63243778332e-07,-6.50718743081e-06,0.624996747556,2.65809196278e-06,-2.43122171898e-06,-7.89916687553e-06,0.999999999962
251000000,25,251000000,world,6.09821641179e-06,-4.06769357588e-06,0.624997787079,5.88684768784e-07,2.25159685505e-06,-7.70649755402e-06,0.999999999968
261000000,26,261000000,world,-5.85047775672e-07,-1.52400046901e-06,0.624996705047,-1.9966626432e-06,-2.82561999571e-06,-6.77214735485e-06,0.999999999971
271000000,27,271000000,world,4.45299323875e-06,-7.02573299608e-06,0.624996991488,2.50818173594e-06,1.44653948164e-06,-6.59217467437e-06,0.999999999974
281000000,28,281000000,world,2.65078281638e-06,-1.0937405724e-06,0.624998748025,-2.26857183088e-06,2.30194150892e-08,-6.5377422692e-06,0.999999999976
291000000,29,291000000,world,5.68172695189e-06,-2.54754069472e-06,0.624997525684,-1.14546859605e-06,2.28260812411e-06,-6.85267390885e-06,0.999999999973
301000000,30,301000000,world,5.07447241734e-08,-5.11442555206e-06,0.624998008699,1.66996817804e-07,-2.33068785524e-06,-6.45261926291e-06,0.999999999976
311000000,31,311000000,world,5.41347175999e-06,-3.41266337714e-06,0.624997798243,-1.27630520362e-06,1.8470172606e-06,-6.84490384221e-06,0.999999999974
321000000,32,321000000,world,1.04414542394e-06,-6.56521019187e-06,0.624997961907,1.25873900455e-06,-1.68294906022e-06,-7.64241971186e-06,0.999999999969
331000000,33,331000000,world,5.0960548601e-06,-3.09856171396e-06,0.624997881738,-1.6011160178e-06,1.54745358843e-06,-8.27628693072e-06,0.999999999963
341000000,34,341000000,world,1.19875844578e-06,-4.99724202705e-06,0.624998712401,6.56458853669e-09,-1.57470622457e-06,-7.87433852392e-06,0.999999999968
351000000,35,351000000,world,5.05554891623e-06,-5.62959702629e-06,0.624999164165,4.69854259892e-07,1.54615291978e-06,-8.06353704532e-06,0.999999999966
361000000,36,361000000,world,1.61886952222e-06,-4.27589482876e-06,0.624999023726,-3.12391135076e-07,-1.56361975576e-06,-7.97594016672e-06,0.999999999967
371000000,37,371000000,world,4.46507885014e-06,-4.99856650944e-06,0.624999175945,3.03608895757e-09,9.95574820994e-07,-7.83324613077e-06,0.999999999969
381000000,38,381000000,world,2.60831429256e-06,-5.01521417369e-06,0.625000327991,1.64481503071e-08,-4.24007238451e-07,-7.90873102335e-06,0.999999999969
391000000,39,391000000,world,3.356321753e-06,-4.93899736085e-06,0.625000067676,-9.4443933036e-09,9.28758988165e-08,-8.44067036346e-06,0.999999999964
401000000,40,401000000,world,3.07885315267e-06,-5.170816586e-06,0.625000078068,3.58685759258e-08,-1.20414470496e-07,-9.04053229637e-06,0.999999999959
411000000,41,411000000,world,3.27698286119e-06,-5.06620589206e-06,0.624999989869,-1.30286394837e-08,5.06588919111e-10,-9.53087095743e-06,0.999999999955
421000000,42,421000000,world,3.23838832559e-06,-5.25961362152e-06,0.625000103032,1.47825889569e-07,1.88271518141e-08,-9.63206565945e-06,0.999999999954
431000000,43,431000000,world,3.47944345628e-06,-5.00758961879e-06,0.625000129332,2.43361466668e-08,1.9740223294e-07,-9.5414990936e-06,0.999999999954
441000000,44,441000000,world,3.13408483244e-06,-5.05189488247e-06,0.625000073117,-3.31230687808e-10,-1.03920934359e-07,-9.57341959429e-06,0.999999999954
451000000,45,451000000,world,3.59527593137e-06,-5.06959069937e-06,0.62500019719,-2.54440960959e-09,2.60886633352e-07,-9.55812048012e-06,0.999999999954
461000000,46,461000000,world,3.26699006551e-06,-5.07213587298e-06,0.624999991023,7.32885952938e-10,-2.24281511668e-09,-9.55366721581e-06,0.999999999954
471000000,47,471000000,world,3.34957486537e-06,-5.0187085541e-06,0.62499981847,2.06210347376e-09,2.1309877858e-07,-9.81283953e-06,0.999999999952
481000000,48,481000000,world,3.06209844802e-06,-5.01474102419e-06,0.625000029495,-2.09881921405e-09,-4.62797198002e-08,-9.80630707843e-06,0.999999999952
491000000,49,491000000,world,3.20098483401e-06,-5.00547682392e-06,0.625000019315,-1.24002818184e-09,3.30261554439e-08,-9.79884039256e-06,0.999999999952
501000000,50,501000000,world,7.28946704651e-06,-1.03378956142e-06,0.625008179517,-5.96421833003e-07,6.18655250764e-07,-9.78833110154e-06,0.999999999952
511000000,51,511000000,world,1.36449837821e-05,4.20949539427e-06,0.625059440726,-1.61081501222e-06,1.48424505521e-06,-9.77677080322e-06,0.99999999995
521000000,52,521000000,world,2.13238572698e-05,9.59707883916e-06,0.625193972605,-2.8910618684e-06,2.53209787148e-06,-9.76427635637e-06,0.999999999945
531000000,53,531000000,world,3.01260226201e-05,1.4955141153e-05,0.6254510747,-4.39315045483e-06,3.74599218224e-06,-9.75087800263e-06,0.999999999936
