%time,field.x,field.y,field.z
0,0.0,0.0,3.0
161000000,0.0,0.0,3.0
472000000,0.0,0.0,3.0
814000000,0.0,0.0,3.0
1081000000,0.0,0.0,3.0
1373000000,0.0,0.0,3.0
1679000000,0.0,0.0,3.0
2054000000,0.0,0.0,3.0
2381000000,0.0,0.0,3.0
2673000000,0.0,0.0,3.0
2992000000,0.0,0.0,3.0
3349000000,0.0,0.0,3.0
3662000000,0.0,0.0,3.0
4012000000,0.0,0.0,3.0
4250000000,0.0,0.0,3.0
4620000000,0.0,0.0,3.0
4902000000,0.0,0.0,3.0
5305000000,0.0,0.0,3.0
5633000000,0.0,0.0,3.0
6045000000,0.0,0.0,3.0
6329000000,0.0,0.0,3.0
6671000000,0.0,0.0,3.0
6989000000,0.0,0.0,3.0
7237000000,0.0,0.0,3.0
7570000000,0.0,0.0,3.0
7768000000,0.0,0.0,3.0
8079000000,0.0,0.0,3.0
8388000000,0.0,0.0,3.0
8681000000,0.0,0.0,3.0
9066000000,0.0,0.0,3.0
9332000000,0.0,0.0,3.0
9609000000,0.0,0.0,3.0
9839000000,0.0,0.0,3.0
10298000000,0.0,0.0,3.0
10592000000,0.0,0.0,3.0
10915000000,0.0,0.0,3.0
11207000000,0.0,0.0,3.0
11600000000,0.0,0.0,3.0
11865000000,0.0,0.0,3.0
12134000000,0.0,0.0,3.0
12452000000,0.0,0.0,3.0
12767000000,0.0,0.0,3.0
13040000000,0.0,0.0,3.0
13428000000,0.0,0.0,3.0
13709000000,0.0,0.0,3.0
14068000000,0.0,0.0,3.0
14349000000,0.0,0.0,3.0
14717000000,0.0,0.0,3.0
15040000000,0.0,0.0,3.0
15250000000,0.0,0.0,3.0
15560000000,0.0,0.0,3.0
15954000000,0.0,0.0,3.0
16281000000,0.0,0.0,3.0
16638000000,0.0,0.0,3.0
17019000000,0.0,0.0,3.0
17253000000,0.0,0.0,3.0
17590000000,0.0,0.0,3.0
17864000000,0.0,0.0,3.0
18274000000,0.0,0.0,3.0
18600000000,0.0,0.0,3.0
18821000000,0.0,0.0,3.0
19140000000,0.0,0.0,3.0
19369000000,0.0,0.0,3.0
19801000000,0.0,0.0,3.0
20144000000,0.0,0.0,3.0
20475000000,0.0,0.0,3.0
20918000000,0.0,0.0,3.0
21390000000,0.0,0.0,3.0
21676000000,0.0,0.0,3.0
22001000000,0.0,0.0,3.0
22432000000,0.0,0.0,3.0
22803000000,0.0,0.0,3.0
23129000000,0.0,0.0,3.0
23398000000,0.0,0.0,3.0
23788000000,0.0,0.0,3.0
24169000000,0.0,0.0,3.0
24422000000,0.0,0.0,3.0
24799000000,0.0,0.0,3.0
25141000000,0.0,0.0,3.0
25410000000,0.0,0.0,3.0
25759000000,0.0,0.0,3.0
25983000000,0.0,0.0,3.0
26360000000,0.0,0.0,3.0
26714000000,0.0,0.0,3.0
26989000000,0.0,0.0,3.0
27502000000,0.0,0.0,3.0
27862000000,0.0,0.0,3.0
28188000000,0.0,0.0,3.0
28431000000,0.0,0.0,3.0
28800000000,0.0,0.0,3.0
29094000000,0.0,0.0,3.0
29592000000,0.0,0.0,3.0
29897000000,0.0,0.0,3.0
30153000000,0.0,0.0,3.0
30478000000,0.0,0.0,3.0
30853000000,0.0,0.0,3.0
31083000000,0.0,0.0,3.0
31416000000,0.0,0.0,3.0
31670000000,0.0,0.0,3.0
31958000000,0.0,0.0,3.0
