%time,field0,field1,field2,field3,field4,field5,field6,field7
43000000,0.00232368074895,0.0163625852738,0.00818129263691,0.00793016568097,1.53319346374e-27,5.55204786948,-3.73473676615e-20,0.00183995879616
43000000,0.0133498377205,0.0940051072821,0.0470025536411,0.0455597977416,-4.46159866753e-15,31.8972122603,-2.14565317459e-19,0.0105707943539
91000000,0.0173407649467,0.1221078865,0.0610539432499,0.0591798762049,1.90280980193e-17,41.4328677127,-2.78709510457e-19,0.0137309279729
128000000,0.0173407649467,0.1221078865,0.0610539432499,0.0591798762049,9.24478418771e-16,41.4328677127,-2.78709510457e-19,0.0137309279729
162000000,0.017340764944,0.122107886508,0.06105394325,0.0591798761992,7.26674167763e-12,41.4328677126,-2.78709510456e-19,0.0137309279731
202000000,0.0169557169252,0.123368817915,0.0610379118659,0.0604184273969,0.000959934265711,41.421638622,-2.78584265844e-19,0.0137412557492
265000000,0.0129757668165,0.136500439554,0.06087046538,0.0736109783161,0.0116424693419,41.2306172589,-2.77282366419e-19,0.0138557254253
286000000,0.015576626964,0.127920441184,0.0609797010193,0.065006865713,0.00466747499435,41.3550545702,-2.78132866159e-19,0.013790789432
325000000,-0.00223981132421,-0.00107695577337,-0.00294015678537,0.00190899029753,0.00376578601745,-2.01621951419,1.36123497245e-20,-0.000591113195786
362000000,-0.0179481104745,-0.11487451932,-0.0593184451947,-0.0537682098613,0.00297031059068,-40.2715096295,2.70935697215e-19,-0.0132767478359
406000000,-0.0184173574216,-0.11855671657,-0.0610991986145,-0.0556135057457,0.0028785482988,-41.4831195516,2.79062009037e-19,-0.0136759804765
449000000,-0.0185968900256,-0.117968514716,-0.0611068642471,-0.055023269409,0.003324683055,-41.48815289,2.79120432474e-19,-0.0136749794479
480000000,-0.0182714634484,-0.119042070618,-0.0610931679321,-0.0561016282178,0.00245247280944,-41.4726430907,2.79014014806e-19,-0.0136848376201
507000000,-0.0180635627168,-0.119727335654,-0.0610844030719,-0.0567899495548,0.00190043179015,-41.4632680466,2.78946053439e-19,-0.0136915522177
570000000,-0.0180194929524,-0.119872321507,-0.0610825331954,-0.0569357280394,0.00178572867539,-41.461504128,2.78931679795e-19,-0.0136967428376
611000000,-0.0180081954592,-0.119909370689,-0.0610820450865,-0.0569731313558,0.00175722298268,-41.4611248239,2.78928027021e-19,-0.013703863293
643000000,-0.0179932221668,-0.119958662454,-0.0610814055661,-0.0570227955405,0.00171779991517,-41.4604584621,2.78923169959e-19,-0.0137148564983
685000000,-0.0179557272795,-0.12008228061,-0.0610798202682,-0.0571470883649,0.00161779385633,-41.4587010744,2.78910940009e-19,-0.0137300375458
719000000,-0.0179063700608,-0.120245035392,-0.061077737717,-0.0573106544899,0.00148602669402,-41.4563894212,2.78894820324e-19,-0.0137492213349
755000000,-0.0178577806572,-0.120405952018,-0.0610757121196,-0.0574723034241,0.0013504578363,-41.4535443049,2.78878877369e-19,-0.0137748161536
795000000,-0.0176354105602,-0.121139723558,-0.061066373715,-0.0582090877429,0.000753367736549,-41.4429025959,2.78806059254e-19,-0.0138215253005
847000000,-0.0175250622431,-0.121503582853,-0.0610617331403,-0.058574436467,0.000459439122783,-41.4378681817,2.78769932503e-19,-0.0138875238904
879000000,-0.0175033979119,-0.121574927849,-0.0610607626321,-0.0586492800718,0.000403173106037,-41.4370064908,2.7876288711e-19,-0.0139771286306
927000000,-0.0174196424216,-0.121851510045,-0.061057180226,-0.0589314887733,0.000177908290594,-41.4329884907,2.78735434054e-19,-0.0140991221647
963000000,-0.0151101548642,-0.105224669229,-0.0527207825097,-0.0509706123489,0.0321037712909,-35.8151228452,2.39591689273e-19,-0.0124052030627
1007000000,-0.00906007559769,-0.0619390126849,-0.0311272575918,-0.0299976753565,0.056326401572,-21.1914825571,1.40200950861e-19,-0.0077464377745
1045000000,-0.00146143012938,-0.00769347816529,-0.00405004499983,-0.00372557389009,0.0855066894486,-2.85237736797,1.5608018215e-20,-0.00187731957643
1090000000,0.00698074014558,0.051902781969,0.0257792245769,0.0250783825294,0.107133435755,17.363084247,-1.21300720662e-19,0.00460184879729
1118000000,0.0158087462754,0.114859137251,0.0571691866514,0.0556447744887,0.123159243858,38.6456341851,-2.65128735384e-19,0.0114307046917
1167000000,0.0171635147071,0.122686530271,0.0610465942896,0.0597458109435,0.000424019211252,41.4297572815,-2.78651627032e-19,0.0122045612172
1208000000,0.0171436301369,0.122750873967,0.0610457136896,0.0598105599328,0.000466674583446,41.4298475387,-2.78645254669e-19,0.0119896293989
1246000000,0.0171261355117,0.122807488399,0.0610449241941,0.0598684145998,0.000504008117011,41.4299459122,-2.78639653447e-19,0.0117825926811
1275000000,0.0171317590135,0.122789760375,0.0610451607601,0.0598519867312,0.000495756233992,41.4295191533,-2.78641452704e-19,0.0115856178137
1325000000,0.0170658890866,0.123006870972,0.0610423592927,0.0600718165993,0.000669774703123,41.4266757648,-2.7861988001e-19,0.0114037888755
1366000000,0.0170296181517,0.123126276451,0.0610408085465,0.0601931169255,0.000764031659881,41.4252875491,-2.78607987156e-19,0.0112443207146
1426000000,0.0167262085255,0.121201297062,0.0600506352636,0.0592834776905,0.00344914982168,40.7501575239,-2.74175684012e-19,0.0108869095083
1454000000,0.0156759481454,0.113701696781,0.0563232624247,0.055622216835,0.00551517439123,38.2183739339,-2.57233630762e-19,0.00994064507352
1480000000,0.0144818949649,0.105701695376,0.0522608916709,0.051805272963,0.00727292132065,35.4591353675,-2.38740704548e-19,0.00895189193608
1530000000,0.0132684225979,0.0975807775196,0.0481343474649,0.0479341857616,0.00864257809281,32.6564896,-2.19940955233e-19,0.00798424574498
1570000000,0.0123739193882,0.0917427420735,0.0451425543021,0.0451769696457,0.00972866012035,30.6244646812,-2.0631088253e-19,0.00730413019658
1607000000,0.011770468116,0.0877884928944,0.0431190951416,0.0433062842984,0.0105496525884,29.2499124822,-1.97095586205e-19,0.00687486478439
1655000000,0.0114113034673,0.0854635457457,0.0419246584793,0.0422111491899,0.0111336861996,28.4385384922,-1.91658694999e-19,0.00666276028771
1680000000,0.0117844622263,0.0880998384567,0.043229435177,0.043512938106,0.00650986102425,29.32972,-1.97456005235e-19,0.00704827302292
1721000000,0.0127437339019,0.0949162556149,0.0466178125306,0.0468456451827,0.00275742514959,31.6337533752,-2.12793594169e-19,0.0079282580044
1768000000,0.0141886995968,0.105011833663,0.0516707517377,0.0517403408135,-0.000287639812058,35.0666931559,-2.3575727075e-19,0.00921044838332
1802000000,0.0159124373331,0.117016302487,0.0576885464498,0.0575481359249,-0.00274187013483,39.1537110601,-2.63146957496e-19,0.0107342465653
1844000000,0.016865131637,0.123667582715,0.0610337646623,0.060743192737,0.00119002573009,41.4191415862,-2.78554066484e-19,0.0116728444538
1879000000,0.0168774321291,0.123627169997,0.0610342888294,0.0607025662764,0.00115850228841,41.4195858786,-2.78558073496e-19,0.0118807710896
1918000000,0.0168884845381,0.123590834518,0.0610347603053,0.0606659878726,0.00112998203992,41.4200059225,-2.78561673914e-19,0.0121028727967
1972000000,0.0169007461093,0.123549466892,0.0610352493794,0.0606243339444,0.00108936844336,41.421354373,-2.78565768608e-19,0.0123345057088
2006000000,0.0169348824213,0.123437526959,0.0610367315891,0.0605104491953,0.00100410272712,41.4223570335,-2.78576874923e-19,0.0125729572245
2048000000,0.0169497201629,0.123389263153,0.0610374133996,0.0604599883604,0.000970625135737,41.4224531467,-2.78581640979e-19,0.0128129039263
2094000000,0.0169558538489,0.12336921558,0.0610377100607,0.0604380918272,0.000956121663178,41.4225704811,-2.78583599388e-19,0.0130516262316
2128000000,0.0169685393467,0.123327463177,0.0610382693059,0.0603948973101,0.000923262460189,41.4230668485,-2.7858772661e-19,0.0132870813743
2158000000,0.0169854993879,0.123271640892,0.0610389987474,0.0603381074877,0.000879176232607,41.4237334724,-2.78593265773e-19,0.0135167663536
2201000000,0.0170010657199,0.123220363567,0.0610396650909,0.060285990052,0.000838405285819,41.4243689158,-2.78598362561e-19,0.0137378001363
2250000000,0.0170155033005,0.123172910635,0.0610402901841,0.0602375480717,0.000801542872769,41.4248650998,-2.78603077834e-19,0.0139479379049
2284000000,0.0170280057093,0.123131739906,0.0610408357146,0.0601951638481,0.000769006665895,41.4253600462,-2.78607160258e-19,0.0141440976529
2327000000,0.0170400051072,0.123092343235,0.0610413618134,0.0601546441746,0.000738795571022,41.4257322954,-2.78611071063e-19,0.0143250744048
2358000000,0.0170495157983,0.123061036201,0.0610417807886,0.0601221884615,0.000714214819518,41.4260914646,-2.78614174901e-19,0.0144883466509
2399000000,0.0169354164461,0.122146866271,0.0606025034318,0.0596601569316,0.000580230656473,41.1281339971,-2.76606532469e-19,0.0145348197005
2439000000,0.0166813243433,0.120256483772,0.0596736289172,0.0587266719239,0.000467573153268,40.4979676973,-2.7236447877e-19,0.0144511452228
2492000000,0.0166213735885,0.119726222809,0.0594259697802,0.0584515931105,0.000369835641968,40.3300471523,-2.71232832266e-19,0.0145006999629
2527000000,0.0167275143377,0.120373227867,0.0597657091323,0.0587486817225,0.000287292570802,40.5607309249,-2.72783027341e-19,0.0146610872771
2560000000,0.0169245513783,0.121673942197,0.0604301113351,0.0593650636598,0.000219105537049,41.0117545995,-2.75815549503e-19,0.014875222314
2624000000,0.0171062594078,0.122874568376,0.0610442291767,0.0599324288456,0.000569309018191,41.4280603426,-2.78632685624e-19,0.0150570920914
2649000000,0.0171130202293,0.122852290048,0.0610445080337,0.059910398942,0.000551351915816,41.4283628219,-2.78634900941e-19,0.0150825387227
2688000000,0.0171203320302,0.122828332364,0.0610448136855,0.0598867151647,0.000533097192711,41.4285738483,-2.78637285659e-19,0.0150893101872
2729000000,0.0171255347961,0.122811163697,0.0610450281137,0.0598696985138,0.00051907754663,41.4288261264,-2.78638992777e-19,0.0150797593488
2758000000,0.0171319154125,0.122792230913,0.0610453622362,0.0598508096755,0.000519944917793,41.4273591277,-2.78640883851e-19,0.0150542787854
2818000000,0.0171105677465,0.122862535001,0.0610444694664,0.059921139443,0.000575947133919,41.4264876775,-2.78633878905e-19,0.0150130671829
2836000000,0.0171079080303,0.122871147501,0.0610443516326,0.0599298631778,0.000581642175194,41.4265052071,-2.78633020648e-19,0.0149608657189
2879000000,0.0171140719698,0.122849276279,0.061044554989,0.0599081410511,0.000552124412274,41.4280639914,-2.78635200488e-19,0.0148966514943
2919000000,0.0171354458584,0.122778635115,0.06104545737,0.0598363281573,0.000494369097039,41.429084004,-2.7864225374e-19,0.0148207960123
2957000000,0.017141525986,0.122758583205,0.0610457607495,0.0598132086803,0.000479048908999,41.4292600928,-2.78644245539e-19,0.0147317624798
2998000000,0.0171309986945,0.122699883593,0.0610139256559,0.0597837615318,0.000480085828307,41.4074856041,-2.78498249143e-19,0.0146229755327
3039000000,0.0170190215709,0.121924204271,0.0606240436638,0.0594069827862,0.000480846900138,41.1428391302,-2.76717905394e-19,0.0144223262126
3086000000,0.0168195406445,0.12049629338,0.0599139332328,0.0587091806295,0.000473053075229,40.6609838908,-2.73476342601e-19,0.0141411137813
3130000000,0.0165511182846,0.118560633792,0.0589534181582,0.0577627481737,0.000464586094462,40.0088046871,-2.69091988135e-19,0.0137977074698
3195000000,0.0164067010314,0.117283482185,0.0583575463538,0.0571002443386,0.000393931152122,39.605190904,-2.66375466822e-19,0.0135327293921
3217000000,0.016349687167,0.116796677996,0.0581282154571,0.0568509141912,0.000369098413051,39.4500648416,-2.65329952002e-19,0.0133523685853
3248000000,0.0162945958142,0.116407489275,0.0579338992494,0.0566629890656,0.000367442710708,39.3184555444,-2.6444315241e-19,0.0131831632894
3280000000,0.0162345904318,0.115995910396,0.057726378266,0.0564659924178,0.000369961451389,39.1778121662,-2.63495880568e-19,0.0130161633396
3320000000,0.016170814359,0.115571753202,0.0575102921704,0.0562649715953,0.000376358681167,39.0313519357,-2.62509297973e-19,0.0128533004846
3370000000,0.0160534974971,0.114764133046,0.0571035462468,0.0558768346495,0.000381175035981,38.7555534572,-2.6065243955e-19,0.0126557119382
3402000000,0.0158904329022,0.113615773703,0.0565294852457,0.0553203828947,0.00038127858536,38.3662719322,-2.58032044019e-19,0.0124306910289
3440000000,0.0156971377696,0.11224360893,0.055845318402,0.0546536013075,0.000378620792377,37.9023045468,-2.54909177569e-19,0.0121903406128
3479000000,0.0155562914759,0.111231344736,0.0553426450832,0.0541596914596,0.000373839180411,37.5615189549,-2.52614964258e-19,0.0120059340308
3513000000,0.0154643564923,0.110565316146,0.055012153883,0.0538346131525,0.000387050214497,37.3357776834,-2.5110625931e-19,0.0118756693097
3585000000,0.0153369198707,0.109868355114,0.0546307820195,0.0535331636408,0.000443519338815,37.0765753488,-2.49362945222e-19,0.0117504984428
3602000000,0.0152040359162,0.109040840447,0.0541992593088,0.0531540936742,0.000474266769249,36.7836856594,-2.47392072355e-19,0.0116331572935
3656000000,0.0150686592497,0.108107708699,0.0537293786339,0.0527086359718,0.000481358827736,36.4649860563,-2.45247252496e-19,0.0115264173129
3691000000,0.0149288875691,0.107106400182,0.0532314632263,0.052222950921,0.000480287446391,36.1271247851,-2.42974821399e-19,0.0114326776972
3730000000,0.0147834243028,0.106075941924,0.0527178012077,0.0517013314183,0.000481644545091,35.7783492274,-2.40628558827e-19,0.0113489143495
3762000000,0.0146504160065,0.105144131868,0.0522515173769,0.0512522606687,0.000473205391592,35.4632074417,-2.38500539256e-19,0.0112926177717
3800000000,0.0145671462988,0.104389429323,0.0519015426751,0.0508603226926,0.000435529004664,35.2256521699,-2.36905249634e-19,0.0112729204543
3851000000,0.014498883479,0.103861068099,0.0516450139713,0.0505976090677,0.000428793874762,35.0513182529,-2.35734884166e-19,0.0112803128475
3881000000,0.0143712491332,0.102962130801,0.0511955015243,0.0501627422559,0.000432446677092,34.7461322331,-2.33682924048e-19,0.0112481755356
3918000000,0.0141965867189,0.10165611726,0.050554761912,0.0495178638829,0.000419563445225,34.3109564041,-2.30758947177e-19,0.0111771640658
3977000000,0.0139805625443,0.100168485238,0.04980543611,0.0488028019575,0.000430762657506,33.802330224,-2.27337930941e-19,0.0110851916635
4007000000,0.0137271163361,0.0983875724893,0.0489143615143,0.0479405376706,0.000433606588777,33.1976050044,-2.23270247315e-19,0.0109642182827
4036000000,0.0135192388451,0.0969094649016,0.0481776533907,0.0472219838056,0.000431396441872,32.6976837978,-2.19907480814e-19,0.0108806835559
4080000000,0.0133697551938,0.095836760071,0.0476445758162,0.0466989643368,0.000427954391021,32.3359162094,-2.17474334638e-19,0.0108436009319
4113000000,0.0132734161896,0.0951471942439,0.0473016096365,0.0463631224409,0.000426627300651,32.1031517502,-2.1590891583e-19,0.0108477241845
4154000000,0.0131869313934,0.094602038561,0.0470183992492,0.0461099093991,0.000449209993401,31.9103473353,-2.14615094069e-19,0.010862031008
4200000000,0.0131180225361,0.094124709903,0.0467783495527,0.0458801831948,0.000454579596802,31.7471914472,-2.13519126546e-19,0.0108804950162
4240000000,0.0130454756281,0.0936026364079,0.046519071282,0.0456256821752,0.000454350323918,31.5710720695,-2.12335649932e-19,0.0108881680298
4282000000,0.0129701930988,0.0930380312022,0.0462423284603,0.0453467345954,0.000448101402665,31.3831217468,-2.11072761986e-19,0.0108844846093
4325000000,0.0128915794361,0.0924465313104,0.0459526275028,0.0450568247572,0.000440998984213,31.1863855983,-2.09750971152e-19,0.0108704600299
4353000000,0.0127737883949,0.0915839078675,0.0455266524855,0.0446335629867,0.00043513836859,30.8971206216,-2.07806814322e-19,0.0108124912971
4406000000,0.0126184729117,0.0904595420371,0.0449693966312,0.0440838490153,0.000429854923876,30.5187550426,-2.05263324974e-19,0.0107128930987
4438000000,0.0124333549192,0.0891284880192,0.0443082806115,0.0434344824395,0.000425215449202,30.0699103839,-2.02245673124e-19,0.0105762687965
4487000000,0.0122285185205,0.0876587888607,0.0435778139683,0.0427179530261,0.000420393644332,29.5740194514,-1.98911436636e-19,0.0104097789437
4524000000,0.0120067999942,0.0860755681507,0.042790317377,0.041946632323,0.000400450338564,29.0411268793,-1.95317254366e-19,0.0102146214212
4553000000,0.01179847323,0.0844484845644,0.0420029989813,0.0411330710507,0.000357320904567,28.5072779008,-1.91725559089e-19,0.0100029367854
4602000000,0.0115822243829,0.0828716095477,0.0412233112093,0.0403617079762,0.00034526853369,27.9780650547,-1.8816719131e-19,0.00977583630692
4644000000,0.0113811492251,0.0814691858039,0.0405198395437,0.0396856873803,0.000349722851398,27.5006102309,-1.84955789738e-19,0.00954969722172
4694000000,0.0112104237231,0.0802737381896,0.0399209620158,0.0391084075418,0.000352911073046,27.0941291123,-1.82221898125e-19,0.0093323689219
