%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
32000000,1,32000000,,0.000213820003052,0.0171837657715,-0.0463323782648,0.0,0.0,0.0
32000000,2,32000000,,0.0270228054054,0.00365046097216,-0.154964140556,0.0,0.0,0.0
43000000,3,43000000,,0.0320959486722,-0.00143462339606,-0.239712631637,0.0,0.0,0.0
61000000,5,61000000,,0.0203257228207,0.0373551823243,-0.466688384511,0.0,0.0,0.0
72000000,6,72000000,,0.025658552754,-0.0325356086059,-0.520550667963,0.0,0.0,0.0
88000000,7,88000000,,-0.00131243662095,-0.0256603722612,-0.63425564609,0.0,0.0,0.0
91000000,8,91000000,,0.00779836653354,0.0055332684847,-0.697157831745,0.0,0.0,0.0
116000000,10,116000000,,-0.00624732791552,-0.011583570652,-0.900389015266,0.0,0.0,0.0
127000000,11,127000000,,-0.00769798215512,0.00657368233024,-1.01063186709,0.0,0.0,0.0
133000000,12,133000000,,0.0300598188246,-0.0451563242031,-1.11733764225,0.0,0.0,0.0
144000000,13,144000000,,-0.0150777661041,-0.0285098661102,-1.24421781193,0.0,0.0,0.0
155000000,14,155000000,,0.00094235708726,0.0286020744896,-1.30586375791,0.0,0.0,0.0
162000000,15,162000000,,-0.00833799912079,0.00844284041406,-1.43397561149,0.0,0.0,0.0
172000000,16,172000000,,0.025120135148,-0.0409306746764,-0.403940195531,0.0,0.0,0.0
181000000,17,181000000,,0.0227966521591,0.000854963531375,0.00933669012513,0.0,0.0,0.0
191000000,18,191000000,,-0.0143000983222,-0.0310065188474,-0.0319908088379,0.0,0.0,0.0
201000000,19,201000000,,-0.00258104853866,-0.0201293478449,0.0219236372676,0.0,0.0,0.0
221000000,20,221000000,,-0.0157088694782,0.0063550493938,-0.0270269635551,0.0,0.0,0.0
238000000,21,238000000,,-0.00314019835521,0.0207652732712,0.00453586172227,0.0,0.0,0.0
238000000,22,238000000,,-0.0138797637304,-0.0110193570828,-0.0223564250935,0.0,0.0,0.0
258000000,23,258000000,,0.0227065539262,0.00319732320675,0.00207029642275,0.0,0.0,0.0
258000000,24,258000000,,0.00392016990443,0.00366975045491,0.0251477065577,0.0,0.0,0.0
262000000,25,262000000,,0.00075714040596,-0.0157215335472,-0.00858878291448,0.0,0.0,0.0
272000000,26,272000000,,-0.000190277441071,0.0105833155977,0.0147018076015,0.0,0.0,0.0
284000000,27,284000000,,0.00688822165843,0.00525901206733,-0.00698950054641,0.0,0.0,0.0
292000000,28,292000000,,0.0462465017715,-0.0340319791651,-0.0308058536109,0.0,0.0,0.0
301000000,29,301000000,,-0.0068888914113,0.00743216461112,0.02648583243,0.0,0.0,0.0
311000000,30,311000000,,-0.0331166860756,-0.00069752003025,0.00214520884713,0.0,0.0,0.0
322000000,31,322000000,,0.0110507116412,0.000523009823981,0.0257978172873,0.0,0.0,0.0
331000000,32,331000000,,0.0117396068449,0.00409253684507,-0.0210939589767,0.0,0.0,0.0
341000000,33,341000000,,0.0113821829355,-0.00117552854039,0.0444911003454,0.0,0.0,0.0
352000000,34,352000000,,-0.0235968277981,-0.00927763506397,-0.0143998610209,0.0,0.0,0.0
362000000,35,362000000,,-0.000889285607365,0.0199462275156,-0.00701679004295,0.0,0.0,0.0
372000000,36,372000000,,-0.0221471494137,-0.0406037095332,-0.00142541897213,0.0,0.0,0.0
382000000,37,382000000,,-0.0344121453399,-0.0235402129324,0.0010817053018,0.0,0.0,0.0
391000000,38,391000000,,0.00842364259702,-0.0271102709688,-0.0462222065141,0.0,0.0,0.0
402000000,39,402000000,,0.0221946850128,-0.0164413928411,-0.0243857484521,0.0,0.0,0.0
411000000,40,411000000,,-0.00606704045731,-0.0291775913289,0.0144713400937,0.0,0.0,0.0
422000000,41,422000000,,0.00529870482268,0.029831592465,0.0219489047244,0.0,0.0,0.0
431000000,42,431000000,,-0.0186495855025,-0.00768191389092,0.00232526644546,0.0,0.0,0.0
441000000,43,441000000,,0.0268810056527,-0.00177329735822,0.0339172958527,0.0,0.0,0.0
452000000,44,452000000,,-0.0194884739204,-9.66525043518e-05,0.00315297536864,0.0,0.0,0.0
461000000,45,461000000,,-0.0650271318295,0.0209298610298,-0.0207832509541,0.0,0.0,0.0
472000000,46,472000000,,0.00708741717005,0.0304152317121,0.0144868113597,0.0,0.0,0.0
487000000,47,487000000,,0.0688398281896,0.0407600647084,-0.0324915929115,0.0,0.0,0.0
492000000,48,492000000,,-0.0170615438884,0.00263199064659,-0.0390674213226,0.0,0.0,0.0
502000000,49,502000000,,-0.0281090698196,0.00125652124713,0.0127166490265,0.0,0.0,0.0
511000000,50,511000000,,0.00497013648147,0.0121939129051,0.0287107645897,0.0,0.0,0.0
520000000,51,520000000,,-0.0320640421263,-0.0158319794505,0.00364517389281,0.0,0.0,0.0
531000000,52,531000000,,0.00357184199903,0.000254437522298,-0.0104879146217,0.0,0.0,0.0
541000000,53,541000000,,0.0272495222932,-0.0155761102833,0.0590925291887,0.0,0.0,0.0
551000000,54,551000000,,-0.00369114211329,0.00694135151437,0.0417089889239,0.0,0.0,0.0
561000000,55,561000000,,-0.00709489186049,-0.028302254022,0.0557925768573,0.0,0.0,0.0
572000000,56,572000000,,0.0176060387888,0.0106576257215,0.0589213167685,0.0,0.0,0.0
582000000,57,582000000,,-0.0201745353234,0.0165184750565,0.109120117622,0.0,0.0,0.0
592000000,58,592000000,,-0.0262322504081,-0.00255775149477,0.127602298396,0.0,0.0,0.0
601000000,59,601000000,,-0.0163312727433,0.0254250166306,0.148938519759,0.0,0.0,0.0
611000000,60,611000000,,-0.00389719704245,0.00339426730711,0.21537301012,0.0,0.0,0.0
622000000,61,622000000,,0.0278586093236,0.029393798457,0.271290531396,0.0,0.0,0.0
632000000,62,632000000,,0.0104438156904,0.00293503467464,0.29434356617,0.0,0.0,0.0
643000000,63,643000000,,0.00731136108001,-0.024864380199,0.344159523684,0.0,0.0,0.0
659000000,64,659000000,,-0.00600557809773,0.0150222311627,0.381402179126,0.0,0.0,0.0
664000000,65,664000000,,-0.0106127632237,-0.0342164226211,0.424225780427,0.0,0.0,0.0
672000000,66,672000000,,0.00135941861952,0.0186678522193,0.506316150823,0.0,0.0,0.0
681000000,67,681000000,,0.00413501287333,0.00878653396443,0.566893191608,0.0,0.0,0.0
692000000,68,692000000,,-0.0485187519478,0.0186073442985,0.577954951759,0.0,0.0,0.0
702000000,69,702000000,,0.0246799456569,0.00868732512019,0.611145187346,0.0,0.0,0.0
711000000,70,711000000,,-0.012959295064,-0.022139108395,0.665548220994,0.0,0.0,0.0
721000000,71,721000000,,0.00225670469333,-0.0131107638662,0.759294964819,0.0,0.0,0.0
731000000,72,731000000,,-0.0275670831032,-0.0367599700673,0.792733849345,0.0,0.0,0.0
742000000,73,742000000,,-0.00720454403501,0.0129931481922,0.878994959705,0.0,0.0,0.0
751000000,74,751000000,,0.0053332531374,-0.037344427042,0.917001141623,0.0,0.0,0.0
762000000,75,762000000,,0.00314335277474,-0.018456991608,0.989159225186,0.0,0.0,0.0
771000000,76,771000000,,0.0367852170361,0.00822600906727,1.02785234347,0.0,0.0,0.0
781000000,77,781000000,,0.0148059650039,0.0156378230926,1.12390391024,0.0,0.0,0.0
791000000,78,791000000,,-0.0151824822519,0.00147834970119,1.13823011552,0.0,0.0,0.0
801000000,79,801000000,,0.00109091933346,0.022115670465,1.21130636026,0.0,0.0,0.0
811000000,80,811000000,,0.000336716422317,-0.00215575260712,1.25521263072,0.0,0.0,0.0
821000000,81,821000000,,-4.81593382666e-05,0.0121156027355,1.30120814822,0.0,0.0,0.0
831000000,82,831000000,,-0.024092151742,-0.00340610307668,1.34571252222,0.0,0.0,0.0
841000000,83,841000000,,0.0110933764255,-0.00626374290605,1.40368117069,0.0,0.0,0.0
852000000,84,852000000,,0.015531541689,-0.0352851653898,1.41787998601,0.0,0.0,0.0
861000000,85,861000000,,-0.00124035690894,-0.000298786084892,1.5115897188,0.0,0.0,0.0
871000000,86,871000000,,0.0242021862624,0.0100893104493,1.51449391321,0.0,0.0,0.0
881000000,87,881000000,,-0.00878933561309,-0.000124140759268,1.51983000788,0.0,0.0,0.0
891000000,88,891000000,,0.000663785217063,-0.0111190648871,1.57493291193,0.0,0.0,0.0
901000000,89,901000000,,-0.029741682869,0.00984676540377,1.58301573577,0.0,0.0,0.0
911000000,90,911000000,,0.0224849817011,-0.0186727119634,1.63463342451,0.0,0.0,0.0
921000000,91,921000000,,-0.0119767244967,0.0204082597196,1.68984802823,0.0,0.0,0.0
931000000,92,931000000,,0.00518142586109,-0.00513587833465,1.66624973189,0.0,0.0,0.0
941000000,93,941000000,,-0.0267959227741,0.0136910454092,1.675885449,0.0,0.0,0.0
951000000,94,951000000,,-0.00549431180014,-0.00771284275916,1.70744347758,0.0,0.0,0.0
961000000,95,961000000,,-0.00101652966749,-0.0291054481686,1.71560083455,0.0,0.0,0.0
971000000,96,971000000,,0.0134507645127,0.0354008565854,1.70892120044,0.0,0.0,0.0
982000000,97,982000000,,-0.0169091758918,-0.00777957179846,1.68704099689,0.0,0.0,0.0
991000000,98,991000000,,-0.00371754360833,0.00592336346241,1.70473088058,0.0,0.0,0.0
