%time,field.header.seq,field.header.stamp,field.header.frame_id,field.roll,field.pitch,field.jaw,field.roll_dot,field.pitch_dot,field.jaw_dot
320000000,7,320000000,,-7.795014767e-08,-2.47974003287e-06,1.25239112094e-05,-6.94837217452e-05,-0.00253606261685,-1.36730513987e-05
360000000,8,360000000,,1.52400673414e-06,-1.99490114028e-06,9.20019465411e-06,0.00163693691138,-0.00220009498298,-0.000108504711534
400000000,9,400000000,,-9.97539828518e-08,1.26424851032e-07,6.18962985754e-06,8.03992261655e-10,-1.05286090957e-09,-5.18878898181e-11
440000000,10,440000000,,3.11410586207e-09,1.5666994102e-07,5.57085650144e-06,1.46780558628e-12,-1.24566829074e-10,1.74664883251e-12
480000000,11,480000000,,-1.13709930361e-07,-7.26854523236e-07,5.57465955353e-06,-2.8631032007e-12,-1.12548069822e-11,2.20948950867e-13
520000000,12,520000000,,-5.00982741869e-06,-2.42707101279e-05,5.87906970395e-06,-9.56988377432e-11,-4.43758724211e-10,5.4962362786e-12
560000000,13,560000000,,-1.48398967212e-05,-7.05613783794e-05,6.50348829367e-06,-1.76137396335e-10,-7.97614307935e-10,1.18643064123e-11
600000000,14,600000000,,-2.60718807112e-05,-0.00012488719949,7.37053323974e-06,-1.81944709299e-10,-9.90822202063e-10,1.74209500992e-11
640000000,15,640000000,,-3.63090075552e-05,-0.000178793663508,8.45718204801e-06,-1.51914994473e-10,-8.86618944929e-10,1.98814107538e-11
680000000,16,680000000,,-4.4859782065e-05,-0.000228533404879,9.70181281446e-06,-1.09323335107e-10,-6.65510757614e-10,1.97230894811e-11
720000000,17,720000000,,-5.05738789798e-05,-0.000270798918791,1.11040790216e-05,-6.53873483136e-11,-5.25975707433e-10,1.94130388848e-11
763000000,18,763000000,,-5.46597075299e-05,-0.000301174179185,1.23917716337e-05,-5.32343856496e-11,-3.7667888253e-10,1.75633379368e-11
800000000,19,800000000,,-6.07139118074e-05,-0.000338896614267,1.44462073877e-05,-3.602108542e-11,-2.05054584423e-10,1.40140260507e-11
840000000,20,840000000,,-6.42426166451e-05,-0.000360479869414,1.61822172231e-05,-1.78517600008e-11,-1.10740493164e-10,1.07906652363e-11
880000000,21,880000000,,-6.73583344906e-05,-0.000375124509446,1.80799142981e-05,-1.08485000497e-11,-4.03138876448e-11,6.83575114915e-12
920000000,22,920000000,,-7.01691242284e-05,-0.00038274153485,1.99417845579e-05,-5.02617001838e-12,-7.26504576984e-12,3.29628598722e-12
961000000,23,961000000,,-7.2908718721e-05,-0.00038328053779,2.19449939323e-05,-3.16344628444e-12,3.27724587919e-12,2.44107728822e-12
1000000000,24,1000000000,,-7.54740613047e-05,-0.000377610762371,2.38849825109e-05,-7.75314708268e-12,2.78540246423e-11,6.06432005307e-12
1040000000,25,1040000000,,-7.76702581788e-05,-0.000364838866517,2.59030821326e-05,-9.46925871048e-12,8.32135749196e-11,1.04332350051e-11
1082000000,26,1082000000,,-7.93907020125e-05,-0.000346104003256,2.78918396361e-05,-1.23859256185e-11,1.53854123885e-10,1.42529356373e-11
1123000000,27,1123000000,,-8.09309567558e-05,-0.000317184691085,3.01552936435e-05,-7.96647990631e-12,2.91436652589e-10,1.97388199535e-11
1160000000,28,1160000000,,-8.13798833406e-05,-0.00029157177778,3.17596313835e-05,-4.03888381073e-12,3.90121213112e-10,2.2927187926e-11
1200000000,29,1200000000,,-8.09901612229e-05,-0.000243813294219,3.42041239492e-05,1.69262069638e-11,6.61696142323e-10,3.00382704821e-11
1251000000,30,1251000000,,-7.84701260272e-05,-0.000180552087841,3.68151995644e-05,4.90173041046e-11,9.59067936179e-10,3.62523656927e-11
1282000000,31,1282000000,,-7.58581081755e-05,-0.000137285693199,3.83339684049e-05,8.90846008073e-11,1.27437049802e-09,4.19036923216e-11
1323000000,32,1323000000,,-7.05482379999e-05,-7.05003476469e-05,4.04293168685e-05,1.35258942935e-10,1.5442657153e-09,4.61444424338e-11
1367000000,33,1367000000,,-5.96730897087e-05,-4.93543484481e-06,4.23702877015e-05,4.18419937587e-10,1.54567325605e-09,4.69815505943e-11
1400000000,34,1400000000,,-2.81740340142e-05,6.22807419859e-05,4.46349476988e-05,8.34968261199e-10,1.27726806909e-09,4.61813087771e-11
1440000000,35,1440000000,,1.44978521348e-05,0.000119911383081,4.66987585241e-05,1.14169884657e-09,1.39981715108e-09,5.02257090085e-11
1480000000,36,1480000000,,6.67467611493e-05,0.000181230614544,4.88628174935e-05,0.00131077936385,0.0015527093783,5.27472911926e-05
1520000000,37,1520000000,,0.000124612211948,0.000249787117355,5.09860510647e-05,0.00154851935804,0.00177318707574,5.32388003194e-05
1562000000,38,1562000000,,0.000190996914171,0.000328316178638,5.32805170224e-05,0.00149017223157,0.00182663334999,5.33527199877e-05
1600000000,39,1600000000,,0.000243944814429,0.000392244022805,5.52461715415e-05,0.00135976495221,0.00161762721837,5.29474491486e-05
1640000000,40,1640000000,,0.000292258802801,0.00045264326036,5.73535071453e-05,9.19261999854e-10,1.18610554711e-09,4.53609858009e-11
1681000000,41,1681000000,,0.000323709042277,0.000493353640195,5.92654614593e-05,3.64261204533e-10,4.80083361953e-10,2.80838217265e-11
1722000000,42,1722000000,,0.000345963431755,0.000525451963767,6.14496384514e-05,1.5486899263e-10,2.42900199954e-10,1.91926457366e-11
1760000000,43,1760000000,,0.000359622528777,0.000548721291125,6.35108081042e-05,7.14144021696e-11,1.37022476698e-10,1.39336207503e-11
1800000000,44,1800000000,,0.00036677767639,0.000567089824472,6.551068509e-05,2.2938862615e-11,8.32901594916e-11,1.04058758138e-11
1840000000,45,1840000000,,0.000367924192687,0.000580159306992,6.74984039506e-05,-6.63967839043e-12,3.59948112982e-11,6.76971282851e-12
1880000000,46,1880000000,,0.000363160652341,0.000587841554079,6.94283444318e-05,-2.25863928255e-11,1.16176044479e-11,5.64489687632e-12
1920000000,47,1920000000,,0.000350989110302,0.00058834644733,7.14425841579e-05,-7.8737891207e-11,-1.8864102988e-11,9.89307507443e-12
