%time,field.x,field.y,field.z
0,0.0,0.0,0.0
9000000,0.0,0.0,0.0
301000000,0.0,0.0,0.0
500000000,0.0,0.0,0.0
920000000,0.0,0.0,0.0
1194000000,0.0,0.0,0.0
1451000000,0.0,0.0,0.0
1867000000,0.0,0.0,0.0
2184000000,0.0,0.0,0.0
2506000000,0.0,0.0,0.0
2905000000,0.0,0.0,0.0
3235000000,0.0,0.0,0.0
3600000000,0.0,0.0,0.0
3956000000,0.0,0.0,0.0
4376000000,0.0,0.0,0.0
4681000000,0.0,0.0,0.0
4999000000,0.0,0.0,0.0
5310000000,0.0,0.0,0.0
5640000000,0.0,0.0,0.0
5872000000,0.0,0.0,0.0
6208000000,0.0,0.0,0.0
6545000000,0.0,0.0,0.0
6823000000,0.0,0.0,0.0
7090000000,0.0,0.0,0.0
7561000000,0.15,0.0,0.0
7840000000,0.15,0.0,0.0
8177000000,0.15,0.0,0.0
8603000000,0.15,0.0,0.0
8837000000,0.15,0.0,0.0
9266000000,0.0,0.0,0.0
9535000000,0.0,0.0,0.0
9802000000,0.0,0.0,0.0
10186000000,0.0,0.0,0.0
10437000000,-0.15,0.0,0.0
10883000000,-0.15,0.0,0.0
11161000000,-0.15,0.0,0.0
11516000000,-0.15,0.0,0.0
11854000000,0.0,0.0,0.0
12185000000,0.0,0.0,0.0
12526000000,0.0,0.0,0.0
12842000000,0.0,0.0,0.0
13261000000,0.0,0.0,0.0
13534000000,0.0,0.0,0.0
13949000000,0.0,0.0,0.0
14199000000,0.0,0.0,0.0
14560000000,0.0,0.0,0.0
14913000000,0.0,0.0,0.0
15294000000,0.0,0.0,0.0
15657000000,0.0,0.0,0.0
15950000000,0.0,0.0,0.0
16247000000,0.0,0.0,0.0
16509000000,0.0,0.0,0.0
16899000000,0.0,0.0,0.0
17238000000,0.0,0.0,0.0
17578000000,0.0,0.0,0.0
17889000000,0.0,0.0,0.0
18243000000,0.0,0.0,0.0
18451000000,0.0,0.0,0.0
18844000000,0.0,0.0,0.0
19201000000,0.0,0.0,0.0
19485000000,0.0,0.0,0.0
19734000000,0.0,0.0,0.0
19996000000,0.0,0.0,0.0
20443000000,0.0,0.0,0.0
20722000000,0.0,0.0,0.0
21080000000,0.0,0.0,0.0
21422000000,0.0,0.0,0.0
21715000000,0.0,0.0,0.0
22041000000,0.0,0.0,0.0
22352000000,0.0,0.0,0.0
22730000000,0.0,0.15,0.0
23041000000,0.0,0.15,0.0
23355000000,0.0,0.15,0.0
23702000000,0.0,0.15,0.0
24081000000,0.0,0.15,0.0
24341000000,0.0,0.0,0.0
24673000000,0.0,0.0,0.0
24969000000,0.0,0.0,0.0
25272000000,0.0,0.0,0.0
25582000000,0.0,-0.15,0.0
25871000000,0.0,-0.15,0.0
26142000000,0.0,-0.15,0.0
26484000000,0.0,-0.15,0.0
26784000000,0.0,-0.15,0.0
27169000000,0.0,0.0,0.0
27480000000,0.0,0.0,0.0
27809000000,0.0,0.0,0.0
28123000000,0.0,0.0,0.0
28482000000,0.0,0.0,0.0
28770000000,0.0,0.0,0.0
