%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
286000000,7,286000000,,4.6306032709e-05,-9.06802788541e-05,-4.63060327251e-05,9.06802788379e-05
322000000,8,322000000,,0.000100504203241,-8.58288392658e-05,-0.000100504203258,8.5828839249e-05
366000000,9,366000000,,0.000114202482078,-6.01080517521e-05,-0.000114202482095,6.01080517351e-05
410000000,10,410000000,,8.62921815267e-05,-6.95645966807e-05,-8.62921815439e-05,6.95645966635e-05
449000000,11,449000000,,7.15897780786e-05,-6.92643854593e-05,-7.15897780959e-05,6.9264385442e-05
488000000,12,488000000,,8.9040111783e-05,-6.4323357107e-05,-8.90401118002e-05,6.43233570898e-05
534000000,13,534000000,,8.95754436992e-05,-5.81386178721e-05,-8.95754437161e-05,5.81386178551e-05
583000000,14,583000000,,8.52328680774e-05,-5.24510865406e-05,-8.52328680939e-05,5.2451086524e-05
622000000,15,622000000,,8.09851613249e-05,-4.78886226213e-05,-8.09851613409e-05,4.78886226053e-05
672000000,16,672000000,,7.82300550632e-05,-4.44266720123e-05,-7.82300550785e-05,4.4426671997e-05
689000000,17,689000000,,7.59147437438e-05,-4.08069567252e-05,-7.59147437584e-05,4.08069567105e-05
721000000,18,721000000,,7.65997252131e-05,-3.94195006539e-05,-7.6599725227e-05,3.94195006399e-05
765000000,19,765000000,,7.77026069581e-05,-3.81806527268e-05,-7.77026069714e-05,3.81806527134e-05
815000000,20,815000000,,7.81816285667e-05,-3.60778413608e-05,-7.81816285795e-05,3.6077841348e-05
847000000,21,847000000,,7.9831245806e-05,-3.52032965359e-05,-7.98312458184e-05,3.52032965235e-05
906000000,22,906000000,,8.16885594059e-05,-3.44865673838e-05,-8.1688559418e-05,3.44865673716e-05
925000000,23,925000000,,8.38723675823e-05,-3.40020476434e-05,-8.38723675943e-05,3.40020476313e-05
994000000,24,994000000,,8.6136526657e-05,-3.37452335234e-05,-8.6136526669e-05,3.37452335114e-05
1012000000,25,1012000000,,8.82447079796e-05,-3.34616276617e-05,-8.82447079917e-05,3.34616276495e-05
1060000000,26,1060000000,,9.0541781925e-05,-3.37410395886e-05,-9.05417819373e-05,3.37410395762e-05
1102000000,27,1102000000,,9.25659167017e-05,-3.40686017827e-05,-9.25659167142e-05,3.406860177e-05
1143000000,28,1143000000,,9.36709954807e-05,-3.42927030261e-05,-9.36709954936e-05,3.42927030131e-05
1164000000,29,1164000000,,9.49768535383e-05,-3.47596438192e-05,-9.49768535515e-05,3.4759643806e-05
1208000000,30,1208000000,,9.53641232909e-05,-3.52699685483e-05,-9.53641233042e-05,3.52699685349e-05
1262000000,31,1262000000,,9.4621499542e-05,-3.57963102996e-05,-9.46214995554e-05,3.57963102862e-05
1298000000,32,1298000000,,9.37226823155e-05,-3.62354956033e-05,-9.37226823289e-05,3.62354955898e-05
1333000000,33,1333000000,,9.17784982729e-05,-3.66190445392e-05,-9.17784982864e-05,3.66190445256e-05
1376000000,34,1376000000,,0.000103015228737,-2.29220253899e-05,-0.000103015228751,2.29220253762e-05
1405000000,35,1405000000,,0.000102804986967,-1.88886575611e-05,-0.000102804986981,1.88886575474e-05
1451000000,36,1451000000,,9.86819837486e-05,-1.75309801244e-05,-9.86819837622e-05,1.75309801108e-05
1494000000,37,1494000000,,7.24660963823e-05,1.61027665097e-06,-7.24660963958e-05,-1.61027666457e-06
1533000000,38,1533000000,,5.52287051426e-05,1.41559035758e-05,-5.52287051561e-05,-1.41559035894e-05
1581000000,39,1581000000,,4.29557914296e-05,2.10446084937e-05,-4.29557914431e-05,-2.10446085073e-05
1607000000,40,1607000000,,3.5431688939e-05,2.54250473905e-05,-3.54316889526e-05,-2.54250474042e-05
1654000000,41,1654000000,,4.79346496843e-05,1.28709823025e-05,-4.79346496981e-05,-1.28709823163e-05
1692000000,42,1692000000,,4.66836629944e-05,1.18463482117e-05,-4.66836630083e-05,-1.18463482256e-05
1725000000,43,1725000000,,4.03981471467e-05,1.48279593691e-05,-4.03981471608e-05,-1.48279593833e-05
1765000000,44,1765000000,,3.17872447122e-05,1.72052222664e-05,-3.17872447265e-05,-1.72052222808e-05
1821000000,45,1821000000,,2.42642454047e-05,2.02594868481e-05,-2.42642454192e-05,-2.02594868627e-05
1846000000,46,1846000000,,1.73516268703e-05,2.33251237336e-05,-1.7351626885e-05,-2.33251237483e-05
1885000000,47,1885000000,,1.0827377284e-05,2.62239086492e-05,-1.08273772989e-05,-2.62239086642e-05
1934000000,48,1934000000,,4.5119077186e-06,2.88711747745e-05,-4.51190773366e-06,-2.88711747896e-05
1976000000,49,1976000000,,-1.51333315556e-06,3.11808248499e-05,1.51333314031e-06,-3.11808248653e-05
