%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
440000000,3,440000000,,641.104975057,641.125509926,641.104802473,641.125649055
520000000,4,520000000,,650.938773023,650.938557209,650.938594943,650.938685855
640000000,5,640000000,,575.83886461,575.838673275,575.83870264,575.838769052
720000000,6,720000000,,438.683100897,438.68292171,438.682949067,438.683003324
800000000,7,800000000,,316.172277902,316.172099553,316.172122497,316.172175914
920000000,8,920000000,,312.9023805,312.902201854,312.902217123,312.902270828
1040000000,9,1040000000,,357.625690971,357.625506798,357.625514482,357.625573721
1123000000,10,1123000000,,490.902429064,490.902239967,490.902243932,490.902308104
1251000000,11,1251000000,,413.579813457,413.579620364,413.579622728,413.579690904
1323000000,12,1323000000,,470.421343579,470.421151164,470.421156134,470.421223635
1440000000,13,1440000000,,424.346173345,424.345989191,424.345967735,424.346026969
1520000000,14,1520000000,,379.755761442,379.779916418,379.75561651,379.779913197
1640000000,15,1640000000,,341.707150276,341.714961233,341.707079412,341.714910383
1722000000,16,1722000000,,450.939702471,450.92382685,450.939609104,450.923803158
1800000000,17,1800000000,,385.975731549,385.975760406,385.975667974,385.975725995
1920000000,18,1920000000,,424.944238401,424.944297238,424.944216746,424.944244791
2040000000,19,2040000000,,435.284905615,435.284989282,435.284919853,435.284923084
2120000000,20,2120000000,,427.06182057,427.061915377,427.061853243,427.061845342
2240000000,21,2240000000,,413.885934531,413.907371952,413.885910174,413.90738398
2320000000,22,2320000000,,411.138624343,411.145724653,411.138569557,411.14577855
2440000000,23,2440000000,,421.961287333,421.968073628,421.961208546,421.968158325
2520000000,24,2520000000,,426.03086752,426.017103668,426.030837992,426.017162068
2600000000,25,2600000000,,419.40421423,419.404339589,419.404175077,419.404418738
2720000000,26,2720000000,,433.840096816,433.8401954,433.84003242,433.840302859
2800000000,27,2800000000,,427.733453191,427.733532709,427.733367726,427.733657235
2920000000,28,2920000000,,431.056770802,431.056824558,431.056650249,431.056965526
3040000000,29,3040000000,,427.381518209,427.397286367,427.381373163,427.397365022
3127000000,30,3127000000,,434.803247711,434.808568982,434.8031056,434.808576888
3240000000,31,3240000000,,400.803770903,400.808732635,400.803642452,400.808693746
3320000000,32,3320000000,,436.299444707,436.289582389,436.29928742,436.289567574
3441000000,33,3441000000,,428.940630282,428.940852557,428.940463321,428.940816189
3521000000,34,3521000000,,430.814976313,430.815214894,430.814820445,430.815157016
3647000000,35,3647000000,,428.475127948,428.48965697,428.475097325,428.489618919
3722000000,36,3722000000,,432.694482158,432.69904267,432.694474829,432.69901934
3841000000,37,3841000000,,428.980059247,428.970329138,428.980049877,428.970283048
3920000000,38,3920000000,,431.142615705,431.143009974,431.142616524,431.142927201
4041000000,39,4041000000,,422.407202615,422.419798688,422.407179004,422.419843858
4120000000,40,4120000000,,445.069893445,445.074298817,445.06984917,445.074393893
4200000000,41,4200000000,,424.801486831,424.793568743,424.801431053,424.793685401
4320000000,42,4320000000,,423.89672211,423.897066648,423.896714991,423.897184761
4440000000,43,4440000000,,432.564684403,432.565001941,432.564661213,432.565157992
4522000000,44,4522000000,,440.137740113,440.138038577,440.1376989,440.138214754
4643000000,45,4643000000,,437.105508647,437.113199155,437.105349955,437.113303114
4720000000,46,4720000000,,428.972092274,428.973879958,428.971918339,428.973953453
4840000000,47,4840000000,,432.138694929,432.140393,432.138526009,432.140431711
4921000000,48,4921000000,,429.423415486,429.42554855,429.423260002,429.425569617
5000000000,49,5000000000,,427.403844947,427.406115214,427.403707568,427.406122545
5120000000,50,5120000000,,437.98482406,437.981518125,437.984657553,437.981529027
5240000000,51,5240000000,,428.293353993,428.293745745,428.293178627,428.29373661
5320000000,52,5320000000,,439.175331126,439.180808559,439.175226179,439.180795273
5440000000,53,5440000000,,424.763683839,424.765856808,424.763661899,424.765855953
5520000000,54,5520000000,,428.08850195,428.085641752,428.088458558,428.085616469
5640000000,55,5640000000,,433.734611303,433.735118119,433.734593548,433.735080803
5720000000,56,5720000000,,437.462721079,437.4632359,437.46272615,437.463205404
5840000000,57,5840000000,,435.330036749,435.33465014,435.330023458,435.334749798
5920000000,58,5920000000,,423.871420241,423.873117129,423.871397673,423.873242638
6000000000,59,6000000000,,422.29036501,422.288119767,422.290376355,422.288224517
6121000000,60,6121000000,,431.050808775,431.051271738,431.050831424,431.051399208
6240000000,61,6240000000,,449.526896103,449.534096185,449.526805772,449.534154568
6320000000,62,6320000000,,441.025966272,441.031894904,441.025831449,441.031910281
6400000000,63,6400000000,,436.481578587,436.487189813,436.481431099,436.487180721
6520000000,64,6520000000,,416.045804747,416.038479266,416.045662513,416.03850051
6600000000,65,6600000000,,424.210829106,424.21131751,424.210673106,424.211341786
6720000000,66,6720000000,,432.011153157,432.011647504,432.010980651,432.011643394
6840000000,67,6840000000,,444.982227559,444.99778981,444.982107208,444.997726502
6920000000,68,6920000000,,429.699675942,429.706455035,429.699615062,429.706353074
7044000000,69,7044000000,,436.129891169,436.120141141,436.129808984,436.12001679
7120000000,70,7120000000,,436.745721395,436.746397953,436.74563509,436.746253729
7243000000,71,7243000000,,432.844042475,432.861340288,432.844019827,432.861286691
7320000000,72,7320000000,,430.215116057,430.221269792,430.215107944,430.221269627
7416000000,73,7416000000,,423.89843125,423.904100163,423.898420958,423.90413657
7520000000,74,7520000000,,428.346949193,428.35304578,428.346919856,428.353117168
7640000000,75,7640000000,,425.398675503,425.388473739,425.398682746,425.389238794
7720000000,76,7720000000,,440.793905462,440.793167581,440.79385425,440.796172555
7840000000,77,7840000000,,442.028248012,442.04673857,442.028163391,442.052779835
7920000000,78,7920000000,,436.389064437,436.384682244,436.388971861,436.391630529
8048000000,79,8048000000,,427.757711154,427.755463488,427.757615959,427.761852476
8121000000,80,8121000000,,431.687767936,431.691713303,431.687674663,431.695920288
8240000000,81,8240000000,,419.197408483,419.210395909,419.197316966,419.210906418
8320000000,82,8320000000,,428.003216652,428.029351144,428.003136511,428.026664566
8400000000,83,8400000000,,436.099946363,436.130710638,436.099878346,436.124689704
8520000000,84,8520000000,,436.765401088,436.790121681,436.765341628,436.778879119
8640000000,85,8640000000,,428.047951475,428.074188023,428.047898244,428.057804201
8720000000,86,8720000000,,439.265589126,439.289949728,439.265540734,439.270320457
8840000000,87,8840000000,,436.878008528,436.901049982,436.877969713,436.876954502
8928000000,88,8928000000,,434.560746489,434.580532259,434.560715349,434.5537839
9001000000,89,9001000000,,439.316783232,439.340171814,439.316760898,439.311110146
9126000000,90,9126000000,,431.644511016,431.667199454,431.644503072,431.634994771
9244000000,91,9244000000,,440.300511567,440.318234827,440.300519081,440.28309896
9320000000,92,9320000000,,441.01502372,441.035543678,441.0150424,440.997955356
9444000000,93,9444000000,,433.693844374,433.708314837,433.693880649,433.664316226
9521000000,94,9521000000,,424.843140103,424.86210726,424.843188246,424.814206469
9640000000,95,9640000000,,436.638039724,436.668964314,436.6381046,436.617250335
9720000000,96,9720000000,,422.909721815,422.940098061,422.909797185,422.886836676
9802000000,97,9802000000,,428.865007837,428.902219462,428.865093363,428.848492343
9920000000,98,9920000000,,437.323386672,437.356030495,437.323486076,437.302881463
10040000000,99,10040000000,,442.94148041,442.97880423,442.941591909,442.926809261
10120000000,100,10120000000,,437.244365459,437.278767626,437.244484695,437.227894128
10242000000,101,10242000000,,426.687418705,426.724624519,426.687546948,426.675272586
10320000000,102,10320000000,,433.110342547,433.150731133,433.110469345,433.102295756
10440000000,103,10440000000,,419.68123337,419.71843335,419.681359522,419.671099141
10522000000,104,10522000000,,433.350240071,433.381725297,433.350369541,433.333091441
10600000000,105,10600000000,,420.971357903,420.990299408,420.971500615,420.939381191
10720000000,106,10720000000,,435.637470292,435.67817741,435.637599403,435.624823006
10842000000,107,10842000000,,446.186251119,446.230679941,446.186378499,446.176779586
10920000000,108,10920000000,,441.444227625,441.48769187,441.444357913,441.434530093
11040000000,109,11040000000,,443.537184586,443.581258792,443.537319807,443.530735437
11120000000,110,11120000000,,416.716755967,416.759657543,416.716889704,416.711782091
11240000000,111,11240000000,,426.735096892,426.775099628,426.735227805,426.731717353
11321000000,112,11321000000,,433.308882915,433.345605724,433.309014127,433.305598967
11400000000,113,11400000000,,432.156813217,432.187198466,432.156944805,432.150635421
11520000000,114,11520000000,,438.144139247,438.174232459,438.144270308,438.142784496
11641000000,115,11641000000,,451.572003877,451.600505183,451.572132649,451.573869291
11720000000,116,11720000000,,435.586156142,435.614408421,435.586282109,435.590780564
11841000000,117,11841000000,,429.22666064,429.256681648,429.226780733,429.237191823
11920000000,118,11920000000,,427.20756746,427.233780054,427.207683379,427.217302641
12040000000,119,12040000000,,439.02855255,439.060745354,439.028658054,439.051194591
12124000000,120,12124000000,,446.027825508,446.04963134,446.027923737,446.044100083
12201000000,121,12201000000,,441.415463242,441.433473334,441.415553135,441.431124971
12320000000,122,12320000000,,427.710151243,427.723103441,427.710230587,427.722897358
12446000000,123,12446000000,,423.274422259,423.28412886,423.274491238,423.283574322
12520000000,124,12520000000,,434.48588401,434.496698224,434.485946381,434.495633852
12640000000,125,12640000000,,434.423726965,434.435219331,434.423780867,434.43276276
12720000000,126,12720000000,,429.749825029,429.763111918,429.749873772,429.759384981
12842000000,127,12842000000,,443.677175819,443.692486751,443.677218257,443.687262678
12920000000,128,12920000000,,424.601538085,424.619508745,424.601577987,424.613397194
13040000000,129,13040000000,,433.063468896,433.081346654,433.063505808,433.074216618
13129000000,130,13129000000,,429.531409173,429.549596902,429.531444895,429.54200783
13242000000,131,13242000000,,431.67689186,431.694612735,431.676927954,431.68705963
13320000000,132,13320000000,,435.651051877,435.667689214,435.651089458,435.660490652
13400000000,133,13400000000,,443.235634255,443.250256376,443.235673804,443.243537485
13520000000,134,13520000000,,432.639374087,432.652403812,432.639416787,432.646298205
13600000000,135,13600000000,,423.178613197,423.190697382,423.178658141,423.185171631
13722000000,136,13722000000,,426.897480907,426.90878709,426.897529528,426.904060396
13842000000,137,13842000000,,424.676459288,424.68765626,424.676511711,424.683731036
13920000000,138,13920000000,,443.400151491,443.411190917,443.400205971,443.407641998
14000000000,139,14000000000,,436.258527139,436.269521022,436.258583067,436.266245403
14120000000,140,14120000000,,428.139703473,428.150725167,428.139761072,428.147661343
14240000000,141,14240000000,,437.923506173,437.934323876,437.923564211,437.93120328
14320000000,142,14320000000,,426.027408205,426.037861519,426.027466098,426.034613861
14440000000,143,14440000000,,434.660365977,434.670740203,434.660423089,434.667190995
14520000000,144,14520000000,,434.772133014,434.782279156,434.772189253,434.778407833
14640000000,145,14640000000,,438.361121865,438.371022626,438.361176912,438.366788645
14720000000,146,14720000000,,436.126964465,436.137148127,436.12701812,436.132715062
14801000000,147,14801000000,,423.469951505,423.479920764,423.47000402,423.475323596
14923000000,148,14923000000,,419.664731138,419.674914651,419.664795893,419.670161237
15040000000,149,15040000000,,438.438310601,438.447639261,438.438377427,438.442815113
15120000000,150,15120000000,,433.608402622,433.616893732,433.608466621,433.612069092
15212000000,151,15212000000,,435.167550988,435.176187747,435.167614352,435.171371249
15335000000,152,15335000000,,432.954243166,432.96259465,432.954303918,432.957875965
15422000000,153,15422000000,,432.199412368,432.207712569,432.199470665,432.203193257
15521000000,154,15521000000,,439.31215403,439.320197133,439.312209962,439.315857851
15642000000,155,15642000000,,427.046982371,427.054575547,427.04703715,427.050323936
15723000000,156,15723000000,,443.359907358,443.367481141,443.359961974,443.363281872
15840000000,157,15840000000,,419.560492809,419.567860071,419.560546971,419.563695404
15923000000,158,15923000000,,423.844233168,423.851447097,423.84428707,423.847311887
16040000000,159,16040000000,,420.915670837,420.921566518,420.915723498,420.917452318
16122000000,160,16122000000,,443.128932521,443.136813101,443.128985852,443.132707524
16200000000,161,16200000000,,433.212250937,433.220929465,433.212291497,433.216780194
16320000000,162,16320000000,,429.962212884,429.970928553,429.962238019,429.966720448
16440000000,163,16440000000,,424.911435193,424.919680363,424.911460255,424.915410482
16524000000,164,16524000000,,445.061273331,445.069521284,445.061301493,445.065214798
16601000000,165,16601000000,,434.487240048,434.495466852,434.487271833,434.491128354
16720000000,166,16720000000,,433.033920296,433.042000918,433.033956916,433.037628232
16840000000,167,16840000000,,432.058304226,432.063301687,432.05833861,432.05894847
16920000000,168,16920000000,,429.480659592,429.487794746,429.480693358,429.483422172
17040000000,169,17040000000,,416.66943772,416.676601548,416.669475002,416.672175144
17120000000,170,17120000000,,440.332713432,440.339895067,440.332754417,440.335436753
17243000000,171,17243000000,,437.943448807,437.952432667,437.943509086,437.9480384
17320000000,172,17320000000,,442.504900249,442.512329385,442.504966871,442.507980037
17441000000,173,17441000000,,428.902691529,428.909945277,428.902758114,428.905630435
17521000000,174,17521000000,,426.267315994,426.27445403,426.267380157,426.270154678
17600000000,175,17600000000,,433.166093385,433.172735579,433.1661632,433.168397093
17720000000,176,17720000000,,426.542213935,426.549358357,426.542287362,426.545029986
17812000000,177,17812000000,,422.996647839,423.003777911,422.996719688,422.999476662
17920000000,178,17920000000,,435.576240674,435.583342833,435.57630483,435.579089717
18040000000,179,18040000000,,439.312800379,439.319866573,439.312837806,439.31565866
18120000000,180,18120000000,,434.482604261,434.489649282,434.482628825,434.485470852
18240000000,181,18240000000,,430.42490133,430.431918415,430.424901235,430.427771198
18320000000,182,18320000000,,436.698796931,436.707718721,436.698757389,436.703474601
18401000000,183,18401000000,,420.022049537,420.028934469,420.02200414,420.02463775
18520000000,184,18520000000,,445.041543514,445.048408686,445.041511426,445.04406784
18640000000,185,18640000000,,421.347322736,421.35413832,421.347285789,421.349746816
18722000000,186,18722000000,,440.046932725,440.054027408,440.046864428,440.049680197
18840000000,187,18840000000,,423.372009831,423.37912015,423.371946547,423.374738326
18920000000,188,18920000000,,435.046903991,435.054032993,435.046852143,435.049625236
19004000000,189,19004000000,,427.357016613,427.358978351,427.357034451,427.354575122
19120000000,190,19120000000,,426.691751412,426.696182585,426.691854746,426.691814355
19200000000,191,19200000000,,439.565134466,439.569649682,439.565253352,439.565295266
19321000000,192,19321000000,,430.774135255,430.778815497,430.774244587,430.774488481
19450000000,193,19450000000,,437.839918891,437.844471325,437.840014212,437.840162073
19520000000,194,19520000000,,420.670866685,420.682723155,420.671007671,420.678378723
19640000000,195,19640000000,,438.839987544,438.839280241,438.840081413,438.834976743
19720000000,196,19720000000,,435.52300685,435.528003492,435.523045009,435.523727884
19840000000,197,19840000000,,434.410903316,434.422582805,434.410959419,434.418318575
19922000000,198,19922000000,,427.484607859,427.491606549,427.484662913,427.487356226
20040000000,199,20040000000,,437.423537864,437.430514763,437.423562986,437.426278084
20120000000,200,20120000000,,438.19765989,438.195369236,438.197663426,438.191132306
20240000000,201,20240000000,,428.353760479,428.357605023,428.353722891,428.353231952
20322000000,202,20322000000,,422.960792087,422.964373223,422.960756077,422.95997738
20440000000,203,20440000000,,428.547180086,428.560300154,428.547107579,428.555946558
20520000000,204,20520000000,,436.699893268,436.706829061,436.699815826,436.702447166
20640000000,205,20640000000,,435.029978776,435.026921337,435.029971378,435.022519365
20722000000,206,20722000000,,429.87387487,429.877227608,429.873936026,429.872835386
20840000000,207,20840000000,,436.941322526,436.944587539,436.941409686,436.940208036
20920000000,208,20920000000,,432.26196276,432.275945706,432.262020553,432.271523497
21040000000,209,21040000000,,427.865192672,427.872158807,427.86527973,427.86774363
21122000000,210,21122000000,,444.229852519,444.226697631,444.229940735,444.222384213
21240000000,211,21240000000,,424.947318142,424.950355842,424.947400673,424.946100811
21321000000,212,21321000000,,420.135546894,420.149638116,420.135667095,420.145348607
21442000000,213,21442000000,,430.097971842,430.104827003,430.098096287,430.100576166
21520000000,214,21520000000,,438.189830033,438.185928233,438.189947161,438.181700535
21640000000,215,21640000000,,428.062025407,428.06552921,428.062016209,428.061279147
21722000000,216,21722000000,,444.725990099,444.728401737,444.725959947,444.724132808
21840000000,217,21840000000,,434.289848888,434.292087094,434.289818425,434.287788312
21920000000,218,21920000000,,419.879131188,419.881632741,419.879108941,419.877315355
22040000000,219,22040000000,,433.07615512,433.090942693,433.07610667,433.086660999
22120000000,220,22120000000,,430.790642109,430.784941758,430.79058683,430.780645415
22240000000,221,22240000000,,437.869137874,437.871833588,437.869167328,437.867437591
22321000000,222,22321000000,,429.417190188,429.432187731,429.41718979,429.427795252
22440000000,223,22440000000,,436.396446424,436.403145747,436.396450218,436.398722365
22520000000,224,22520000000,,430.144916545,430.151635406,430.144937667,430.147190266
22640000000,225,22640000000,,434.173461675,434.167208131,434.173544058,434.162790741
22720000000,226,22720000000,,434.706947334,434.709269723,434.707068676,434.704906231
22841000000,227,22841000000,,428.748988684,428.756108648,428.747134048,428.751790794
22920000000,228,22920000000,,426.400143346,426.419788448,426.396082673,426.415483223
23001000000,229,23001000000,,432.577591976,432.567675868,432.571728391,432.563376722
23120000000,230,23120000000,,441.348672172,441.325081503,441.341575244,441.320784289
23240000000,231,23240000000,,430.321437894,430.286643717,430.315152101,430.282342976
23321000000,232,23321000000,,419.463686922,419.435630745,419.458746446,419.431326209
23400000000,233,23400000000,,437.897962675,437.877357905,437.895293495,437.87304471
23520000000,234,23520000000,,434.663127147,434.650144751,434.664082342,434.645825799
23640000000,235,23640000000,,433.453154353,433.452381356,433.45805968,433.44805914
23720000000,236,23720000000,,440.082656552,440.085599949,440.09061638,440.081275393
23840000000,237,23840000000,,424.720718365,424.726646801,424.733527663,424.722321326
23922000000,238,23922000000,,442.574009821,442.579709714,442.590000606,442.575385998
24057000000,239,24057000000,,436.509869271,436.516347586,436.530629324,436.512031116
24122000000,240,24122000000,,430.439554397,430.450686198,430.463313032,430.446377501
24240000000,241,24240000000,,429.515275038,429.526897022,429.543398511,429.522601515
24320000000,242,24320000000,,435.474524537,435.49120075,435.505482699,435.486908021
24400000000,243,24400000000,,426.466945209,426.482018714,426.501311443,426.477744301
24520000000,244,24520000000,,452.487112886,452.504079087,452.528765348,452.499818572
24640000000,245,24640000000,,438.820035031,438.853062303,438.86773856,438.848817323
24720000000,246,24720000000,,437.291955523,437.344466337,437.342512675,437.340232764
24802000000,247,24802000000,,427.202040812,427.264755932,427.254587777,427.260533509
24922000000,248,24922000000,,428.98705324,429.055437237,429.040808612,429.051260165
25040000000,249,25040000000,,417.106804746,417.182317527,417.160531931,417.178166739
25121000000,250,25121000000,,444.807170223,444.874564084,444.86039309,444.870418048
25200000000,251,25200000000,,430.644163061,430.689920024,430.696843822,430.685778795
25320000000,252,25320000000,,431.579406807,431.624711268,431.630957939,431.620573746
25440000000,253,25440000000,,435.543864067,435.577593503,435.593863258,435.573455181
25520000000,254,25520000000,,425.814016161,425.844045634,425.863053555,425.839905661
25640000000,255,25640000000,,432.406148667,432.434943484,432.45442399,432.430801482
25720000000,256,25720000000,,429.929675306,429.942142933,429.979328017,429.93799989
25841000000,257,25841000000,,440.669274806,440.69953289,440.720825465,440.695389389
25920000000,258,25920000000,,439.845592667,439.882107676,439.897528309,439.877964231
26001000000,259,26001000000,,440.418172546,440.460768238,440.469843908,440.456624624
26122000000,260,26122000000,,420.249576563,420.290488463,420.299625305,420.286344359
26240000000,261,26240000000,,436.456005866,436.496931016,436.503167497,436.492784759
26320000000,262,26320000000,,432.599707263,432.637438069,432.644493268,432.633290202
26406000000,263,26406000000,,433.385755893,433.422148303,433.42811067,433.417999352
26520000000,264,26520000000,,439.942378201,439.978790608,439.980526579,439.974638576
26641000000,265,26641000000,,431.225301692,431.255845162,431.259069286,431.251689102
26720000000,266,26720000000,,430.589344184,430.620322988,430.620149129,430.616163293
26843000000,267,26843000000,,431.23290058,431.259338113,431.259290731,431.255175197
26920000000,268,26920000000,,442.966277687,442.990575565,442.989663911,442.98640861
27000000000,269,27000000000,,433.756966682,433.779791607,433.777400805,433.77561933
27121000000,270,27121000000,,443.280403261,443.301179215,443.296546587,443.296997378
27240000000,271,27240000000,,438.26937472,438.287777031,438.280693656,438.283583942
27320000000,272,27320000000,,439.69920012,439.720141869,439.705415208,439.715939815
27440000000,273,27440000000,,423.520165051,423.538148606,423.51961869,423.533933271
27520000000,274,27520000000,,437.065280295,437.074906705,437.061410626,437.070682284
27640000000,275,27640000000,,430.511608894,430.519066291,430.504305981,430.514828247
27720000000,276,27720000000,,429.833914196,429.841456799,429.825434148,429.83721092
27840000000,277,27840000000,,420.131867387,420.136501333,420.122606254,420.13224603
27920000000,278,27920000000,,447.856571832,447.861783773,447.847780569,447.857522736
28000000000,279,28000000000,,430.020661952,430.023417204,430.012099129,430.019150921
28121000000,280,28121000000,,425.037571106,425.039091971,425.029980388,425.034819861
28200000000,281,28200000000,,432.435840556,432.439101585,432.428954208,432.434832599
28321000000,282,28321000000,,438.539754971,438.540741862,438.534213797,438.53647605
28440000000,283,28440000000,,430.201805673,430.204029929,430.197522628,430.199760889
28522000000,284,28522000000,,421.289340693,421.294499541,421.285866385,421.290227839
28600000000,285,28600000000,,431.878904253,431.886530769,431.87611947,431.882256354
28720000000,286,28720000000,,435.573606155,435.582754843,435.571629138,435.578474994
28840000000,287,28840000000,,441.963688473,441.974058128,441.962272181,441.969777579
28920000000,288,28920000000,,429.651947826,429.662137506,429.650711507,429.657856056
29000000000,289,29000000000,,420.160395086,420.171176612,420.159161989,420.166893998
