%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
500000000,5,500000000,,650.938683983,650.938621532,650.938683983,650.938621532
602000000,6,602000000,,575.838783625,575.838721164,575.838783625,575.838721164
700000000,7,700000000,,438.683024982,438.682962517,438.683024982,438.682962517
800000000,8,800000000,,316.172200199,316.172137733,316.172200199,316.172137733
900000000,9,900000000,,312.902298812,312.902236341,312.902298812,312.902236341
1000000000,10,1000000000,,357.625602726,357.62554026,357.625602726,357.62554026
1102000000,11,1102000000,,490.902336498,490.902274035,490.902336498,490.902274035
1200000000,12,1200000000,,413.579718092,413.579655634,413.579718092,413.579655634
1300000000,13,1300000000,,470.421249856,470.421187399,470.421249856,470.421187399
1401000000,14,1401000000,,424.34607054,424.34600808,424.34607054,424.34600808
1500000000,15,1500000000,,379.755688976,379.779914808,379.755688976,379.779914808
1600000000,16,1600000000,,341.707114844,341.714935808,341.707114844,341.714935808
1700000000,17,1700000000,,450.939655788,450.923815004,450.939655788,450.923815004
1800000000,18,1800000000,,385.975699762,385.975743201,385.975699762,385.975743201
1900000000,19,1900000000,,424.944227574,424.944271014,424.944227574,424.944271014
2000000000,20,2000000000,,435.284912734,435.284956183,435.284912734,435.284956183
2100000000,21,2100000000,,427.061836906,427.06188036,427.061836906,427.06188036
2200000000,22,2200000000,,413.885922352,413.907377966,413.885922352,413.907377966
2300000000,23,2300000000,,411.13859695,411.145751601,411.13859695,411.145751601
2400000000,24,2400000000,,421.96124794,421.968115977,421.96124794,421.968115977
2500000000,25,2500000000,,426.030852756,426.017132868,426.030852756,426.017132868
2600000000,26,2600000000,,419.404194653,419.404379164,419.404194653,419.404379164
2700000000,27,2700000000,,433.840064618,433.84024913,433.840064618,433.84024913
2800000000,28,2800000000,,427.733410458,427.733594972,427.733410458,427.733594972
2900000000,29,2900000000,,431.056710526,431.056895042,431.056710526,431.056895042
3000000000,30,3000000000,,427.381445686,427.397325695,427.381445686,427.397325695
3104000000,31,3104000000,,434.803176655,434.808572935,434.803176655,434.808572935
3200000000,32,3200000000,,400.803706677,400.808713191,400.803706677,400.808713191
3300000000,33,3300000000,,436.299366063,436.289574982,436.299366063,436.289574982
3403000000,34,3403000000,,428.940546802,428.940834373,428.940546802,428.940834373
3500000000,35,3500000000,,430.814898379,430.815185955,430.814898379,430.815185955
3600000000,36,3600000000,,428.475112637,428.489637945,428.475112637,428.489637945
3710000000,37,3710000000,,432.694478493,432.699031005,432.694478493,432.699031005
3800000000,38,3800000000,,428.980054562,428.970306093,428.980054562,428.970306093
3900000000,39,3900000000,,431.142616115,431.142968587,431.142616115,431.142968587
4000000000,40,4000000000,,422.40719081,422.419821273,422.40719081,422.419821273
4101000000,41,4101000000,,445.069871308,445.074346355,445.069871308,445.074346355
4200000000,42,4200000000,,424.801458942,424.793627072,424.801458942,424.793627072
4300000000,43,4300000000,,423.896718551,423.897125705,423.896718551,423.897125705
4402000000,44,4402000000,,432.564672808,432.565079967,432.564672808,432.565079967
4500000000,45,4500000000,,440.137719506,440.138126665,440.137719506,440.138126665
4600000000,46,4600000000,,437.105429301,437.113251135,437.105429301,437.113251135
4700000000,47,4700000000,,428.972005307,428.973916705,428.972005307,428.973916705
4800000000,48,4800000000,,432.138610469,432.140412355,432.138610469,432.140412355
4901000000,49,4901000000,,429.423337744,429.425559083,429.423337744,429.425559083
5000000000,50,5000000000,,427.403776258,427.406118879,427.403776258,427.406118879
5100000000,51,5100000000,,437.984740806,437.981523576,437.984740806,437.981523576
5201000000,52,5201000000,,428.29326631,428.293741178,428.29326631,428.293741178
5300000000,53,5300000000,,439.175278653,439.180801916,439.175278653,439.180801916
5400000000,54,5400000000,,424.763672869,424.765856381,424.763672869,424.765856381
5500000000,55,5500000000,,428.088480254,428.085629111,428.088480254,428.085629111
5600000000,56,5600000000,,433.734602426,433.735099461,433.734602426,433.735099461
5701000000,57,5701000000,,437.462723615,437.463220652,437.462723615,437.463220652
5803000000,58,5803000000,,435.330030103,435.334699969,435.330030103,435.334699969
5900000000,59,5900000000,,423.871408957,423.873179883,423.871408957,423.873179883
6000000000,60,6000000000,,422.290370682,422.288172142,422.290370682,422.288172142
6100000000,61,6100000000,,431.0508201,431.051335473,431.0508201,431.051335473
6200000000,62,6200000000,,449.526850937,449.534125377,449.526850937,449.534125377
6300000000,63,6300000000,,441.02589886,441.031902593,441.02589886,441.031902593
6400000000,64,6400000000,,436.481504843,436.487185267,436.481504843,436.487185267
6500000000,65,6500000000,,416.04573363,416.038489888,416.04573363,416.038489888
6600000000,66,6600000000,,424.210751106,424.211329648,424.210751106,424.211329648
6700000000,67,6700000000,,432.011066904,432.011645449,432.011066904,432.011645449
6800000000,68,6800000000,,444.982167383,444.997758156,444.982167383,444.997758156
6900000000,69,6900000000,,429.699645502,429.706404054,429.699645502,429.706404054
7003000000,70,7003000000,,436.129850077,436.120078966,436.129850077,436.120078966
7102000000,71,7102000000,,436.745678242,436.746325841,436.745678242,436.746325841
7200000000,72,7200000000,,432.844031151,432.86131349,432.844031151,432.86131349
7301000000,73,7301000000,,430.215112,430.22126971,430.215112,430.22126971
