%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1000000,0,1000000,world,0.0,0.0,0.74,0.0,0.0,0.0,1.0
11000000,1,11000000,world,-1.07738277069e-27,-1.09807001825e-27,0.739461,-5.3725141903e-27,4.12735521657e-27,1.15199516752e-27,1.0
21000000,2,21000000,world,1.63692024856e-24,1.51811157212e-24,0.737942,1.20292517363e-23,-1.19965837191e-23,-1.854574052e-24,1.0
31000000,3,31000000,world,-4.38394968409e-25,-6.00545634499e-25,0.735443,7.22102059036e-24,-1.67577970031e-23,7.60542676413e-25,1.0
41000000,4,41000000,world,-1.4288227372e-24,-1.79321964477e-24,0.731964,3.00119168489e-24,-2.37804484207e-23,1.87282292978e-24,1.0
51000000,5,51000000,world,-2.69206115799e-25,-7.55861801429e-25,0.727505,1.38393085235e-24,-2.25640175756e-23,9.00100114244e-26,1.0
61000000,6,61000000,world,-1.88471317411e-19,1.88448383756e-19,0.722066,-2.09958931179e-20,-2.00843404629e-20,-9.62249321172e-25,1.0
71000000,7,71000000,world,-1.05980923488e-18,1.0599478525e-18,0.715647,-1.98907702171e-19,-1.48988467839e-19,1.27556907241e-24,1.0
81000000,8,81000000,world,-1.81398562235e-18,1.81629988656e-18,0.708248,-3.20423425611e-19,-2.19866303477e-19,-2.28393126253e-24,1.0
91000000,9,91000000,world,-2.63727186469e-18,2.62906569292e-18,0.699869,-3.39349471991e-19,-2.11892373367e-19,-1.75245539326e-24,1.0
101000000,10,101000000,world,-3.62626334304e-18,3.55127298739e-18,0.69051,-2.70304196479e-19,-1.20244428974e-19,-4.42573631082e-24,1.0
111000000,11,111000000,world,-4.65281071031e-18,4.50732514976e-18,0.680171,-1.37700868953e-19,1.25467075799e-20,-3.18524849153e-24,1.0
121000000,12,121000000,world,-5.70921758422e-18,5.48980714892e-18,0.668852,-6.10063819368e-20,7.95107980144e-20,-3.40192002499e-24,1.0
131000000,13,131000000,world,1.95455416143e-10,-2.04850412469e-10,0.656553040022,-9.31607656291e-09,-8.88790617071e-09,-1.20079730219e-14,1.0
141000000,14,141000000,world,2.43295392075e-09,-2.55005973488e-09,0.643275149633,-1.15276477854e-07,-1.09980501425e-07,-3.9377377308e-14,1.0
151000000,15,151000000,world,9.22106855387e-09,-9.66414502201e-09,0.629021839783,-4.34490115325e-07,-4.14571604722e-07,-6.31840931855e-15,1.0
161000000,16,161000000,world,-1.72958770991e-06,-6.27867177438e-07,0.624997255886,6.43081826556e-07,-2.16764477512e-06,2.53020148931e-07,0.999999999997
171000000,17,171000000,world,4.37690378186e-06,-3.3599748832e-06,0.624996293284,2.30028484164e-06,3.0346441994e-06,1.02630462831e-06,0.999999999992
181000000,18,181000000,world,-3.69238189157e-06,1.32387726412e-06,0.62499628569,-2.32863846527e-06,-3.11720188014e-06,2.47553237682e-06,0.999999999989
191000000,19,191000000,world,1.32940840633e-07,-1.54747974904e-06,0.624999984387,-1.89590844616e-09,2.1681401147e-08,2.7202783396e-06,0.999999999996
201000000,20,201000000,world,1.38341867545e-06,-1.28661804867e-06,0.625000713683,-1.62363816853e-08,9.43351298755e-07,3.0113343433e-06,0.999999999995
211000000,21,211000000,world,-1.13310340905e-07,-1.70401447397e-06,0.625000150434,2.41104200277e-07,-1.73937541538e-07,3.52908746914e-06,0.999999999994
221000000,22,221000000,world,6.18598005916e-07,-1.18285846393e-06,0.625000179794,-3.21350077798e-07,-1.16741500224e-07,3.15162821047e-06,0.999999999995
231000000,23,231000000,world,5.59856391632e-07,-2.986196115e-06,0.625000835379,1.1504748383e-06,-3.37293147367e-08,3.18447078998e-06,0.999999999994
241000000,24,241000000,world,5.84056809936e-07,-2.87837537817e-07,0.625000721497,-1.02655232023e-06,5.14834615988e-08,3.09916065287e-06,0.999999999995
251000000,25,251000000,world,6.50719540204e-07,-1.11384128219e-06,0.625000000164,-2.86909892375e-08,-1.30844998988e-08,2.73740504774e-06,0.999999999996
261000000,26,261000000,world,9.62786130212e-07,-2.13527418565e-06,0.625000209643,5.87992646498e-08,4.51606575417e-07,3.53225824755e-06,0.999999999994
271000000,27,271000000,world,1.63222307625e-07,-1.9784660139e-06,0.625000130512,-7.34561472504e-08,-1.48692337826e-07,4.4908623888e-06,0.99999999999
281000000,28,281000000,world,5.06296944493e-07,-2.83582570394e-06,0.625000145121,4.61663232616e-08,2.26881929115e-07,5.36765915242e-06,0.999999999986
291000000,29,291000000,world,-1.17945357812e-06,-5.2892649895e-06,0.624994931587,-9.46615298716e-07,-2.13747397815e-06,6.5235572984e-06,0.999999999976
301000000,30,301000000,world,2.60736024168e-06,-6.59917964546e-06,0.624998791379,5.14554156131e-07,1.85796183599e-06,6.23028680672e-06,0.999999999979
311000000,31,311000000,world,-1.04169720101e-06,-3.87913305983e-06,0.624998186213,-1.5340276842e-06,-1.2181362324e-06,6.33595167839e-06,0.999999999978
321000000,32,321000000,world,2.12744519268e-06,-5.33379486378e-06,0.62499870667,-3.51697532039e-07,1.31639307384e-06,6.19850100758e-06,0.99999999998
331000000,33,331000000,world,8.73048288498e-07,-5.98824841093e-06,0.625000193534,-5.7741773184e-08,2.28566409661e-07,6.02745695361e-06,0.999999999982
341000000,34,341000000,world,3.2329096288e-07,-6.09376808422e-06,0.625000068882,1.03842880301e-08,-1.205712588e-07,5.52040813166e-06,0.999999999985
351000000,35,351000000,world,6.59064667515e-07,-5.86901299177e-06,0.625000079947,-2.31448907755e-08,1.09837435699e-07,4.93486116745e-06,0.999999999988
361000000,36,361000000,world,4.14934386796e-07,-6.06438703819e-06,0.625000048593,1.87146492163e-08,-7.99570855484e-08,4.43790341528e-06,0.99999999999
371000000,37,371000000,world,7.86981176735e-07,-6.4285036087e-06,0.625000090319,-9.818487211e-09,1.32665778956e-07,4.05111668075e-06,0.999999999992
381000000,38,381000000,world,5.54674144678e-07,-6.57277639038e-06,0.625000037394,-5.8078938155e-11,-6.41039043225e-08,3.65802813635e-06,0.999999999993
391000000,39,391000000,world,7.60160203393e-07,-6.37616355051e-06,0.625000050599,-1.89059483559e-08,7.36944144234e-08,3.28566785205e-06,0.999999999995
401000000,40,401000000,world,5.80741198241e-07,-6.48708879138e-06,0.625000036464,1.99826296572e-08,-6.1954391416e-08,2.95420283766e-06,0.999999999996
411000000,41,411000000,world,7.48905959239e-07,-6.32670646596e-06,0.625000035354,-7.00117474315e-09,5.46508380203e-08,2.64841575622e-06,0.999999999996
421000000,42,421000000,world,4.85734669215e-07,-6.46781682979e-06,0.625000136243,-1.00266135769e-09,-1.84389826996e-07,2.76901524298e-06,0.999999999996
431000000,43,431000000,world,8.44024963875e-07,-6.48436215965e-06,0.625000069728,-1.07832902819e-09,1.0117993195e-07,2.78861411647e-06,0.999999999996
441000000,44,441000000,world,5.71452882664e-07,-6.49765335403e-06,0.625000081913,-2.09981771007e-09,-1.15236087228e-07,2.77766778012e-06,0.999999999996
451000000,45,451000000,world,1.20212046669e-06,-6.51537505702e-06,0.625000298618,-2.72070534881e-09,3.87169777106e-07,2.79048774928e-06,0.999999999996
461000000,46,461000000,world,8.61905181005e-07,-6.51638937505e-06,0.624999896714,-2.95410278082e-09,1.18530686777e-07,2.78333036331e-06,0.999999999996
471000000,47,471000000,world,7.25827304401e-07,-6.47446646805e-06,0.624999996141,-2.03449141383e-09,3.27495727516e-09,2.7801086969e-06,0.999999999996
481000000,48,481000000,world,3.8365698641e-08,-6.04341511572e-06,0.625005703627,-1.05355318314e-07,-5.37386690153e-07,2.7904489503e-06,0.999999999996
491000000,49,491000000,world,-1.76931284786e-06,-4.41950711232e-06,0.625046929206,-5.63319387074e-07,-1.88224750202e-06,2.81244125584e-06,0.999999999994
501000000,50,501000000,world,-1.25883488121e-05,-4.55245714169e-06,0.625160355406,-1.02270697162e-06,-4.84888570024e-06,2.84961713334e-06,0.999999999984
511000000,51,511000000,world,-2.40877468784e-05,-3.57535871117e-06,0.625381922025,-1.75609961605e-06,-8.60353865244e-06,2.89592884695e-06,0.999999999957
521000000,52,521000000,world,-3.61732206466e-05,-1.5937123477e-06,0.625746723652,-2.71222542182e-06,-1.30865428005e-05,2.95131352417e-06,0.999999999906
531000000,53,531000000,world,-4.87628244162e-05,1.28740860506e-06,0.626289234884,-3.85710319575e-06,-1.82022871716e-05,3.01563435921e-06,0.999999999822
