%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
1840000000,17,1840000000,,410.862531318,410.862514439,410.862477906,410.863240195
1921000000,18,1921000000,,422.054625607,422.054561278,422.054587322,422.055397099
2042000000,19,2042000000,,416.304486171,416.329347404,416.304429929,416.329930089
2120000000,20,2120000000,,457.450539926,457.459014684,457.450478993,457.459502684
2201000000,21,2201000000,,415.798050208,415.781549311,415.797984575,415.781949827
2320000000,22,2320000000,,418.308643134,418.308922179,418.308578657,418.309267419
2402000000,23,2402000000,,414.646506526,414.646834353,414.64643434,414.647074328
2521000000,24,2521000000,,425.013088512,425.013493633,425.013000064,425.013562769
2640000000,25,2640000000,,412.64207191,412.642537214,412.641965672,412.642468208
2720000000,26,2720000000,,422.528304074,422.552148664,422.528186263,422.552025771
2840000000,27,2840000000,,433.802259644,433.81017543,433.802146268,433.810348612
2923000000,28,2923000000,,425.559861561,425.544866255,425.559734226,425.544947382
3040000000,29,3040000000,,431.087709755,431.088113938,431.087585489,431.08835729
3120000000,30,3120000000,,442.519945653,442.520311537,442.519825771,442.520635881
3240000000,31,3240000000,,426.464188972,426.464507474,426.464071565,426.464929076
3320000000,32,3320000000,,419.527872857,419.528175958,419.527766038,419.528638958
3440000000,33,3440000000,,424.788135594,424.80954111,424.78804282,424.809725086
3523000000,34,3523000000,,424.443830931,424.430573586,424.443741551,424.430664643
3642000000,35,3642000000,,434.490292083,434.49086589,434.490217141,434.490912237
3723000000,36,3723000000,,431.719858711,431.720476629,431.719787041,431.720438052
3840000000,37,3840000000,,436.279130947,436.27980651,436.279057949,436.27965133
3920000000,38,3920000000,,426.419000646,426.43840971,426.41891966,426.438208832
4040000000,39,4040000000,,443.40039524,443.407046442,443.400275682,443.407205698
4120000000,40,4120000000,,423.48757801,423.475415855,423.487455441,423.475445042
4221000000,41,4221000000,,433.620724314,433.621292402,433.620588632,433.621461166
4322000000,42,4322000000,,418.323403125,418.323900028,418.323263818,418.324207541
4403000000,43,4403000000,,450.377019884,450.377472544,450.376881966,450.377869942
4520000000,44,4520000000,,424.51219336,424.51260962,424.512076483,424.513100868
4640000000,45,4640000000,,425.591394462,425.608748114,425.591353045,425.608987992
4720000000,46,4720000000,,436.75594399,436.762010615,436.755917288,436.76215989
4842000000,47,4842000000,,422.082019106,422.071744127,422.082030104,422.071872306
4920000000,48,4920000000,,441.563633509,441.564421176,441.563657108,441.564458596
5040000000,49,5040000000,,435.678500746,435.679346574,435.67851602,435.679259354
5120000000,50,5120000000,,427.481726495,427.482587434,427.481714075,427.482442303
5240000000,51,5240000000,,431.320572116,431.335901861,431.320403206,431.335981932
5320000000,52,5320000000,,415.03805311,415.029020188,415.037853974,415.029166859
5440000000,53,5440000000,,440.920459169,440.921069516,440.920184518,440.921227246
5520000000,54,5520000000,,435.797776952,435.79835703,435.797505653,435.79857867
5601000000,55,5601000000,,442.609162091,442.620624927,442.608892268,442.620917952
5720000000,56,5720000000,,435.158486593,435.160760967,435.158561327,435.161024737
5803000000,57,5803000000,,421.759139003,421.753935175,421.759028136,421.754353777
5921000000,58,5921000000,,431.42995251,431.430706086,431.430078761,431.431064612
6001000000,59,6001000000,,433.800383126,433.806783698,433.800462696,433.806777225
6121000000,60,6121000000,,434.133637421,434.130922443,434.133834215,434.130964219
6240000000,61,6240000000,,437.971078789,437.972114257,437.971270777,437.971999476
6320000000,62,6320000000,,429.744136479,429.748980096,429.744188615,429.748940226
6440000000,63,6440000000,,422.439173273,422.441274348,422.439111091,422.441335935
6521000000,64,6521000000,,435.854969208,435.853287569,435.854923375,435.853194712
6600000000,65,6600000000,,435.615779474,435.616547533,435.6156079,435.616638732
6720000000,66,6720000000,,436.423126056,436.423845861,436.422913412,436.423992497
6840000000,67,6840000000,,427.2663491,427.266991476,427.26612506,427.267281575
6920000000,68,6920000000,,424.0288838,424.029490619,424.028679108,424.029871179
7044000000,69,7044000000,,436.043841671,436.046856424,436.043870088,436.047238895
7121000000,70,7121000000,,432.284011115,432.284752373,432.284157719,432.285043386
7240000000,71,7240000000,,431.632805851,431.634117654,431.632963382,431.634299622
7320000000,72,7320000000,,444.448795451,444.448822883,444.448973648,444.448960137
7442000000,73,7442000000,,428.72186191,428.722900083,428.722194266,428.722977605
7520000000,74,7520000000,,422.853382061,422.85532023,422.853536769,422.8553728
7641000000,75,7641000000,,425.6827943,425.684241082,425.682791478,425.684278292
7720000000,76,7720000000,,441.462308103,441.462467366,441.462331244,441.462430723
7840000000,77,7840000000,,418.000178929,418.001059813,418.000071617,418.001021459
7920000000,78,7920000000,,436.367332248,436.36816934,436.367158702,436.368152335
8040000000,79,8040000000,,436.238308764,436.239070698,436.238069923,436.239138713
8122000000,80,8122000000,,428.52106434,428.521435052,428.520959531,428.521677662
8200000000,81,8200000000,,441.872791797,441.873768388,441.872782947,441.874128925
8320000000,82,8320000000,,423.316123241,423.316784422,423.316085257,423.317253155
8402000000,83,8402000000,,421.728390111,421.726949506,421.728414082,421.727480954
8520000000,84,8520000000,,428.06210919,428.063800774,428.063736354,428.064016817
8641000000,85,8641000000,,433.544260548,433.549555909,433.551428092,433.549658685
8720000000,86,8720000000,,436.487246094,436.512767664,436.496074552,436.512828837
8800000000,87,8800000000,,436.79636657,436.781348408,436.804584989,436.781375615
8920000000,88,8920000000,,432.589701289,432.581035383,432.593227742,432.581031604
9000000000,89,9000000000,,439.065108826,439.06274345,439.062469783,439.062732312
9120000000,90,9120000000,,428.262097,428.256014697,428.247775089,428.255994668
9201000000,91,9201000000,,426.590387093,426.579982307,426.565988136,426.579963947
9320000000,92,9320000000,,430.717800345,430.69751984,430.67603828,430.697497521
9440000000,93,9440000000,,432.52202073,432.491724671,432.459939131,432.49169768
9520000000,94,9520000000,,436.113449971,436.074256321,436.037142244,436.074225205
9640000000,95,9640000000,,438.906287818,438.856099795,438.807695686,438.856057803
9720000000,96,9720000000,,430.714655993,430.656967245,430.600797768,430.656913156
9840000000,97,9840000000,,447.701608378,447.632412233,447.564613496,447.632336766
9920000000,98,9920000000,,423.124224389,423.047525845,422.971744981,423.04743338
10041000000,99,10041000000,,431.078710946,430.991016902,430.903205723,430.990899838
10122000000,100,10122000000,,426.037344315,425.941806863,425.846613629,425.941676722
10200000000,101,10200000000,,441.725542209,441.619449514,441.518169355,441.619304703
10322000000,102,10322000000,,435.884574192,435.765364063,435.649549163,435.765184813
10403000000,103,10403000000,,439.324321741,439.203255081,439.073009653,439.203050067
10522000000,104,10522000000,,435.506626022,435.375271488,435.234447408,435.375024575
10641000000,105,10641000000,,421.798205894,421.662191394,421.510064977,421.661908121
10720000000,106,10720000000,,416.363383192,416.219445807,416.067618656,416.219135478
10840000000,107,10840000000,,428.991395729,428.842660073,428.687994198,428.842316557
10921000000,108,10921000000,,437.13141175,436.982357421,436.824755212,436.981991845
11055000000,109,11055000000,,441.448294014,441.294457709,441.139616073,441.294056206
11121000000,110,11121000000,,436.908691782,436.756095641,436.599982391,436.755670451
11247000000,111,11247000000,,436.99657467,436.844261235,436.688451133,436.843807887
11322000000,112,11322000000,,428.0382218,427.886482979,427.731139819,427.886013981
11440000000,113,11440000000,,431.104067119,430.954210546,430.799193225,430.953718684
11522000000,114,11522000000,,431.620776937,431.472367002,431.317631982,431.471861282
11640000000,115,11640000000,,428.910164008,428.762991471,428.609623509,428.762467585
11721000000,116,11721000000,,431.868128878,431.722152465,431.569424118,431.721611152
11840000000,117,11840000000,,431.86374098,431.71962632,431.567193001,431.719079435
11920000000,118,11920000000,,424.835720708,424.692178793,424.540688297,424.691622721
12041000000,119,12041000000,,446.370613668,446.228327778,446.077584977,446.227758314
12120000000,120,12120000000,,430.125877373,429.979307302,429.830564006,429.978728849
