%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
1900000000,19,1900000000,,422.054606464,422.054979189,422.054606464,422.054979189
2001000000,20,2001000000,,416.30445805,416.329638746,416.30445805,416.329638746
2101000000,21,2101000000,,457.450509459,457.459258684,457.450509459,457.459258684
2200000000,22,2200000000,,415.798017392,415.781749569,415.798017392,415.781749569
2300000000,23,2300000000,,418.308610896,418.309094799,418.308610896,418.309094799
2402000000,24,2402000000,,414.646470433,414.64695434,414.646470433,414.64695434
2500000000,25,2500000000,,425.013044288,425.013528201,425.013044288,425.013528201
2600000000,26,2600000000,,412.642018791,412.642502711,412.642018791,412.642502711
2702000000,27,2702000000,,422.528245169,422.552087217,422.528245169,422.552087217
2800000000,28,2800000000,,433.802202956,433.810262021,433.802202956,433.810262021
2900000000,29,2900000000,,425.559797893,425.544906819,425.559797893,425.544906819
3002000000,30,3002000000,,431.087647622,431.088235614,431.087647622,431.088235614
3109000000,31,3109000000,,442.519885712,442.520473709,442.519885712,442.520473709
3201000000,32,3201000000,,426.464130269,426.464718275,426.464130269,426.464718275
3300000000,33,3300000000,,419.527819447,419.528407458,419.527819447,419.528407458
3400000000,34,3400000000,,424.788089207,424.809633098,424.788089207,424.809633098
3501000000,35,3501000000,,424.443786241,424.430619114,424.443786241,424.430619114
3600000000,36,3600000000,,434.490254612,434.490889064,434.490254612,434.490889064
3700000000,37,3700000000,,431.719822876,431.72045734,431.719822876,431.72045734
3800000000,38,3800000000,,436.279094448,436.27972892,436.279094448,436.27972892
3906000000,39,3906000000,,426.418960153,426.438309271,426.418960153,426.438309271
4001000000,40,4001000000,,443.400335461,443.40712607,443.400335461,443.40712607
4100000000,41,4100000000,,423.487516726,423.475430449,423.487516726,423.475430449
4201000000,42,4201000000,,433.620656473,433.621376784,433.620656473,433.621376784
4302000000,43,4302000000,,418.323333472,418.324053784,418.323333472,418.324053784
4403000000,44,4403000000,,450.376950925,450.377671243,450.376950925,450.377671243
4500000000,45,4500000000,,424.512134921,424.512855244,424.512134921,424.512855244
4600000000,46,4600000000,,425.591373754,425.608868053,425.591373754,425.608868053
4701000000,47,4701000000,,436.755930639,436.762085253,436.755930639,436.762085253
4801000000,48,4801000000,,422.082024605,422.071808217,422.082024605,422.071808217
4901000000,49,4901000000,,441.563645309,441.564439886,441.563645309,441.564439886
5001000000,50,5001000000,,435.678508383,435.679302964,435.678508383,435.679302964
5102000000,51,5102000000,,427.481720285,427.482514868,427.481720285,427.482514868
5201000000,52,5201000000,,431.320487661,431.335941897,431.320487661,431.335941897
5301000000,53,5301000000,,415.037953542,415.029093523,415.037953542,415.029093523
5400000000,54,5400000000,,440.920321844,440.921148381,440.920321844,440.921148381
