%time,field0,field1,field2,field3
57000000,0.0522828168513,0.00856857276174,3.17259878256,7.9314969564
62000000,0.300371348712,0.0492275265945,18.2269784344,45.5674460861
82000000,0.390167211301,0.063944070741,23.6759244072,59.1898110181
121000000,0.390167211301,0.063944070741,23.6759244072,59.1898110181
166000000,0.390167931364,0.0639447487199,23.675998829,59.1822760927
205000000,0.384882553666,0.0645763387444,23.6860563452,59.0688144455
241000000,0.394254803326,0.0634531151988,23.6681055319,59.2817037354
282000000,-0.202535557981,-0.032664694793,-12.173457721,-30.4909636154
328000000,-0.390396857416,-0.0639165148423,-23.6754661648,-59.196741689
366000000,-0.389000494859,-0.0640837603904,-23.6781481478,-59.1643054297
408000000,-0.389113746415,-0.0640700073718,-23.6779248774,-59.1675206819
446000000,-0.38930755691,-0.0640465858595,-23.6775511866,-59.1721715908
486000000,-0.389349648021,-0.0640414138456,-23.6774711642,-59.1730735012
526000000,-0.389329060872,-0.0640438215562,-23.6775115717,-59.1725195844
568000000,-0.389329957203,-0.0640437010064,-23.6775100634,-59.1725312237
618000000,-0.389367319089,-0.0640392382305,-23.6774380245,-59.1734368572
645000000,-0.389425484916,-0.0640322965655,-23.6773258637,-59.1748382775
692000000,-0.389487331677,-0.0640249167612,-23.6772066746,-59.1763181075
724000000,-0.389542993895,-0.0640182758406,-23.6770994693,-59.1776418685
768000000,-0.38958892646,-0.0640127953737,-23.6770110402,-59.1787298328
811000000,-0.38962638503,-0.0640083226122,-23.676938934,-59.1796162341
841000000,-0.389657359161,-0.0640046209268,-23.6768792913,-59.180351227
887000000,-0.356624231717,-0.0585834276235,-21.6707233158,-54.1657486403
919000000,-0.206211739398,-0.0339259825741,-12.5420184064,-31.3446831342
959000000,-0.0581832557069,-0.00965989182962,-3.55812112298,-8.88557421227
1011000000,0.0811488098966,0.0131804729866,4.89795837567,12.2540367227
1036000000,0.211896920457,0.0346136124453,12.8330598171,32.0912423101
1087000000,0.335062835844,0.0548031637954,20.3078522195,50.7777694613
1122000000,0.390541520077,0.0638997302461,23.6752314619,59.1959589805
1161000000,0.390528195752,0.0639013206204,23.675257359,59.1956186775
1212000000,0.390515424301,0.0639028446764,23.6752821869,59.1952920557
1250000000,0.390503905651,0.0639042185669,23.6753045927,59.1949962373
