%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
1822000000,45,1822000000,,-8.7381945173e-06,-8.37106501114e-06,8.73819450277e-06,8.37106499667e-06
1856000000,46,1856000000,,-7.50137275019e-06,-1.0218611062e-05,7.50137273546e-06,1.02186110473e-05
1891000000,47,1891000000,,-6.16452526536e-06,-1.20559398158e-05,6.16452525043e-06,1.20559398009e-05
1937000000,48,1937000000,,-4.74556872292e-06,-1.38578047372e-05,4.74556870779e-06,1.38578047221e-05
1982000000,49,1982000000,,-3.24621667636e-06,-1.55923349749e-05,3.24621666104e-06,1.55923349596e-05
2035000000,50,2035000000,,-1.6944890319e-06,-1.7208584723e-05,1.6944890164e-06,1.72085847076e-05
2067000000,51,2067000000,,9.35289321121e-08,-1.88067091304e-05,-9.35289477647e-08,1.88067091148e-05
2105000000,52,2105000000,,4.43079904443e-06,-1.99353405615e-05,-4.43079906023e-06,1.99353405458e-05
2130000000,53,2130000000,,6.74004984984e-06,-2.08643579208e-05,-6.74004986577e-06,2.0864357905e-05
2174000000,54,2174000000,,1.05454621477e-05,-2.25752779429e-05,-1.05454621637e-05,2.25752779269e-05
2212000000,55,2212000000,,1.26957135604e-05,-2.30963617484e-05,-1.26957135765e-05,2.30963617323e-05
2255000000,56,2255000000,,1.4410087117e-05,-1.59396167448e-05,-1.44100871333e-05,1.59396167286e-05
2291000000,57,2291000000,,1.60660173633e-05,-1.34773963266e-05,-1.60660173797e-05,1.34773963103e-05
2344000000,58,2344000000,,1.77156647012e-05,-1.18827710289e-05,-1.77156647177e-05,1.18827710124e-05
2370000000,59,2370000000,,1.92642603377e-05,-1.02069928815e-05,-1.92642603543e-05,1.02069928649e-05
2416000000,60,2416000000,,2.07108682655e-05,-7.78521597043e-06,-2.07108682822e-05,7.78521595375e-06
2452000000,61,2452000000,,2.21343563421e-05,-4.52841466558e-06,-2.21343563589e-05,4.52841464884e-06
2503000000,62,2503000000,,2.28529195647e-05,7.43146441139e-07,-2.28529195816e-05,-7.43146457965e-07
2534000000,63,2534000000,,2.33985701747e-05,6.39447729863e-06,-2.33985701917e-05,-6.39447731555e-06
2586000000,64,2586000000,,2.36126967397e-05,1.26234844677e-05,-2.36126967568e-05,-1.26234844847e-05
2610000000,65,2610000000,,2.32444422334e-05,1.97627038236e-05,-2.32444422506e-05,-1.97627038407e-05
2662000000,66,2662000000,,2.25612804388e-05,2.73164421147e-05,-2.2561280456e-05,-2.73164421319e-05
2699000000,67,2699000000,,2.13110472948e-05,3.5628646338e-05,-2.13110473122e-05,-3.56286463554e-05
2735000000,68,2735000000,,1.95899401845e-05,4.4297090181e-05,-1.9589940202e-05,-4.42970901984e-05
2803000000,69,2803000000,,1.72355341796e-05,5.3425167792e-05,-1.72355341972e-05,-5.34251678096e-05
2833000000,70,2833000000,,1.34777777296e-05,6.41735729295e-05,-1.34777777473e-05,-6.41735729472e-05
2873000000,71,2873000000,,1.02072578916e-05,7.2701155786e-05,-1.02072579094e-05,-7.27011558038e-05
2895000000,72,2895000000,,5.6465961038e-06,8.22766770134e-05,-5.64659612173e-06,-8.22766770312e-05
2925000000,73,2925000000,,1.51681707769e-06,9.01412478653e-05,-1.51681709571e-06,-9.01412478832e-05
2975000000,74,2975000000,,-3.59446628014e-06,9.78406999025e-05,3.59446626202e-06,-9.78406999206e-05
3012000000,75,3012000000,,-9.445829065e-06,0.000104763588162,9.44582904681e-06,-0.00010476358818
3063000000,76,3063000000,,-1.55188572401e-05,0.000110744671172,1.55188572219e-05,-0.00011074467119
3094000000,77,3094000000,,-3.51724041641e-05,8.84077798271e-05,3.51724041457e-05,-8.84077798454e-05
3125000000,78,3125000000,,-4.63558701091e-05,7.00141176525e-05,4.63558700906e-05,-7.00141176709e-05
3162000000,79,3162000000,,-5.22776159101e-05,6.18497000182e-05,5.22776158916e-05,-6.18497000366e-05
3203000000,80,3203000000,,-5.4177416238e-05,5.2778488706e-05,5.41774162195e-05,-5.27784887245e-05
3271000000,81,3271000000,,-5.38576267558e-05,4.38078123118e-05,5.38576267372e-05,-4.38078123303e-05
3289000000,82,3289000000,,-5.13507632192e-05,3.30489945245e-05,5.13507632005e-05,-3.30489945431e-05
3339000000,83,3339000000,,-4.95404298321e-05,2.5443975324e-05,4.95404298134e-05,-2.54439753427e-05
3383000000,84,3383000000,,-4.66046355246e-05,1.88680853593e-05,4.66046355058e-05,-1.8868085378e-05
3409000000,85,3409000000,,-4.36817436117e-05,1.11632451965e-05,4.36817435928e-05,-1.11632452153e-05
3456000000,86,3456000000,,-3.98473976683e-05,5.4935997346e-06,3.98473976494e-05,-5.49359975346e-06
3492000000,87,3492000000,,-3.70800890138e-05,-6.79573319644e-07,3.70800889948e-05,6.79573300714e-07
3542000000,88,3542000000,,-3.30016014882e-05,-5.13863717101e-06,3.30016014692e-05,5.13863715201e-06
3582000000,89,3582000000,,-3.02254107268e-05,-9.72969388628e-06,3.02254107077e-05,9.72969386722e-06
3619000000,90,3619000000,,-4.90123616556e-05,-3.30111707199e-07,4.90123616364e-05,3.30111688067e-07
3662000000,91,3662000000,,-5.37866947762e-05,-2.86863891922e-06,5.3786694757e-05,2.86863890003e-06
3699000000,92,3699000000,,-5.30713047072e-05,-9.34983740335e-06,5.30713046879e-05,9.34983738409e-06
3734000000,93,3734000000,,-5.06331923019e-05,-1.65762848238e-05,5.06331922825e-05,1.65762848045e-05
3765000000,94,3765000000,,-4.70299005201e-05,-2.35738861348e-05,4.70299005007e-05,2.35738861154e-05
3821000000,95,3821000000,,-4.29239160949e-05,-3.02417802833e-05,4.29239160755e-05,3.02417802638e-05
3853000000,96,3853000000,,-3.74562525411e-05,-3.65021042135e-05,3.74562525216e-05,3.6502104194e-05
3888000000,97,3888000000,,-3.65510954894e-06,-3.02546322917e-05,3.65510952937e-06,3.02546322721e-05
3940000000,98,3940000000,,1.60627390815e-05,-2.51329088449e-05,-1.60627391011e-05,2.51329088253e-05
3968000000,99,3968000000,,2.98643782306e-05,-2.08889394856e-05,-2.98643782502e-05,2.0888939466e-05
4024000000,100,4024000000,,3.66084341336e-05,-1.69471908493e-05,-3.66084341532e-05,1.69471908296e-05
4051000000,101,4051000000,,4.11803656616e-05,-1.37812338649e-05,-4.11803656813e-05,1.37812338452e-05
4084000000,102,4084000000,,4.18640472155e-05,-1.00600299463e-05,-4.18640472353e-05,1.00600299266e-05
4163000000,103,4163000000,,4.12921307444e-05,-6.49958600574e-06,-4.12921307641e-05,6.49958598601e-06
4190000000,104,4190000000,,3.83353444681e-05,-2.57345272575e-06,-3.83353444879e-05,2.57345270599e-06
4207000000,105,4207000000,,3.54327964056e-05,1.33610079742e-06,-3.54327964254e-05,-1.3361008172e-06
4256000000,106,4256000000,,3.29395170586e-05,3.49576403663e-06,-3.29395170785e-05,-3.49576405644e-06
4312000000,107,4312000000,,3.10516723822e-05,6.40300167043e-06,-3.10516724021e-05,-6.40300169027e-06
4331000000,108,4331000000,,2.63172974841e-05,8.95689955697e-06,-2.6317297504e-05,-8.95689957683e-06
4373000000,109,4373000000,,2.48084684208e-05,1.1076418653e-05,-2.48084684407e-05,-1.10764186729e-05
4413000000,110,4413000000,,2.16903995057e-05,1.26278433445e-05,-2.16903995256e-05,-1.26278433644e-05
4478000000,111,4478000000,,1.97884139425e-05,1.42543605388e-05,-1.97884139625e-05,-1.42543605588e-05
4500000000,112,4500000000,,1.61876439906e-05,1.53430049396e-05,-1.61876440106e-05,-1.53430049596e-05
4532000000,113,4532000000,,3.87500999093e-05,7.64467188402e-06,-3.87500999293e-05,-7.64467190402e-06
4579000000,114,4579000000,,4.50561782792e-05,7.63395902761e-06,-4.50561782992e-05,-7.63395904764e-06
4615000000,115,4615000000,,4.52281180617e-05,1.01802070346e-05,-4.52281180818e-05,-1.01802070547e-05
4661000000,116,4661000000,,4.29044633004e-05,1.35181017012e-05,-4.29044633205e-05,-1.35181017213e-05
4707000000,117,4707000000,,3.99054067919e-05,1.65855059451e-05,-3.99054068121e-05,-1.65855059653e-05
4734000000,118,4734000000,,8.53716559382e-06,2.01002570541e-05,-8.53716561401e-06,-2.01002570743e-05
4777000000,119,4777000000,,-1.72074360566e-05,2.250930312e-05,1.72074360363e-05,-2.25093031402e-05
4816000000,120,4816000000,,-3.60165910161e-05,2.32697078397e-05,3.60165909958e-05,-2.32697078599e-05
4847000000,121,4847000000,,-4.19963657922e-05,2.33824417565e-05,4.19963657718e-05,-2.33824417768e-05
4893000000,122,4893000000,,-4.44920689048e-05,2.29057648933e-05,4.44920688845e-05,-2.29057649136e-05
4943000000,123,4943000000,,-2.73661095146e-05,3.00695189637e-05,2.73661094943e-05,-3.0069518984e-05
4972000000,124,4972000000,,-2.78833413675e-05,3.35583396846e-05,2.78833413472e-05,-3.35583397049e-05
5029000000,125,5029000000,,-3.41387198238e-05,3.53393513669e-05,3.41387198035e-05,-3.53393513872e-05
5060000000,126,5060000000,,-4.1067608317e-05,3.61759791774e-05,4.10676082966e-05,-3.61759791977e-05
5103000000,127,5103000000,,-4.70879207834e-05,3.6304888234e-05,4.7087920763e-05,-3.63048882544e-05
5160000000,128,5160000000,,-5.32646457618e-05,3.60698127563e-05,5.32646457414e-05,-3.60698127766e-05
5195000000,129,5195000000,,-5.87068334448e-05,3.54651638471e-05,5.87068334243e-05,-3.54651638674e-05
5229000000,130,5229000000,,-6.24914747033e-05,3.26174313137e-05,6.24914746828e-05,-3.26174313341e-05
5281000000,131,5281000000,,-4.79316789748e-05,5.87971052116e-06,4.79316789543e-05,-5.87971054164e-06
5328000000,132,5328000000,,-3.43770030429e-05,-1.53111476701e-05,3.43770030224e-05,1.53111476496e-05
5356000000,133,5356000000,,-2.39016197949e-05,-2.9050885243e-05,2.39016197743e-05,2.90508852224e-05
5384000000,134,5384000000,,-1.89412300359e-05,-3.63136892865e-05,1.89412300152e-05,3.63136892659e-05
