%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
1640000000,15,1640000000,,383.828968165,383.828871773,383.828994304,383.82887197
1720000000,16,1720000000,,377.065097002,377.064996281,377.065120501,377.065002496
1800000000,17,1800000000,,400.353776103,400.353670061,400.353795848,400.353683166
1920000000,18,1920000000,,423.365217983,423.365102729,423.365230312,423.365126841
2040000000,19,2040000000,,429.530148883,429.530024006,429.530152272,429.530058424
2120000000,20,2120000000,,434.147911729,434.147778,434.147902868,434.147817871
2202000000,21,2202000000,,404.46552615,404.465383667,404.465505059,404.465428817
2322000000,22,2322000000,,450.957904537,450.957765632,450.957872405,450.957792587
2440000000,23,2440000000,,411.964638592,411.964500736,411.964597171,411.964516306
2520000000,24,2520000000,,416.526719655,416.526588185,416.526673949,416.526586698
2643000000,25,2643000000,,411.574702391,411.574589549,411.574655902,411.574550024
2720000000,26,2720000000,,423.677701299,423.677606255,423.677658676,423.677534998
2803000000,27,2803000000,,425.223488381,425.223415209,425.22345391,425.223308359
2920000000,28,2920000000,,432.468487815,432.468455084,432.468476522,432.46829053
3040000000,29,3040000000,,427.254479662,427.254484511,427.254498554,427.254274984
3120000000,30,3120000000,,437.219276856,437.226512573,437.219347201,437.226335757
3201000000,31,3201000000,,424.887717329,424.890912616,424.887821884,424.890788917
3320000000,32,3320000000,,426.738047886,426.74157004,426.738150587,426.741503942
3401000000,33,3401000000,,424.99510787,424.998571711,424.995201079,424.998533975
3520000000,34,3520000000,,427.451722844,427.455297124,427.451797005,427.455298483
3640000000,35,3640000000,,427.222201201,427.21573159,427.222299225,427.21573225
3720000000,36,3720000000,,435.943032103,435.943062069,435.943138246,435.943080768
3840000000,37,3840000000,,430.606539394,430.606538324,430.606625242,430.606598807
3920000000,38,3920000000,,433.798886017,433.809020831,433.798893327,433.80908134
4041000000,39,4041000000,,434.114090023,434.116947857,434.114016806,434.116981752
4120000000,40,4120000000,,430.658702041,430.661164848,430.658618313,430.661184968
4240000000,41,4240000000,,433.301730496,433.304187624,433.30165963,433.304184952
4320000000,42,4320000000,,431.947450968,431.949996559,431.947388864,431.949983753
4441000000,43,4441000000,,423.023690368,423.02634182,423.023646987,423.026316564
4520000000,44,4520000000,,436.765603703,436.760423343,436.765571328,436.760392657
4640000000,45,4640000000,,417.249733898,417.249802947,417.249643442,417.249782587
4722000000,46,4722000000,,434.42905869,434.436454727,434.428978879,434.436421556
4840000000,47,4840000000,,444.725435555,444.7282569,444.725507588,444.72821036
4921000000,48,4921000000,,433.996301184,433.99153313,433.996390168,433.991487319
5000000000,49,5000000000,,426.680185845,426.680383739,426.680241612,426.680316623
5121000000,50,5121000000,,418.205115097,418.205334946,418.205209273,418.205262337
5241000000,51,5241000000,,436.629839087,436.630070654,436.62996407,436.630005419
5329000000,52,5329000000,,443.665520931,443.671911657,443.665589685,443.671942279
5400000000,53,5400000000,,433.122035755,433.124423957,433.122073637,433.124496584
5524000000,54,5524000000,,438.406995778,438.40880833,438.407014443,438.408892102
5601000000,55,5601000000,,430.286023848,430.282287516,430.286096033,430.282363792
5720000000,56,5720000000,,434.212805,434.212960801,434.21286091,434.213060407
5840000000,57,5840000000,,435.626770231,435.632136598,435.62673133,435.632153592
5920000000,58,5920000000,,423.0781622,423.079707323,423.078104508,423.079692578
6040000000,59,6040000000,,434.231340052,434.228365628,434.231280594,434.22839384
6120000000,60,6120000000,,421.549442815,421.54958825,421.549365653,421.54962014
6240000000,61,6240000000,,440.67447186,440.674624725,440.674378573,440.674625632
6320000000,62,6320000000,,438.208645078,438.208968872,438.208604919,438.20893272
6440000000,63,6440000000,,439.511832859,439.511714806,439.511872652,439.511642625
6520000000,64,6520000000,,431.062001955,431.062430888,431.062002716,431.062350757
6640000000,65,6640000000,,428.925147737,428.925403224,428.92515653,428.925300308
6722000000,66,6722000000,,431.190083713,431.190352118,431.190113552,431.190244412
6840000000,67,6840000000,,426.75158635,426.749967541,426.75167018,426.749976139
6922000000,68,6922000000,,425.648307435,425.647589177,425.648395086,425.647631081
7040000000,69,7040000000,,452.746769365,452.748432218,452.746881779,452.748439161
7120000000,70,7120000000,,431.939347875,431.941354697,431.93943138,431.941382413
7240000000,71,7240000000,,426.144819908,426.151095258,426.144744526,426.151178241
7322000000,72,7322000000,,434.952470935,434.957788236,434.952367417,434.957873397
7440000000,73,7440000000,,427.226042298,427.219397311,427.225971313,427.219500349
7520000000,74,7520000000,,442.522519613,442.522655498,442.522445487,442.522777029
7640000000,75,7640000000,,428.933271287,428.946640006,428.933192583,428.946656362
7721000000,76,7721000000,,424.364778272,424.369947655,424.364712033,424.369901436
7800000000,77,7800000000,,429.901022549,429.906040496,429.900965341,429.905970749
7921000000,78,7921000000,,426.777107851,426.768314774,426.77702818,426.768261842
8040000000,79,8040000000,,435.028949051,435.029265809,435.028858948,435.029189454
8122000000,80,8122000000,,435.554630235,435.554964743,435.554551366,435.554864131
8241000000,81,8241000000,,433.231553904,433.246700215,433.23159407,433.246625032
8320000000,82,8320000000,,430.273963997,430.279007262,430.274027692,430.278949763
8440000000,83,8440000000,,430.50643208,430.497378263,430.506487905,430.497274264
8520000000,84,8520000000,,433.737095866,433.751180586,433.737171123,433.751081639
8640000000,85,8640000000,,425.310588958,425.315931292,425.310637862,425.315965385
8720000000,86,8720000000,,436.159899393,436.164714893,436.159937005,436.164780864
8840000000,87,8840000000,,437.133609151,437.125318667,437.133688541,437.125374387
8921000000,88,8921000000,,438.708920116,438.709397621,438.70899918,438.709477064
9041000000,89,9041000000,,423.857200446,423.857652914,423.857261956,423.857764881
9120000000,90,9120000000,,425.190001602,425.201043341,425.189964141,425.201118826
9240000000,91,9240000000,,422.620881237,422.624071821,422.620798433,422.624104977
9320000000,92,9320000000,,440.385843788,440.38892471,440.385761261,440.388928609
9442000000,93,9442000000,,438.289883493,438.29312015,438.289793498,438.293086258
9521000000,94,9521000000,,419.888164093,419.882695668,419.888051513,419.882688824
9644000000,95,9644000000,,433.874777178,433.875286375,433.874645982,433.875266782
9724000000,96,9724000000,,440.997762871,441.00668022,440.997687782,441.006615041
9801000000,97,9801000000,,431.570108472,431.574084423,431.57011242,431.573982156
9920000000,98,9920000000,,437.188223146,437.183063825,437.188259255,437.182955745
10000000000,99,10000000000,,428.123487404,428.124151177,428.123476125,428.124017682
10120000000,100,10120000000,,439.318571321,439.32588018,439.318604451,439.325784304
10240000000,101,10240000000,,417.039153976,417.042153253,417.039213933,417.042141843
10320000000,102,10320000000,,436.308859846,436.311450133,436.308918712,436.311467988
10440000000,103,10440000000,,438.789602488,438.785996816,438.789683351,438.785994425
10520000000,104,10520000000,,423.984195764,423.9848889,423.98429208,423.984892668
10647000000,105,10647000000,,431.699195264,431.699871322,431.699299696,431.699917367
10720000000,106,10720000000,,431.643308186,431.649752861,431.643344057,431.649825341
10840000000,107,10840000000,,434.374117674,434.3769653,434.374061195,434.377041721
10921000000,108,10921000000,,439.090577429,439.092355315,439.090501413,439.092411997
11041000000,109,11041000000,,438.885965966,438.887944111,438.885884661,438.887959074
11121000000,110,11121000000,,424.553369358,424.555112055,424.553296048,424.555109396
11240000000,111,11240000000,,425.945609968,425.947515733,425.945555261,425.947488836
11324000000,112,11324000000,,431.914669184,431.912634663,431.914584709,431.91263422
11400000000,113,11400000000,,445.177182747,445.177848399,445.177083985,445.177846077
11520000000,114,11520000000,,426.236441694,426.241110782,426.236400684,426.241059654
11602000000,115,11602000000,,431.594567198,431.596550747,431.594585893,431.596468715
11720000000,116,11720000000,,422.911106799,422.909290822,422.911096248,422.909195333
11840000000,117,11840000000,,433.570476288,433.571279374,433.570499429,433.571159161
11920000000,118,11920000000,,441.818599268,441.819420058,441.818645712,441.819287742
12002000000,119,12002000000,,430.581140604,430.585376515,430.581214827,430.585298673
12120000000,120,12120000000,,428.323341144,428.326080231,428.323424263,428.326112286
12201000000,121,12201000000,,431.754387057,431.756581329,431.75446111,431.756634169
12322000000,122,12322000000,,434.295728293,434.293701407,434.295826651,434.293737792
12440000000,123,12440000000,,426.366041179,426.366825225,426.366148295,426.366880234
12522000000,124,12522000000,,437.196449603,437.201563432,437.196451856,437.201609794
12640000000,125,12640000000,,435.417337689,435.419132389,435.417283563,435.41915828
12725000000,126,12725000000,,433.30161226,433.299705878,433.301550598,433.299717462
12844000000,127,12844000000,,423.25640772,423.257127341,423.256354177,423.257186947
12920000000,128,12920000000,,430.18728686,430.191174221,430.187214367,430.191223019
13040000000,129,13040000000,,432.567311865,432.569491586,432.567264431,432.569406051
13120000000,130,13120000000,,438.061504544,438.063346604,438.061465854,438.063232113
13240000000,131,13240000000,,432.368857084,432.367487465,432.368770723,432.367389965
13320000000,132,13320000000,,424.552205462,424.553024661,424.552126015,424.552903521
13440000000,133,13440000000,,438.430714988,438.434809931,438.430739987,438.434707273
13520000000,134,13520000000,,427.892871123,427.894300662,427.892933255,427.894222299
13601000000,135,13601000000,,429.165078392,429.166382053,429.165156688,429.166332426
13721000000,136,13721000000,,433.905918824,433.907292671,433.905998193,433.907279963
13840000000,137,13840000000,,433.109197128,433.108758769,433.109286615,433.10872405
13920000000,138,13920000000,,435.928782458,435.929673616,435.928887456,435.929637664
14040000000,139,14040000000,,439.247677307,439.250360715,439.247730625,439.250384574
14120000000,140,14120000000,,427.580276026,427.581958719,427.580271416,427.582020559
14242000000,141,14242000000,,438.77288731,438.77227051,438.77290149,438.772347998
14320000000,142,14320000000,,416.838348769,416.839136243,416.838361147,416.839232708
14440000000,143,14440000000,,434.104144316,434.105771406,434.10410855,434.105833501
