%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
1800000000,18,1800000000,,400.353785976,400.353676613,400.353785976,400.353676613
1900000000,19,1900000000,,423.365224147,423.365114785,423.365224147,423.365114785
2000000000,20,2000000000,,429.530150578,429.530041215,429.530150578,429.530041215
2100000000,21,2100000000,,434.147907298,434.147797936,434.147907298,434.147797936
2202000000,22,2202000000,,404.465515605,404.465406242,404.465515605,404.465406242
2302000000,23,2302000000,,450.957888471,450.957779109,450.957888471,450.957779109
2400000000,24,2400000000,,411.964617881,411.964508521,411.964617881,411.964508521
2500000000,25,2500000000,,416.526696802,416.526587441,416.526696802,416.526587441
2600000000,26,2600000000,,411.574679146,411.574569786,411.574679146,411.574569786
2700000000,27,2700000000,,423.677679987,423.677570627,423.677679987,423.677570627
2800000000,28,2800000000,,425.223471145,425.223361784,425.223471145,425.223361784
2900000000,29,2900000000,,432.468482168,432.468372807,432.468482168,432.468372807
3001000000,30,3001000000,,427.254489108,427.254379748,427.254489108,427.254379748
3102000000,31,3102000000,,437.219312028,437.226424165,437.219312028,437.226424165
3201000000,32,3201000000,,424.887769606,424.890850766,424.887769606,424.890850766
3300000000,33,3300000000,,426.738099237,426.741536991,426.738099237,426.741536991
3401000000,34,3401000000,,424.995154475,424.998552843,424.995154475,424.998552843
3500000000,35,3500000000,,427.451759925,427.455297803,427.451759925,427.455297803
3600000000,36,3600000000,,427.222250213,427.21573192,427.222250213,427.21573192
3700000000,37,3700000000,,435.943085175,435.943071418,435.943085175,435.943071418
3800000000,38,3800000000,,430.606582318,430.606568566,430.606582318,430.606568566
3900000000,39,3900000000,,433.798889672,433.809051085,433.798889672,433.809051085
4000000000,40,4000000000,,434.114053414,434.116964804,434.114053414,434.116964804
4101000000,41,4101000000,,430.658660177,430.661174908,430.658660177,430.661174908
4200000000,42,4200000000,,433.301695063,433.304186288,433.301695063,433.304186288
4300000000,43,4300000000,,431.947419916,431.949990156,431.947419916,431.949990156
4400000000,44,4400000000,,423.023668677,423.026329192,423.023668677,423.026329192
4500000000,45,4500000000,,436.765587515,436.760408,436.765587515,436.760408
4602000000,46,4602000000,,417.24968867,417.249792767,417.24968867,417.249792767
4701000000,47,4701000000,,434.429018784,434.436438142,434.429018784,434.436438142
4800000000,48,4800000000,,444.725471571,444.72823363,444.725471571,444.72823363
4900000000,49,4900000000,,433.996345676,433.991510225,433.996345676,433.991510225
5000000000,50,5000000000,,426.680213729,426.680350181,426.680213729,426.680350181
5100000000,51,5100000000,,418.205162185,418.205298642,418.205162185,418.205298642
5200000000,52,5200000000,,436.629901579,436.630038036,436.629901579,436.630038036
5300000000,53,5300000000,,443.665555308,443.671926968,443.665555308,443.671926968
5400000000,54,5400000000,,433.122054696,433.124460271,433.122054696,433.124460271
5500000000,55,5500000000,,438.407005111,438.408850216,438.407005111,438.408850216
5601000000,56,5601000000,,430.28605994,430.282325654,430.28605994,430.282325654
5700000000,57,5700000000,,434.212832955,434.213010604,434.212832955,434.213010604
5800000000,58,5800000000,,435.626750781,435.632145095,435.626750781,435.632145095
5900000000,59,5900000000,,423.078133354,423.079699951,423.078133354,423.079699951
6003000000,60,6003000000,,434.231310323,434.228379734,434.231310323,434.228379734
6100000000,61,6100000000,,421.549404234,421.549604195,421.549404234,421.549604195
6200000000,62,6200000000,,440.674425216,440.674625178,440.674425216,440.674625178
6302000000,63,6302000000,,438.208624999,438.208950796,438.208624999,438.208950796
6400000000,64,6400000000,,439.511852755,439.511678715,439.511852755,439.511678715
6500000000,65,6500000000,,431.062002335,431.062390822,431.062002335,431.062390822
6600000000,66,6600000000,,428.925152133,428.925351766,428.925152133,428.925351766
6702000000,67,6702000000,,431.190098633,431.190298265,431.190098633,431.190298265
6800000000,68,6800000000,,426.751628265,426.74997184,426.751628265,426.74997184
6900000000,69,6900000000,,425.64835126,425.647610129,425.64835126,425.647610129
7001000000,70,7001000000,,452.746825572,452.74843569,452.746825572,452.74843569
7100000000,71,7100000000,,431.939389627,431.941368555,431.939389627,431.941368555
7201000000,72,7201000000,,426.144782217,426.151136749,426.144782217,426.151136749
7301000000,73,7301000000,,434.952419176,434.957830817,434.952419176,434.957830817
7400000000,74,7400000000,,427.226006806,427.21944883,427.226006806,427.21944883
7501000000,75,7501000000,,442.52248255,442.522716264,442.52248255,442.522716264
7601000000,76,7601000000,,428.933231935,428.946648184,428.933231935,428.946648184
7702000000,77,7702000000,,424.364745152,424.369924546,424.364745152,424.369924546
7800000000,78,7800000000,,429.900993945,429.906005623,429.900993945,429.906005623
7901000000,79,7901000000,,426.777068015,426.768288308,426.777068015,426.768288308
8000000000,80,8000000000,,435.028903999,435.029227632,435.028903999,435.029227632
8102000000,81,8102000000,,435.554590801,435.554914437,435.554590801,435.554914437
8200000000,82,8200000000,,433.231573987,433.246662623,433.231573987,433.246662623
8302000000,83,8302000000,,430.273995844,430.278978513,430.273995844,430.278978513
8402000000,84,8402000000,,430.506459992,430.497326264,430.506459992,430.497326264
8500000000,85,8500000000,,433.737133495,433.751131113,433.737133495,433.751131113
8600000000,86,8600000000,,425.31061341,425.315948339,425.31061341,425.315948339
8700000000,87,8700000000,,436.159918199,436.164747879,436.159918199,436.164747879
8803000000,88,8803000000,,437.133648846,437.125346527,437.133648846,437.125346527
8902000000,89,8902000000,,438.708959648,438.709437343,438.708959648,438.709437343
9000000000,90,9000000000,,423.857231201,423.857708898,423.857231201,423.857708898
9105000000,91,9105000000,,425.189982871,425.201081084,425.189982871,425.201081084
9203000000,92,9203000000,,422.620839835,422.624088399,422.620839835,422.624088399
9304000000,93,9304000000,,440.385802525,440.38892666,440.385802525,440.38892666
9401000000,94,9401000000,,438.289838496,438.293103204,438.289838496,438.293103204
9500000000,95,9500000000,,419.888107803,419.882692246,419.888107803,419.882692246
9602000000,96,9602000000,,433.87471158,433.875276579,433.87471158,433.875276579
9701000000,97,9701000000,,440.997725327,441.006647631,440.997725327,441.006647631
9800000000,98,9800000000,,431.570110446,431.574033289,431.570110446,431.574033289
9901000000,99,9901000000,,437.1882412,437.183009785,437.1882412,437.183009785
10000000000,100,10000000000,,428.123481764,428.12408443,428.123481764,428.12408443
10101000000,101,10101000000,,439.318587886,439.325832242,439.318587886,439.325832242
10200000000,102,10200000000,,417.039183954,417.042147548,417.039183954,417.042147548
10300000000,103,10300000000,,436.308889279,436.31145906,436.308889279,436.31145906
10400000000,104,10400000000,,438.78964292,438.78599562,438.78964292,438.78599562
10500000000,105,10500000000,,423.984243922,423.984890784,423.984243922,423.984890784
10602000000,106,10602000000,,431.69924748,431.699894344,431.69924748,431.699894344
10702000000,107,10702000000,,431.643326121,431.649789101,431.643326121,431.649789101
10800000000,108,10800000000,,434.374089434,434.377003511,434.374089434,434.377003511
10908000000,109,10908000000,,439.090539421,439.092383656,439.090539421,439.092383656
11002000000,110,11002000000,,438.885925314,438.887951592,438.885925314,438.887951592
11101000000,111,11101000000,,424.553332703,424.555110725,424.553332703,424.555110725
11200000000,112,11200000000,,425.945582615,425.947502285,425.945582615,425.947502285
11300000000,113,11300000000,,431.914626946,431.912634442,431.914626946,431.912634442
11400000000,114,11400000000,,445.177133366,445.177847238,445.177133366,445.177847238
11501000000,115,11501000000,,426.236421189,426.241085218,426.236421189,426.241085218
11602000000,116,11602000000,,431.594576545,431.596509731,431.594576545,431.596509731
11701000000,117,11701000000,,422.911101524,422.909243078,422.911101524,422.909243078
11804000000,118,11804000000,,433.570487859,433.571219268,433.570487859,433.571219268
11900000000,119,11900000000,,441.81862249,441.8193539,441.81862249,441.8193539
12001000000,120,12001000000,,430.581177716,430.585337594,430.581177716,430.585337594
12101000000,121,12101000000,,428.323382704,428.326096258,428.323382704,428.326096258
12200000000,122,12200000000,,431.754424083,431.756607749,431.754424083,431.756607749
