%time,field0,field1,field2,field3,field4,field5,field6,field7
61000000,3.58732406867e-43,2.80259692865e-45,3.58732406867e-43,2.80259692865e-45,-2.68002104415,-2.68002104415,-9.50558859453e-24,-5.60290033567e-27
65000000,7.13784776049e-16,-3.0285206308e-18,7.14787663059e-16,-3.05562568511e-18,-15.3970574673,-15.3970574673,1.13929009027e-20,6.07977270671e-19
86000000,-1.01132841548e-15,-1.15357060168e-18,-1.01082697198e-15,-1.20778071031e-18,-20.0,-20.0,6.29406376182e-21,-2.46870272123e-18
127000000,-1.43965875201e-15,-3.89989649192e-19,-1.44279616204e-15,-4.44199757817e-19,-20.0,-20.0,-5.53023951067e-21,-3.81670585951e-18
170000000,5.17747308793e-06,4.21319121402e-06,5.1775176312e-06,4.21319107218e-06,-20.0,-20.0,-1.14827019543e-06,0.000350821787093
205000000,0.00486884680098,-1.74792759e-05,0.00489636833429,-1.76628696776e-05,-20.0,-20.0,-1.29100855346e-05,0.000276991730907
238000000,0.00284762267437,-2.53448204208e-05,0.00286728036035,-2.56325692473e-05,-20.0,-20.0,-2.41367054232e-05,-0.000242010523466
284000000,-0.00379025897244,1.40974308618e-05,-0.00378114395128,1.37525720943e-05,-11.6944208177,-11.6947051517,-1.84889765563e-05,0.000211469171474
326000000,-0.00039103714517,-1.10206883118e-06,-0.000389432533151,-1.47243680695e-06,20.0,20.0,-2.11128599121e-05,0.000238126414816
371000000,0.00104869082473,-1.62123743877e-05,0.00104591869762,-1.65937658694e-05,20.0,20.0,-2.57681196234e-05,0.000113024215131
402000000,0.00030475840405,-1.35777347549e-05,0.000299881130785,-1.3965505783e-05,20.0,20.0,-2.69055300834e-05,0.0001163948272
442000000,-9.3234830178e-05,-9.89968273224e-06,-9.88247797537e-05,-1.0292956578e-05,20.0,20.0,-2.66556197718e-05,0.000132723916899
483000000,-0.000144266929067,-8.28371733552e-06,-0.000149832677496,-8.68409112692e-06,20.0,20.0,-2.63795776849e-05,0.000141636614999
524000000,-9.84863055301e-05,-8.1669737266e-06,-0.000103720375109,-8.57612488999e-06,20.0,20.0,-2.63523634508e-05,0.000143781434491
563000000,-8.92732617978e-05,-7.95176189158e-06,-9.39753481613e-05,-8.37320995444e-06,20.0,20.0,-2.66680983346e-05,0.000143264802551
608000000,-0.000108088646748,-7.2155557632e-06,-0.000112173127597,-7.6535613952e-06,20.0,20.0,-2.72253817713e-05,0.000142508991363
648000000,-0.000128308156245,-6.33338739634e-06,-0.00013177422378,-6.79227098125e-06,20.0,20.0,-2.7996397274e-05,0.000142228019682
694000000,-0.000134613280067,-5.56924634719e-06,-0.000137524529862,-6.05273940905e-06,20.0,20.0,-2.89837616668e-05,0.000142275975586
728000000,-0.000127707933126,-5.08063147544e-06,-0.0001301763027,-5.59115462595e-06,20.0,20.0,-3.01746929818e-05,0.00014233382166
774000000,-0.000112873825806,-4.43521179623e-06,-0.000115040131959,-4.97355761809e-06,20.0,20.0,-3.62110159303e-05,0.000175095727143
819000000,-0.000623342947173,4.57242223347e-07,-0.000625359887702,-9.38872578032e-08,20.0,20.0,-5.64401962381e-05,0.00012622529554
849000000,-0.00108609949858,7.86447272012e-06,-0.00108803954638,7.34614179046e-06,20.0,20.0,-9.82498793464e-05,0.000118578356181
885000000,-0.0011976017529,1.09437846486e-05,-0.00119948505561,1.05134903307e-05,20.0,20.0,-0.000164489903954,0.000123709452929
927000000,-0.00112134108188,9.4474646658e-06,-0.00112318280655,9.1437678862e-06,19.6109728121,19.6657851739,-0.000253657950202,0.000130206162397
968000000,-0.00101880247133,7.43923782155e-06,-0.0010206154359,7.26667724026e-06,15.0484125264,15.1453221012,-0.000358856972858,0.000201600488782
