%time,field.header.seq,field.header.stamp,field.header.frame_id,field.roll,field.pitch,field.jaw,field.roll_dot,field.pitch_dot,field.jaw_dot
41000000,0,41000000,,8.09293191527e-24,-2.21630234664e-23,2.08117658724e-24,0.0,0.0,0.0
82000000,1,82000000,,-3.33391656221e-19,-2.77057968169e-19,-4.48454013983e-24,0.0,0.0,0.0
121000000,2,121000000,,7.68539917773e-19,5.40985684886e-19,-6.67520845135e-24,0.0,0.0,0.0
160000000,3,160000000,,1.16855517263e-06,-1.114921929e-06,-6.90520936871e-13,1.29061795973e-11,-1.23148826206e-11,-1.33051943627e-17
200000000,4,200000000,,-5.74329078518e-06,-3.24982485367e-10,-3.8902200572e-07,-0.00647588726133,1.85643239092e-06,4.47988412589e-07
242000000,5,242000000,,-4.49244953415e-06,3.76823754777e-06,-1.16089711355e-06,-0.00553160067648,0.00389262870885,0.00010221019329
280000000,6,280000000,,2.1250584723e-06,4.98294684803e-06,-3.43345845977e-07,0.00213638576679,0.00499353557825,2.03737072297e-05
320000000,7,320000000,,2.00776696602e-07,-2.48680265713e-07,-3.94560220229e-06,-0.00200371840037,0.00261894147843,-0.000127330757095
360000000,8,360000000,,1.47965579345e-07,-3.47036205994e-07,-8.67876497068e-06,-0.00160454108845,0.00218111672439,-9.9299759313e-05
401000000,9,401000000,,-1.7090720803e-06,-5.90670845568e-10,-1.02344165498e-05,-1.92501814489e-09,6.04787704292e-13,1.0042193856e-12
440000000,10,440000000,,-5.03917931383e-07,-1.16868781319e-09,-1.00815896076e-05,3.59659080296e-10,-2.68934288901e-13,-8.39172644134e-13
480000000,11,480000000,,-5.08813798206e-07,-1.68398503475e-10,-1.0058423868e-05,-1.69112543413e-10,3.96945185597e-14,2.87423540914e-13
520000000,12,520000000,,1.90169873804e-06,1.89992519495e-07,-1.00465740616e-05,1.20379669774e-11,-7.21107678778e-12,5.52989999712e-14
560000000,13,560000000,,8.50258857099e-06,-4.42476812168e-06,-1.0009331163e-05,1.8633646709e-11,-1.40653278954e-11,1.08175478937e-13
600000000,14,600000000,,1.37897695822e-05,-8.55449161463e-06,-9.9654753285e-06,5.57376410651e-12,-5.25461358453e-12,7.30718653988e-14
640000000,15,640000000,,1.43764682434e-05,-9.80354980129e-06,-9.92425702862e-06,-1.0606726001e-12,1.47120868006e-13,1.89802787067e-14
680000000,16,680000000,,9.01125531527e-06,-7.23868606656e-06,-9.89066211332e-06,-2.30694872927e-11,1.13362600557e-11,7.23358412015e-14
720000000,17,720000000,,-2.75584193332e-06,-6.28834072813e-07,-9.86861869023e-06,-7.03631181098e-11,4.03403213611e-11,1.09616973159e-13
760000000,18,760000000,,-2.0269284505e-05,9.25805215957e-06,-9.85773658613e-06,-1.33419122972e-10,7.40188327297e-11,2.98929277328e-14
800000000,19,800000000,,-4.15408321714e-05,2.10915350181e-05,-9.85642964224e-06,-1.85379364637e-10,9.59803070355e-11,-5.2577466171e-14
840000000,20,840000000,,-6.56731426716e-05,3.38754034601e-05,-9.86551458482e-06,-2.01576352832e-10,1.03466561707e-10,-8.45967379807e-14
880000000,21,880000000,,-9.04243279365e-05,4.55729386886e-05,-9.88402462099e-06,-2.19589443851e-10,1.0138593437e-10,-2.00616040165e-13
920000000,22,920000000,,-0.000115125076263,5.64893816772e-05,-9.90848820948e-06,-2.09864917111e-10,8.47849082608e-11,-2.50811334592e-13
960000000,23,960000000,,-0.000139985379064,6.5992710006e-05,-9.94131005427e-06,-1.68425273728e-10,5.94909677076e-11,-2.41077990903e-13
1000000000,24,1000000000,,-0.000161123491125,7.24101482774e-05,-9.97547067527e-06,-1.37913375164e-10,3.47369980003e-11,-2.54661987028e-13
1040000000,25,1040000000,,-0.000179929294973,7.61266273912e-05,-1.00144716271e-05,-8.48163414502e-11,9.64822232524e-12,-1.96006012527e-13
1080000000,26,1080000000,,-0.000194713327801,7.63823045418e-05,-1.00555089375e-05,-5.40771143143e-11,-4.44977084693e-12,-1.77413205654e-13
1120000000,27,1120000000,,-0.000205391886993,7.34621207812e-05,-1.00987890619e-05,-2.49405912589e-11,-1.3855971058e-11,-1.25781058746e-13
1160000000,28,1160000000,,-0.000220125089982,6.71607049298e-05,-1.02528147181e-05,-1.46085046837e-10,-5.01530171559e-11,-1.82796486281e-12
1200000000,29,1200000000,,-0.000249114702456,5.86016722082e-05,-1.05975577753e-05,-4.355489025e-10,-1.28509897168e-10,-5.37800923586e-12
1240000000,30,1240000000,,-0.000288971961709,4.63184733235e-05,-1.11399676825e-05,-5.82497605706e-10,-1.81977849456e-10,-8.62420898584e-12
1280000000,31,1280000000,,-0.000330630748067,3.55954398401e-05,-1.19233527585e-05,-4.71996164375e-10,-8.36739427745e-11,-1.10999221967e-11
1320000000,32,1320000000,,-0.000368114560843,3.51211056113e-05,-1.30059588628e-05,-3.68204300383e-10,4.31188314221e-11,-1.27874872149e-11
1360000000,33,1360000000,,-0.000397528085159,4.06556900998e-05,-1.4275184185e-05,-2.21184862093e-10,5.63268251486e-11,-1.18569459806e-11
