%time,field0,field1,field2,field3,field4,field5,field6,field7
42000000,1.34524652575e-43,1.05097384824e-45,1.34524652575e-43,1.05097384824e-45,-2.68002104415,-2.68002104415,-4.4326046401e-24,-2.6127200624e-27
44000000,7.13879647153e-16,-3.02851972737e-18,7.14868981635e-16,-3.05562478168e-18,-15.3970574673,-15.3970574673,1.14054707961e-20,6.08053079121e-19
84000000,-6.95835600361e-16,-1.88537012638e-18,-7.0956431037e-16,-1.85826507207e-18,-20.0,-20.0,-2.92494906512e-20,-2.46561489627e-18
124000000,-1.25960972473e-15,-1.01619692025e-18,-1.27344007869e-15,-1.01619692025e-18,-20.0,-20.0,8.20208187921e-20,-2.31462435825e-18
151000000,9.39650708768e-07,1.75971674005e-06,9.39656768053e-07,1.75971672128e-06,-20.0,-20.0,2.14936970728e-06,0.000146806637484
200000000,-0.0113551723148,5.72988292858e-05,-0.0116886570503,5.5862750999e-05,-20.0,-20.0,6.29963626086e-06,0.000367710779227
243000000,-0.00650851352986,6.8412202696e-05,-0.00706310786279,6.64993556227e-05,-20.0,-20.0,9.01692571838e-06,0.000641391183359
279000000,0.000427098689242,4.85600197688e-05,-0.000214902826419,4.66623577618e-05,-17.7178215223,-16.9268345965,4.09703067003e-06,0.000689385228408
327000000,0.00337551102427,2.92667865788e-05,0.00272745507542,2.75925828286e-05,16.8919798931,18.2594272811,-5.56096173647e-06,0.000544326802917
366000000,0.00303499524493,2.8207369616e-05,0.0024221840768,2.6784838341e-05,20.0,20.0,-1.21526838998e-05,0.000501834149595
407000000,0.00111814447103,5.03757442718e-05,0.000557316785141,4.91492314901e-05,20.0,20.0,-1.62211840333e-05,0.000418606208484
446000000,0.00111207926891,5.86167550305e-05,0.000606070514184,5.7508099295e-05,20.0,20.0,-1.6954477263e-05,0.000427109853549
490000000,0.00163818121376,5.86328672927e-05,0.00118284950772,5.75754213749e-05,20.0,20.0,-1.68457954818e-05,0.000440572079193
508000000,0.00220910479964,5.29468086592e-05,0.00179757750893,5.18960868469e-05,20.0,20.0,-1.67065181936e-05,0.000443483435383
567000000,0.00256498838868,4.60140606217e-05,0.00219022232165,4.49457253296e-05,20.0,20.0,-1.78280318722e-05,0.000439085961218
601000000,0.00266901540993,4.05472443702e-05,0.00232488127493,3.94489142924e-05,20.0,20.0,-1.98466328914e-05,0.000433141990635
645000000,0.00262155492682,3.68081213535e-05,0.00230308587414,3.56741727511e-05,20.0,20.0,-2.19891708402e-05,0.000428579174125
685000000,0.00252502423526,3.42811627248e-05,0.00222832458918,3.3109274689e-05,20.0,20.0,-2.34056658938e-05,0.000426080844298
729000000,0.00242626311693,3.22977806309e-05,0.00214829099693,3.1087265801e-05,20.0,20.0,-2.32718505216e-05,0.000425080608622
761000000,0.00234052198536,3.03788381657e-05,0.00207886291678,2.91302019145e-05,20.0,20.0,-2.09755705701e-05,0.00042478396177
802000000,0.00226410762933,2.84541693031e-05,0.0020184438052,2.72188015133e-05,20.0,20.0,-1.61988072367e-05,0.000424738963167
850000000,0.00218480034911,2.64900334055e-05,0.0019537619766,2.52377657382e-05,20.0,20.0,-8.8055058302e-06,0.000424898973604
890000000,0.00211887018833,2.51749860258e-05,0.0019006487461,2.38923666385e-05,20.0,20.0,8.9188493871e-07,0.000425160918667
925000000,0.00206580334156,2.40931734267e-05,0.0018586580508,2.27784856011e-05,20.0,20.0,1.27388515854e-05,0.000425646993624
969000000,0.00201307498238,2.29871193292e-05,0.00181639581647,2.16769486402e-05,17.1770899221,17.1839683829,2.6431747891e-05,0.000426623645783
1005000000,0.00195771130577,2.2008244144e-05,0.00177054756622,2.06871900451e-05,10.0309745376,10.0438974618,4.12844820926e-05,0.000428215993071
1046000000,0.00189819761601,2.10818910013e-05,0.00171947154851,1.97446152445e-05,1.00802533918,1.02621416488,5.6762852038e-05,0.000430361202509
1085000000,0.00183838876149,2.03072568319e-05,0.00166801731502,1.89937404538e-05,-9.20405042761,-9.181305298,7.21419721787e-05,0.000432882387762
