%time,field.x,field.y,field.z
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
166000000,0.0,0.0,0.0
471000000,0.0,0.0,0.0
744000000,0.0,0.0,0.0
1047000000,0.0,0.0,0.0
1340000000,0.0,0.0,0.0
1679000000,0.0,0.0,0.0
2016000000,0.0,0.0,0.0
2402000000,0.0,0.0,0.0
2685000000,0.0,0.0,0.0
3108000000,0.0,0.0,0.0
3404000000,0.0,0.0,0.0
3717000000,0.0,0.0,0.0
4073000000,0.0,0.0,0.0
4335000000,0.0,0.0,0.0
4727000000,0.0,0.0,0.0
5016000000,0.0,0.0,0.0
5307000000,0.0,0.0,0.0
5576000000,0.0,0.0,0.0
5902000000,0.0,0.0,0.0
6260000000,0.0,0.0,0.0
6562000000,0.15,0.0,0.0
6789000000,0.15,0.0,0.0
7132000000,0.15,0.0,0.0
7320000000,0.15,0.0,0.0
7699000000,0.0,0.0,0.0
8035000000,0.0,0.0,0.0
8310000000,0.0,0.0,0.0
8569000000,0.0,0.0,0.0
8901000000,0.0,0.0,0.0
9224000000,-0.15,0.0,0.0
9528000000,-0.15,0.0,0.0
9810000000,-0.15,0.0,0.0
10069000000,-0.15,0.0,0.0
10415000000,0.0,0.0,0.0
10713000000,0.0,0.0,0.0
11045000000,0.0,0.0,0.0
11421000000,0.0,0.0,0.0
11695000000,0.0,0.0,0.0
12036000000,0.0,0.0,0.0
12358000000,0.0,0.0,0.0
12642000000,0.0,0.0,0.0
12902000000,0.0,0.0,0.0
13258000000,0.0,0.0,0.0
13678000000,0.0,0.0,0.0
13921000000,0.0,0.0,0.0
14242000000,0.0,0.0,0.0
14759000000,0.0,0.0,0.0
14942000000,0.0,0.0,0.0
15325000000,0.0,0.0,0.0
15636000000,0.0,0.0,0.0
15943000000,0.0,0.0,0.0
16258000000,0.0,0.0,0.0
16603000000,0.0,0.0,0.0
16893000000,0.0,0.0,0.0
17218000000,0.0,0.0,0.0
17509000000,0.0,0.0,0.0
17800000000,0.0,0.0,0.0
18196000000,0.0,0.0,0.0
18460000000,0.0,0.0,0.0
18737000000,0.0,0.0,0.0
19206000000,0.0,0.0,0.0
19467000000,0.0,0.0,0.0
19820000000,0.0,0.15,0.0
20233000000,0.0,0.15,0.0
20451000000,0.0,0.15,0.0
20719000000,0.0,0.15,0.0
21051000000,0.0,0.15,0.0
21413000000,0.0,0.15,0.0
21753000000,0.0,0.0,0.0
21981000000,0.0,0.0,0.0
22220000000,0.0,0.0,0.0
22519000000,0.0,0.0,0.0
22822000000,0.0,0.0,0.0
23168000000,0.0,-0.15,0.0
23458000000,0.0,-0.15,0.0
23755000000,0.0,-0.15,0.0
24033000000,0.0,0.0,0.0
24436000000,0.0,0.0,0.0
24811000000,0.0,0.0,0.0
25100000000,0.0,0.0,0.0
25421000000,0.0,0.0,0.0
25742000000,0.0,0.0,0.0
26102000000,0.0,0.0,0.0
26426000000,0.0,0.0,0.0
26660000000,0.0,0.0,0.0
27026000000,0.0,0.0,0.0
27282000000,0.0,0.0,0.0
