%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
43000000,0,43000000,,-1.17006865993e-15,-1.1732251773e-15,-1.17322547804e-15,-1.17006893005e-15
45000000,1,45000000,,-2.35969740131e-15,-2.36165361901e-15,-2.36165392718e-15,-2.35969767886e-15
86000000,2,86000000,,-3.55466020603e-15,-3.55643553725e-15,-3.55649970568e-15,-3.55472436779e-15
127000000,3,127000000,,-4.74903985614e-15,-4.75161397509e-15,-4.75165570233e-15,-4.74908149405e-15
162000000,4,162000000,,0.000210298798506,0.000210300976338,-0.000210298798518,-0.00021030097635
206000000,5,206000000,,0.000256773647981,0.000170166425178,-0.000256773647995,-0.000170166425192
255000000,6,255000000,,0.000189159716824,0.000132650106722,-0.00018915971684,-0.000132650106737
297000000,7,297000000,,0.000135591091691,0.000210712088875,-0.000135591091708,-0.000210712088891
340000000,8,340000000,,0.00014178636541,0.000179959701627,-0.000141786365427,-0.000179959701644
378000000,9,378000000,,0.000128374009958,0.00014001662087,-0.000128374009976,-0.000140016620887
414000000,10,414000000,,0.00013512308183,0.00013377006979,-0.000135123081848,-0.000133770069808
452000000,11,452000000,,0.000131724753916,0.000133715904068,-0.000131724753934,-0.000133715904086
492000000,12,492000000,,0.000121251455157,0.000126173870808,-0.000121251455175,-0.000126173870826
535000000,13,535000000,,0.000108813822582,0.000115178690702,-0.0001088138226,-0.000115178690719
577000000,14,577000000,,9.77693070348e-05,0.000104196217359,-9.77693070523e-05,-0.000104196217376
614000000,15,614000000,,8.82895023406e-05,9.41705425646e-05,-8.82895023575e-05,-9.41705425815e-05
654000000,16,654000000,,8.00347712252e-05,8.52398528841e-05,-8.00347712416e-05,-8.52398529004e-05
692000000,17,692000000,,7.2924486933e-05,7.75020953302e-05,-7.29244869487e-05,-7.75020953459e-05
731000000,18,731000000,,6.64450125647e-05,7.04205073441e-05,-6.64450125797e-05,-7.04205073591e-05
772000000,19,772000000,,6.04965987166e-05,6.38126612041e-05,-6.04965987309e-05,-6.38126612184e-05
809000000,20,809000000,,5.50198609256e-05,5.75616821685e-05,-5.50198609393e-05,-5.75616821822e-05
860000000,21,860000000,,5.00163002562e-05,5.16151151324e-05,-5.00163002694e-05,-5.16151151455e-05
899000000,22,899000000,,4.53606017749e-05,4.58107487004e-05,-4.53606017877e-05,-4.58107487131e-05
934000000,23,934000000,,4.12102841556e-05,4.03326572849e-05,-4.12102841682e-05,-4.03326572974e-05
973000000,24,973000000,,3.75994789876e-05,3.51894063666e-05,-3.75994790001e-05,-3.5189406379e-05
1011000000,25,1011000000,,3.44413877945e-05,3.03423190153e-05,-3.4441387807e-05,-3.03423190278e-05
1055000000,26,1055000000,,3.16520220135e-05,2.56940768004e-05,-3.16520220262e-05,-2.5694076813e-05
1096000000,27,1096000000,,2.92074494713e-05,2.12363208065e-05,-2.92074494842e-05,-2.12363208193e-05
1137000000,28,1137000000,,2.68716380993e-05,1.67355453102e-05,-2.68716381125e-05,-1.67355453234e-05
1174000000,29,1174000000,,2.51133993579e-05,-7.25932216757e-06,-2.51133993714e-05,7.25932215414e-06
1213000000,30,1213000000,,2.37987075499e-05,-1.63925041241e-05,-2.37987075636e-05,1.63925041104e-05
1253000000,31,1253000000,,2.28852618347e-05,-2.09005997813e-05,-2.28852618487e-05,2.09005997673e-05
1293000000,32,1293000000,,1.00984141191e-05,-2.49733587059e-05,-1.00984141333e-05,2.49733586917e-05
1332000000,33,1332000000,,6.6578600316e-06,-2.95161668168e-05,-6.65786004592e-06,2.95161668025e-05
1378000000,34,1378000000,,6.19967486999e-06,-3.43745235575e-05,-6.19967488442e-06,3.43745235431e-05
1417000000,35,1417000000,,6.12885411703e-06,-3.94467626277e-05,-6.12885413153e-06,3.94467626132e-05
1457000000,36,1457000000,,5.98130818445e-06,-4.43169514205e-05,-5.98130819901e-06,4.43169514059e-05
1484000000,37,1484000000,,5.80830834047e-06,-4.87831269772e-05,-5.80830835506e-06,4.87831269627e-05
1541000000,38,1541000000,,5.66462773617e-06,-5.27730334614e-05,-5.66462775078e-06,5.27730334468e-05
1563000000,39,1563000000,,5.7847168622e-06,-5.59451245622e-05,-5.78471687684e-06,5.59451245475e-05
1626000000,40,1626000000,,6.12581870114e-06,-5.82019835322e-05,-6.12581871583e-06,5.82019835176e-05
1658000000,41,1658000000,,6.68417951408e-06,-5.94426894109e-05,-6.68417952883e-06,5.94426893962e-05
1697000000,42,1697000000,,7.51777809181e-06,-5.9413775601e-05,-7.51777810666e-06,5.94137755862e-05
1742000000,43,1742000000,,1.50558006384e-05,-2.79381164551e-05,-1.50558006534e-05,2.79381164402e-05
1774000000,44,1774000000,,2.03426762562e-05,-3.70287384272e-06,-2.03426762713e-05,3.70287382762e-06
1812000000,45,1812000000,,2.51579262116e-05,1.32859021088e-05,-2.51579262269e-05,-1.32859021241e-05
1859000000,46,1859000000,,2.82066850752e-05,2.75025139532e-05,-2.82066850907e-05,-2.75025139687e-05
1908000000,47,1908000000,,3.11036739769e-05,3.76898209862e-05,-3.11036739926e-05,-3.76898210019e-05
1928000000,48,1928000000,,3.3080918234e-05,4.7418756856e-05,-3.30809182499e-05,-4.74187568718e-05
1971000000,49,1971000000,,3.50380166354e-05,5.43059335983e-05,-3.50380166515e-05,-5.43059336143e-05
2019000000,50,2019000000,,3.62849420505e-05,6.05557957156e-05,-3.62849420667e-05,-6.05557957319e-05
2069000000,51,2069000000,,3.40821149682e-05,4.41870545744e-05,-3.40821149847e-05,-4.41870545908e-05
2096000000,52,2096000000,,3.49036085447e-05,4.52344924887e-05,-3.49036085613e-05,-4.52344925052e-05
2137000000,53,2137000000,,3.6773939579e-05,5.2588159878e-05,-3.67739395957e-05,-5.25881598947e-05
2181000000,54,2181000000,,3.88047619982e-05,6.11388272644e-05,-3.8804762015e-05,-6.11388272812e-05
2208000000,55,2208000000,,4.07437541698e-05,6.93569571419e-05,-4.07437541868e-05,-6.93569571588e-05
2262000000,56,2262000000,,4.25706616704e-05,7.71286962964e-05,-4.25706616874e-05,-7.71286963134e-05
2291000000,57,2291000000,,4.43140409479e-05,8.46237844296e-05,-4.4314040965e-05,-8.46237844467e-05
2325000000,58,2325000000,,4.594002852e-05,9.16760886228e-05,-4.59400285372e-05,-9.167608864e-05
2398000000,59,2398000000,,4.74004144412e-05,9.80672470467e-05,-4.74004144585e-05,-9.8067247064e-05
2408000000,60,2408000000,,4.8808369225e-05,0.0001041959983,-4.88083692425e-05,-0.000104195998317
2452000000,61,2452000000,,4.98116748834e-05,0.000108433541773,-4.9811674901e-05,-0.000108433541791
2485000000,62,2485000000,,4.46592480439e-05,8.4117229862e-05,-4.46592480617e-05,-8.41172298797e-05
2528000000,63,2528000000,,4.16876879096e-05,6.67224976857e-05,-4.16876879274e-05,-6.67224977035e-05
2562000000,64,2562000000,,3.95267454524e-05,5.51579178205e-05,-3.95267454703e-05,-5.51579178384e-05
2623000000,65,2623000000,,3.84240159658e-05,4.51678943341e-05,-3.84240159839e-05,-4.51678943522e-05
2647000000,66,2647000000,,3.74399408418e-05,3.66272168011e-05,-3.743994086e-05,-3.66272168193e-05
2692000000,67,2692000000,,3.70231450914e-05,3.05681807699e-05,-3.70231451097e-05,-3.05681807882e-05
2725000000,68,2725000000,,3.65874917355e-05,2.62857753749e-05,-3.6587491754e-05,-2.62857753933e-05
2767000000,69,2767000000,,3.6434905968e-05,2.20004863496e-05,-3.64349059865e-05,-2.20004863681e-05
2815000000,70,2815000000,,3.6293914529e-05,1.82833177742e-05,-3.62939145476e-05,-1.82833177928e-05
2855000000,71,2855000000,,3.99254520616e-05,3.86390547206e-05,-3.99254520803e-05,-3.86390547393e-05
2899000000,72,2899000000,,4.06042588571e-05,4.09467063651e-05,-4.06042588759e-05,-4.09467063838e-05
2925000000,73,2925000000,,4.02688832792e-05,3.70014749881e-05,-4.0268883298e-05,-3.70014750069e-05
2975000000,74,2975000000,,3.96675390977e-05,3.15069527164e-05,-3.96675391166e-05,-3.15069527353e-05
3033000000,75,3033000000,,3.89823010376e-05,2.56234226732e-05,-3.89823010565e-05,-2.56234226921e-05
3052000000,76,3052000000,,3.81376264151e-05,1.88199014905e-05,-3.81376264341e-05,-1.88199015095e-05
3103000000,77,3103000000,,3.73823051756e-05,1.29686867445e-05,-3.73823051947e-05,-1.29686867635e-05
3130000000,78,3130000000,,3.64720524918e-05,6.40749299095e-06,-3.6472052511e-05,-6.40749301009e-06
3186000000,79,3186000000,,3.55009139499e-05,-3.42714137933e-07,-3.55009139691e-05,3.42714118728e-07
3211000000,80,3211000000,,3.44681502401e-05,-7.17194984563e-06,-3.44681502594e-05,7.17194982636e-06
3253000000,81,3253000000,,3.34267569333e-05,-1.37446086698e-05,-3.34267569526e-05,1.37446086505e-05
3300000000,82,3300000000,,3.23917000023e-05,-1.98841299407e-05,-3.23917000217e-05,1.98841299213e-05
3340000000,83,3340000000,,3.14022021902e-05,-2.51221116533e-05,-3.14022022097e-05,2.51221116339e-05
3365000000,84,3365000000,,3.04629543064e-05,-2.98401756932e-05,-3.04629543259e-05,2.98401756737e-05
3411000000,85,3411000000,,2.96338687113e-05,-3.34089870969e-05,-2.96338687309e-05,3.34089870773e-05
3469000000,86,3469000000,,2.89010966049e-05,-3.58357352736e-05,-2.89010966245e-05,3.5835735254e-05
3490000000,87,3490000000,,3.10914856501e-05,-6.56070381747e-06,-3.10914856698e-05,6.56070379779e-06
3536000000,88,3536000000,,3.29857533802e-05,1.35793631286e-05,-3.29857533999e-05,-1.35793631483e-05
3583000000,89,3583000000,,4.44786021423e-05,2.89538516125e-05,-4.44786021621e-05,-2.89538516323e-05
3623000000,90,3623000000,,5.24575515003e-05,3.95574994137e-05,-5.24575515202e-05,-3.95574994335e-05
3652000000,91,3652000000,,5.70044467631e-05,4.87145204257e-05,-5.70044467831e-05,-4.87145204456e-05
3688000000,92,3688000000,,6.01031845093e-05,5.51456757806e-05,-6.01031845292e-05,-5.51456758006e-05
3742000000,93,3742000000,,6.13198625772e-05,6.019954674e-05,-6.13198625972e-05,-6.01995467601e-05
3771000000,94,3771000000,,6.18214412576e-05,6.40126298346e-05,-6.18214412777e-05,-6.40126298547e-05
3812000000,95,3812000000,,5.50427713902e-05,4.56028822402e-05,-5.50427714103e-05,-4.56028822603e-05
3850000000,96,3850000000,,5.40753396756e-05,4.47730722357e-05,-5.40753396958e-05,-4.47730722559e-05
3894000000,97,3894000000,,5.49782425829e-05,4.98026747478e-05,-5.49782426031e-05,-4.9802674768e-05
3934000000,98,3934000000,,5.62338600296e-05,5.60356232472e-05,-5.62338600498e-05,-5.60356232675e-05
3975000000,99,3975000000,,5.74468162693e-05,6.23814632473e-05,-5.74468162896e-05,-6.23814632676e-05
4022000000,100,4022000000,,5.8599760809e-05,6.86940036752e-05,-5.85997608293e-05,-6.86940036955e-05
4055000000,101,4055000000,,5.97307769884e-05,7.49988388713e-05,-5.97307770087e-05,-7.49988388917e-05
4101000000,102,4101000000,,6.08170682233e-05,8.1235802689e-05,-6.08170682437e-05,-8.12358027094e-05
4121000000,103,4121000000,,6.18376293109e-05,8.72967781123e-05,-6.18376293314e-05,-8.72967781328e-05
4173000000,104,4173000000,,6.27254691329e-05,9.29116437755e-05,-6.27254691534e-05,-9.2911643796e-05
4214000000,105,4214000000,,6.33902612515e-05,9.78812903083e-05,-6.3390261272e-05,-9.78812903289e-05
4243000000,106,4243000000,,6.38316838965e-05,0.000102011279954,-6.38316839171e-05,-0.000102011279974
4285000000,107,4285000000,,6.39417548092e-05,0.000105004959843,-6.39417548298e-05,-0.000105004959864
4329000000,108,4329000000,,5.56657805351e-05,8.10218659599e-05,-5.56657805558e-05,-8.10218659806e-05
4366000000,109,4366000000,,4.95300285515e-05,6.23437245585e-05,-4.95300285722e-05,-6.23437245792e-05
4406000000,110,4406000000,,4.52747752306e-05,5.02200394828e-05,-4.52747752513e-05,-5.02200395035e-05
4461000000,111,4461000000,,4.29673244325e-05,4.04570299023e-05,-4.29673244532e-05,-4.04570299231e-05
4491000000,112,4491000000,,4.12387432186e-05,3.37861111516e-05,-4.12387432393e-05,-3.37861111724e-05
4536000000,113,4536000000,,4.04127644468e-05,2.80518530627e-05,-4.04127644675e-05,-2.80518530835e-05
4565000000,114,4565000000,,4.45196044825e-05,2.87086320759e-05,-4.45196045033e-05,-2.87086320967e-05
