%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
121000000,0,121000000,,427.0,427.0,427.0,427.0
242000000,1,242000000,,777.001596237,777.001728247,776.996736394,776.997041579
320000000,2,320000000,,479.334231935,479.334782466,479.325153561,479.323729641
440000000,3,440000000,,645.121602783,645.122909842,645.108756012,645.107357854
520000000,4,520000000,,654.890560056,654.892007808,654.874383535,654.872894065
640000000,5,640000000,,609.902913616,609.904458084,609.884155092,609.882558183
720000000,6,720000000,,458.27440672,458.27603968,458.253893684,458.252224964
840000000,7,840000000,,324.561834164,324.56352823,324.540118697,324.538398843
920000000,8,920000000,,286.963828907,286.965555326,286.941380865,286.939647383
1000000000,9,1000000000,,327.39868358,327.400406446,327.375805537,327.374092023
1120000000,10,1120000000,,411.678664336,411.680336581,411.65559722,411.653962278
1240000000,11,1240000000,,463.694775517,463.696176528,463.671682713,463.670485002
1320000000,12,1320000000,,458.885622824,458.886635862,458.862862783,458.862041119
1440000000,13,1440000000,,448.58950089,448.590119328,448.567217787,448.56679366
1520000000,14,1520000000,,410.083403286,410.083569299,410.061595642,410.061680322
1640000000,15,1640000000,,392.321637077,392.321294951,392.300254517,392.300845908
1720000000,16,1720000000,,383.15338527,383.126062055,383.132354748,383.106954949
1840000000,17,1840000000,,403.40253713,403.391543632,403.381513354,403.372293882
1922000000,18,1922000000,,414.529369856,414.518993026,414.508123542,414.498622976
2040000000,19,2040000000,,439.748693246,439.739148133,439.72708452,439.717094145
2120000000,20,2120000000,,432.121621016,432.140662032,432.099713998,432.117409129
2244000000,21,2244000000,,427.898784895,427.899564248,427.876552401,427.875047656
2320000000,22,2320000000,,392.633158573,392.634467866,392.610550499,392.608468663
2443000000,23,2443000000,,447.347949244,447.349856078,447.324936295,447.322239815
2520000000,24,2520000000,,403.871751238,403.846860594,403.848471488,403.818276454
2641000000,25,2641000000,,448.830972661,448.824084695,448.807647052,448.795530415
2720000000,26,2720000000,,427.813315459,427.80645606,427.789992652,427.77867807
2800000000,27,2800000000,,432.388165203,432.380972354,432.364886425,432.354245226
2920000000,28,2920000000,,430.033251866,430.052078237,430.009912236,430.02577905
3040000000,29,3040000000,,419.944510061,419.945325788,419.921096755,419.919424332
3123000000,30,3123000000,,430.459375543,430.459910487,430.435947218,430.43458827
3200000000,31,3200000000,,433.405933271,433.406089428,433.38250871,433.381593498
3328000000,32,3328000000,,419.806576343,419.806240726,419.783158,419.782777571
3443000000,33,3443000000,,420.58820614,420.587325478,420.564849734,420.565030245
3522000000,34,3522000000,,437.475931418,437.449220981,437.452590904,437.427304924
3643000000,35,3643000000,,429.129936956,429.12252693,429.10623084,429.099856568
3722000000,36,3722000000,,430.341269277,430.334753493,430.316822393,430.310686443
3840000000,37,3840000000,,427.605255508,427.618886477,427.580002287,427.59327359
3920000000,38,3920000000,,426.92880908,426.928533877,426.902966704,426.901868096
4040000000,39,4040000000,,437.728063759,437.728018363,437.701693503,437.700325582
4120000000,40,4120000000,,425.64534853,425.645605925,425.61844679,425.616737643
4240000000,41,4240000000,,438.116576774,438.117221871,438.089155322,438.087015724
4320000000,42,4320000000,,434.878991137,434.880082,434.851084929,434.848476734
4440000000,43,4440000000,,423.412562866,423.397568904,423.384575268,423.365723473
4520000000,44,4520000000,,438.128981444,438.124659858,438.101159809,438.093506757
4600000000,45,4600000000,,414.647386402,414.658776604,414.619659771,414.628536762
4722000000,46,4722000000,,445.309958304,445.310382663,445.282144336,445.280322503
4841000000,47,4841000000,,440.980583607,440.98081128,440.952676356,440.951160994
4920000000,48,4920000000,,418.607183611,418.607033917,418.579189518,418.578135044
5040000000,49,5040000000,,433.405648387,433.404983797,433.377566498,433.377070948
5120000000,50,5120000000,,431.017551305,431.016270228,430.989356455,430.989541271
5240000000,51,5240000000,,435.470789268,435.468765251,435.442444244,435.443430283
5320000000,52,5320000000,,436.833810022,436.809785195,436.805129057,436.785181054
5400000000,53,5400000000,,437.545784377,437.535571543,437.51662546,437.510642022
5520000000,54,5520000000,,427.84238563,427.832572504,427.812748169,427.806605997
5640000000,55,5640000000,,435.227190702,435.217989353,435.197191585,435.190569282
5720000000,56,5720000000,,429.514646718,429.526764904,429.484268052,429.498382212
5840000000,57,5840000000,,422.552227884,422.550553066,422.52148321,422.52119616
5920000000,58,5920000000,,430.270260198,430.268964043,430.239191577,430.238470292
6000000000,59,6000000000,,437.646435429,437.64566897,437.615132512,437.61378771
6120000000,60,6120000000,,439.056062127,439.056016365,439.024666619,439.022512686
6240000000,61,6240000000,,432.542446868,432.524448176,432.511064603,432.489356593
6320000000,62,6320000000,,421.226349841,421.221521802,421.195313238,421.186009342
6440000000,63,6440000000,,422.764739192,422.759974804,422.7341106,422.725148338
6520000000,64,6520000000,,435.290464793,435.285553417,435.260044594,435.25183114
6601000000,65,6601000000,,439.702737925,439.714966266,439.672650853,439.681671172
6720000000,66,6720000000,,443.649692429,443.626531082,443.619469216,443.629807881
6842000000,67,6842000000,,427.942382522,427.891735233,427.911690478,427.963444069
6920000000,68,6920000000,,426.279824653,426.185764268,426.248552342,426.343530546
7000000000,69,7000000000,,424.169767962,424.033634942,424.137915436,424.278390903
7120000000,70,7120000000,,431.214208255,431.044246423,431.181841037,431.360751327
7240000000,71,7240000000,,438.76364807,438.576059188,438.730891319,438.930298856
7320000000,72,7320000000,,442.560768961,442.371183415,442.527753147,442.721714179
7440000000,73,7440000000,,437.051734262,436.882088247,437.01858547,437.197748606
7520000000,74,7520000000,,420.585797303,420.444327144,420.552629951,420.706018353
7640000000,75,7640000000,,435.487587659,435.386364588,435.454616729,435.572455891
7722000000,76,7722000000,,434.812814944,434.741449493,434.780155964,434.847048557
7801000000,77,7801000000,,438.304121524,438.268050268,438.271818346,438.273974771
7920000000,78,7920000000,,435.323231331,435.350299724,435.291328452,435.228338582
8040000000,79,8040000000,,436.697069267,436.79031021,436.665612795,436.533672151
8120000000,80,8120000000,,434.628026546,434.783782747,434.597064072,434.414319267
8200000000,81,8200000000,,430.829028505,431.023496049,430.798598994,430.573790317
8320000000,82,8320000000,,442.227334051,442.446008669,442.197456428,441.97538671
8441000000,83,8441000000,,427.183580954,427.389469168,427.15427549,426.94571253
8522000000,84,8522000000,,439.666102352,439.844558139,439.637411068,439.468247513
8640000000,85,8640000000,,435.008241574,435.142470555,434.980222921,434.874088825
8720000000,86,8720000000,,419.292548235,419.368874129,419.265123457,419.217388579
8800000000,87,8800000000,,428.097306565,428.111636255,428.070473235,428.085849903
8920000000,88,8920000000,,434.302919431,434.254724501,434.276683348,434.352701574
9000000000,89,9000000000,,443.171632957,443.067313322,443.145972694,443.277912808
9120000000,90,9120000000,,424.478210641,424.319055191,424.45320548,424.619772808
