%time,field.layout.data_offset,field.data0,field.data1
41000000,0,-429.95943108,-429.95943108
82000000,0,-429.95943108,-429.95943108
119000000,0,-429.95943108,-429.95943108
151000000,0,-392.428329936,-389.325008582
197000000,0,-323.107665414,-320.556697304
242000000,0,-272.519154724,-270.371292686
279000000,0,-189.710341188,-187.857323217
316000000,0,-110.348651165,-108.768894828
350000000,0,-86.8584944897,-85.4894146844
404000000,0,-63.9646580322,-62.8241457784
440000000,0,-47.5950270946,-46.6179400712
475000000,0,-10.2125166343,-9.37471817064
526000000,0,23.8752598451,24.5882777813
560000000,0,52.8801085262,53.4924627061
599000000,0,78.316528759,78.8407343689
642000000,0,100.49070982,100.938071977
681000000,0,112.58504526,112.970463932
719000000,0,122.54163505,122.872840744
760000000,0,109.644437309,109.929693154
799000000,0,97.6163383045,97.8624502788
844000000,0,87.3666683327,87.5794241049
885000000,0,60.4988705143,60.6827092992
911000000,0,35.9668366061,36.1267044515
964000000,0,9.8896000088,10.0291419467
1001000000,0,-12.1965048415,-12.0738760415
1049000000,0,-25.9767641221,-25.8688885142
1086000000,0,-37.5641631077,-37.4691440596
1121000000,0,-47.177694456,-47.0933419033
1160000000,0,-43.5862963619,-43.5107972268
1200000000,0,-39.9344769925,-39.8665511807
1246000000,0,-36.5893809918,-36.5283924052
1275000000,0,-26.5508725003,-26.6745700634
1319000000,0,-17.6405953196,-17.7425890149
1356000000,0,-10.6759906959,-10.7595330472
1396000000,0,-4.95910689321,-5.02729484181
1434000000,0,0.0476796955509,-0.00706102810597
1477000000,0,2.89006736822,2.84697873535
1522000000,0,5.05233642754,5.01824091128
1556000000,0,1.63259672473,1.60734152936
1597000000,0,-1.55081144311,-1.5691081049
1638000000,0,-4.20087035387,-4.21337431704
1679000000,0,-9.14062407582,-9.14799953008
1715000000,0,-13.3572690901,-13.3603925045
1756000000,0,-18.1602376236,-18.159871001
1799000000,0,-22.4963255783,-22.4928333956
1832000000,0,-26.0106789205,-26.004653466
1870000000,0,-26.5139392532,-26.5056450688
1917000000,0,-26.523833294,-26.5135705073
1957000000,0,-25.0774866469,-25.0657516238
1996000000,0,-23.5888349696,-23.5756290489
2030000000,0,-22.3856510176,-22.371256281
2076000000,0,-17.8278797363,-17.8124442442
2114000000,0,-13.841958604,-13.8256314461
2159000000,0,-11.2663712504,-11.249185255
2190000000,0,-9.3299033443,-9.31203544049
2237000000,0,-7.71247263593,-7.69403516967
2277000000,0,-6.68128760378,-6.66227562743
2317000000,0,-5.9857415024,-5.96624239732
2363000000,0,-10.1649950933,-10.145060178
2400000000,0,-14.3688786434,-14.3485303365
2437000000,0,-17.9226478545,-17.9019500828
2473000000,0,-14.7977895921,-14.7767861274
2519000000,0,-10.1520973029,-10.1308035831
2560000000,0,-12.0272965587,-12.0056993509
2594000000,0,-14.1096535794,-14.0878075851
2637000000,0,-15.9656095529,-15.943541844
2680000000,0,-11.8016870527,-11.7794469231
2718000000,0,-7.26990858427,-7.24750796887
2760000000,0,-6.35514080302,-6.33260067383
2802000000,0,-5.75055461135,-5.72790143495
2836000000,0,-4.61974591616,-4.59700192098
2896000000,0,-3.53332554173,-3.51049884468
2917000000,0,-2.6552398168,-2.63234627756
2957000000,0,-2.25634794161,-2.23339017648
3000000000,0,-1.90742156249,-1.8844060387
3038000000,0,-1.62462056454,-1.60155822623
3079000000,0,-2.94292441646,-2.91980475603
3114000000,0,-3.74527022286,-3.72211735822
3154000000,0,-3.61389434153,-3.5906960072
3192000000,0,-3.00910171645,-2.98586937682
3242000000,0,-2.07823181295,-2.0549710265
3278000000,0,-1.26482898786,-1.24154398609
3317000000,0,-0.445883905933,-0.422574522835
3359000000,0,-0.735317353607,-0.71199487808
3400000000,0,-2.163337264,-2.14000028512
3438000000,0,-3.29325503251,-3.2699065823
3480000000,0,-4.24510301542,-4.21889201742
3518000000,0,-5.00648529381,-4.98069638076
3585000000,0,-3.42023397664,-3.27830704807
3598000000,0,-1.88131753398,-1.75611270386
3650000000,0,-0.495242794456,-0.385099212732
3680000000,0,-0.377316434836,-0.28025476119
3717000000,0,-0.452515854144,-0.367045876853
3758000000,0,-0.375047889259,-0.297993569173
3798000000,0,-0.266752093274,-0.197476107152
3839000000,0,-0.174468651353,-0.111820926249
3879000000,0,-0.453372793465,-0.396267958911
3919000000,0,-0.731573931618,-0.679069769229
3973000000,0,-1.07396413016,-1.02550084213
3999000000,0,-1.37383315499,-1.32879145973
4038000000,0,-1.61110390514,-1.56876953902
4078000000,0,-0.274846505812,-0.234986315133
4119000000,0,0.883151148011,0.921062841637
4161000000,0,0.19343401233,0.229714178392
4195000000,0,-0.492432989275,-0.457571385162
4237000000,0,-1.04832078496,-1.01460891011
4280000000,0,0.254916764888,0.287673621472
4320000000,0,1.41925608573,1.45122406414
4362000000,0,2.033872537,2.05372798259
4404000000,0,2.46613479807,2.48720798412
4446000000,0,2.82476284349,2.84684634266
4461000000,0,1.63236041029,1.65531545499
4530000000,0,0.446903550328,0.470585509671
4559000000,0,1.46001722879,1.5347909724
4600000000,0,2.44794986222,2.51578144515
4646000000,0,1.72670112171,1.78874739132
4678000000,0,-0.73839392087,-0.681304809188
4722000000,0,-3.09479365515,-3.04244311966
4750000000,0,-0.773520983602,-0.72454652066
4794000000,0,1.60640719555,1.65225294779
4830000000,0,3.68110787077,3.72422617331
4877000000,0,4.8067914767,4.84765976999
4920000000,0,5.7214970308,5.76044895365
4959000000,0,3.32802883478,3.36539770112
4999000000,0,1.15331964694,1.18930239527
5037000000,0,-0.742481409678,-0.707707009545
