%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1000000,0,1000000,world,0.0,0.0,0.74,0.0,0.0,0.0,1.0
11000000,1,11000000,world,-1.07738277069e-27,-1.09807001825e-27,0.739461,-5.3725141903e-27,4.12735521657e-27,1.15199516752e-27,1.0
21000000,2,21000000,world,1.63692024856e-24,1.51811157212e-24,0.737942,1.20292517363e-23,-1.19965837191e-23,-1.854574052e-24,1.0
31000000,3,31000000,world,-4.38394968409e-25,-6.00545634499e-25,0.735443,7.22102059036e-24,-1.67577970031e-23,7.60542676413e-25,1.0
41000000,4,41000000,world,-1.4288227372e-24,-1.79321964477e-24,0.731964,3.00119168489e-24,-2.37804484207e-23,1.87282292978e-24,1.0
51000000,5,51000000,world,-3.25176335573e-19,3.25088079529e-19,0.727505,-3.24760764905e-20,-3.12029071387e-20,1.96367807688e-25,1.0
61000000,6,61000000,world,-1.03932950777e-18,1.03873114951e-18,0.722066,-1.13780278002e-19,-9.6010008738e-20,-8.24286769097e-25,1.0
71000000,7,71000000,world,-1.79586477776e-18,1.79492585481e-18,0.715647,-1.67544757709e-19,-1.41465168305e-19,1.20688857232e-24,1.0
81000000,8,81000000,world,-2.59009748854e-18,2.58894073649e-18,0.708248,-1.56252401586e-19,-1.2735120427e-19,-2.34152412043e-24,1.0
91000000,9,91000000,world,-3.43351076191e-18,3.42428442863e-18,0.699869,-8.06138332875e-20,-5.5115617766e-20,-1.67222238838e-24,1.0
101000000,10,101000000,world,-4.34607211219e-18,4.30977971301e-18,0.69051,8.80527578493e-20,7.17832895998e-20,-4.48288046957e-24,1.0
111000000,11,111000000,world,-5.28529752314e-18,5.22057136022e-18,0.680171,2.88307466197e-19,2.14252324435e-19,-3.19375795469e-24,1.0
121000000,12,121000000,world,-6.2448525506e-18,6.14981117636e-18,0.668852,3.84281645442e-19,2.7049149364e-19,-3.37583852138e-24,1.0
131000000,13,131000000,world,1.19280108197e-10,1.25028046266e-10,0.656553009453,5.69756603881e-09,-5.43559042665e-09,-5.8107079611e-15,1.0
141000000,14,141000000,world,3.09178680812e-09,3.24071897688e-09,0.643274636794,1.46695425042e-07,-1.39953652839e-07,-3.55477447306e-14,1.0
151000000,15,151000000,world,1.39539129641e-08,1.46249824012e-08,0.629019732422,6.58405469303e-07,-6.28194578192e-07,-7.8186986872e-15,1.0
161000000,16,161000000,world,-6.32533115386e-07,1.29483671607e-06,0.624997931947,-9.75653085416e-07,-1.34692360172e-06,-3.16997293182e-07,0.999999999999
171000000,17,171000000,world,1.80391471841e-06,3.90239934019e-06,0.624998071426,-2.33567643448e-06,7.6757437907e-07,-3.89754269941e-07,0.999999999997
181000000,18,181000000,world,8.28273058776e-07,-9.64047936164e-07,0.624998760716,1.62981807425e-06,6.3225622809e-09,-2.22841674522e-07,0.999999999999
191000000,19,191000000,world,8.13968680255e-07,4.73330330119e-06,0.624997796629,-2.92483173476e-06,7.45161003956e-09,-1.94246118757e-07,0.999999999996
201000000,20,201000000,world,8.0193920656e-07,-1.15365557571e-06,0.624998646429,1.79059151661e-06,7.24522969032e-09,-2.04231845264e-07,0.999999999998
211000000,21,211000000,world,1.15605559102e-06,4.48682886963e-06,0.624998216733,-2.72931096103e-06,3.73985444978e-07,-2.1750586658e-07,0.999999999996
221000000,22,221000000,world,-8.54197167857e-07,-1.57465125033e-06,0.624997222234,2.14912479255e-06,-1.48165991386e-06,-1.22281687297e-07,0.999999999997
231000000,23,231000000,world,1.91744955978e-06,4.28567638966e-06,0.62499911028,-2.73801376278e-06,7.88523470448e-07,-9.0175018735e-07,0.999999999996
241000000,24,241000000,world,-2.39034664759e-06,-7.17313377519e-09,0.624998336202,7.51141907087e-07,-3.01627419536e-06,-3.33013635774e-07,0.999999999995
251000000,25,251000000,world,4.05560834383e-06,3.42610552368e-07,0.624997744464,5.62587496782e-07,2.33335921825e-06,-4.18170802781e-07,0.999999999997
261000000,26,261000000,world,3.36784525482e-07,-3.62964041134e-07,0.624998892087,9.65275292476e-07,-7.24116337824e-07,-9.35656983627e-07,0.999999999999
271000000,27,271000000,world,4.31657675486e-06,-1.11475824849e-06,0.624997114419,1.62553007616e-06,2.50058638043e-06,-2.78138527005e-07,0.999999999996
281000000,28,281000000,world,-9.90748738034e-07,2.21582002257e-06,0.624997939634,-1.22487186384e-06,-1.72379408334e-06,4.7360638718e-08,0.999999999998
291000000,29,291000000,world,3.79417065264e-06,6.09708187269e-07,0.624998468359,1.44663438507e-07,2.05516290781e-06,-1.34716455673e-07,0.999999999998
301000000,30,301000000,world,3.79211060481e-06,-6.23097040015e-08,0.625001083921,-2.02922022203e-08,1.36122927553e-06,-1.49104076673e-06,0.999999999998
311000000,31,311000000,world,2.05543299923e-06,-2.02858407953e-07,0.625000017359,1.51400673651e-08,-4.32694153034e-08,-1.51097293457e-06,0.999999999999
321000000,32,321000000,world,2.34837786124e-06,8.30670580352e-08,0.625000100838,-3.51235863165e-08,1.34974781255e-07,-2.2610776184e-06,0.999999999997
331000000,33,331000000,world,1.96841805331e-06,-1.84266145569e-07,0.625000102998,2.567962966e-08,-1.49004055715e-07,-2.94603185717e-06,0.999999999996
341000000,34,341000000,world,2.27716731602e-06,1.47813702657e-07,0.625000043079,-1.84435063797e-08,6.30387485389e-08,-3.6110137579e-06,0.999999999993
351000000,35,351000000,world,1.94797532157e-06,-4.00918636801e-08,0.625000121596,1.40425460244e-08,-1.71996660907e-07,-4.23618559501e-06,0.999999999991
361000000,36,361000000,world,2.3837392077e-06,1.9736160147e-07,0.625000156896,-7.22303786299e-09,1.89038605983e-07,-4.67376873506e-06,0.999999999989
371000000,37,371000000,world,1.87937120226e-06,8.08584284181e-08,0.625000124852,6.73687623365e-09,-1.78348059334e-07,-5.18259821327e-06,0.999999999987
381000000,38,381000000,world,2.12756419806e-06,3.29314118352e-07,0.625000059001,-9.19926507734e-08,2.4951476156e-08,-5.11393606646e-06,0.999999999987
391000000,39,391000000,world,2.05585271981e-06,1.46558829628e-07,0.625000042043,7.19467375482e-08,1.28638220821e-08,-5.11804508934e-06,0.999999999987
401000000,40,401000000,world,2.13444314209e-06,1.05487131186e-06,0.624999624866,-6.68515961523e-07,4.25440364887e-09,-5.14409699473e-06,0.999999999987
411000000,41,411000000,world,1.92445553906e-06,-1.03654503651e-06,0.624999358855,9.71068375561e-07,-1.31622204778e-07,-5.07640542665e-06,0.999999999987
421000000,42,421000000,world,2.03938688274e-06,2.64933715435e-07,0.624997599407,-6.99242602299e-08,-1.37379029286e-09,-5.08323989052e-06,0.999999999987
431000000,43,431000000,world,2.0305519197e-06,1.52114315733e-07,0.624999990448,-8.36658660391e-09,-4.00877394097e-09,-5.03368529137e-06,0.999999999987
441000000,44,441000000,world,2.02756697409e-06,-5.35891593472e-08,0.6250001093,1.60121455797e-07,2.19085799981e-09,-5.03807531342e-06,0.999999999987
451000000,45,451000000,world,2.01974680915e-06,1.84955923739e-07,0.625000010012,-2.7628186103e-08,3.79245229599e-09,-5.0419482055e-06,0.999999999987
461000000,46,461000000,world,2.01978062937e-06,-1.08409334776e-07,0.625000143033,2.04512411887e-07,2.61813326079e-09,-5.03953299626e-06,0.999999999987
471000000,47,471000000,world,1.99797451346e-06,1.49102091213e-07,0.62499999239,-6.47228281233e-09,-1.36176408568e-09,-5.05896094096e-06,0.999999999987
481000000,48,481000000,world,2.00403565058e-06,1.73537225924e-07,0.625000021557,-4.27012631314e-08,2.21148453709e-09,-5.03147458847e-06,0.999999999987
491000000,49,491000000,world,1.976456451e-06,2.84668385991e-08,0.62500002007,3.67541522152e-08,2.60391428267e-09,-5.02863604115e-06,0.999999999987
501000000,50,501000000,world,5.7220376055e-06,2.13749884791e-06,0.625003987373,1.42796165146e-07,2.8473298971e-07,-5.02833885788e-06,0.999999999987
511000000,51,511000000,world,9.83110648842e-06,3.54805875876e-06,0.625039925258,4.62228179036e-07,3.36581419174e-07,-5.02577375507e-06,0.999999999987
521000000,52,521000000,world,1.2521028572e-05,2.923472502e-06,0.625145369673,1.1019743121e-06,-6.26045108173e-10,-5.02261410796e-06,0.999999999987
531000000,53,531000000,world,1.38847959593e-05,3.79237359596e-07,0.625357378947,2.01028789327e-06,-6.67077967748e-07,-5.01894000216e-06,0.999999999985
541000000,54,541000000,world,1.67823765283e-05,-1.76977135586e-06,0.625713405261,2.91002093203e-06,-1.3016236769e-06,-5.0139711205e-06,0.999999999982
