%time,field.x,field.y,field.z
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
252000000,0.0,0.0,3.0
614000000,0.0,0.0,3.0
892000000,0.0,0.0,3.0
1214000000,0.0,0.0,3.0
1543000000,0.0,0.0,3.0
1816000000,0.0,0.0,3.0
2177000000,0.0,0.0,3.0
2517000000,0.0,0.0,3.0
2925000000,0.0,0.0,3.0
3267000000,0.0,0.0,3.0
3589000000,0.0,0.0,3.0
3911000000,0.0,0.0,3.0
4210000000,0.0,0.0,3.0
4541000000,0.0,0.0,3.0
4918000000,0.0,0.0,3.0
5129000000,0.0,0.0,3.0
5392000000,0.0,0.0,3.0
5725000000,0.0,0.0,3.0
6119000000,0.0,0.0,3.0
6407000000,0.0,0.0,3.0
6657000000,0.0,0.0,3.0
6979000000,0.0,0.0,3.0
7240000000,0.0,0.0,3.0
7561000000,0.0,0.0,3.0
7893000000,0.0,0.0,3.0
8165000000,0.0,0.0,3.0
8443000000,0.0,0.0,3.0
8834000000,0.0,0.0,3.0
9117000000,0.0,0.0,3.0
9355000000,0.0,0.0,3.0
9683000000,0.0,0.0,3.0
9943000000,0.0,0.0,3.0
10227000000,0.0,0.0,3.0
10512000000,0.0,0.0,3.0
10889000000,0.0,0.0,3.0
11206000000,0.0,0.0,3.0
11580000000,0.0,0.0,3.0
11850000000,0.0,0.0,3.0
12210000000,0.0,0.0,3.0
12523000000,0.0,0.0,3.0
12840000000,0.0,0.0,3.0
13124000000,0.0,0.0,3.0
13478000000,0.0,0.0,3.0
13814000000,0.0,0.0,3.0
14110000000,0.0,0.0,3.0
14551000000,0.0,0.0,3.0
14899000000,0.0,0.0,3.0
15112000000,0.0,0.0,3.0
15521000000,0.0,0.0,3.0
15762000000,0.0,0.0,3.0
16135000000,0.0,0.0,3.0
16404000000,0.0,0.0,3.0
16700000000,0.0,0.0,3.0
16987000000,0.0,0.0,3.0
17343000000,0.0,0.0,3.0
17664000000,0.0,0.0,3.0
17947000000,0.0,0.0,3.0
18245000000,0.0,0.0,3.0
18650000000,0.0,0.0,3.0
19021000000,0.0,0.0,3.0
19319000000,0.0,0.0,3.0
19656000000,0.0,0.0,3.0
19969000000,0.0,0.0,3.0
20296000000,0.0,0.0,3.0
20620000000,0.0,0.0,3.0
20883000000,0.0,0.0,3.0
21240000000,0.0,0.0,3.0
21598000000,0.0,0.0,3.0
21810000000,0.0,0.0,3.0
22089000000,0.0,0.0,3.0
22403000000,0.0,0.0,3.0
22625000000,0.0,0.0,3.0
22973000000,0.0,0.0,3.0
23336000000,0.0,0.0,3.0
23657000000,0.0,0.0,3.0
23874000000,0.0,0.0,3.0
24229000000,0.0,0.0,3.0
24649000000,0.0,0.0,3.0
24950000000,0.0,0.0,3.0
25279000000,0.0,0.0,3.0
25623000000,0.0,0.0,3.0
25916000000,0.0,0.0,3.0
26240000000,0.0,0.0,3.0
26507000000,0.0,0.0,3.0
26878000000,0.0,0.0,3.0
27200000000,0.0,0.0,3.0
27454000000,0.0,0.0,3.0
