%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1000000,0,1000000,world,0.0,0.0,0.74
11000000,1,11000000,world,-1.07738277069e-27,-1.09807001825e-27,0.739461
21000000,2,21000000,world,1.63692024856e-24,1.51811157212e-24,0.737942
31000000,3,31000000,world,-4.38394968409e-25,-6.00545634499e-25,0.735443
41000000,4,41000000,world,-1.4288227372e-24,-1.79321964477e-24,0.731964
51000000,5,51000000,world,-3.25176335573e-19,3.25088079529e-19,0.727505
61000000,6,61000000,world,-1.03932950777e-18,1.03873114951e-18,0.722066
71000000,7,71000000,world,-1.79586477776e-18,1.79492585481e-18,0.715647
81000000,8,81000000,world,-2.59009748854e-18,2.58894073649e-18,0.708248
91000000,9,91000000,world,-3.43351076191e-18,3.42428442863e-18,0.699869
101000000,10,101000000,world,-4.34607211219e-18,4.30977971301e-18,0.69051
111000000,11,111000000,world,-5.28529752314e-18,5.22057136022e-18,0.680171
121000000,12,121000000,world,-6.2448525506e-18,6.14981117636e-18,0.668852
131000000,13,131000000,world,1.19280108197e-10,1.25028046266e-10,0.656553009453
141000000,14,141000000,world,3.09178680812e-09,3.24071897688e-09,0.643274636794
151000000,15,151000000,world,1.39539129641e-08,1.46249824012e-08,0.629019732422
161000000,16,161000000,world,-6.32533115386e-07,1.29483671607e-06,0.624997931947
171000000,17,171000000,world,1.80391471841e-06,3.90239934019e-06,0.624998071426
181000000,18,181000000,world,8.28273058776e-07,-9.64047936164e-07,0.624998760716
191000000,19,191000000,world,8.13968680255e-07,4.73330330119e-06,0.624997796629
201000000,20,201000000,world,8.0193920656e-07,-1.15365557571e-06,0.624998646429
211000000,21,211000000,world,1.15605559102e-06,4.48682886963e-06,0.624998216733
221000000,22,221000000,world,-8.54197167857e-07,-1.57465125033e-06,0.624997222234
231000000,23,231000000,world,1.91744955978e-06,4.28567638966e-06,0.62499911028
241000000,24,241000000,world,-2.39034664759e-06,-7.17313377519e-09,0.624998336202
251000000,25,251000000,world,4.05560834383e-06,3.42610552368e-07,0.624997744464
261000000,26,261000000,world,3.36784525482e-07,-3.62964041134e-07,0.624998892087
271000000,27,271000000,world,4.31657675486e-06,-1.11475824849e-06,0.624997114419
281000000,28,281000000,world,-9.90748738034e-07,2.21582002257e-06,0.624997939634
291000000,29,291000000,world,3.79417065264e-06,6.09708187269e-07,0.624998468359
301000000,30,301000000,world,3.79211060481e-06,-6.23097040015e-08,0.625001083921
311000000,31,311000000,world,2.05543299923e-06,-2.02858407953e-07,0.625000017359
321000000,32,321000000,world,2.34837786124e-06,8.30670580352e-08,0.625000100838
331000000,33,331000000,world,1.96841805331e-06,-1.84266145569e-07,0.625000102998
341000000,34,341000000,world,2.27716731602e-06,1.47813702657e-07,0.625000043079
351000000,35,351000000,world,1.94797532157e-06,-4.00918636801e-08,0.625000121596
361000000,36,361000000,world,2.3837392077e-06,1.9736160147e-07,0.625000156896
371000000,37,371000000,world,1.87937120226e-06,8.08584284181e-08,0.625000124852
381000000,38,381000000,world,2.12756419806e-06,3.29314118352e-07,0.625000059001
391000000,39,391000000,world,2.05585271981e-06,1.46558829628e-07,0.625000042043
401000000,40,401000000,world,2.13444314209e-06,1.05487131186e-06,0.624999624866
411000000,41,411000000,world,1.92445553906e-06,-1.03654503651e-06,0.624999358855
421000000,42,421000000,world,2.03938688274e-06,2.64933715435e-07,0.624997599407
431000000,43,431000000,world,2.0305519197e-06,1.52114315733e-07,0.624999990448
441000000,44,441000000,world,2.02756697409e-06,-5.35891593472e-08,0.6250001093
451000000,45,451000000,world,2.01974680915e-06,1.84955923739e-07,0.625000010012
461000000,46,461000000,world,2.01978062937e-06,-1.08409334776e-07,0.625000143033
471000000,47,471000000,world,1.99797451346e-06,1.49102091213e-07,0.62499999239
481000000,48,481000000,world,2.00403565058e-06,1.73537225924e-07,0.625000021557
491000000,49,491000000,world,1.976456451e-06,2.84668385991e-08,0.62500002007
501000000,50,501000000,world,5.7220376055e-06,2.13749884791e-06,0.625003987373
511000000,51,511000000,world,9.83110648842e-06,3.54805875876e-06,0.625039925258
521000000,52,521000000,world,1.2521028572e-05,2.923472502e-06,0.625145369673
531000000,53,531000000,world,1.38847959593e-05,3.79237359596e-07,0.625357378947
541000000,54,541000000,world,1.67823765283e-05,-1.76977135586e-06,0.625713405261
551000000,55,551000000,world,2.24307656205e-05,-1.74107827727e-06,0.626250334937
561000000,56,561000000,world,2.66317500837e-05,-3.60067711214e-06,0.627004168118
571000000,57,571000000,world,2.94461362832e-05,-7.24102051993e-06,0.628010012047
581000000,58,581000000,world,3.34000498399e-05,-1.03872538351e-05,0.629302075953
591000000,59,591000000,world,3.95687007395e-05,-1.12901269879e-05,0.630913668923
601000000,60,601000000,world,4.42318663721e-05,-1.39640929207e-05,0.63287720076
611000000,61,611000000,world,4.74510573203e-05,-1.83106045654e-05,0.635224187241
621000000,62,621000000,world,5.2449396516e-05,-2.11550199441e-05,0.637985256217
631000000,63,631000000,world,5.80306429239e-05,-2.3175445458e-05,0.641190154422
641000000,64,641000000,world,6.21001388317e-05,-2.68620437751e-05,0.644867757967
651000000,65,651000000,world,6.47332942066e-05,-3.21168892349e-05,0.649045523051
661000000,66,661000000,world,6.87606333316e-05,-3.58618364296e-05,0.6537441819
671000000,67,671000000,world,7.31605747605e-05,-3.91918612156e-05,0.658980354733
681000000,68,681000000,world,7.612639645e-05,-4.4055652525e-05,0.664770057014
691000000,69,691000000,world,7.77408585659e-05,-5.03559290643e-05,0.671128755886
701000000,70,701000000,world,8.08479987697e-05,-5.49978855633e-05,0.678071385432
711000000,71,711000000,world,8.3788407385e-05,-5.97800509069e-05,0.68561236111
721000000,72,721000000,world,8.54279993131e-05,-6.593179924e-05,0.693765595638
731000000,73,731000000,world,8.58546455296e-05,-7.33564493005e-05,0.70253876428
741000000,74,741000000,world,8.79901113688e-05,-7.88790891953e-05,0.711916215867
751000000,75,751000000,world,8.96296232012e-05,-8.48935247062e-05,0.721877402989
761000000,76,761000000,world,9.01233142918e-05,-9.21048340444e-05,0.732402711015
771000000,77,771000000,world,8.95562959201e-05,-0.000100419890844,0.743473411535
781000000,78,781000000,world,9.04173945408e-05,-0.00010710929861,0.755071618302
791000000,79,791000000,world,9.1039960829e-05,-0.000114003592821,0.767180245612
801000000,80,801000000,world,9.06718892796e-05,-0.000121930258707,0.779782969544
