%time,field0,field1,field2,field3,field4,field5,field6,field7
42000000,0.00232368074895,0.0163625852738,0.00818129263691,0.00793016568097,7.69592883199e-28,5.55204786948,-3.73473676615e-20,0.00183995879616
44000000,0.0133498377205,0.0940051072821,0.0470025536411,0.0455597977416,-4.46159866606e-15,31.8972122603,-2.14565317459e-19,0.0105707943539
83000000,0.0173407649467,0.1221078865,0.0610539432499,0.0591798762049,9.11380748953e-16,41.4328677127,-2.78709510457e-19,0.0137309279729
126000000,0.0173407649467,0.1221078865,0.0610539432499,0.0591798762049,9.29833223306e-16,41.4328677127,-2.78709510457e-19,0.0137309279729
151000000,0.0173398097899,0.122106859808,0.0610537665058,0.0591789305291,-3.29340197134e-05,41.4363131867,-2.78709595322e-19,0.0137287992394
200000000,0.0139386379276,0.133325620706,0.0609049770987,0.0707766057787,0.00898982349411,41.28288602,-2.77600140003e-19,0.013814911552
249000000,0.0153899234206,0.128538865153,0.0609623256963,0.066191595576,0.00505065065521,41.3568259242,-2.78076117382e-19,0.0137736225196
279000000,0.0154943156804,0.104097367752,0.0522535566364,0.0513903710523,-0.234462370396,35.7759618216,-2.3065287559e-19,0.0119738693542
327000000,-0.0136254235737,-0.112786793988,-0.0546946580443,-0.0548542339213,-0.407291958555,-36.5784386703,2.63241355871e-19,-0.0119343147901
378000000,-0.0164312055736,-0.125103618009,-0.0610259161242,-0.0615749278948,-0.00255067586917,-41.3790400555,2.78407983641e-19,-0.0137430397746
408000000,-0.0170050037183,-0.123210301794,-0.0610491348087,-0.0597259916795,-0.000997451819131,-41.4077000115,2.7859623049e-19,-0.0137237038062
445000000,-0.0170072489298,-0.123204533775,-0.0610483388961,-0.0597750129371,-0.000992477236551,-41.4075573191,2.7859733168e-19,-0.0137228921843
489000000,-0.0168501247118,-0.123724431316,-0.061040914897,-0.0603476717651,-0.0014145857516,-41.3998786441,2.78546230192e-19,-0.013727162097
518000000,-0.0166794632125,-0.124288573796,-0.0610330319341,-0.0609578787379,-0.00187075232372,-41.3918271891,2.78490630784e-19,-0.0137318283911
567000000,-0.0165731156637,-0.124640268724,-0.0610279677245,-0.0613477368516,-0.00215370438912,-41.3869511969,2.78456011633e-19,-0.013733528947
604000000,-0.0165421528119,-0.124743153826,-0.0610261743904,-0.0614816522969,-0.00223508214593,-41.3856278943,2.7844601072e-19,-0.0137323310412
644000000,-0.0165565384725,-0.124696379396,-0.0610263699093,-0.061460338632,-0.00219570384383,-41.3863875608,2.78450815922e-19,-0.0137298047967
683000000,-0.016585607205,-0.12460111787,-0.0610272465435,-0.0613864481751,-0.00211758415449,-41.3877848082,2.78460406101e-19,-0.0137276145387
724000000,-0.0166153318457,-0.124503641057,-0.0610282002171,-0.06130729291,-0.0020380570429,-41.3891792137,2.7847019658e-19,-0.0137269573418
760000000,-0.0166411440637,-0.124419015745,-0.0610290284787,-0.0612386273911,-0.00196915147989,-41.3903765103,2.78478694694e-19,-0.0137285669292
802000000,-0.0166641620154,-0.124343602199,-0.0610297442824,-0.0611788931763,-0.00190776515782,-41.3914379006,2.78486277377e-19,-0.0137327312592
849000000,-0.0166880385984,-0.124265325597,-0.0610305186553,-0.0611149147458,-0.00184415072866,-41.3925355025,2.78494132221e-19,-0.0137394896607
887000000,-0.0167078920362,-0.124200254746,-0.061031151546,-0.0610623891368,-0.00179125659605,-41.393444499,2.7850067051e-19,-0.0137486586975
926000000,-0.0167238799439,-0.12414788291,-0.0610316493803,-0.0610208742893,-0.0017487243342,-41.3941693936,2.7850593875e-19,-0.0137600800643
964000000,-0.0142921494949,-0.106892667813,-0.052430560263,-0.0526370427402,-0.00374107620711,-35.5550841247,2.39314317539e-19,-0.0118368798496
1005000000,-0.00811282736501,-0.0632361166731,-0.0306301559979,-0.0314559799865,-0.00548479737077,-20.7588793509,1.39859840452e-19,-0.0069465450563
1046000000,-0.000307463529549,-0.00811305173594,-0.00309861719659,-0.00471494234171,-0.0069950680777,-2.07365373275,1.42351463882e-20,-0.000768089899455
1087000000,0.00852882360697,0.0542736725709,0.028064599701,0.0255462172816,-0.00829529579487,19.0758758224,-1.27975184641e-19,0.0062270214362
1128000000,0.0178717892813,0.120349369201,0.061073324428,0.0575766425858,-0.0015221080944,41.4678386765,-2.78884872189e-19,0.0136300056551
1163000000,0.0178558051209,0.120401772574,0.0610727655299,0.0576219103673,-0.00148017023137,41.4671701221,-2.78879625468e-19,0.013617193348
1202000000,0.0178397107689,0.120454558154,0.0610721872433,0.0576684723896,-0.00143801125581,41.4665032567,-2.78874346967e-19,0.0136062016277
1244000000,0.0178238631612,0.120506549076,0.0610716062326,0.0577150525737,-0.00139655986414,41.4658525327,-2.78869152536e-19,0.0135978195236
1284000000,0.0178086339902,0.120556864726,0.0610710539261,0.0577604940426,-0.00135380888636,41.4649404107,-2.78864129065e-19,0.0135917480062
1328000000,0.017817510748,0.120527751898,0.0610715083063,0.0577266209893,-0.00137479342557,41.4650712806,-2.78867007769e-19,0.0135847685896
1366000000,0.01780395375,0.120572475044,0.061071009156,0.0577672793318,-0.00133734215988,41.4643144273,-2.78862549653e-19,0.0135768967498
1404000000,0.0176852761877,0.120011909572,0.0607550460058,0.0575200082193,0.0022877040954,41.245075615,-2.77538365077e-19,0.0134934301101
1449000000,0.0169550903386,0.115086156886,0.0582638305532,0.0551519655513,0.00498893342996,39.5509347115,-2.66253844993e-19,0.0129205721672
1476000000,0.0159417916685,0.108103014914,0.0547524690199,0.0517799756001,0.00694447472158,37.1655125011,-2.50288210365e-19,0.0121185466459
1531000000,0.014750651698,0.099837674578,0.050603492556,0.0477844237409,0.00835194506521,34.3480929302,-2.3139373091e-19,0.0111739607456
1560000000,0.0140358886854,0.0949241106515,0.048129610608,0.0454153892355,0.00928389102754,32.6680172033,-2.20129753472e-19,0.0106076348136
1599000000,0.0137244171684,0.0928565492723,0.0470768023417,0.0444285912492,0.00986427544643,31.9527406275,-2.15340737116e-19,0.0103630961885
1650000000,0.013720888226,0.0929631898229,0.0471094397691,0.0444979478002,0.0101728472011,31.9744030499,-2.15497297499e-19,0.0103651823703
1677000000,0.0142371198054,0.0967270641169,0.0489705667178,0.0463405314956,0.0102593647146,33.2372052013,-2.23993300579e-19,0.0107817788066
1729000000,0.0151545079499,0.103307847989,0.0522408357455,0.0495481407089,0.0101797004016,35.4560450933,-2.38916189935e-19,0.0115189633054
1767000000,0.0164849268129,0.112907647314,0.0570023227037,0.0542378415471,0.0099989690171,38.6871932342,-2.60640765897e-19,0.0125957217462
1805000000,0.0176468096967,0.121089290813,0.0610648937501,0.0582541669964,-0.000921814250867,41.4574378529,-2.78811042642e-19,0.0135305108109
