%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
28000000,1,28000000,,0.0122489369081,-0.0060562835685,-0.0520478553726,0.0,0.0,0.0
41000000,2,41000000,,0.0304622427712,0.0271735260896,-0.113693210051,0.0,0.0,0.0
41000000,3,41000000,,-0.00520300643004,0.0191666377152,-0.293740053141,0.0,0.0,0.0
51000000,4,51000000,,-0.00373374991211,0.04344971878,-0.369000115838,0.0,0.0,0.0
62000000,5,62000000,,-0.012048755154,0.000555236427755,-0.481671892544,0.0,0.0,0.0
75000000,6,75000000,,-0.0245806996389,-0.00887981365757,-0.566202653853,0.0,0.0,0.0
82000000,7,82000000,,0.0228315946112,0.0276032034871,-0.685638109549,0.0,0.0,0.0
91000000,8,91000000,,-0.0113812684724,-0.0421175518867,-0.710126751711,0.0,0.0,0.0
102000000,9,102000000,,0.00594879699558,-0.0357561208408,-0.835782494022,0.0,0.0,0.0
111000000,10,111000000,,0.00923502232278,0.0136380873383,-0.910126084361,0.0,0.0,0.0
123000000,11,123000000,,0.00956326338076,0.000219238549333,-1.06213094107,0.0,0.0,0.0
132000000,12,132000000,,-0.00574845558862,0.0251127095729,-1.11452068617,0.0,0.0,0.0
143000000,13,143000000,,-0.0178907477487,-0.0324006148025,-1.23414024043,0.0,0.0,0.0
162000000,14,162000000,,0.00702878592269,0.0291188124344,-1.32553464333,0.0,0.0,0.0
162000000,15,162000000,,0.015375382453,0.0242800523143,-1.39396425754,0.0,0.0,0.0
171000000,16,171000000,,0.0114165147439,-0.00115919584991,-0.390018163665,0.0,0.0,0.0
185000000,17,185000000,,0.0161599687908,-0.0149116000118,0.0359289967189,0.0,0.0,0.0
195000000,18,195000000,,0.0273480316513,-0.0362953303851,-0.0372013911769,0.0,0.0,0.0
201000000,19,201000000,,-0.00898040248607,-0.00751923856459,0.0109948605413,0.0,0.0,0.0
211000000,20,211000000,,0.0082520306788,0.0241837882224,0.0242301635742,0.0,0.0,0.0
222000000,21,222000000,,-0.00347888907618,0.00112544718355,0.0294884700584,0.0,0.0,0.0
231000000,22,231000000,,0.0358306222424,-0.00632283268758,0.00720666353666,0.0,0.0,0.0
242000000,23,242000000,,-0.0179580903462,0.0283897759661,-0.0174593283696,0.0,0.0,0.0
251000000,24,251000000,,-0.00686496851734,0.0159984986921,0.0104950682759,0.0,0.0,0.0
262000000,25,262000000,,-0.0217756003889,0.0468589120231,-0.00261848320413,0.0,0.0,0.0
271000000,26,271000000,,0.00885030768536,0.0113763245004,0.00289737863517,0.0,0.0,0.0
281000000,27,281000000,,-0.00699020342429,-0.00814490393276,0.00131904531662,0.0,0.0,0.0
293000000,28,293000000,,0.0217374318052,0.00102275166776,-0.0258937038937,0.0,0.0,0.0
301000000,29,301000000,,-0.0419953089587,-0.00515840084753,-0.0407700329992,0.0,0.0,0.0
311000000,30,311000000,,0.0163330649466,-0.00726788106273,-0.00466862925171,0.0,0.0,0.0
320000000,31,320000000,,-0.04482837591,-0.0109659023603,0.0321555013645,0.0,0.0,0.0
331000000,32,331000000,,0.00232433751377,0.0143707572359,-0.00355875231586,0.0,0.0,0.0
345000000,33,345000000,,0.00896737289699,0.00769189161478,0.0138370174674,0.0,0.0,0.0
355000000,34,355000000,,0.0140127237013,-0.0144054357586,-0.0162230378249,0.0,0.0,0.0
366000000,35,366000000,,0.0065553501663,0.00583288985714,0.00471178419597,0.0,0.0,0.0
372000000,36,372000000,,-0.00740836047558,-0.00436321383776,0.0380047783239,0.0,0.0,0.0
383000000,37,383000000,,-0.0262688176502,0.00751546785284,0.00668244089346,0.0,0.0,0.0
396000000,38,396000000,,-0.00504076550704,-0.00696006607423,0.0255526846885,0.0,0.0,0.0
401000000,39,401000000,,0.0388806780927,-0.0207101716949,0.00306763353334,0.0,0.0,0.0
411000000,40,411000000,,-0.0174794431831,-0.0205000510479,0.00119731445904,0.0,0.0,0.0
421000000,41,421000000,,0.00765217396146,-0.0406658095947,0.0117768054093,0.0,0.0,0.0
431000000,42,431000000,,-0.0143763684006,0.014640348442,0.00830539455025,0.0,0.0,0.0
441000000,43,441000000,,-0.00180368100271,0.0102132379675,0.00753239228274,0.0,0.0,0.0
451000000,44,451000000,,-0.0234402813655,-0.02902153123,-0.00223812022351,0.0,0.0,0.0
461000000,45,461000000,,0.0119665590041,-0.0236134547469,-0.0289051513897,0.0,0.0,0.0
471000000,46,471000000,,-0.00986146129679,-0.0154843647337,-0.014378257225,0.0,0.0,0.0
481000000,47,481000000,,-0.0119735109713,0.020989341369,0.0182904177751,0.0,0.0,0.0
