%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
63000000,0,63000000,,-1.1700688937e-15,-1.17322563753e-15,-1.17322521349e-15,-1.17006850039e-15
66000000,1,66000000,,-2.35970664405e-15,-2.36163876347e-15,-2.36164466168e-15,-2.35971254116e-15
88000000,2,88000000,,-3.55420298556e-15,-3.55681062245e-15,-3.55695690016e-15,-3.55434927854e-15
140000000,3,140000000,,-4.74849866004e-15,-4.75219892997e-15,-4.75219681104e-15,-4.74849645415e-15
171000000,4,171000000,,-0.000109957307585,2.75941534646e-05,0.000109957307574,-2.75941534762e-05
212000000,5,212000000,,-0.000132257826653,-5.03230958433e-05,0.000132257826639,5.03230958298e-05
253000000,6,253000000,,2.52641774432e-05,1.21223912934e-06,-2.52641774584e-05,-1.21223914434e-06
291000000,7,291000000,,-4.14827592472e-05,-3.52645749381e-05,4.1482759231e-05,3.5264574922e-05
332000000,8,332000000,,-6.24017363161e-05,1.53535006306e-05,6.24017362994e-05,-1.53535006472e-05
372000000,9,372000000,,-3.30647953837e-05,5.93825534952e-06,3.30647953667e-05,-5.93825536634e-06
409000000,10,409000000,,-2.14246949447e-05,8.12056489803e-07,2.14246949275e-05,-8.120565068e-07
445000000,11,445000000,,-1.75843994082e-05,-1.07359187269e-06,1.7584399391e-05,1.07359185562e-06
492000000,12,492000000,,-1.63045108328e-05,-1.15559605033e-06,1.63045108157e-05,1.15559603337e-06
531000000,13,531000000,,-1.53696554041e-05,-7.80440110657e-07,1.53696553873e-05,7.80440093985e-07
566000000,14,566000000,,-1.44275271317e-05,-4.94452373369e-07,1.44275271153e-05,4.94452357128e-07
620000000,15,620000000,,-1.35582961756e-05,-4.21496135725e-07,1.35582961598e-05,4.21496120019e-07
659000000,16,659000000,,-1.2840725584e-05,-5.4292028993e-07,1.28407255688e-05,5.42920274868e-07
702000000,17,702000000,,-1.23174467109e-05,-7.65538599814e-07,1.23174466964e-05,7.65538585433e-07
734000000,18,734000000,,-1.19540936195e-05,-1.03396576812e-06,1.19540936057e-05,1.03396575445e-06
782000000,19,782000000,,2.5694877952e-05,-1.32535805351e-06,-2.56948779652e-05,1.32535804044e-06
816000000,20,816000000,,6.80570353507e-05,-2.2894657957e-06,-6.80570353634e-05,2.28946578316e-06
852000000,21,852000000,,9.50686271893e-05,-2.73441032201e-06,-9.50686272015e-05,2.73441030992e-06
894000000,22,894000000,,0.000108423116294,-2.95651055041e-06,-0.000108423116306,2.95651053862e-06
934000000,23,934000000,,0.000112096767808,-3.07641631607e-06,-0.00011209676782,3.07641630444e-06
981000000,24,981000000,,8.69132482729e-05,-3.06048045691e-06,-8.69132482845e-05,3.06048044533e-06
1006000000,25,1006000000,,8.37951383598e-05,-3.20765988892e-06,-8.37951383716e-05,3.20765987725e-06
1067000000,26,1067000000,,8.82749260453e-05,-3.38516613962e-06,-8.82749260572e-05,3.38516612774e-06
1095000000,27,1095000000,,9.39321892808e-05,-3.53412319828e-06,-9.3932189293e-05,3.53412318613e-06
1173000000,28,1173000000,,9.70051776995e-05,-3.63700635179e-06,-9.70051777121e-05,3.63700633933e-06
1194000000,29,1194000000,,9.91693076054e-05,-3.64386379292e-06,-9.91693076182e-05,3.64386378019e-06
1216000000,30,1216000000,,0.000103272149465,-3.68007052446e-06,-0.000103272149478,3.68007051147e-06
1252000000,31,1252000000,,0.000106828561238,-3.63747839702e-06,-0.000106828561251,3.63747838381e-06
1296000000,32,1296000000,,0.000109846147516,-3.54733018703e-06,-0.000109846147529,3.54733017364e-06
1344000000,33,1344000000,,0.000111756193074,-3.38183080032e-06,-0.000111756193088,3.38183078681e-06
1362000000,34,1362000000,,8.47286406532e-05,-1.40613255649e-06,-8.47286406669e-05,1.40613254289e-06
1414000000,35,1414000000,,6.6937365352e-05,-2.37446991236e-07,-6.69373653658e-05,2.37446977581e-07
1443000000,36,1443000000,,5.27969496999e-05,6.52811872384e-07,-5.27969497137e-05,-6.52811886065e-07
1488000000,37,1488000000,,4.30131387757e-05,1.1447041465e-06,-4.30131387894e-05,-1.14470416019e-06
1536000000,38,1536000000,,3.56205904294e-05,1.52101263597e-06,-3.56205904432e-05,-1.52101264965e-06
1572000000,39,1572000000,,2.91184333103e-05,1.74769666955e-06,-2.91184333241e-05,-1.74769668324e-06
1617000000,40,1617000000,,2.4966199492e-05,1.83401518422e-06,-2.49661995058e-05,-1.83401519794e-06
1652000000,41,1652000000,,2.01860470541e-05,1.92921660093e-06,-2.01860470679e-05,-1.92921661469e-06
1689000000,42,1689000000,,3.91233302255e-05,1.82227519508e-06,-3.91233302394e-05,-1.82227520892e-06
1734000000,43,1734000000,,4.06676355582e-05,2.0458600349e-06,-4.06676355723e-05,-2.04586004884e-06
1772000000,44,1772000000,,4.13208710087e-05,7.43376099979e-06,-4.13208710229e-05,-7.43376101388e-06
1812000000,45,1812000000,,3.66938751368e-05,9.20982001168e-06,-3.66938751512e-05,-9.20982002595e-06
1843000000,46,1843000000,,3.01634408154e-05,9.71906796503e-06,-3.016344083e-05,-9.71906797953e-06
1884000000,47,1884000000,,2.33815066908e-05,1.02508848294e-05,-2.33815067057e-05,-1.02508848442e-05
1938000000,48,1938000000,,1.6369720079e-05,1.09967284236e-05,-1.6369720094e-05,-1.09967284385e-05
1972000000,49,1972000000,,9.04657831928e-06,1.19432964446e-05,-9.04657833451e-06,-1.19432964598e-05
2019000000,50,2019000000,,1.55841879271e-06,1.30272174536e-05,-1.55841880814e-06,-1.30272174689e-05
2064000000,51,2064000000,,-6.05922394388e-06,1.41871261618e-05,6.05922392824e-06,-1.41871261773e-05
2086000000,52,2086000000,,-1.36334410454e-05,-2.22232723246e-07,1.36334410296e-05,2.22232707571e-07
2136000000,53,2136000000,,-2.09101830471e-05,-3.26753373479e-06,2.09101830312e-05,3.26753371902e-06
2177000000,54,2177000000,,-2.78486594551e-05,-3.48468567523e-06,2.78486594391e-05,3.48468565937e-06
2206000000,55,2206000000,,-3.41738341928e-05,-3.65773695007e-06,3.41738341768e-05,3.65773693413e-06
2259000000,56,2259000000,,-3.97726308413e-05,-4.65680117977e-06,3.97726308251e-05,4.65680116376e-06
2296000000,57,2296000000,,-4.44994459891e-05,-6.51234372638e-06,4.44994459729e-05,6.51234371029e-06
2341000000,58,2341000000,,-4.82132957561e-05,-9.14417810043e-06,4.82132957398e-05,9.14417808425e-06
2376000000,59,2376000000,,-2.7426274323e-05,-3.04386192714e-05,2.74262743066e-05,3.04386192551e-05
2408000000,60,2408000000,,-1.21726340279e-05,-4.23860189073e-05,1.21726340114e-05,4.23860188909e-05
2449000000,61,2449000000,,-4.31404340641e-06,-5.00780365829e-05,4.31404338978e-06,5.00780365663e-05
2497000000,62,2497000000,,3.19049087858e-06,-5.32313207584e-05,-3.19049089533e-06,5.32313207418e-05
2532000000,63,2532000000,,7.19053655698e-06,-5.4728285842e-05,-7.19053657384e-06,5.47282858253e-05
2576000000,64,2576000000,,1.12707419848e-05,-5.43155816302e-05,-1.12707420017e-05,5.43155816134e-05
2618000000,65,2618000000,,-1.17983637285e-05,-5.20327362253e-05,1.17983637115e-05,5.20327362083e-05
2663000000,66,2663000000,,-1.63493483016e-05,-5.40990114519e-05,1.63493482844e-05,5.40990114348e-05
2698000000,67,2698000000,,-1.42228341076e-05,-5.70244642367e-05,1.42228340903e-05,5.70244642196e-05
2737000000,68,2737000000,,-1.01815085536e-05,-5.9503595008e-05,1.01815085363e-05,5.95035949908e-05
2768000000,69,2768000000,,-5.66631770845e-06,-6.11687673709e-05,5.66631769104e-06,6.11687673536e-05
2816000000,70,2816000000,,-6.58562775555e-07,-6.19452012391e-05,6.58562758046e-07,6.19452012217e-05
2858000000,71,2858000000,,2.35649706158e-05,-4.04451663742e-05,-2.35649706334e-05,4.04451663567e-05
2897000000,72,2897000000,,3.8070906044e-05,-2.42232957707e-05,-3.80709060617e-05,2.42232957531e-05
2933000000,73,2933000000,,4.76173334341e-05,-1.3399363612e-05,-4.76173334519e-05,1.33993635943e-05
2984000000,74,2984000000,,5.22350395837e-05,-4.51070145373e-06,-5.22350396016e-05,4.51070143593e-06
3012000000,75,3012000000,,5.48305957394e-05,1.79479902255e-06,-5.48305957574e-05,-1.79479904044e-06
3059000000,76,3059000000,,5.5350564522e-05,7.07889141676e-06,-5.53505645401e-05,-7.07889143474e-06
3088000000,77,3088000000,,5.78205161702e-05,-1.20351713436e-05,-5.78205161884e-05,1.20351713256e-05
3144000000,78,3144000000,,6.26519370241e-05,-1.38991133983e-05,-6.26519370423e-05,1.38991133801e-05
3177000000,79,3177000000,,6.74907671982e-05,-1.00372450085e-05,-6.74907672165e-05,1.00372449903e-05
3213000000,80,3213000000,,7.1521692023e-05,-4.54228168919e-06,-7.15216920414e-05,4.54228167091e-06
3262000000,81,3262000000,,7.45052764781e-05,1.27205024691e-06,-7.45052764965e-05,-1.27205026524e-06
3297000000,82,3297000000,,7.64535070183e-05,7.34786949233e-06,-7.64535070368e-05,-7.34786951071e-06
3335000000,83,3335000000,,5.11789488746e-05,2.50213936809e-05,-5.11789488931e-05,-2.50213936993e-05
3373000000,84,3373000000,,3.32882260229e-05,3.53945107101e-05,-3.32882260415e-05,-3.53945107287e-05
3419000000,85,3419000000,,2.28729861066e-05,4.13075997466e-05,-2.28729861252e-05,-4.13075997651e-05
3450000000,86,3450000000,,1.4510208861e-05,4.38813547082e-05,-1.45102088797e-05,-4.38813547268e-05
3491000000,87,3491000000,,1.03311445655e-05,4.40190019099e-05,-1.03311445843e-05,-4.40190019286e-05
3543000000,88,3543000000,,6.63752115491e-06,4.29637619777e-05,-6.63752117377e-06,-4.29637619965e-05
3582000000,89,3582000000,,2.80287947869e-05,5.27142418762e-05,-2.80287948058e-05,-5.2714241895e-05
3611000000,90,3611000000,,3.16648069463e-05,5.88209624242e-05,-3.16648069653e-05,-5.88209624431e-05
3647000000,91,3647000000,,2.85633028435e-05,6.22308644428e-05,-2.85633028625e-05,-6.22308644617e-05
3683000000,92,3683000000,,1.16705580941e-05,4.00504007394e-05,-1.16705581132e-05,-4.00504007584e-05
3744000000,93,3744000000,,1.41844031816e-06,2.49410570682e-05,-1.41844033729e-06,-2.49410570872e-05
3770000000,94,3770000000,,-4.63359574378e-06,1.22407368018e-05,4.6335957246e-06,-1.22407368208e-05
3809000000,95,3809000000,,-8.95016329004e-06,4.32488154578e-06,8.95016327082e-06,-4.3248815649e-06
3848000000,96,3848000000,,-1.02672246429e-05,-3.9065697901e-06,1.02672246236e-05,3.90656977094e-06
3890000000,97,3890000000,,-1.06378381342e-05,-9.27009363702e-06,1.06378381149e-05,9.2700936178e-06
3935000000,98,3935000000,,-1.04264307743e-05,-1.46435002509e-05,1.04264307549e-05,1.46435002317e-05
3975000000,99,3975000000,,-9.49465757712e-06,-1.82729645516e-05,9.49465755769e-06,1.82729645323e-05
4017000000,100,4017000000,,-1.70784921281e-05,6.68000457706e-07,1.70784921086e-05,-6.68000477111e-07
4057000000,101,4057000000,,-2.15989959287e-05,2.61324125338e-06,2.15989959091e-05,-2.61324127286e-06
4095000000,102,4095000000,,-2.9051119295e-05,-1.45983371755e-06,2.90511192754e-05,1.459833698e-06
4131000000,103,4131000000,,-3.22729261686e-05,-7.02444137688e-06,3.22729261488e-05,7.02444135728e-06
4167000000,104,4167000000,,-3.38617230397e-05,-1.2900074863e-05,3.386172302e-05,1.29000748434e-05
4203000000,105,4203000000,,-3.46078458518e-05,-1.89824573189e-05,3.4607845832e-05,1.89824572992e-05
4262000000,106,4262000000,,-3.4631191004e-05,-2.54290960886e-05,3.46311909842e-05,2.54290960689e-05
4291000000,107,4291000000,,-3.38880849483e-05,-3.21922898895e-05,3.38880849284e-05,3.21922898697e-05
4326000000,108,4326000000,,-3.21313091515e-05,-3.91200280077e-05,3.21313091316e-05,3.91200279879e-05
