%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
120000000,0,120000000,,427.0,427.0,427.0,427.0
240000000,1,240000000,,777.026429798,776.97277512,777.029147676,776.972259906
320000000,2,320000000,,509.856664962,509.910179115,509.860802465,509.910212033
440000000,3,440000000,,655.849573116,655.841235766,655.854451186,655.841292112
520000000,4,520000000,,644.781082959,644.783555637,644.786239802,644.783560719
640000000,5,640000000,,579.935008811,579.937541582,579.940269222,579.937545196
720000000,6,720000000,,422.69522287,422.69777754,422.700504283,422.697781842
840000000,7,840000000,,311.569703986,311.582703987,311.573965913,311.582711337
920000000,8,920000000,,300.764756002,300.779139577,300.766114858,300.779148261
1040000000,9,1040000000,,358.919176049,358.905172985,358.917928681,358.905182171
1122000000,10,1122000000,,425.504239555,425.502732377,425.500711411,425.502742216
1243000000,11,1243000000,,472.272698105,472.270093814,472.26699311,472.270103945
1320000000,12,1320000000,,461.310980548,461.307350782,461.303275803,461.307360648
1440000000,13,1440000000,,451.29683029,451.325817241,451.287970705,451.325820487
1520000000,14,1520000000,,409.408811062,409.415995072,409.399999339,409.415917849
1640000000,15,1640000000,,390.169976092,390.1769789,390.161798361,390.176794328
1720000000,16,1720000000,,369.129523653,369.103677382,369.121613552,369.103402501
1840000000,17,1840000000,,405.293995695,405.290488223,405.286132013,405.289995231
1920000000,18,1920000000,,407.806936294,407.803642214,407.799296061,407.802868272
2040000000,19,2040000000,,473.675493666,473.672560291,473.668330813,473.671482864
2122000000,20,2122000000,,429.820273167,429.817715033,429.8138958,429.816694878
2240000000,21,2240000000,,416.862584924,416.860412209,416.857232541,416.859628945
2320000000,22,2320000000,,404.884211822,404.882453992,404.880030287,404.881989966
2442000000,23,2442000000,,429.837301175,429.856465913,429.833692739,429.856892644
2520000000,24,2520000000,,430.930624478,430.934004758,430.926675232,430.935778987
2640000000,25,2640000000,,423.048536461,423.03221884,423.04389768,423.035309256
2720000000,26,2720000000,,419.280140161,419.276059758,419.275368387,419.280297418
2840000000,27,2840000000,,418.649794,418.645145576,418.644927083,418.65046513
2920000000,28,2920000000,,428.628805874,428.639754041,428.622925384,428.645107892
3040000000,29,3040000000,,421.964943744,421.9639983,421.957668446,421.968667842
3120000000,30,3120000000,,443.408731895,443.392655336,443.400194334,443.396881871
3240000000,31,3240000000,,420.232413659,420.226051343,420.222600633,420.229931456
3320000000,32,3320000000,,428.211670049,428.219166362,428.200616257,428.22247741
3440000000,33,3440000000,,422.968000464,422.96660947,422.956904847,422.968731106
3520000000,34,3520000000,,436.421512395,436.420192557,436.411119356,436.421136483
3602000000,35,3602000000,,428.300487272,428.286872096,428.290427993,428.286598508
3720000000,36,3720000000,,430.581050538,430.58962589,430.571497882,430.588694765
3840000000,37,3840000000,,422.933163128,422.933524994,422.924471552,422.9328409
3920000000,38,3920000000,,417.380136991,417.38011351,417.372286564,417.380299184
4040000000,39,4040000000,,436.531660022,436.52028228,436.524469294,436.521524531
4120000000,40,4120000000,,434.423877558,434.42028614,434.417571823,434.422104872
4240000000,41,4240000000,,443.906985117,443.903612536,443.901638567,443.906000306
4320000000,42,4320000000,,435.785033465,435.781715602,435.780503846,435.7849255
4440000000,43,4440000000,,438.746354216,438.750231994,438.742381297,438.754491508
4520000000,44,4520000000,,428.777180344,428.775076055,428.77262131,428.780379556
4640000000,45,4640000000,,420.258031668,420.255089265,420.252249304,420.26095456
4720000000,46,4720000000,,435.806940889,435.803218108,435.799983608,435.809172126
4840000000,47,4840000000,,425.945240205,425.94133814,425.93746132,425.946859636
4920000000,48,4920000000,,435.414435965,435.410664098,435.40621788,435.415424779
5040000000,49,5040000000,,422.047319821,422.037123973,422.038512925,422.041491233
5120000000,50,5120000000,,430.78085678,430.774774547,430.771395535,430.778828029
5241000000,51,5241000000,,436.784553272,436.784627234,436.774587815,436.788186782
5320000000,52,5320000000,,440.355383802,440.351863064,440.346128373,440.354321509
5440000000,53,5440000000,,428.338917085,428.330283538,428.330125529,428.331603562
5520000000,54,5520000000,,427.820619037,427.816882625,427.81239397,427.816978644
5640000000,55,5640000000,,427.898644907,427.89993189,427.891214554,427.898871809
5720000000,56,5720000000,,434.482406024,434.481633556,434.476039747,434.480747264
5842000000,57,5842000000,,422.488881023,422.48810974,422.483441234,422.48808278
5920000000,58,5920000000,,432.17129409,432.170619871,432.166491463,432.171626295
6040000000,59,6040000000,,441.067472675,441.062241925,441.062839565,441.064234737
6120000000,60,6120000000,,433.949686483,433.946979817,433.945606251,433.949663861
6240000000,61,6240000000,,437.202903996,437.204236536,437.198682641,437.207548721
6320000000,62,6320000000,,435.688146217,435.685649994,435.682818416,435.689430161
6440000000,63,6440000000,,421.099678356,421.092623703,421.093482323,421.096981778
6520000000,64,6520000000,,431.674446725,431.669334543,431.667425615,431.674324276
6640000000,65,6640000000,,431.602787515,431.596924633,431.59479909,431.602456427
6720000000,66,6720000000,,429.642829651,429.64004014,429.633996496,429.644790793
6840000000,67,6840000000,,433.259224586,433.254428285,433.249802221,433.257681536
6920000000,68,6920000000,,424.913892031,424.906380594,424.903742494,424.908455351
7040000000,69,7040000000,,436.483296722,436.47800047,436.472317113,436.479018532
7120000000,70,7120000000,,442.117832081,442.115660043,442.107187046,442.115897468
7240000000,71,7240000000,,440.096883784,440.09328118,440.08725105,440.093124066
7320000000,72,7320000000,,419.540164706,419.536907711,419.531615387,419.536829558
7401000000,73,7401000000,,430.040296719,430.035798867,430.03273985,430.035979972
7520000000,74,7520000000,,435.337313249,435.334527118,435.330551992,435.334569401
7640000000,75,7640000000,,431.108606738,431.107152495,431.102401671,431.107769401
7720000000,76,7720000000,,430.767584108,430.764582521,430.761578949,430.766669642
7840000000,77,7840000000,,431.059179286,431.055014528,431.053659099,431.058206712
7920000000,78,7920000000,,439.552804782,439.548941362,439.547763931,439.553309732
8000000000,79,8000000000,,431.124015212,431.119714969,431.119368496,431.125393203
8120000000,80,8120000000,,428.487516335,428.481732185,428.482257841,428.487965686
8240000000,81,8240000000,,426.651582001,426.645002328,426.64520477,426.651019841
8320000000,82,8320000000,,432.437047209,432.430322913,432.429679602,432.435636776
8440000000,83,8440000000,,433.675701716,433.671737593,433.667595125,433.676191777
8520000000,84,8520000000,,426.491833432,426.486148861,426.482922437,426.490238814
8600000000,85,8600000000,,438.187100414,438.181158519,438.177395627,438.184907843
8720000000,86,8720000000,,435.850647489,435.842486027,435.840915172,435.84525993
8840000000,87,8840000000,,435.986753162,435.983639676,435.977741633,435.985043497
8920000000,88,8920000000,,429.199744356,429.195933704,429.19109115,429.195991391
9040000000,89,9040000000,,426.99870621,426.99573828,426.990432228,426.994414039
9120000000,90,9120000000,,436.095309177,436.089855979,436.088094705,436.088268533
9240000000,91,9240000000,,433.442282648,433.438902574,433.43628314,433.43788246
9320000000,92,9320000000,,419.812959575,419.809858421,419.807813069,419.809851433
9440000000,93,9440000000,,437.388743673,437.385421516,437.384076995,437.386576869
9520000000,94,9520000000,,444.026049928,444.026380534,444.022291915,444.028211382
9640000000,95,9640000000,,434.839623991,434.83764209,434.836823542,434.840125116
9720000000,96,9720000000,,423.806185467,423.797880232,423.803067913,423.801156049
9840000000,97,9840000000,,430.303755432,430.304505711,430.299651922,430.308522431
9920000000,98,9920000000,,428.075679452,428.071744001,428.071014775,428.076638836
10040000000,99,10040000000,,433.743129438,433.730475989,433.737855282,433.736216322
10120000000,100,10120000000,,439.997449909,439.989773567,439.991079554,439.995023142
10240000000,101,10240000000,,427.832542178,427.82452103,427.825070966,427.828603618
10320000000,102,10320000000,,433.116052151,433.116104514,433.107364865,433.119584828
10440000000,103,10440000000,,424.979620004,424.973924066,424.969695311,424.976805202
10520000000,104,10520000000,,437.889847801,437.876223503,437.880004677,437.878189793
10600000000,105,10600000000,,433.689804476,433.681763889,433.680840365,433.682855871
10720000000,106,10720000000,,436.569623844,436.571639004,436.561736463,436.57225197
10840000000,107,10840000000,,426.588585919,426.585436034,426.58123677,426.585255407
10920000000,108,10920000000,,430.153892171,430.141001114,430.147195591,430.140738847
11045000000,109,11045000000,,420.884323615,420.878125225,420.878402344,420.878751193
11120000000,110,11120000000,,434.401922972,434.405803723,434.396613101,434.407746335
11240000000,111,11240000000,,437.294651119,437.291544675,437.290124828,437.294281019
11320000000,112,11320000000,,437.650681393,437.647618159,437.646974993,437.651125639
11440000000,113,11440000000,,422.293695766,422.29052806,422.290656671,422.295010972
11520000000,114,11520000000,,432.822548537,432.808935744,432.819250699,432.81435639
11640000000,115,11640000000,,429.834981957,429.826952551,429.830494026,429.832901081
11720000000,116,11720000000,,426.341041987,426.342488373,426.335546705,426.34905388
11840000000,117,11840000000,,439.238442048,439.232304242,439.232045085,439.239591118
11920000000,118,11920000000,,440.856115728,440.839240982,440.849120464,440.845976952
12040000000,119,12040000000,,430.003361233,429.993900676,429.996138357,429.999394004
12120000000,120,12120000000,,419.571314809,419.572564303,419.563717666,419.577111297
12240000000,121,12240000000,,436.039321696,436.033850592,436.031223404,436.037525854
12320000000,122,12320000000,,433.325846837,433.320618807,433.317328053,433.323322413
12440000000,123,12440000000,,434.985155684,434.970164244,434.977136118,434.972098297
12520000000,124,12520000000,,436.982445788,436.974662649,436.975673954,436.976437517
12640000000,125,12640000000,,436.693174909,436.696798437,436.687705825,436.698792044
12720000000,126,12720000000,,432.062598827,432.059776832,432.058244786,432.061517291
12841000000,127,12841000000,,424.647441531,424.633968688,424.643827957,424.636128743
12920000000,128,12920000000,,428.216215627,428.209542861,428.21275092,428.213144649
13040000000,129,13040000000,,422.744043126,422.747528935,422.740430205,422.752842522
13120000000,130,13120000000,,442.109611665,442.105058462,442.106265925,442.111744568
13240000000,131,13240000000,,444.394033107,444.388984871,444.390982992,444.397021214
13320000000,132,13320000000,,433.260433037,433.242359685,433.256588852,433.251328504
13441000000,133,13441000000,,422.517471076,422.506483781,422.512306802,422.515535719
13520000000,134,13520000000,,428.800363954,428.78899393,428.794022353,428.797520629
13640000000,135,13640000000,,423.806072644,423.807304139,423.798833529,423.815093777
13720000000,136,13720000000,,424.738968137,424.731479867,424.730736796,424.73902533
13840000000,137,13840000000,,429.852135011,429.832016659,429.842965478,429.839293892
13920000000,138,13920000000,,450.816073265,450.804823906,450.806943166,450.811111345
