%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
101000000,1,101000000,,427.0,427.0,427.0,427.0
200000000,2,200000000,,777.026562056,776.972825443,777.029015418,776.972209583
301000000,3,301000000,,509.856706445,509.91021438,509.860760982,509.910176768
401000000,4,401000000,,655.849594541,655.841234953,655.854429762,655.841292924
500000000,5,500000000,,644.781099264,644.783556792,644.786223498,644.783559563
601000000,6,601000000,,579.935022369,579.937542003,579.940255664,579.937544774
700000000,7,700000000,,422.695235187,422.697778305,422.700491966,422.697781077
800000000,8,800000000,,311.569635929,311.582706276,311.57403397,311.582709047
900000000,9,900000000,,300.764647579,300.779142534,300.766223281,300.779145305
1000000000,10,1000000000,,358.919092254,358.905176192,358.918012476,358.905178964
1100000000,11,1100000000,,425.504145623,425.502735911,425.500805344,425.502738682
1203000000,12,1203000000,,472.272594833,472.270097494,472.267096382,472.270100265
1300000000,13,1300000000,,461.310870702,461.307354329,461.303385649,461.3073571
1400000000,14,1400000000,,451.296763353,451.325817479,451.288037642,451.32582025
1500000000,15,1500000000,,409.408768049,409.415993927,409.400042352,409.415918993
1600000000,16,1600000000,,390.169951126,390.176977066,390.161823327,390.176796162
1700000000,17,1700000000,,369.129484529,369.103675559,369.121652675,369.103404323
1800000000,18,1800000000,,405.293959001,405.290479013,405.286168706,405.290004441
1901000000,19,1901000000,,407.806912912,407.803631963,407.799319442,407.802878523
2000000000,20,2000000000,,473.675492107,473.672547264,473.668332372,473.671495891
2100000000,21,2100000000,,429.8202868,429.817715256,429.813882167,429.816694656
2200000000,22,2200000000,,416.862619098,416.860415867,416.857198368,416.859625287
2301000000,23,2301000000,,404.884256321,404.882460505,404.879985788,404.881983454
2400000000,24,2400000000,,429.837313347,429.856508299,429.833680566,429.856850258
2500000000,25,2500000000,,430.930621287,430.934057989,430.926678422,430.935725755
2600000000,26,2600000000,,423.048548259,423.032270873,423.043885881,423.035257223
2700000000,27,2700000000,,419.280154384,419.276116782,419.275354164,419.280240394
2801000000,28,2801000000,,418.649794658,418.645207521,418.644926425,418.650403185
2900000000,29,2900000000,,428.628767803,428.639778264,428.622963455,428.645083668
3000000000,30,3000000000,,421.964888914,421.963996506,421.957723277,421.968669636
3100000000,31,3100000000,,443.408674074,443.392667371,443.400252154,443.396869836
3200000000,32,3200000000,,420.232342137,420.226055885,420.222672154,420.229926914
3300000000,33,3300000000,,428.211593596,428.219159014,428.20069271,428.222484758
3402000000,34,3402000000,,422.967977591,422.966568162,422.95692772,422.968772413
3500000000,35,3500000000,,436.421502063,436.420148538,436.411129687,436.421180502
3602000000,36,3602000000,,428.300459243,428.286819381,428.290456022,428.286651222
3700000000,37,3700000000,,430.581038867,430.58958584,430.571509553,430.588734816
3800000000,38,3800000000,,422.933172078,422.933520669,422.924462602,422.932845224
3901000000,39,3901000000,,417.380147629,417.38012278,417.372275926,417.380289914
4000000000,40,4000000000,,436.531677101,436.520281612,436.524452216,436.521525199
4100000000,41,4100000000,,434.42390661,434.420287599,434.417542772,434.422103412
4200000000,42,4200000000,,443.907019725,443.903631519,443.901603959,443.905981323
4300000000,43,4300000000,,435.785067353,435.781747794,435.780469958,435.784893308
4400000000,44,4400000000,,438.746352331,438.750283151,438.742383181,438.754440351
4500000000,45,4500000000,,428.777148145,428.775128459,428.772653509,428.780327152
4600000000,46,4600000000,,420.257988096,420.255126906,420.252292875,420.260916919
4700000000,47,4700000000,,435.806898431,435.803244699,435.800026065,435.809145535
4800000000,48,4800000000,,425.945202563,425.941349878,425.937498962,425.946847897
4900000000,49,4900000000,,435.414402002,435.410668071,435.406251844,435.415420806
5000000000,50,5000000000,,422.047268709,422.037143272,422.038564037,422.041471934
5100000000,51,5100000000,,430.780804297,430.77478616,430.771448017,430.778816416
5200000000,52,5200000000,,436.78453057,436.784608938,436.774610516,436.788205078
5300000000,53,5300000000,,440.355388567,440.351827565,440.346123608,440.354357008
5400000000,54,5400000000,,428.338905959,428.330240504,428.330136656,428.331646596
5502000000,55,5502000000,,427.82062006,427.816829213,427.812392947,427.817032056
5600000000,56,5600000000,,427.898670724,427.899897022,427.891188737,427.898906677
5700000000,57,5700000000,,434.482441007,434.481627088,434.476004764,434.480753732
5800000000,58,5800000000,,422.488911973,422.488121727,422.483410284,422.488070793
5900000000,59,5900000000,,432.171318757,432.170638277,432.166466796,432.171607889
6000000000,60,6000000000,,441.06751001,441.062254011,441.06280223,441.064222651
6100000000,61,6100000000,,433.949729385,433.946995921,433.945563349,433.949647756
6200000000,62,6200000000,,437.202894121,437.204260303,437.198692517,437.207524955
6300000000,63,6300000000,,435.688115703,435.68567328,435.682848929,435.689406875
6400000000,64,6400000000,,421.099659554,421.092661315,421.093501125,421.096944166
6500000000,65,6500000000,,431.674416086,431.669374706,431.667456254,431.674284113
6600000000,66,6600000000,,431.602739064,431.596961164,431.594847541,431.602419896
6700000000,67,6700000000,,429.642781497,429.640025449,429.634044649,429.644805484
6800000000,68,6800000000,,433.259181801,433.254386961,433.249845005,433.25772286
6901000000,69,6901000000,,424.913833679,424.906349361,424.903800845,424.908486584
7000000000,70,7000000000,,436.48323138,436.477958347,436.472382455,436.479060656
7100000000,71,7100000000,,442.117812086,442.115623573,442.107207042,442.115933938
7200000000,72,7200000000,,440.096887233,440.093257525,440.0872476,440.093147721
7300000000,73,7300000000,,419.540172116,419.536892692,419.531607978,419.536844577
7400000000,74,7400000000,,430.040298332,430.035767711,430.032738237,430.036011127
7500000000,75,7500000000,,435.33732324,435.3344954,435.330542001,435.334601118
7600000000,76,7600000000,,431.108610126,431.107182714,431.102398283,431.107739182
7701000000,77,7701000000,,430.767584614,430.764627811,430.761578442,430.766624352
7800000000,78,7800000000,,431.059199102,431.055050708,431.053639284,431.058170532
7900000000,79,7900000000,,439.55282357,439.548991842,439.547745142,439.553259252
8000000000,80,8000000000,,431.124032469,431.119776782,431.119351239,431.12533139
8101000000,81,8101000000,,428.487492005,428.481772908,428.482282171,428.487924963
8201000000,82,8201000000,,426.651539881,426.645016988,426.645246891,426.651005181
8302000000,83,8302000000,,432.437005672,432.430327822,432.429721139,432.435631867
8400000000,84,8400000000,,433.675656522,433.671754701,433.667640319,433.676174669
8500000000,85,8500000000,,426.491782046,426.48616568,426.482973824,426.490221995
8600000000,86,8600000000,,438.187046834,438.181165083,438.177449207,438.18490128
8700000000,87,8700000000,,435.850620582,435.842460055,435.840942079,435.845285902
8800000000,88,8800000000,,435.986732295,435.983596559,435.9777625,435.985086614
8900000000,89,8900000000,,429.19972443,429.195879932,429.191111076,429.196045163
9000000000,90,9000000000,,426.998703337,426.995670048,426.990435101,426.994482271
9100000000,91,9100000000,,436.095335272,436.089827727,436.08806861,436.088296784
9200000000,92,9200000000,,433.442315761,433.438902829,433.436250027,433.437882205
9300000000,93,9300000000,,419.812988511,419.80986949,419.807784133,419.809840363
9401000000,94,9401000000,,437.388763126,437.385441494,437.384057542,437.386556891
9500000000,95,9500000000,,444.026097891,444.026387636,444.022243952,444.02820428
9600000000,96,9600000000,,434.839671489,434.83766299,434.836776044,434.840104216
