%time,field.x,field.y,field.z
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
76000000,0.0,0.0,3.0
223000000,0.0,0.0,3.0
443000000,0.0,0.0,3.0
671000000,0.0,0.0,3.0
859000000,0.0,0.0,3.0
1004000000,0.0,0.0,3.0
1288000000,0.0,0.0,3.0
1440000000,0.0,0.0,3.0
1662000000,0.0,0.0,3.0
1779000000,0.0,0.0,3.0
1915000000,0.0,0.0,3.0
2088000000,0.0,0.0,3.0
2246000000,0.0,0.0,3.0
2442000000,0.0,0.0,3.0
2661000000,0.0,0.0,3.0
2788000000,0.0,0.0,3.0
2935000000,0.0,0.0,3.0
3091000000,0.0,0.0,3.0
3315000000,0.0,0.0,3.0
3536000000,0.0,0.0,3.0
3680000000,0.0,0.0,3.0
3831000000,0.0,0.0,3.0
4051000000,0.0,0.0,3.0
4160000000,0.0,0.0,3.0
4338000000,0.0,0.0,3.0
4581000000,0.0,0.0,3.0
4725000000,0.0,0.0,3.0
4876000000,0.0,0.0,3.0
5022000000,0.0,0.0,3.0
5204000000,0.0,0.0,3.0
5413000000,0.0,0.0,3.0
5557000000,0.0,0.0,3.0
5703000000,0.0,0.0,3.0
6001000000,0.0,0.0,3.0
6080000000,0.0,0.0,3.0
6249000000,0.0,0.0,3.0
6410000000,0.0,0.0,3.0
6569000000,0.0,0.0,3.0
6758000000,0.0,0.0,3.0
6890000000,0.0,0.0,3.0
7162000000,0.0,0.0,3.0
7319000000,0.0,0.0,3.0
7511000000,0.0,0.0,3.0
7719000000,0.0,0.0,3.0
7907000000,0.0,0.0,3.0
8096000000,0.0,0.0,3.0
8283000000,0.0,0.0,3.0
8446000000,0.0,0.0,3.0
8621000000,0.0,0.0,3.0
8769000000,0.0,0.0,3.0
8940000000,0.0,0.0,3.0
9076000000,0.0,0.0,3.0
9200000000,0.0,0.0,3.0
9433000000,0.0,0.0,3.0
9578000000,0.0,0.0,3.0
9694000000,0.0,0.0,3.0
9858000000,0.0,0.0,3.0
10033000000,0.0,0.0,3.0
10209000000,0.0,0.0,3.0
10389000000,0.0,0.0,3.0
10528000000,0.0,0.0,3.0
10696000000,0.0,0.0,3.0
10856000000,0.0,0.0,3.0
11078000000,0.0,0.0,3.0
11190000000,0.0,0.0,3.0
11471000000,0.0,0.0,3.0
11632000000,0.0,0.0,3.0
11816000000,0.0,0.0,3.0
12010000000,0.0,0.0,3.0
12213000000,0.0,0.0,3.0
12320000000,0.0,0.0,3.0
12479000000,0.0,0.0,3.0
12672000000,0.0,0.0,3.0
12822000000,0.0,0.0,3.0
12920000000,0.0,0.0,3.0
13171000000,0.0,0.0,3.0
13375000000,0.0,0.0,3.0
13546000000,0.0,0.0,3.0
13703000000,0.0,0.0,3.0
13864000000,0.0,0.0,3.0
14040000000,0.0,0.0,3.0
14143000000,0.0,0.0,3.0
14284000000,0.0,0.0,3.0
14460000000,0.0,0.0,3.0
14657000000,0.0,0.0,3.0
14839000000,0.0,0.0,3.0
14989000000,0.0,0.0,3.0
15139000000,0.0,0.0,3.0
15244000000,0.0,0.0,3.0
15437000000,0.0,0.0,3.0
15550000000,0.0,0.0,3.0
15754000000,0.0,0.0,3.0
15874000000,0.0,0.0,3.0
16069000000,0.0,0.0,3.0
16216000000,0.0,0.0,3.0
16418000000,0.0,0.0,3.0
16529000000,0.0,0.0,3.0
16671000000,0.0,0.0,3.0
16814000000,0.0,0.0,3.0
16990000000,0.0,0.0,3.0
17161000000,0.0,0.0,3.0
17337000000,0.0,0.0,3.0
17567000000,0.0,0.0,3.0
17768000000,0.0,0.0,3.0
17967000000,0.0,0.0,3.0
18176000000,0.0,0.0,3.0
18344000000,0.0,0.0,3.0
18501000000,0.0,0.0,3.0
18702000000,0.0,0.0,3.0
18857000000,0.0,0.0,3.0
19012000000,0.0,0.0,3.0
19157000000,0.0,0.0,3.0
19333000000,0.0,0.0,3.0
19565000000,0.0,0.0,3.0
19691000000,0.0,0.0,3.0
19938000000,0.0,0.0,3.0
20122000000,0.0,0.0,3.0
20279000000,0.0,0.0,3.0
20441000000,0.0,0.0,3.0
20631000000,0.0,0.0,3.0
20839000000,0.0,0.0,3.0
20998000000,0.0,0.0,3.0
21243000000,0.0,0.0,3.0
21372000000,0.0,0.0,3.0
21581000000,0.0,0.0,3.0
21757000000,0.0,0.0,3.0
21895000000,0.0,0.0,3.0
22084000000,0.0,0.0,3.0
22348000000,0.0,0.0,3.0
22523000000,0.0,0.0,3.0
22710000000,0.0,0.0,3.0
22826000000,0.0,0.0,3.0
23006000000,0.0,0.0,3.0
23234000000,0.0,0.0,3.0
23394000000,0.0,0.0,3.0
23534000000,0.0,0.0,3.0
23716000000,0.0,0.0,3.0
23899000000,0.0,0.0,3.0
24057000000,0.0,0.0,3.0
24240000000,0.0,0.0,3.0
24378000000,0.0,0.0,3.0
24584000000,0.0,0.0,3.0
24718000000,0.0,0.0,3.0
24930000000,0.0,0.0,3.0
25073000000,0.0,0.0,3.0
25226000000,0.0,0.0,3.0
25398000000,0.0,0.0,3.0
25575000000,0.0,0.0,3.0
25737000000,0.0,0.0,3.0
25912000000,0.0,0.0,3.0
26133000000,0.0,0.0,3.0
26251000000,0.0,0.0,3.0
26407000000,0.0,0.0,3.0
26591000000,0.0,0.0,3.0
26760000000,0.0,0.0,3.0
26978000000,0.0,0.0,3.0
27099000000,0.0,0.0,3.0
27275000000,0.0,0.0,3.0
27455000000,0.0,0.0,3.0
27602000000,0.0,0.0,3.0
27852000000,0.0,0.0,3.0
28084000000,0.0,0.0,3.0
28181000000,0.0,0.0,3.0
28336000000,0.0,0.0,3.0
28514000000,0.0,0.0,3.0
28697000000,0.0,0.0,3.0
28846000000,0.0,0.0,3.0
29015000000,0.0,0.0,3.0
29238000000,0.0,0.0,3.0
29361000000,0.0,0.0,3.0
29521000000,0.0,0.0,3.0
29696000000,0.0,0.0,3.0
29881000000,0.0,0.0,3.0
30060000000,0.0,0.0,3.0
30267000000,0.0,0.0,3.0
30405000000,0.0,0.0,3.0
30560000000,0.0,0.0,3.0
30773000000,0.0,0.0,3.0
30869000000,0.0,0.0,3.0
31131000000,0.0,0.0,3.0
31343000000,0.0,0.0,3.0
31483000000,0.0,0.0,3.0
31704000000,0.0,0.0,3.0
31868000000,0.0,0.0,3.0
32086000000,0.0,0.0,3.0
32282000000,0.0,0.0,3.0
32466000000,0.0,0.0,3.0
32740000000,0.0,0.0,3.0
32929000000,0.0,0.0,3.0
33160000000,0.0,0.0,3.0
33320000000,0.0,0.0,3.0
33552000000,0.0,0.0,3.0
33747000000,0.0,0.0,3.0
33941000000,0.0,0.0,3.0
34109000000,0.0,0.0,3.0
34411000000,0.0,0.0,3.0
34592000000,0.0,0.0,3.0
34844000000,0.0,0.0,3.0
35049000000,0.0,0.0,3.0
35215000000,0.0,0.0,3.0
