%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1000000,0,1000000,world,0.0,0.0,0.74
11000000,1,11000000,world,-1.07738277069e-27,-1.09807001825e-27,0.739461
21000000,2,21000000,world,1.63692024856e-24,1.51811157212e-24,0.737942
31000000,3,31000000,world,-4.38394968409e-25,-6.00545634499e-25,0.735443
41000000,4,41000000,world,-1.4288227372e-24,-1.79321964477e-24,0.731964
51000000,5,51000000,world,-2.69206115799e-25,-7.55861801429e-25,0.727505
61000000,6,61000000,world,4.36934927905e-25,3.89341348587e-26,0.722066
71000000,7,71000000,world,-3.79613243142e-19,3.79499244117e-19,0.715647
81000000,8,81000000,world,-1.18059769491e-18,1.1780670113e-18,0.708248
91000000,9,91000000,world,-1.9991043683e-18,1.97925851127e-18,0.699869
101000000,10,101000000,world,-3.09381935378e-18,2.99756210838e-18,0.69051
111000000,11,111000000,world,-4.23751507711e-18,4.06021915302e-18,0.680171
121000000,12,121000000,world,-5.42135433347e-18,5.15885910443e-18,0.668852
131000000,13,131000000,world,1.59637784864e-14,1.50741722199e-14,0.656553080965
141000000,14,141000000,world,3.38370270198e-14,3.11850516277e-14,0.643275584944
151000000,15,151000000,world,-6.05250082467e-15,-1.11736777119e-14,0.629023413989
161000000,16,161000000,world,-1.73994389972e-06,1.30535253157e-07,0.624997933125
171000000,17,171000000,world,3.75301490659e-06,2.05668332547e-06,0.624996420002
181000000,18,181000000,world,-2.4613948706e-06,-2.21521661609e-06,0.624997992927
191000000,19,191000000,world,4.34978477448e-06,8.9411510098e-07,0.624996513928
201000000,20,201000000,world,-3.00130949264e-06,-4.44051012065e-06,0.624996352208
211000000,21,211000000,world,4.56124878395e-06,1.48631167559e-07,0.624996678154
221000000,22,221000000,world,1.26988678097e-06,-5.84183493424e-06,0.624998430252
231000000,23,231000000,world,1.09122501814e-06,1.03919985348e-06,0.624998542173
241000000,24,241000000,world,4.53149753906e-06,-5.48303314605e-07,0.624997089186
251000000,25,251000000,world,-2.10164634217e-06,-4.73287631719e-06,0.624996739249
261000000,26,261000000,world,-2.67612703864e-06,-2.62208926798e-06,0.625000387601
271000000,27,271000000,world,-2.75506287426e-06,-1.91331003467e-06,0.625000004244
281000000,28,281000000,world,-2.04207686098e-06,-1.92106245097e-06,0.625000207155
291000000,29,291000000,world,-2.24539597022e-06,-2.31683403745e-06,0.624999987548
301000000,30,301000000,world,-1.81451545878e-06,-2.44520072466e-06,0.625000184326
311000000,31,311000000,world,-2.46439553109e-06,-2.32636944334e-06,0.625000120201
321000000,32,321000000,world,-2.08442147169e-06,-2.60531617982e-06,0.62500009829
331000000,33,331000000,world,-2.43521863078e-06,-2.31155544815e-06,0.625000059417
341000000,34,341000000,world,-2.02223341916e-06,-2.69879339276e-06,0.62500031974
351000000,35,351000000,world,-3.06357174447e-06,-2.60318595098e-06,0.625000327391
361000000,36,361000000,world,-2.53847644884e-06,-2.84354404141e-06,0.625000103771
371000000,37,371000000,world,-2.53291875608e-06,-2.32137763661e-06,0.625000184822
381000000,38,381000000,world,-1.99241213999e-06,-2.6402888043e-06,0.624999642181
391000000,39,391000000,world,-3.36919740733e-06,-2.01895968558e-06,0.624999172928
401000000,40,401000000,world,-1.70022580567e-06,-3.16561526466e-06,0.624999190093
411000000,41,411000000,world,-3.59183413425e-06,-1.96246532863e-06,0.62499914183
421000000,42,421000000,world,-2.0869463276e-06,-2.96287241756e-06,0.6249993857
431000000,43,431000000,world,-3.00854584071e-06,-1.94079173108e-06,0.624999428441
441000000,44,441000000,world,-2.50135437631e-06,-3.00032841209e-06,0.624999892623
451000000,45,451000000,world,-2.66002303855e-06,-2.70501949199e-06,0.624999259192
461000000,46,461000000,world,-2.66691413351e-06,-2.38149761221e-06,0.624999915727
471000000,47,471000000,world,-2.63941098959e-06,-2.50313378743e-06,0.625000070237
481000000,48,481000000,world,-1.8885991632e-06,-2.35190979192e-06,0.625010229907
491000000,49,491000000,world,-7.33032521441e-08,-1.96988251666e-06,0.625065325201
501000000,50,501000000,world,2.26546788563e-06,-1.38888360935e-06,0.625204635384
511000000,51,511000000,world,5.34516102664e-06,-6.6455330716e-07,0.625466599059
521000000,52,521000000,world,9.2914035288e-06,1.57521714881e-07,0.625888786022
531000000,53,531000000,world,1.40221662881e-05,1.04579432299e-06,0.626507621351
541000000,54,541000000,world,1.90626115795e-05,1.81987108852e-06,0.627357195665
551000000,55,551000000,world,2.46524631636e-05,2.58301069923e-06,0.628470241413
561000000,56,561000000,world,3.0818078985e-05,3.35975466411e-06,0.629878619027
571000000,57,571000000,world,3.72946418273e-05,4.07894518357e-06,0.631613319511
581000000,58,581000000,world,4.39360671478e-05,4.70760850422e-06,0.633704469298
591000000,59,591000000,world,5.09837912284e-05,5.3320220784e-06,0.636181337194
601000000,60,601000000,world,5.83825965165e-05,5.94811979808e-06,0.639072343116
611000000,61,611000000,world,6.60808267994e-05,6.55216280878e-06,0.642405068416
621000000,62,621000000,world,7.40294644392e-05,7.1429811536e-06,0.646206267546
631000000,63,631000000,world,8.17539156405e-05,7.67577667225e-06,0.650501880918
641000000,64,641000000,world,8.96741547348e-05,8.19933011857e-06,0.655317048757
651000000,65,651000000,world,9.77584320354e-05,8.71510488475e-06,0.660673722256
661000000,66,661000000,world,0.000105942373404,9.22878792345e-06,0.666583466216
671000000,67,671000000,world,0.000113925651917,9.77487804195e-06,0.673055073358
681000000,68,681000000,world,0.000122014995474,1.03147459799e-05,0.680097015558
691000000,69,691000000,world,0.000130194298386,1.08510191806e-05,0.687717454555
701000000,70,701000000,world,0.000138447083723,1.13861036137e-05,0.695924252288
711000000,71,711000000,world,0.000146561476082,1.19911951565e-05,0.704724981063
721000000,72,721000000,world,0.000154684786833,1.2611412091e-05,0.714126933479
731000000,73,731000000,world,0.000162872092972,1.32293620666e-05,0.724131610953
741000000,74,741000000,world,0.000171016781631,1.39135814942e-05,0.734716821104
751000000,75,751000000,world,0.000179178686151,1.46308200443e-05,0.745855171379
761000000,76,761000000,world,0.000187389975982,1.53455445378e-05,0.757520572328
771000000,77,771000000,world,0.000195628797843,1.60589904179e-05,0.769688168848
781000000,78,781000000,world,0.000203870835065,1.67715128241e-05,0.782334275209
791000000,79,791000000,world,0.000203035244359,1.75370303313e-05,0.795436313482
801000000,80,801000000,world,0.00019386318484,1.83537152044e-05,0.808972757038
