%time,field.header.seq,field.header.stamp,field.header.frame_id,field.roll,field.pitch,field.jaw,field.roll_dot,field.pitch_dot,field.jaw_dot
55000000,0,55000000,,3.4131963486e-23,-6.44083913858e-23,-1.81021785466e-24,0.0,0.0,0.0
112000000,1,112000000,,-1.10233182278e-20,-2.37228311292e-21,-6.1581065781e-24,0.0,0.0,0.0
120000000,2,120000000,,-3.54827654055e-20,9.43158830757e-20,-6.00573099451e-24,0.0,0.0,0.0
163000000,3,163000000,,1.60373960206e-12,-1.6876745227e-12,-1.82529332089e-14,0.0,0.0,0.0
202000000,4,202000000,,-4.18574927608e-06,6.07056244917e-06,-7.76703745942e-06,-0.00467013381422,0.00648308731616,-0.00038505194243
240000000,5,240000000,,-5.00433770867e-06,-4.30981162935e-06,-1.27358580357e-05,-0.00516248913482,-0.00444954028353,-0.000100086763268
282000000,6,282000000,,-8.38843803308e-08,-2.56635757978e-06,-2.00005451916e-05,0.00157687568571,0.00223014038056,7.72273851908e-05
320000000,7,320000000,,9.62859481035e-09,3.26225957359e-09,-1.32690329337e-05,-4.16692153005e-10,-1.24914334432e-09,2.42653423396e-12
361000000,8,361000000,,1.1778347897e-07,-1.59780333409e-09,-1.32194982143e-05,-3.72629316292e-10,-6.47714249857e-13,1.04502040701e-12
401000000,9,401000000,,-4.33122782084e-09,-1.76070358293e-07,-1.34672909553e-05,5.92763199636e-11,3.88744786362e-10,2.00201644542e-13
441000000,10,441000000,,1.72493752615e-09,-1.8635211152e-09,-1.26657605506e-05,0.0,0.0,0.0
480000000,11,480000000,,9.15422049275e-07,-2.3781801417e-07,-1.27371231429e-05,1.34099101181e-12,-8.51067317748e-13,-1.20512540919e-13
520000000,12,520000000,,3.83745782528e-06,-4.00534236178e-06,-1.29361151266e-05,7.95041810164e-12,-1.37733028108e-11,-4.47077840244e-13
560000000,13,560000000,,7.84734947956e-06,-1.24873604364e-05,-1.31546930788e-05,1.55891688447e-11,-3.58492506514e-11,-7.79771917609e-13
602000000,14,602000000,,1.31282113216e-05,-2.63530710072e-05,-1.33992934934e-05,2.79344516269e-11,-7.98334662266e-11,-1.2626732342e-12
662000000,15,662000000,,2.10795587918e-05,-5.28649361513e-05,-1.37864417411e-05,3.48361270386e-11,-1.31098396028e-10,-1.77904479343e-12
697000000,16,697000000,,2.58690670307e-05,-7.16519352864e-05,-1.40326083056e-05,4.0581368127e-11,-1.70925648635e-10,-2.11716278189e-12
720000000,17,720000000,,2.93564808089e-05,-8.60557847773e-05,-1.41926429933e-05,5.43543543507e-11,-2.32119115595e-10,-2.58313292631e-12
760000000,18,760000000,,3.47230125044e-05,-0.000111168250442,-1.44917976286e-05,4.07038326655e-11,-2.10442163695e-10,-2.53672300179e-12
800000000,19,800000000,,3.94927665184e-05,-0.000137091163197,-1.48283425006e-05,2.95072334622e-11,-1.80136808248e-10,-2.48428534688e-12
840000000,20,840000000,,4.28613602708e-05,-0.000159307935974,-1.51440644913e-05,2.20669246764e-11,-1.61115218389e-10,-2.42166876829e-12
881000000,21,881000000,,4.50064180768e-05,-0.000179574941285,-1.54973367898e-05,9.46689514975e-12,-1.14086934344e-10,-2.07406032453e-12
921000000,22,921000000,,4.59706679976e-05,-0.000196182605578,-1.58313778229e-05,4.9725420179e-13,-6.69322375302e-11,-1.62484001948e-12
960000000,23,960000000,,4.53287393611e-05,-0.00020741042681,-1.61623356689e-05,-4.11395223443e-12,-2.89920205898e-11,-1.08166644044e-12
1008000000,24,1008000000,,4.17162336817e-05,-0.000214724816033,-1.6652749764e-05,-5.11804574416e-12,-1.15903575799e-12,-4.72849244568e-13
1040000000,25,1040000000,,3.81102508982e-05,-0.00021351093892,-1.69457925949e-05,-1.00440914266e-11,7.49349193807e-12,-7.25163635737e-13
1081000000,26,1081000000,,3.1794563256e-05,-0.000206389813684,-1.73169864865e-05,-2.87933201587e-11,4.22478510509e-11,-1.48876028692e-12
1120000000,27,1120000000,,2.39229884755e-05,-0.000192118284758,-1.76897337951e-05,-5.29517298065e-11,1.09002668003e-10,-2.30377262406e-12
1161000000,28,1161000000,,1.43478619066e-05,-0.000171792009496,-1.80572387762e-05,-8.71028874028e-11,1.99277344626e-10,-3.11750300054e-12
1201000000,29,1201000000,,5.52811661692e-06,-0.000149800005602,-1.83596584975e-05,-1.15490249308e-10,3.08249648029e-10,-3.83269934887e-12
1240000000,30,1240000000,,-9.84959206107e-06,-0.000108316700789,-1.88268422789e-05,-1.68023248093e-10,4.73149908142e-10,-4.80210923109e-12
1280000000,31,1280000000,,-2.33706959989e-05,-6.69895089231e-05,-1.92008155864e-05,-2.17741102926e-10,6.94279800317e-10,-5.81638513394e-12
1321000000,32,1321000000,,-3.96134601033e-05,-1.5551555407e-05,-1.96093824343e-05,-2.69047589763e-10,9.0003687836e-10,-6.69861822261e-12
