%time,field0,field1,field2,field3,field4,field5,field6,field7
101000000,3.58732406867e-43,2.80259692865e-45,3.58732406867e-43,2.80259692865e-45,-2.68002104415,-2.68002104415,-1.28816778646e-23,-7.59287618162e-27
110000000,4.60504250752e-16,-1.9743072625e-18,3.99856691729e-16,-1.70325671938e-18,-15.3970574673,-15.3970574673,6.84460709083e-21,3.65997289219e-19
120000000,-3.40451456108e-15,7.05965103329e-18,-3.4433662683e-15,7.54754201091e-18,-20.0,-20.0,6.89674549855e-20,-1.23221320022e-18
160000000,-6.77025823411e-11,1.88738938774e-13,9.11614589216e-11,-2.33479934589e-13,-20.0,-20.0,-4.08249233936e-13,8.51908338876e-14
215000000,-0.00178996192214,8.76643992318e-06,-0.00175102670252,8.56633646796e-06,-20.0,-20.0,-9.19661032432e-08,0.000278928902529
240000000,0.0138924329525,-3.34911258406e-05,0.0139163583441,-3.37891128389e-05,-20.0,-20.0,-1.03345818582e-05,-0.000238719795038
294000000,-0.00138558497594,6.96016420985e-05,-0.00408363830101,5.95695845811e-05,-0.19397999341,-0.194040676735,-5.54630047586e-06,0.000145740879227
319000000,0.0114796207419,4.6173065864e-05,0.00935801793518,3.58916522232e-05,20.0,20.0,-7.58709102868e-06,2.61673534067e-05
361000000,0.0118797463656,4.57023216488e-05,0.0101130042878,3.5278922768e-05,20.0,20.0,-8.16277457704e-06,1.95843442834e-05
407000000,0.0113136423221,4.37975698692e-05,0.00979083143474,3.328491453e-05,20.0,20.0,-8.12423911618e-06,2.83314995703e-05
449000000,0.010645316073,3.91834261144e-05,0.00930409817859,2.86073682865e-05,20.0,20.0,-7.98874564518e-06,3.26343951916e-05
483000000,0.00978664251175,3.52269493754e-05,0.00858787249766,2.46007539116e-05,20.0,20.0,-7.95514246086e-06,3.50518203042e-05
520000000,0.00883193868829,3.35163498256e-05,0.00774871001391,2.28468201193e-05,20.0,20.0,-8.82959647095e-06,3.82549106102e-05
578000000,0.0079411666387,3.3316682324e-05,0.00695377068648,2.26059559306e-05,20.0,20.0,-1.16066653735e-05,4.24534887685e-05
633000000,0.00719348956185,3.41446472968e-05,0.00628683242842,2.33914785e-05,20.0,20.0,-1.74005897461e-05,4.71589681011e-05
678000000,0.00672157627047,3.2917436087e-05,0.00588368380478,2.21194286965e-05,20.0,20.0,-2.90721773778e-05,5.08964953618e-05
701000000,0.0063958737387,2.9184894789e-05,0.00561640495066,1.83326068283e-05,20.0,20.0,-4.42539442969e-05,5.43274239435e-05
728000000,0.0058081748062,2.91420263072e-05,0.00507936727267,1.82429388019e-05,20.0,20.0,-6.20747997305e-05,5.82982059149e-05
777000000,0.00536855570961,2.89155187323e-05,0.0046845725535,1.79870534131e-05,20.0,20.0,-8.54010141884e-05,5.84241532949e-05
811000000,0.00494776484228,2.97493134976e-05,0.00430356487826,1.87940207108e-05,20.0,20.0,-0.000114012320715,5.86222108822e-05
855000000,0.00458062511269,3.0843619825e-05,0.00397183144653,1.98650842684e-05,20.0,20.0,-0.000146929126563,5.83606643637e-05
880000000,0.00441318275291,2.82457347247e-05,0.00383602979497,1.72491872088e-05,20.0,20.0,-0.000183840040852,5.54972685065e-05
932000000,0.00412541980699,2.94737938597e-05,0.00357556358641,1.84356162717e-05,17.6536489941,17.6535452822,-0.00022389671412,5.29034084761e-05
962000000,0.00392258147021,2.96349110204e-05,0.00339710480579,1.85763281086e-05,12.5486921412,12.5484984242,-0.000266016173861,4.66355838718e-05
1013000000,0.00375842512481,3.02278994857e-05,0.00325542679147,1.91771438864e-05,5.12543766558,5.12516898055,-0.00030943667114,3.91552412082e-05
1041000000,0.00357923279255,3.06493150628e-05,0.00309705072827,1.9612911438e-05,-2.66680595448,-2.66713842967,-0.000352250271675,3.1104275446e-05
1088000000,0.00342506578831,3.09290450744e-05,0.00296230303144,1.99069563412e-05,-11.0792371962,-11.0796166618,-0.000393369675523,2.18378250139e-05
1121000000,0.00328931881961,3.10274153618e-05,0.00284466511112,2.0016930885e-05,-19.7400103585,-19.7404232911,-0.000431325099531,1.15757899624e-05
1165000000,0.00316870864707,3.09660404427e-05,0.00274091899858,1.99616505584e-05,-20.0,-20.0,-0.000464942309596,5.89312607054e-07
1204000000,0.00305969567491,3.07562937008e-05,0.00264759832457,1.97516840922e-05,-20.0,-20.0,-0.000494067455736,-1.07759339579e-05
1251000000,0.00295888151672,3.05485871251e-05,0.00256139500464,1.95381467162e-05,-20.0,-20.0,-0.000514095762128,-2.20302303958e-05
1280000000,0.00288013346423,2.99020959576e-05,0.00249626677154,1.88665928471e-05,-20.0,-20.0,-0.000525770933401,-3.37474548843e-05
1333000000,0.00280235909736,2.91822052368e-05,0.00243165982872,1.81370785592e-05,-18.4734075178,-18.4733858935,-0.000526734654596,-4.4644161396e-05
1369000000,0.00274320712073,2.87773262812e-05,0.0023849252036,1.76957749651e-05,-16.7992030014,-16.7991521241,-0.000516544558947,-5.47522052533e-05
1402000000,0.00270041888371,2.82703555508e-05,0.00235475975187,1.72302792767e-05,-15.1488803992,-15.1487945179,-0.000494259474707,-6.36188360913e-05
1426000000,0.00253337425925,3.34934524735e-05,0.00220007118043,2.24319698042e-05,-13.5390255593,-13.5389014782,-0.000458071160059,-6.87969177108e-05
1482000000,0.00255783661738,3.25516592995e-05,0.0022358733565,2.14182024442e-05,-12.6243956882,-12.6242313868,-0.000407520766898,-7.55972366041e-05
1522000000,0.00253346497109,3.19492207669e-05,0.00222173119288,2.07735647782e-05,-12.2404798974,-12.2402751345,-0.000343492386305,-7.6745891898e-05
1563000000,0.00251171930089,3.02000396372e-05,0.00220917885878,1.89763658951e-05,-12.8170496576,-12.8168072358,-0.000265349184533,-7.5433669115e-05
1609000000,0.00247795705594,2.78238528669e-05,0.00218379613165,1.65733860361e-05,-14.1297595331,-14.1294831942,-0.000174349605956,-7.15592636894e-05
1653000000,0.00244020236275,2.61361924964e-05,0.00215380571448,1.48884901606e-05,-15.9231779233,-15.9228722283,-7.40761708817e-05,-6.45456876989e-05
1683000000,0.00239943559072,2.49978918739e-05,0.00212033671002,1.37851045799e-05,-18.7797650495,-18.7794392748,3.64582427996e-05,-5.37360588409e-05
1746000000,0.00231572784562,2.33397342718e-05,0.00208563050418,1.2349146029e-05,-20.0,-20.0,0.00015454941555,-3.92407003661e-05
1771000000,0.0021431571623,2.99327315029e-05,0.00191865845159,1.90365909773e-05,-20.0,-20.0,0.000275905309454,-1.93240882121e-05
1815000000,0.00216207058007,2.97453630747e-05,0.00194296470577,1.89827619506e-05,-20.0,-20.0,0.00039892257875,-4.33672587335e-07
1845000000,0.00210512813299,3.05838529499e-05,0.00189116983132,1.9925853012e-05,-20.0,-20.0,0.000520025285348,2.56803610261e-05
1881000000,0.0020919970798,3.02667501252e-05,0.00188299158007,1.9736974977e-05,-20.0,-20.0,0.000635654745134,5.27541293885e-05
1943000000,0.0020662526065,2.97730286214e-05,0.00186244509022,1.93912372497e-05,-20.0,-20.0,0.000741679233111,8.12943461477e-05
1970000000,0.00202927470364,2.84881863073e-05,0.00183055009771,1.82025964205e-05,-20.0,-20.0,0.000833678434041,3.57488087927e-05
2002000000,0.00170041601501,4.08873496897e-05,0.00151109469505,3.04540021332e-05,-20.0,-20.0,0.000907878225614,4.14036358147e-05
2053000000,0.00156022042046,4.59958295533e-05,0.0013820327662,3.54028013475e-05,-20.0,-20.0,0.000958892529689,5.506428358e-05
2090000000,0.00151531739277,4.45039011939e-05,0.00134596179035,3.36155730031e-05,-20.0,-20.0,0.000984342129487,6.42110176128e-05
2134000000,0.00155894669872,3.61577607022e-05,0.00139573029507,2.50687365965e-05,-20.0,-20.0,0.000986875855492,6.38874276612e-05
2181000000,0.00146740635724,3.60661819689e-05,0.00136946579374,2.41458012958e-05,-20.0,-20.0,0.000968573264239,6.2029709973e-05
2209000000,0.00139632482534,3.80357512868e-05,0.00129984460846,2.60645159118e-05,-20.0,-20.0,0.000932682609659,0.000134433316878
2248000000,0.00158560951526,2.80720789501e-05,0.001490836364,1.67584159936e-05,-20.0,-20.0,0.000883757550912,0.000103167429068
2287000000,0.00144983652547,3.4701864014e-05,0.00135590334636,2.31608185254e-05,-20.0,-20.0,0.000827860055877,0.000100302361734
2321000000,0.001356481957,4.11563471976e-05,0.00126366992646,2.95324643127e-05,-20.0,-20.0,0.00076221623736,0.000109164578882
2382000000,0.001337202755,4.36845325546e-05,0.00124570926804,3.20245397339e-05,-20.0,-20.0,0.000686624890932,0.000116686213558
2411000000,0.00139911732414,3.87777688047e-05,0.00130905569132,2.70910414709e-05,-20.0,-20.0,0.000600855959023,0.000118043600941
2446000000,0.00137766916553,3.82397550359e-05,0.00128848025677,2.64535224185e-05,-20.0,-20.0,0.000506782301054,0.000117584474293
2488000000,0.00136245546349,3.68384503181e-05,0.00127404419561,2.50402977985e-05,-20.0,-20.0,0.000402647442988,0.000111185805115
2524000000,0.00133963928671,3.72963832708e-05,0.00125215393396,2.54988053942e-05,-20.0,-20.0,0.000291065814613,0.000102957848509
2571000000,0.00129798097065,3.84442110353e-05,0.00121156491304,2.66770496551e-05,-20.0,-20.0,0.000174221904946,9.30228509779e-05
2628000000,0.00125800410244,3.89451756757e-05,0.0011728185881,2.72319336268e-05,-19.9823904896,-19.982463255,5.42236412729e-05,8.04809833839e-05
2650000000,0.00128669604061,3.36306218423e-05,0.00120284114502,2.19879644845e-05,-19.793643968,-19.7937818274,-6.63059300316e-05,6.38320040843e-05
2683000000,0.00123000031682,3.42204427673e-05,0.00114752422952,2.2666975005e-05,-19.7768734549,-19.7770658768,-0.000184650289086,4.77909832967e-05
2734000000,0.00119580357734,3.43803335849e-05,0.00111468374398,2.29031696833e-05,-19.9682976783,-19.968533457,-0.00029824081426,2.66261405401e-05
2791000000,0.00116863460574,3.43760410638e-05,0.00108884336485,2.29798145147e-05,-20.0,-20.0,-0.00040395700243,4.14619725739e-06
2816000000,0.00115566598776,3.42651275241e-05,0.00107715459952,2.29401380887e-05,-19.982745499,-19.9827650541,-0.0004959268013,4.36404815946e-05
2860000000,0.00132814015397,2.68726231869e-05,0.00125047568453,1.520943804e-05,-20.0,-20.0,-0.000573153128653,3.12514544118e-05
2878000000,0.00051914229433,0.000116243434945,0.000441834847062,0.000103768823979,-20.0,-20.0,-0.000622118614416,9.54934300371e-06
2920000000,0.000861267359404,0.000114309337921,0.000791804185337,0.000101885243855,-20.0,-20.0,-0.000633122932581,3.38291093935e-05
2956000000,0.000905746065465,0.000122908287792,0.000845180528195,0.000110766160022,-20.0,-20.0,-0.000606538593671,4.63715229967e-05
3009000000,0.00158376797161,5.69440344021e-05,0.00153074446225,4.53891997538e-05,-20.0,-20.0,-0.00055234500352,5.9975876032e-05
3039000000,0.00135721189651,5.86887959905e-05,0.00130921848269,4.74268899091e-05,-20.0,-20.0,-0.000495158398974,5.86420365136e-05
3090000000,0.00138350433754,4.53805080688e-05,0.00133816044987,3.39208829311e-05,-20.0,-20.0,-0.00044063351538,7.56514538169e-05
3134000000,0.00138200443975,3.34156719595e-05,0.00133804890271,2.18112658522e-05,-20.0,-20.0,-0.000389943764309,7.34446564752e-05
3164000000,0.00132337749871,2.95926674819e-05,0.00127992508259,1.7938089541e-05,-19.8578946412,-19.8565239113,-0.000343391752379,5.0707899887e-05
3212000000,0.00114960660296,3.57709105799e-05,0.00110649267233,2.41653788403e-05,-19.5969081244,-19.5944049273,-0.000300904777383,4.8922684951e-05
3246000000,0.00104150297011,4.16594126654e-05,0.000998596586855,3.00625074298e-05,-19.2314469418,-19.2280222251,-0.000264996223568,5.37042220066e-05
3280000000,0.000994542303731,4.53354839959e-05,0.000951882184679,3.37373174788e-05,-18.7932200359,-18.7890375968,-0.000234609723206,5.73131323135e-05
3339000000,0.000977961546338,4.70964785433e-05,0.000935632796878,3.54933658876e-05,-18.2911420794,-18.2863477374,-0.000209705070157,5.99842387132e-05
3375000000,0.000960449431647,4.94432115926e-05,0.000918527862225,3.78313511337e-05,-17.7959755253,-17.7906865873,-0.000188819749253,7.74585509567e-05
3404000000,0.00100131556419,4.75764636369e-05,0.000959822597356,3.59232375766e-05,-17.3247809267,-17.3191051659,-0.000171532494372,6.95975326463e-05
3445000000,0.00103049840861,4.41746465356e-05,0.000989504866362,3.25264125813e-05,-16.8749404535,-16.8689667499,-0.000155832004672,6.78901791488e-05
3485000000,0.00100675768031,4.60842015823e-05,0.000966264441435,3.44357576921e-05,-16.6070976546,-16.6008922107,-0.000142342782261,7.17849920925e-05
3533000000,0.0010102546315,4.56341682484e-05,0.000970240555187,3.39711672554e-05,-16.5122369053,-16.5058576407,-0.000131350682041,7.28285105226e-05
3563000000,0.00100588227262,4.51526611026e-05,0.000966340431328,3.34814621336e-05,-16.4849260002,-16.4784231929,-0.000123048348661,7.39738097339e-05
3630000000,0.000996795392997,4.48063891635e-05,0.000957711953992,3.31269934951e-05,-16.4889177939,-16.4823330656,-0.000117637050903,7.50958120862e-05
3658000000,0.000984790257558,4.46114152183e-05,0.000946151823926,3.29240018769e-05,-16.5184806045,-16.5118482985,-0.00011508423303,7.60079810167e-05
3688000000,0.000969812295139,4.44252280931e-05,0.000931607943009,3.27300657e-05,-16.5453526786,-16.5387000464,-0.000115414066667,7.66679284858e-05
3719000000,0.000954297945,4.45232899577e-05,0.000916517711096,3.28208615879e-05,-16.5687994248,-16.5621489779,-0.00011862654828,7.69968941596e-05
3741000000,0.000949570217465,4.34346856082e-05,0.000912204932461,3.17252804986e-05,-16.5655033989,-16.5588743431,-0.000124641839969,7.65198984506e-05
3799000000,0.000933289017726,4.37535741307e-05,0.00089633164578,3.20389503752e-05,-16.5397385091,-16.5331461138,-0.000133217561752,6.43714101511e-05
3843000000,0.000898382066344,4.5811477429e-05,0.00086183926335,3.41072838099e-05,-16.4955829562,-16.4890394439,-0.000144178915802,6.45808100412e-05
3886000000,0.000889756854188,4.57752003914e-05,0.00085360533211,3.40656855109e-05,-16.3916398397,-16.3851543838,-0.000157304524799,6.4991084284e-05
3931000000,0.000888444177449,4.47178417611e-05,0.000852671446748,3.2997938334e-05,-16.2299368844,-16.2235173394,-0.000171546806978,6.50603783641e-05
3978000000,0.000887925791627,4.37647110108e-05,0.000852519645854,3.20293830502e-05,-16.003339354,-15.9969909876,-0.000185520567098,5.92463952296e-05
4015000000,0.00087626383773,4.39548917627e-05,0.000841224983128,3.22123078122e-05,-15.720740457,-15.7144674265,-0.000197915235673,5.36520668209e-05
4046000000,0.000862856362017,4.45855317163e-05,0.000828172312584,3.28356966118e-05,-15.396493091,-15.3902982181,-0.000208189947503,4.96288476072e-05
4080000000,0.000855058040138,4.48124686574e-05,0.00082071855351,3.30526670973e-05,-15.0653813698,-15.0592668948,-0.000215366542391,4.58514650606e-05
4130000000,0.000851705016413,4.47309732336e-05,0.00081770201323,3.29590971636e-05,-14.7440094646,-14.7379765248,-0.000218938949888,4.18568449991e-05
4160000000,0.000849527019411,4.43432081107e-05,0.000815853474024,3.25577406694e-05,-14.4435445591,-14.4372243182,-0.000218541742942,3.84097241891e-05
