%time,field.x,field.y,field.z
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
26000000,0.0,0.0,0.0
397000000,0.0,0.0,0.0
839000000,0.0,0.0,0.0
1266000000,0.0,0.0,0.0
1699000000,0.0,0.0,0.0
2202000000,0.0,0.0,0.0
2612000000,0.0,0.0,0.0
3118000000,0.0,0.0,0.0
3584000000,0.0,0.0,0.0
3998000000,0.0,0.0,0.0
4460000000,0.0,0.0,0.0
4836000000,0.0,0.0,0.0
5238000000,0.0,0.0,0.0
5633000000,0.0,0.0,0.0
6065000000,0.0,0.0,0.0
6456000000,0.0,0.0,0.0
6894000000,0.0,0.0,0.0
7298000000,0.0,0.0,0.0
7751000000,0.0,0.0,0.0
8219000000,0.0,-0.1,0.0
8686000000,0.0,-0.1,0.0
9133000000,0.0,-0.1,0.0
9588000000,0.0,-0.1,0.0
9988000000,0.0,-0.1,0.0
10393000000,0.0,0.0,0.0
10808000000,0.0,0.0,0.0
11228000000,0.0,0.0,0.0
11711000000,0.0,0.1,0.0
12056000000,0.0,0.1,0.0
12458000000,0.0,0.1,0.0
12869000000,0.0,0.1,0.0
13332000000,0.0,0.1,0.0
13735000000,0.0,0.0,0.0
14147000000,0.0,0.0,0.0
14568000000,0.0,0.0,0.0
14977000000,0.0,0.0,0.0
15400000000,0.0,0.0,0.0
15812000000,0.0,0.0,0.0
16231000000,0.0,0.0,0.0
16671000000,0.0,0.0,0.0
17043000000,0.0,0.0,0.0
17413000000,0.0,0.0,0.0
17789000000,0.0,0.0,0.0
18167000000,0.0,0.0,0.0
18545000000,0.0,0.0,0.0
