%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
108000000,0,108000000,,-1.44214032223e-14,-1.44550335705e-14,-1.4455033961e-14,-1.44214038521e-14
112000000,1,112000000,,-2.89768769482e-14,-2.90281492215e-14,-2.90274017051e-14,-2.89761301373e-14
123000000,2,123000000,,-4.34888709318e-14,-4.35895207909e-14,-4.3593892159e-14,-4.34932449183e-14
183000000,3,183000000,,5.65784399698e-13,-8.6938625334e-14,-6.77479176602e-13,-2.47550057734e-14
220000000,4,220000000,,-0.000261809471302,-0.000188572126533,0.000261809471163,0.000188572126396
241000000,5,241000000,,0.000147892130872,-0.000231725796213,-0.000147892131035,0.000231725796055
297000000,6,297000000,,-0.000116369876565,2.95557163986e-05,0.000116369876388,-2.95557165696e-05
341000000,7,341000000,,-4.92528072872e-05,-3.68221576656e-05,4.92528071041e-05,3.68221574884e-05
371000000,8,371000000,,-3.98524457891e-05,-5.8421593325e-05,3.98524456021e-05,5.84215931439e-05
417000000,9,417000000,,-4.24774217311e-05,-5.87261122106e-05,4.2477421542e-05,5.87261120275e-05
449000000,10,449000000,,-4.37959303976e-05,-5.51564925067e-05,4.3795930208e-05,5.51564923229e-05
490000000,11,490000000,,-4.3721195374e-05,-5.1451176738e-05,4.37211951858e-05,5.14511765558e-05
528000000,12,528000000,,-4.30127661692e-05,-4.89568864891e-05,4.30127659845e-05,4.89568863103e-05
580000000,13,580000000,,-4.11273525352e-05,-4.70204199847e-05,4.11273523556e-05,4.70204198109e-05
662000000,14,662000000,,-3.80490111334e-05,-4.52621076477e-05,3.80490109605e-05,4.52621074807e-05
697000000,15,697000000,,-3.05749195375e-05,-4.22098775354e-05,3.05749193726e-05,4.22098773761e-05
702000000,16,702000000,,-2.28899935072e-05,-3.97878704263e-05,2.28899933507e-05,3.97878702754e-05
732000000,17,732000000,,-1.93065658202e-05,-3.86955774014e-05,1.93065656724e-05,3.86955772591e-05
782000000,18,782000000,,-9.90717441147e-06,-3.58457679048e-05,9.90717427145e-06,3.58457677701e-05
823000000,19,823000000,,1.26575248099e-06,-3.27542819993e-05,-1.2657526143e-06,3.27542818712e-05
872000000,20,872000000,,1.32801191919e-05,-2.96489584508e-05,-1.32801193193e-05,2.96489583284e-05
891000000,21,891000000,,2.86852066331e-05,-2.61114301245e-05,-2.86852067569e-05,2.61114300055e-05
938000000,22,938000000,,3.98512233914e-05,-2.3503294783e-05,-3.98512235136e-05,2.35032946656e-05
967000000,23,967000000,,5.41828862391e-05,-2.05367285677e-05,-5.41828863609e-05,2.05367284508e-05
1022000000,24,1022000000,,6.863238683e-05,-1.8061389506e-05,-6.86323869525e-05,1.80613893883e-05
1044000000,25,1044000000,,8.21831539758e-05,-1.57733311405e-05,-8.21831540996e-05,1.57733310216e-05
1094000000,26,1094000000,,9.48750032291e-05,-1.41046257795e-05,-9.4875003355e-05,1.41046256585e-05
1129000000,27,1129000000,,0.000106226637712,-1.30223753482e-05,-0.000106226637841,1.30223752246e-05
1170000000,28,1170000000,,0.000115964982427,-1.26503313126e-05,-0.000115964982559,1.2650331186e-05
1215000000,29,1215000000,,0.000124439092158,-1.26767581415e-05,-0.000124439092293,1.26767580117e-05
1254000000,30,1254000000,,0.000128381410362,-1.43870142113e-05,-0.000128381410499,1.43870140795e-05
1290000000,31,1290000000,,0.000130286336098,-1.65786848495e-05,-0.000130286336236,1.65786847167e-05
1347000000,32,1347000000,,0.000128160161205,-2.00447499495e-05,-0.000128160161343,2.00447498168e-05
1380000000,33,1380000000,,0.000122251940946,-2.44333866031e-05,-0.000122251941084,2.44333864705e-05
1425000000,34,1425000000,,0.000112574403993,-2.98499642641e-05,-0.000112574404131,2.98499641318e-05
1457000000,35,1457000000,,9.39137515195e-05,-3.76439343582e-05,-9.39137516569e-05,3.76439342263e-05
1489000000,36,1489000000,,7.87264448917e-05,-4.38281941755e-05,-7.8726445029e-05,4.38281940436e-05
1524000000,37,1524000000,,5.57954492157e-05,-5.20145137927e-05,-5.57954493532e-05,5.20145136606e-05
1567000000,38,1567000000,,2.80937774404e-05,-6.09843845644e-05,-2.80937775785e-05,6.09843844317e-05
1614000000,39,1614000000,,-3.14338363521e-06,-7.03524566198e-05,3.14338349607e-06,7.03524564861e-05
1655000000,40,1655000000,,-3.63150318965e-05,-7.97752144075e-05,3.63150317559e-05,7.97752142724e-05
1688000000,41,1688000000,,-7.30814654667e-05,-8.91988569155e-05,7.30814653239e-05,8.91988567783e-05
1747000000,42,1747000000,,-0.000111182085367,-9.81180136056e-05,0.000111182085221,9.81180134656e-05
1785000000,43,1785000000,,-0.000154394860812,-0.000107025042711,0.000154394860663,0.000107025042568
1829000000,44,1829000000,,-0.00018771096763,-0.000113547152769,0.00018771096748,0.000113547152625
1854000000,45,1854000000,,-0.000224570528128,-0.000119252071548,0.000224570527975,0.000119252071402
1890000000,46,1890000000,,-0.000258448669628,-0.000123415007879,0.000258448669473,0.000123415007731
1956000000,47,1956000000,,-0.00028845223051,-0.000125224439264,0.000288452230354,0.000125224439114
1977000000,48,1977000000,,-0.000235362020974,-8.62485367105e-05,0.000235362020816,8.62485365591e-05
2006000000,49,2006000000,,-0.000210997820208,-6.70092225545e-05,0.000210997820049,6.70092224018e-05
2062000000,50,2062000000,,-0.000195671481984,-5.46583328005e-05,0.000195671481824,5.46583326465e-05
2110000000,51,2110000000,,-0.00018341305017,-4.55344083115e-05,0.000183413050008,4.55344081564e-05
2136000000,52,2136000000,,-0.000166506993072,-3.7755196306e-05,0.00016650699291,3.77551961499e-05
2184000000,53,2184000000,,-0.000154733301094,-3.02917958296e-05,0.00015473330093,3.02917956722e-05
2217000000,54,2217000000,,-0.000217774502866,-3.20721858419e-05,0.000217774502701,3.20721856833e-05
2260000000,55,2260000000,,-0.00018918805308,-1.78764263842e-05,0.000189188052913,1.78764262243e-05
2298000000,56,2298000000,,-0.000169259039938,-6.89915817934e-06,0.00016925903977,6.89915801818e-06
2324000000,57,2324000000,,-0.000150352960799,2.15808081639e-06,0.00015035296063,-2.15808097877e-06
2391000000,58,2391000000,,-0.000128991632958,1.01440336118e-05,0.000128991632788,-1.01440337755e-05
2413000000,59,2413000000,,-0.000100545984033,1.61695026604e-05,0.000100545983861,-1.61695028256e-05
2450000000,60,2450000000,,-7.62184690279e-05,2.24001470129e-05,7.62184688547e-05,-2.24001471796e-05
2488000000,61,2488000000,,-4.37466979031e-05,2.51424366089e-05,4.37466977285e-05,-2.51424367769e-05
2526000000,62,2526000000,,-9.67632575416e-06,2.56206099814e-05,9.67632557841e-06,-2.56206101505e-05
2584000000,63,2584000000,,2.52672591399e-05,2.40708754036e-05,-2.52672593166e-05,-2.40708755736e-05
2641000000,64,2641000000,,6.14069703297e-05,1.91047045819e-05,-6.14069705071e-05,-1.91047047525e-05
2657000000,65,2657000000,,0.000100840098051,8.42938660315e-06,-0.000100840098229,-8.42938677422e-06
2711000000,66,2711000000,,0.000130730622945,-3.58678538507e-07,-0.000130730623123,3.58678366825e-07
2736000000,67,2736000000,,0.000162467914414,-1.61574699043e-05,-0.000162467914594,1.61574697318e-05
2801000000,68,2801000000,,0.000192147923072,-3.10250638181e-05,-0.000192147923253,3.10250636448e-05
2821000000,69,2821000000,,0.000148977316443,-0.000102152319577,-0.000148977316624,0.000102152319403
2880000000,70,2880000000,,3.29264904716e-05,-0.000135336338771,-3.29264906532e-05,0.000135336338596
2888000000,71,2888000000,,-5.68854062916e-05,-0.00015661485506,5.68854061089e-05,0.000156614854885
2928000000,72,2928000000,,-7.20344812521e-05,-0.000166046889669,7.20344810684e-05,0.000166046889493
2998000000,73,2998000000,,-5.44534558252e-06,-0.000171404257121,5.44534539784e-06,0.000171404256943
3016000000,74,3016000000,,5.00544464817e-05,-0.000164933614287,-5.00544466672e-05,0.000164933614108
3067000000,75,3067000000,,2.73240364677e-05,-0.000220837775229,-2.73240366538e-05,0.00022083777505
3099000000,76,3099000000,,3.59772492315e-06,-0.00023145696434,-3.59772510993e-06,0.00023145696416
3137000000,77,3137000000,,-7.25299573307e-06,-0.000237192208326,7.25299554569e-06,0.000237192208145
3182000000,78,3182000000,,7.76964235428e-06,-0.000154005267242,-7.76964254208e-06,0.000154005267061
3218000000,79,3218000000,,1.12805455602e-05,-0.000108981924559,-1.12805457483e-05,0.000108981924378
3251000000,80,3251000000,,1.05438466321e-05,-7.86828071541e-05,-1.05438468202e-05,7.86828069727e-05
3289000000,81,3289000000,,7.86814301145e-06,-5.97895971644e-05,-7.86814319962e-06,5.9789596983e-05
3356000000,82,3356000000,,3.73212883768e-06,-4.06261105497e-05,-3.73212902576e-06,4.06261103684e-05
3378000000,83,3378000000,,-1.92830382934e-05,-8.58824655817e-05,1.92830381055e-05,8.58824654004e-05
3420000000,84,3420000000,,-1.78514891338e-05,-4.48029603544e-05,1.7851488946e-05,4.48029601733e-05
3456000000,85,3456000000,,-1.62000017842e-05,-1.74523549279e-05,1.62000015965e-05,1.74523547469e-05
3498000000,86,3498000000,,-2.27454666331e-05,4.38691374757e-06,2.27454664453e-05,-4.38691392869e-06
3546000000,87,3546000000,,-2.45369318416e-05,2.54944424433e-05,2.45369316535e-05,-2.54944426248e-05
3576000000,88,3576000000,,-2.5537603104e-05,4.58856261048e-05,2.55376029155e-05,-4.58856262867e-05
3634000000,89,3634000000,,-2.57159494978e-05,6.48436892191e-05,2.57159493088e-05,-6.48436894015e-05
3666000000,90,3666000000,,-2.50301075469e-05,8.11074964036e-05,2.50301073575e-05,-8.11074965865e-05
3692000000,91,3692000000,,-2.33582619344e-05,9.48234290113e-05,2.33582617445e-05,-9.48234291947e-05
3758000000,92,3758000000,,-2.09362555324e-05,0.000104157558042,2.0936255342e-05,-0.000104157558226
3766000000,93,3766000000,,-1.66934124807e-05,0.00010605814695,1.66934122899e-05,-0.000106058147134
3813000000,94,3813000000,,-4.52635738895e-07,2.34849917492e-05,4.52635547731e-07,-2.3484991934e-05
3845000000,95,3845000000,,5.27171002813e-06,-1.99590190653e-05,-5.27171021966e-06,1.99590188802e-05
3888000000,96,3888000000,,7.98098588984e-06,-3.8654943352e-05,-7.98098608165e-06,3.86549431665e-05
3942000000,97,3942000000,,7.93532119851e-06,-5.35834635257e-05,-7.9353213905e-06,5.358346334e-05
3997000000,98,3997000000,,1.2143575447e-05,-8.62467864981e-06,-1.21435756391e-05,8.62467846404e-06
4027000000,99,4027000000,,1.65838182778e-05,-5.73314780796e-06,-1.65838184699e-05,5.73314762222e-06
