%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
112000000,0,112000000,,427.0,427.0,427.0,427.0
240000000,1,240000000,,777.068824425,776.930725194,777.069348044,776.931102338
320000000,2,320000000,,535.194372804,535.279474108,535.194902302,535.279159866
441000000,3,441000000,,635.591285463,635.596212699,635.591798574,635.596037017
520000000,4,520000000,,648.42609095,648.426153512,648.426657384,648.425992688
602000000,5,602000000,,593.30532919,593.305412243,593.305933452,593.305247132
720000000,6,720000000,,436.216696118,436.216781408,436.217273799,436.216591787
840000000,7,840000000,,272.164403849,272.164473595,272.164913353,272.164252003
921000000,8,921000000,,358.514548443,358.514581466,358.514931486,358.514319266
1040000000,9,1040000000,,355.958882696,355.958850135,355.959080554,355.958539254
1121000000,10,1121000000,,364.431232159,364.431133259,364.431254345,364.43078441
1201000000,11,1201000000,,514.205191676,514.205023317,514.20504738,514.204647647
1321000000,12,1321000000,,439.967883463,439.967647956,439.967608835,439.967274581
1440000000,13,1440000000,,409.951013085,409.950743375,409.950713811,409.950405172
1520000000,14,1520000000,,383.119324198,383.11906183,383.11911894,383.118785433
1640000000,15,1640000000,,346.260294389,346.260107999,346.260366526,346.25994141
1722000000,16,1722000000,,429.758775956,429.758700535,429.759208906,429.75864921
1843000000,17,1843000000,,419.851432731,419.851551644,419.852414771,419.851640178
1922000000,18,1922000000,,426.505992335,426.506306598,426.507477846,426.50649803
2041000000,19,2041000000,,421.3944679,421.389590199,421.395991425,421.389618985
2120000000,20,2120000000,,409.826050637,409.824778004,409.827424271,409.824623516
2240000000,21,2240000000,,419.35277335,419.356711217,419.354030721,419.35639977
2320000000,22,2320000000,,402.487956568,402.488404991,402.489047567,402.487942131
2440000000,23,2440000000,,436.597585059,436.598009659,436.59847785,436.597408417
2522000000,24,2522000000,,441.494302667,441.494661159,441.49494699,441.493971589
2641000000,25,2641000000,,406.862277132,406.862454353,406.862504728,406.861734471
2720000000,26,2720000000,,436.045430134,436.045385438,436.045232257,436.044723091
2801000000,27,2801000000,,406.056358001,406.056054444,406.055764007,406.055508172
2920000000,28,2920000000,,439.5068979,439.489522823,439.507326501,439.489489651
3000000000,29,3000000000,,428.001377249,427.996807596,428.002149713,427.997036747
3120000000,30,3120000000,,442.705169793,442.715306263,442.706105485,442.715885524
3241000000,31,3241000000,,442.4259625,442.41285057,442.426923886,442.413123348
3322000000,32,3322000000,,433.269947514,433.266025484,433.270880572,433.265889164
3442000000,33,3442000000,,408.438868341,408.447928367,408.439868287,408.447639729
3520000000,34,3520000000,,422.310878677,422.311185859,422.311905779,422.310649367
3642000000,35,3642000000,,425.674158572,425.674625474,425.675194283,425.673779667
3720000000,36,3720000000,,429.127654613,429.128234892,429.128678596,429.127159613
