%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
111000000,1,111000000,,427.0,427.0,427.0,427.0
206000000,2,206000000,,777.069086234,776.930913766,777.069086234,776.930913766
302000000,3,302000000,,535.194489174,535.279444552,535.194785932,535.279189421
401000000,4,401000000,,635.591327941,635.596271425,635.591756097,635.595978291
501000000,5,501000000,,648.426134671,648.426204963,648.426613663,648.425941236
600000000,6,600000000,,593.305370317,593.305459263,593.305892325,593.305200112
700000000,7,700000000,,436.216719008,436.216821196,436.217250909,436.216551999
802000000,8,802000000,,272.164402583,272.164506349,272.164914618,272.164219249
901000000,9,901000000,,358.514519758,358.514607578,358.514960171,358.514293154
1007000000,10,1007000000,,355.958814063,355.958868196,355.959149186,355.958521193
1105000000,11,1105000000,,364.431137284,364.431147364,364.43134922,364.430770305
1201000000,12,1201000000,,514.205075711,514.205035968,514.205163345,514.204634996
1300000000,13,1300000000,,439.967753177,439.967664534,439.967739121,439.967258003
1400000000,14,1400000000,,409.95090051,409.950773225,409.950826386,409.950375322
1501000000,15,1501000000,,383.119245472,383.119105658,383.119197667,383.118741605
1602000000,16,1602000000,,346.260297532,346.260178351,346.260363383,346.259871058
1700000000,17,1700000000,,429.758849037,429.758789733,429.759135824,429.758560011
1801000000,18,1801000000,,419.851620442,419.851665191,419.85222706,419.85152663
1901000000,19,1901000000,,426.506250783,426.506430013,426.507219398,426.506374615
2001000000,20,2001000000,,421.394678898,421.389657208,421.395780427,421.389551976
2100000000,21,2100000000,,409.82623405,409.824823538,409.827240858,409.824577982
2201000000,22,2201000000,,419.352991124,419.35674329,419.353812946,419.356367698
2300000000,23,2300000000,,402.488125827,402.48841189,402.488878307,402.487935231
2403000000,24,2403000000,,436.597685605,436.597993489,436.598377304,436.597424587
2501000000,25,2501000000,,441.494346414,441.494636016,441.494903243,441.493996731
2602000000,26,2602000000,,406.862215725,406.862435249,406.862566135,406.861753576
2711000000,27,2711000000,,436.045299404,436.045385797,436.045362987,436.044722732
2801000000,28,2801000000,,406.056165853,406.056085469,406.055956155,406.055477147
2900000000,29,2900000000,,439.506954786,439.489679438,439.507269616,439.489333036
3000000000,30,3000000000,,428.001382695,427.996979001,428.002144268,427.996865343
3102000000,31,3102000000,,442.705166195,442.71553772,442.706109083,442.715654067
3200000000,32,3200000000,,442.425951219,442.412959552,442.426935167,442.413014367
3306000000,33,3306000000,,433.269939646,433.266085274,433.270888441,433.265829375
3400000000,34,3400000000,,408.438886192,408.44797317,408.439850435,408.447594926
3500000000,35,3500000000,,422.310901422,422.311181472,422.311883034,422.310653754
3602000000,36,3602000000,,425.674184288,425.67456063,425.675168567,425.673844511
3700000000,37,3700000000,,429.127677971,429.128140069,429.128655238,429.127254436
3800000000,38,3800000000,,436.660876249,436.649762105,436.661831598,436.648750576
3901000000,39,3901000000,,440.249189398,440.245605048,440.250084198,440.244830199
4000000000,40,4000000000,,433.310596079,433.318733884,433.311434125,433.318092468
4103000000,41,4103000000,,430.865211139,430.865374516,430.866000848,430.864893106
4203000000,42,4203000000,,427.872184792,427.872235366,427.872935952,427.871933542
4300000000,43,4300000000,,427.460057384,427.460022371,427.460799631,427.459863054
4402000000,44,4402000000,,424.49369161,424.482743914,424.494544126,424.482432452
4500000000,45,4500000000,,429.318277921,429.32606013,429.319281651,429.325415467
4600000000,46,4600000000,,438.619343877,438.619771752,438.62047137,438.618921947
4701000000,47,4701000000,,441.840776432,441.841347489,441.84201508,441.840312765
4802000000,48,4802000000,,433.82388568,433.824596556,433.825205506,433.823376429
4900000000,49,4900000000,,422.886083504,422.874376711,422.887248212,422.873264535
5002000000,50,5002000000,,424.763138059,424.771524436,424.764104623,424.770636454
5101000000,51,5101000000,,431.002583551,431.002853184,431.003411335,431.00208531
5200000000,52,5200000000,,431.53390842,431.534070639,431.5346207,431.533406567
5300000000,53,5300000000,,439.928466838,439.92851661,439.929090051,439.927988911
5400000000,54,5400000000,,432.368534849,432.368481752,432.369117374,432.368108975
5502000000,55,5502000000,,442.379068898,442.36707228,442.379693603,442.366847987
5602000000,56,5602000000,,428.493747998,428.489353087,428.494669953,428.489020835
5700000000,57,5700000000,,422.09439458,422.102942836,422.095577238,422.102551255
5800000000,58,5800000000,,419.132264673,419.132553373,419.133681223,419.132094896
5901000000,59,5901000000,,434.503919897,434.491597273,434.505264403,434.490888508
6004000000,60,6004000000,,441.499322991,441.508001145,441.500472106,441.507062544
6100000000,61,6100000000,,435.727591984,435.728046476,435.728675586,435.726898963
6200000000,62,6200000000,,433.959860562,433.94852303,433.960782578,433.947420278
6300000000,63,6300000000,,423.55069533,423.547122401,423.551439642,423.546276495
6400000000,64,6400000000,,429.724885201,429.732589153,429.725484795,429.731859866
6500000000,65,6500000000,,425.409900435,425.40976584,425.410365804,425.409208264
6600000000,66,6600000000,,436.721616732,436.721327778,436.721995605,436.720974981
6700000000,67,6700000000,,440.881734159,440.868662798,440.88239994,440.868425386
6800000000,68,6800000000,,426.758668204,426.76703961,426.759677653,426.766805436
6902000000,69,6902000000,,439.540996084,439.540976313,439.542260346,439.540812953
7000000000,70,7000000000,,429.550754318,429.538333146,429.55211188,429.53800461
7100000000,71,7100000000,,429.060312976,429.056531191,429.061624992,429.055859835
7200000000,72,7200000000,,420.156662578,420.165102297,420.158111559,420.164297208
7300000000,73,7300000000,,428.045779619,428.046220542,428.047280621,428.045244813
7400000000,74,7400000000,,440.386915619,440.374954787,440.388273931,440.373686519
7501000000,75,7501000000,,439.733324169,439.741955329,439.734206437,439.740547961
7602000000,76,7602000000,,429.693734675,429.693995803,429.694221775,429.692385948
7700000000,77,7700000000,,427.972629304,427.965786416,427.972978811,427.964146647
7803000000,78,7803000000,,418.544229893,418.542371074,418.544661495,418.540845616
7913000000,79,7913000000,,440.648182293,440.652368618,440.648857144,440.651031803
8001000000,80,8001000000,,436.895386587,436.895547969,436.896131418,436.894336089
8101000000,81,8101000000,,439.009359068,439.009477151,439.010157431,439.008399629
8200000000,82,8200000000,,429.977394445,429.977491809,429.978309571,429.976555676
8300000000,83,8300000000,,420.283216385,420.273359522,420.286615472,420.272544744
8401000000,84,8401000000,,432.863724951,432.86540315,432.877039243,432.864435768
8505000000,85,8505000000,,434.152474614,434.170411671,434.177791663,434.169291401
8600000000,86,8600000000,,435.005262498,435.01010393,435.037466273,435.008931
8700000000,87,8700000000,,435.718501004,435.731875621,435.755497412,435.730695406
8800000000,88,8800000000,,440.298844794,440.316600718,440.337891247,440.315441361
8901000000,89,8901000000,,438.460273763,438.478063974,438.498982549,438.476933006
9000000000,90,9000000000,,418.232460781,418.250824685,418.268685872,418.249720101
9100000000,91,9100000000,,432.264576264,432.279457946,432.297984901,432.278372928
9202000000,92,9202000000,,433.227758166,433.241680469,433.258009573,433.240599836
9311000000,93,9311000000,,419.091026227,419.102376951,419.118152516,419.101271861
9400000000,94,9400000000,,438.165873794,438.176283947,438.190664431,438.175142493
9500000000,95,9500000000,,440.527224894,440.536764297,440.550333227,440.535571592
9600000000,96,9600000000,,441.059663267,441.068721981,441.081515449,441.067469044
9700000000,97,9700000000,,441.966548046,441.976099039,441.988045226,441.974778648
9800000000,98,9800000000,,430.746574278,430.755410897,430.768165946,430.754028243
9903000000,99,9903000000,,435.834947635,435.844955951,435.857472944,435.843490295
10000000000,100,10000000000,,418.7066937,418.717784247,418.730693188,418.716229661
10105000000,101,10105000000,,418.412805694,418.424730949,418.438774563,418.423080723
10201000000,102,10201000000,,444.384668105,444.398017623,444.412795868,444.396273109
10302000000,103,10302000000,,425.445849904,425.460479634,425.476434748,425.458633412
10402000000,104,10402000000,,440.538838031,440.555288482,440.572064279,440.553334948
10500000000,105,10500000000,,449.82363875,449.840046201,449.854706982,449.837981258
10600000000,106,10600000000,,433.605474456,433.615264023,433.628637276,433.613078634
10700000000,107,10700000000,,425.821098467,425.83900454,425.835732934,425.836692063
10800000000,108,10800000000,,426.323902501,426.338463566,426.333017168,426.336021624
10900000000,109,10900000000,,421.025599004,421.038735422,421.033951112,421.036162463
11005000000,110,11005000000,,436.174911743,436.182418148,436.185433701,436.179707653
11100000000,111,11100000000,,446.008554692,446.019682406,446.023185661,446.016839621
11200000000,112,11200000000,,434.972331718,434.987613779,434.993831993,434.984631166
11300000000,113,11300000000,,423.344917601,423.361291075,423.373841577,423.358165373
11400000000,114,11400000000,,433.503132782,433.528634349,433.539303309,433.525393783
11500000000,115,11500000000,,428.871318297,428.895781067,428.91418713,428.892443645
11601000000,116,11601000000,,434.313433701,434.340785724,434.362612686,434.337344424
11700000000,117,11700000000,,438.708516673,438.740625038,438.763317269,438.737060382
11800000000,118,11800000000,,436.498812935,436.519604155,436.553765936,436.515902972
11900000000,119,11900000000,,433.027352533,433.061330135,433.076021502,433.057479767
12000000000,120,12000000000,,426.16854387,426.204274652,426.209513042,426.200270162
12100000000,121,12100000000,,420.745885926,420.780607847,420.782103969,420.776455553
12201000000,122,12201000000,,445.669436594,445.699062311,445.703988571,445.69475676
12300000000,123,12300000000,,426.53982352,426.569278205,426.575969988,426.564825137
