%time,field.layout.data_offset,field.data0,field.data1
38000000,0,-429.95943108,-429.95943108
112000000,0,-429.95943108,-429.95943108
120000000,0,-428.25484253,-428.25484253
159000000,0,-362.483280482,-362.48328048
211000000,0,-314.268637285,-314.268637285
240000000,0,-264.028384989,-264.02838499
274000000,0,-169.823150157,-169.823229363
326000000,0,-96.9294936758,-96.9296355461
361000000,0,-66.8992583321,-66.8994561772
401000000,0,-40.2791343035,-40.2793834221
438000000,0,-18.7640144891,-18.7643050723
478000000,0,12.1858220992,12.185500024
520000000,0,40.7880953376,40.7877450164
555000000,0,66.8033038152,66.802924379
608000000,0,90.2575477682,90.2571394133
659000000,0,106.728614254,106.728164699
697000000,0,114.125275289,114.124805523
722000000,0,118.271628056,118.271146959
765000000,0,103.714765691,103.714270369
801000000,0,88.6434261547,88.6429180967
846000000,0,77.0260933332,77.0255754573
881000000,0,42.3861991394,42.3856818627
917000000,0,14.8475610638,14.8470448567
960000000,0,0.55484923759,0.554347803059
996000000,0,-13.4320825463,-13.4325609816
1040000000,0,-20.4020784768,-20.402545451
1081000000,0,-28.5005502862,-28.5009771845
1118000000,0,-35.072578313,-35.0729721284
1159000000,0,-39.500661423,-39.5010021625
1195000000,0,-43.5257168931,-43.5260083694
1232000000,0,-26.0995562638,-26.0997859409
1280000000,0,-9.78433718751,-9.78451156998
1318000000,0,4.43844350072,4.43831732068
1359000000,0,6.00970604849,6.00963641599
1397000000,0,6.61450687046,6.61448930941
1440000000,0,7.10469126001,7.10471590166
1471000000,0,3.10568256942,3.10574866919
1520000000,0,-0.23298009932,-0.232880321545
1562000000,0,-7.09979543425,-7.09967905885
1599000000,0,-12.9756776564,-12.9755481396
1634000000,0,-17.3998132701,-17.3996738581
1678000000,0,-26.8673176891,-26.8672041116
1722000000,0,-35.8479173475,-35.8478331169
1759000000,0,-32.5276941452,-32.5276729635
1792000000,0,-27.4192803309,-27.4193309116
1839000000,0,-23.2099573192,-23.2100670317
1878000000,0,-21.3387748224,-21.3390007368
1919000000,0,-19.6018263945,-19.6021692405
1950000000,0,-17.4633636,-17.4638570709
2001000000,0,-15.344025895,-15.3446694193
2040000000,0,-13.5857090732,-13.5864770915
2079000000,0,-12.8422436588,-12.8431179492
2120000000,0,-12.1950404265,-12.1960129192
2158000000,0,-13.1818270561,-13.1828595577
2195000000,0,-14.2094543305,-14.2105372699
2239000000,0,-15.1052876755,-15.1064145856
2277000000,0,-14.4879879473,-14.4891340994
2320000000,0,-13.9007155783,-13.9018785534
2358000000,0,-15.849474583,-15.8506274835
2399000000,0,-17.5280080895,-17.5291520488
2440000000,0,-18.9980500262,-18.9991861553
2481000000,0,-15.4697286965,-15.4708300497
2519000000,0,-12.0506913049,-12.0517604053
2560000000,0,-8.74161745876,-8.74262751565
2596000000,0,-5.74351728633,-5.74447326749
2640000000,0,-3.18870497568,-3.1896148759
2675000000,0,-5.42607760001,-5.42690273666
2712000000,0,-8.3369927429,-8.33771944662
2756000000,0,-7.43396543424,-7.43458317587
2799000000,0,-5.20685716926,-5.20734055713
2839000000,0,-6.35957739503,-6.79236363285
2876000000,0,-9.01326098223,-9.38049500632
2920000000,0,-11.2148995055,-11.5277478696
2954000000,0,-10.5191324712,-10.4173845792
2999000000,0,-7.55209779807,-7.46545733506
3040000000,0,-6.60651241254,-6.57240455565
3081000000,0,-5.93497396248,-5.90590424786
3117000000,0,-5.33331616272,-5.30876031504
3159000000,0,-2.78841858052,-2.76780211448
3198000000,0,-0.597788223422,-0.580210863052
3239000000,0,1.42066812568,1.43544523974
3278000000,0,2.94133267591,2.95394475236
3318000000,0,4.34983455952,4.36043971677
3351000000,0,4.4917059862,4.50068322274
3397000000,0,4.30520078384,4.31261198896
3442000000,0,4.1481673234,4.15425996091
3483000000,0,0.87561486889,0.880732484044
3519000000,0,-2.35916278608,-2.35492879635
3557000000,0,-3.63956687894,-3.6361277309
3600000000,0,-4.24580260914,-4.2430390172
3637000000,0,-4.76034020417,-4.75814998558
3679000000,0,-4.71468376776,-4.71295944635
3717000000,0,-4.65250958887,-4.65118392977
3761000000,0,-4.09798159707,-4.09701142002
3799000000,0,-3.61490125427,-3.61422592196
3839000000,0,-3.20324753105,-3.20282345507
3879000000,0,-1.87641802931,-1.87619426072
3919000000,0,-0.549736478654,-0.549695199474
3956000000,0,0.978995560709,0.978903138246
3999000000,0,2.35578454644,2.35557584643
4038000000,0,3.44737117389,3.44707028473
4079000000,0,3.76879602443,3.76841190777
4118000000,0,3.70859167449,3.70814678287
4158000000,0,3.37812340151,3.386323316
4194000000,0,3.06384443131,3.07090657668
4238000000,0,2.68697966454,2.69267745979
4278000000,0,2.08426189569,2.08912192607
4319000000,0,1.41117355544,1.41513419236
4360000000,0,0.849269143955,0.852552963362
4398000000,0,0.365694407598,0.368399080712
