%time,field.x,field.y,field.z
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
0,0.0,0.0,3.0
234000000,0.0,0.0,3.0
596000000,0.0,0.0,3.0
1051000000,0.0,0.0,3.0
1521000000,0.0,0.0,3.0
1970000000,0.0,0.0,3.0
2416000000,0.0,0.0,3.0
2878000000,0.0,0.0,3.0
3345000000,0.0,0.0,3.0
3788000000,0.0,0.0,3.0
4242000000,0.0,0.0,3.0
4641000000,0.0,0.0,3.0
5040000000,0.0,0.0,3.0
5430000000,0.0,0.0,3.0
5853000000,0.0,0.0,3.0
6271000000,0.0,0.0,3.0
6669000000,0.0,0.0,3.0
7093000000,0.0,0.0,3.0
7520000000,0.0,0.0,3.0
8050000000,0.0,0.0,3.0
8434000000,0.0,0.0,3.0
8920000000,0.0,0.0,3.0
9384000000,0.0,0.0,3.0
9781000000,0.0,0.0,3.0
10188000000,0.0,0.0,3.0
10598000000,0.0,0.0,3.0
11022000000,0.0,0.0,3.0
11482000000,0.0,0.0,3.0
11884000000,0.0,0.0,3.0
12251000000,0.0,0.0,3.0
12664000000,0.0,0.0,3.0
13079000000,0.0,0.0,3.0
13509000000,0.0,0.0,3.0
13918000000,0.0,0.0,3.0
14350000000,0.0,0.0,3.0
14760000000,0.0,0.0,3.0
15160000000,0.0,0.0,3.0
15611000000,0.0,0.0,3.0
15997000000,0.0,0.0,3.0
16455000000,0.0,0.0,3.0
16849000000,0.0,0.0,3.0
17235000000,0.0,0.0,3.0
17592000000,0.0,0.0,3.0
17974000000,0.0,0.0,3.0
18330000000,0.0,0.0,3.0
18746000000,0.0,0.0,3.0
