%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
26000000,1,26000000,,-0.0164422386714,-0.0251596319761,-0.0436682597276,0.0,0.0,0.0
38000000,2,38000000,,0.0173326330244,0.0735694514924,-0.135361468219,0.0,0.0,0.0
55000000,4,55000000,,0.0149419919502,-0.0044601754774,-0.359698866664,0.0,0.0,0.0
79000000,6,79000000,,0.0188988517752,-0.036805361802,-0.562687595755,0.0,0.0,0.0
89000000,7,89000000,,0.0758761310961,0.00617718198006,-0.659098310909,0.0,0.0,0.0
94000000,8,94000000,,0.0252384454748,0.00375668104961,-0.77828802723,0.0,0.0,0.0
101000000,9,101000000,,0.00396989428702,-0.00427136343861,-0.833280860523,0.0,0.0,0.0
111000000,10,111000000,,-0.0307397019569,-0.0183750666664,-0.949570293056,0.0,0.0,0.0
121000000,11,121000000,,0.00743930974999,0.00657508483986,-1.01470656269,0.0,0.0,0.0
131000000,12,131000000,,0.000576476937397,0.0191832200092,-1.13997187926,0.0,0.0,0.0
141000000,13,141000000,,0.0029362895439,-0.000233916594753,-1.25293013813,0.0,0.0,0.0
152000000,14,152000000,,0.00479605726537,-0.0107659725964,-1.3266484158,0.0,0.0,0.0
163000000,15,163000000,,-0.0142050593278,0.00602687253213,-1.40522376017,0.0,0.0,0.0
172000000,16,172000000,,0.00720651404,0.0159398995981,-0.410031327865,0.0,0.0,0.0
179000000,17,179000000,,-0.0003142464881,-0.00166493326373,0.018844052394,0.0,0.0,0.0
196000000,18,196000000,,-0.00797937070456,-0.0192878291129,-0.0401163200735,0.0,0.0,0.0
202000000,19,202000000,,0.00646345707165,-0.00975625242729,0.009179790198,0.0,0.0,0.0
211000000,20,211000000,,0.00923563396476,0.00870212722588,-0.0418980735018,0.0,0.0,0.0
222000000,21,222000000,,-0.0114565413729,-0.0055451011973,-0.0156523006202,0.0,0.0,0.0
232000000,22,232000000,,0.00906276187192,0.0130993972965,-0.0186676841208,0.0,0.0,0.0
241000000,23,241000000,,-0.00329424434203,-0.0151189230235,-0.0118898600432,0.0,0.0,0.0
253000000,24,253000000,,0.00686458479471,-0.0366579174503,-0.00678605052894,0.0,0.0,0.0
261000000,25,261000000,,0.00183885375791,0.0154858267613,0.00201035306058,0.0,0.0,0.0
271000000,26,271000000,,0.0239751089277,-0.000520560878836,-0.0333227160506,0.0,0.0,0.0
282000000,27,282000000,,-0.00600869709399,0.0150500844861,0.0272456677649,0.0,0.0,0.0
291000000,28,291000000,,0.00288139974615,-0.00992235728206,0.0183428401144,0.0,0.0,0.0
301000000,29,301000000,,-0.0394791688491,0.0200282709809,0.0265148538418,0.0,0.0,0.0
312000000,30,312000000,,0.0281179015022,0.0136991576212,-0.0160660876185,0.0,0.0,0.0
323000000,31,323000000,,-0.0431418558869,0.00653028183888,-0.0289507827597,0.0,0.0,0.0
331000000,32,331000000,,-0.00134330509949,0.0528856046412,-0.0319975362293,0.0,0.0,0.0
341000000,33,341000000,,-0.01602910445,-0.00238949100729,-0.00251011846509,0.0,0.0,0.0
351000000,34,351000000,,-0.0271754270433,-0.0261806097606,-0.0114578885045,0.0,0.0,0.0
361000000,35,361000000,,0.0150395845653,0.0262432103262,-0.0115413012255,0.0,0.0,0.0
371000000,36,371000000,,-0.0013272909291,-0.00235614364255,0.0357294298199,0.0,0.0,0.0
381000000,37,381000000,,-0.0201770775574,-0.0114725287687,-0.00712310617178,0.0,0.0,0.0
391000000,38,391000000,,0.0228495408715,0.0605500242432,0.0260592045875,0.0,0.0,0.0
401000000,39,401000000,,0.00206975671056,0.0241376968509,0.0307008335766,0.0,0.0,0.0
412000000,40,412000000,,0.00389420212533,0.0291248401226,-0.0105961426382,0.0,0.0,0.0
421000000,41,421000000,,-0.00676919114159,-0.00856795456856,-0.00265038512266,0.0,0.0,0.0
