%time,field.header.seq,field.header.stamp,field.header.frame_id,field.roll,field.pitch,field.jaw,field.roll_dot,field.pitch_dot,field.jaw_dot
80000000,1,80000000,,7.66807904968e-19,8.46927843618e-19,4.74620086475e-25,0.0,0.0,0.0
120000000,2,120000000,,1.49070529867e-18,2.04271238974e-18,-6.12595102988e-24,0.0,0.0,0.0
160000000,3,160000000,,-1.00188083252e-06,3.66281369679e-06,-7.66305902289e-07,0.00206893496215,0.00822099205106,-0.000142848206451
200000000,4,200000000,,4.94498226544e-06,3.05524054056e-06,-3.6211583847e-06,0.00603972608224,0.00307798059657,-3.46837623511e-05
240000000,5,240000000,,3.9389756239e-06,2.63782317234e-06,-5.34792343387e-06,0.00541461305693,0.00264931400307,-1.59621158673e-05
280000000,6,280000000,,1.95614325094e-06,-1.9883193545e-06,-2.53497069025e-06,0.00384367373772,-0.00199583219364,1.63107197295e-05
320000000,7,320000000,,5.07350875978e-07,-1.46654758737e-06,-4.34416779171e-06,0.000532930949703,-0.00278056645766,-1.56710775627e-05
360000000,8,360000000,,-9.48073989093e-07,1.24580333249e-06,-3.70534667127e-06,-0.000986678292975,0.00212684064172,-6.62726524752e-05
400000000,9,400000000,,-2.2697409463e-07,-1.56804856033e-06,-2.46509125645e-06,-1.94069454951e-10,-1.32155475452e-09,-4.37717709301e-11
442000000,10,442000000,,4.03658191317e-08,1.49096432978e-08,-5.9342582972e-06,-2.82859013989e-10,-3.86781051631e-10,1.61860282122e-11
480000000,11,480000000,,1.30607196169e-08,4.88098024221e-08,-6.00989733357e-06,0.0,0.0,0.0
521000000,12,521000000,,-6.82033885369e-07,6.29046155609e-07,-5.92971991864e-06,-6.95247895713e-13,3.22338428735e-13,4.22059509195e-14
561000000,13,561000000,,-2.85494320451e-06,1.73096532308e-06,-5.85434781897e-06,-4.86271136205e-12,2.71664700284e-12,9.90161931939e-14
600000000,14,600000000,,-6.78713286106e-06,4.08853884437e-06,-5.7817637753e-06,-7.8232073597e-12,4.80619667328e-12,1.2097868009e-13
640000000,15,640000000,,-1.2064276234e-05,7.49974242353e-06,-5.71764076085e-06,-1.25152136918e-11,8.48926050984e-12,1.31869436703e-13
682000000,16,682000000,,-1.77876318048e-05,1.16352093755e-05,-5.66101516597e-06,-1.51634694384e-11,1.17968881191e-11,1.26451610684e-13
720000000,17,720000000,,-2.37384265347e-05,1.66422414623e-05,-5.6107655837e-06,-1.23953633815e-11,1.12746079833e-11,1.02189124404e-13
762000000,18,762000000,,-2.92903441732e-05,2.19765170186e-05,-5.57154999115e-06,-1.15457140376e-11,1.22842578124e-11,8.35129965941e-14
800000000,19,800000000,,-3.37601086358e-05,2.7032197977e-05,-5.54231246497e-06,-1.06251786883e-11,1.2314265059e-11,5.46025356006e-14
840000000,20,840000000,,-3.76239149773e-05,3.21746010741e-05,-5.52033498025e-06,-5.77129706872e-12,8.7500501636e-12,3.25325602232e-14
880000000,21,880000000,,-4.01919278374e-05,3.67312350136e-05,-5.50690583623e-06,-2.11126927573e-12,5.67206871749e-12,1.60411506127e-14
920000000,22,920000000,,-4.08954037994e-05,4.03278900194e-05,-5.49747801415e-06,-2.24828510843e-13,3.5698015724e-12,5.44174538194e-15
960000000,23,960000000,,-4.01972174586e-05,4.30806248914e-05,-5.49332753508e-06,1.45869471016e-12,2.06424482542e-12,4.48359992322e-15
1000000000,24,1000000000,,-3.78830118279e-05,4.47668608103e-05,-5.49285323359e-06,2.37606722492e-12,1.20035090808e-12,-1.37313220469e-15
1040000000,25,1040000000,,-3.40629303537e-05,4.54932451248e-05,-5.49499281988e-06,7.17262577457e-12,5.42257448525e-14,-3.18405889389e-15
1080000000,26,1080000000,,-2.89216804958e-05,4.49675426353e-05,-5.50007507627e-06,1.05034496725e-11,-1.54246147105e-12,-1.16099900757e-14
1120000000,27,1120000000,,-2.21138416236e-05,4.32246561104e-05,-5.50698905499e-06,1.90668730804e-11,-5.92634318355e-12,-1.63182083135e-14
1162000000,28,1162000000,,-1.5635319869e-05,4.08982014051e-05,-5.51428365725e-06,2.43440927139e-11,-8.98027485707e-12,-2.98871374155e-14
1201000000,29,1201000000,,-5.03279170516e-06,3.60882004315e-05,-5.52684605282e-06,3.58228446906e-11,-1.83317406394e-11,-3.62250072332e-14
1242000000,30,1242000000,,5.05735215484e-06,3.07308764604e-05,-5.53928384761e-06,4.69940891756e-11,-2.44373236924e-11,-6.27168672898e-14
1283000000,31,1283000000,,1.57184822456e-05,2.4483213565e-05,-5.55376846023e-06,5.50933083876e-11,-3.54785020806e-11,-7.06331965573e-14
1320000000,32,1320000000,,3.11643016175e-05,1.42413737194e-05,-5.57559496883e-06,7.04010322261e-11,-4.68708682977e-11,-1.08881104816e-13
1360000000,33,1360000000,,4.54337350675e-05,3.13375994665e-06,-5.59076215723e-06,9.10571965052e-11,-8.10976771848e-11,-1.25250486625e-15
1400000000,34,1400000000,,6.00150960963e-05,-1.15484426715e-05,-5.57951125302e-06,1.17098122865e-10,-1.38931519067e-10,1.7806261565e-13
1440000000,35,1440000000,,7.606674626e-05,-3.22907253576e-05,-5.53955487703e-06,1.20092838451e-10,-1.61863938919e-10,3.89912928334e-13
1480000000,36,1480000000,,8.70017174748e-05,-4.84993943246e-05,-5.48456409888e-06,4.53719874172e-11,-7.81745015943e-11,3.54606697738e-13
1520000000,37,1520000000,,8.97213176358e-05,-5.83197797823e-05,-5.40451082998e-06,-4.05274598603e-12,-9.97729676655e-12,1.54278974036e-13
1560000000,38,1560000000,,8.57294508023e-05,-6.31473085377e-05,-5.31059686182e-06,-1.07342173344e-11,-9.72028620788e-12,2.11646482675e-13
1601000000,39,1601000000,,7.90275735199e-05,-6.713905168e-05,-5.2034761211e-06,-2.08768540649e-11,-9.02351197235e-12,2.86284938898e-13
1640000000,40,1640000000,,7.0224305091e-05,-7.00105010765e-05,-5.09354958922e-06,-3.21803590719e-11,-8.48597494357e-12,3.837327049e-13
