%time,field0,field1,field2,field3,field4,field5,field6,field7
493000000,-0.00221558734695,-5.48841288356e-06,-0.0017686643762,-5.62817817095e-06,20.0,20.0,-1.8279231759e-05,0.000134004368084
536000000,-0.00200086649023,-3.46153642027e-08,-0.00163388067457,-1.72221995833e-07,20.0,20.0,-1.79465953971e-05,0.000142015348638
579000000,-0.00157803085863,5.6365123824e-07,-0.00126708600114,5.32991862337e-07,20.0,20.0,-1.74408740101e-05,0.000143912685742
617000000,-0.0012413967082,-5.90155465607e-07,-0.000967965420047,-5.01308571319e-07,20.0,20.0,-1.64775931285e-05,0.000142655751767
643000000,-0.00103599821124,-1.84380156601e-06,-0.000787722829033,-1.66446704085e-06,20.0,20.0,-1.48133174456e-05,0.000140555701
689000000,-0.00092445518566,-2.6752929786e-06,-0.000693909361914,-2.44508361063e-06,20.0,20.0,-1.2290584401e-05,0.000138751807424
717000000,-0.000860459915997,-3.05974203066e-06,-0.000643519498743,-2.81305513601e-06,20.0,20.0,-8.71906483501e-06,0.000137557813362
789000000,-0.000837414207538,-2.60297595304e-06,-0.000631890277169,-2.36345529081e-06,20.0,20.0,-4.05000709137e-06,0.000137062085615
808000000,-0.000824747771127,-1.66383454479e-06,-0.00062947390827,-1.44346046428e-06,20.0,20.0,1.62759525182e-06,0.000136935884238
852000000,-0.000771046009175,-1.69188845681e-06,-0.000585266438162,-1.49465259824e-06,20.0,20.0,8.33594700937e-06,0.00013689269643
887000000,-0.000729523483918,-1.61971507853e-06,-0.00055262100434,-1.44486541744e-06,20.0,20.0,1.59447420128e-05,0.000137566382882
930000000,-0.000685031253633,-1.7419055111e-06,-0.000516431147813,-1.58500164767e-06,20.0,20.0,2.42326208884e-05,0.000138269297909
978000000,-0.000644205094644,-1.84617494611e-06,-0.000483316368326,-1.70234527022e-06,15.2634250812,15.2631486158,3.3032561765e-05,0.000139127772647
1008000000,-0.000607312709258,-1.90686366404e-06,-0.000453536768091,-1.77178004902e-06,6.58269457379,6.58215198391,4.21238300554e-05,0.00014021915971
