%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
320000000,2,320000000,,518.791607219,518.784106026,518.792538784,518.783026967
442000000,3,442000000,,645.852962956,645.877436434,645.854327657,645.876508794
521000000,4,521000000,,650.735049761,650.736070636,650.736515328,650.735145412
640000000,5,640000000,,588.64747265,588.648503274,588.648941061,588.647571298
720000000,6,720000000,,443.526657578,443.527690285,443.528129195,443.526761525
840000000,7,840000000,,302.495211167,302.496240641,302.496701934,302.495338198
920000000,8,920000000,,290.913781888,290.914809933,290.915297555,290.913934826
1040000000,9,1040000000,,332.765855519,332.766884616,332.767411485,332.766047005
1120000000,10,1120000000,,431.576700764,431.577734268,431.57829641,431.576926415
1242000000,11,1242000000,,467.400447669,467.401491876,467.402088032,467.400705303
1320000000,12,1320000000,,479.032117887,479.033177331,479.033792254,479.032390981
1440000000,13,1440000000,,451.653080518,451.654151025,451.654736049,451.653329428
1520000000,14,1520000000,,403.926281481,403.927362685,403.927981346,403.926560781
1640000000,15,1640000000,,380.116894972,380.117984208,380.118582411,380.117155657
1720000000,16,1720000000,,377.769650682,377.770739582,377.771324463,377.769900599
1841000000,17,1841000000,,368.337801881,368.338871654,368.339434292,368.338034503
1916000000,18,1916000000,,463.881049486,463.882100444,463.882654242,463.881275767
2041000000,19,2041000000,,409.239086544,409.240217842,409.241029981,409.239495123
2120000000,20,2120000000,,448.991213912,448.99243779,448.993420184,448.991832057
2243000000,21,2243000000,,412.909358553,412.910648223,412.911888684,412.910238707
2320000000,22,2320000000,,396.202244659,396.203604637,396.205103802,396.203381525
2447000000,23,2447000000,,397.888623039,397.890088613,397.891915397,397.890078085
2520000000,24,2520000000,,421.292274758,421.293855802,421.295940502,421.293980137
2600000000,25,2600000000,,423.274252166,423.295317439,423.277931079,423.295155607
2720000000,26,2720000000,,427.122608045,427.131224647,427.126059788,427.130607101
2800000000,27,2800000000,,436.00454135,435.9935681,436.008095772,435.992793528
2921000000,28,2921000000,,439.246616498,439.248780925,439.250031008,439.247661454
3040000000,29,3040000000,,418.275679286,418.277884994,418.278904054,418.27651292
3120000000,30,3120000000,,424.226345669,424.24798725,424.229327214,424.246628399
3240000000,31,3240000000,,419.871593517,419.879211295,419.874324916,419.878279368
3320000000,32,3320000000,,429.059148536,429.048305752,429.061574784,429.047551615
3440000000,33,3440000000,,421.058094631,421.059450285,421.060278834,421.059022895
3520000000,34,3520000000,,440.848285465,440.866796484,440.85087949,440.866467857
3640000000,35,3640000000,,427.786177594,427.793932308,427.789113126,427.79356559
3720000000,36,3720000000,,431.001432262,430.991537117,431.004516027,430.991346526
3841000000,37,3841000000,,421.299149866,421.300952912,421.302435309,421.300771096
3920000000,38,3920000000,,432.750317712,432.770834151,432.753731391,432.770560678
4043000000,39,4043000000,,426.412957495,426.420194557,426.416152429,426.419225034
4122000000,40,4122000000,,452.072049805,452.062950492,452.075240106,452.0616083
4240000000,41,4240000000,,426.166503685,426.169088921,426.169595155,426.167265042
4320000000,42,4320000000,,418.232707985,418.250738158,418.235613897,418.249018233
4400000000,43,4400000000,,431.359513011,431.366547434,431.362268757,431.36530517
4522000000,44,4522000000,,430.559666755,430.551796164,430.562305482,430.550801044
4640000000,45,4640000000,,436.171786755,436.173639845,436.174329766,436.172986129
4720000000,46,4720000000,,420.760877903,420.762591567,420.763370618,420.76215845
4845000000,47,4845000000,,440.586760113,440.588349469,440.589295464,440.588201496
4921000000,48,4921000000,,438.297032837,438.298564659,438.299707456,438.298647379
5000000000,49,5000000000,,433.894022848,433.908984666,433.896933276,433.909250387
5120000000,50,5120000000,,426.615122102,426.620199256,426.618541527,426.619933929
5240000000,51,5240000000,,435.14528952,435.139806208,435.149123254,435.139462876
5320000000,52,5320000000,,433.75723114,433.771203326,433.760951282,433.770638218
5440000000,53,5440000000,,428.455967953,428.462231965,428.459355008,428.461490625
5520000000,54,5520000000,,447.982377848,447.977166463,447.98561606,447.976286839
5600000000,55,5600000000,,422.054883434,422.057217932,422.057902872,422.056235142
5720000000,56,5720000000,,438.791344199,438.793615419,438.794171756,438.792582184
5842000000,57,5842000000,,424.811350258,424.823631856,424.814024954,424.82323832
5920000000,58,5920000000,,427.51319775,427.508048355,427.515763613,427.507921267
6000000000,59,6000000000,,430.632219799,430.633689921,430.634709604,430.634049469
6120000000,60,6120000000,,445.357722665,445.366754248,445.360596777,445.367487633
6240000000,61,6240000000,,425.944165932,425.948956775,425.947499488,425.949730155
6320000000,62,6320000000,,437.806312777,437.811093545,437.80988075,437.811737476
6440000000,63,6440000000,,416.660618788,416.665179014,416.664248291,416.665566518
6520000000,64,6520000000,,435.628914922,435.625674293,435.632767632,435.626035958
6640000000,65,6640000000,,426.36399572,426.378434735,426.373537768,426.378561485
6720000000,66,6720000000,,432.638870248,432.650392456,432.65928187,432.650285904
