%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
101000000,1,101000000,,427.0,427.0,427.0,427.0
200000000,2,200000000,,777.020097039,776.979665772,777.021046888,776.97942749
300000000,3,300000000,,518.791584722,518.783902019,518.792561282,518.783230974
400000000,4,400000000,,645.853031876,645.87732042,645.854258737,645.876624808
500000000,5,500000000,,650.735111291,650.735961451,650.736453797,650.735254597
600000000,6,600000000,,588.647535603,588.648404029,588.648878108,588.647670543
700000000,7,700000000,,443.526722134,443.527594736,443.528064639,443.526857074
801000000,8,801000000,,302.495281528,302.496153428,302.496631573,302.495425412
900000000,9,900000000,,290.913856661,290.914727579,290.915222782,290.914017181
1000000000,10,1000000000,,332.76593898,332.766810036,332.767328024,332.766121585
1100000000,11,1100000000,,431.576790176,431.577663177,431.578206999,431.576997507
1201000000,12,1201000000,,467.400543903,467.401421989,467.401991797,467.40077519
1300000000,13,1300000000,,479.032216849,479.033105358,479.033693292,479.032462954
1400000000,14,1400000000,,451.653171223,451.654067747,451.654645344,451.653412706
1500000000,15,1500000000,,403.926380453,403.927282526,403.927882374,403.926640941
1601000000,16,1601000000,,380.116978756,380.11788778,380.118498627,380.117252085
1700000000,17,1700000000,,377.769726359,377.770637938,377.771248785,377.770002243
1801000000,18,1801000000,,368.337864294,368.338770926,368.339371879,368.338135231
1901000000,19,1901000000,,463.881108525,463.882002764,463.882595203,463.881373447
2006000000,20,2006000000,,409.239194186,409.240149593,409.240922339,409.239563372
2100000000,21,2100000000,,448.991351747,448.992395427,448.99328235,448.991874419
2202000000,22,2202000000,,412.909550884,412.910649208,412.911696353,412.910237723
2300000000,23,2300000000,,396.202481584,396.203632589,396.204866877,396.203353573
2402000000,24,2402000000,,397.888934464,397.890149591,397.891603972,397.890017107
2500000000,25,2500000000,,421.292628448,421.29392475,421.295586812,421.293911189
2600000000,26,2600000000,,423.274571129,423.295308693,423.277612116,423.295164353
2700000000,27,2700000000,,427.122871318,427.131130497,427.125796515,427.130701252
2800000000,28,2800000000,,436.004842629,435.993476616,436.007794493,435.992885011
2900000000,29,2900000000,,439.246849623,439.24860826,439.249797883,439.247834119
3000000000,30,3000000000,,418.275853915,418.277678498,418.278729426,418.276719416
3100000000,31,3100000000,,424.226457392,424.247859426,424.229215492,424.246756223
3200000000,32,3200000000,,419.871659826,419.879172504,419.874258607,419.878318158
3300000000,33,3300000000,,429.059157782,429.048252251,429.061565538,429.047605116
3400000000,34,3400000000,,421.058070858,421.059466374,421.060302607,421.059006806
3500000000,35,3500000000,,440.848376595,440.866811741,440.85078836,440.8664526
3600000000,36,3600000000,,427.786300298,427.793929198,427.788990422,427.7935687
3700000000,37,3700000000,,431.001557232,430.991589222,431.004391057,430.991294421
3800000000,38,3800000000,,421.299317534,421.300984768,421.302267641,421.300739241
3900000000,39,3900000000,,432.750500418,432.770835253,432.753548685,432.770559577
4000000000,40,4000000000,,426.413077225,426.420022695,426.4160327,426.419396897
4101000000,41,4101000000,,452.072194739,452.062757583,452.075095172,452.06180121
4202000000,42,4202000000,,426.166624237,426.168812088,426.169474603,426.167541875
4300000000,43,4300000000,,418.232792612,418.250518808,418.23552927,418.249237583
4400000000,44,4400000000,,431.35958046,431.366411577,431.362201308,431.365441026
4500000000,45,4500000000,,430.559707786,430.551619995,430.562264451,430.550977213
4600000000,46,4600000000,,436.171816072,436.173542017,436.174300448,436.173083957
4700000000,47,4700000000,,420.760909098,420.762531333,420.763339423,420.762218684
4802000000,48,4802000000,,440.586818296,440.588350894,440.589237282,440.588200071
4900000000,49,4900000000,,438.297126926,438.298599643,438.299613367,438.298612395
5000000000,50,5000000000,,433.894164713,433.909039405,433.896791411,433.909195647
5100000000,51,5100000000,,426.6153828,426.6201063,426.61828083,426.620026885
5202000000,52,5202000000,,435.145610474,435.139727108,435.1488023,435.139541976
5300000000,53,5300000000,,433.757494243,433.771081579,433.760688179,433.770759966
5400000000,54,5400000000,,428.456168612,428.462089743,428.459154349,428.461632846
5500000000,55,5500000000,,447.982612475,447.976987509,447.985381433,447.976465793
5600000000,56,5600000000,,422.055071767,422.057030156,422.05771454,422.056422917
5700000000,57,5700000000,,438.791487507,438.793430772,438.794028448,438.792766831
5800000000,58,5800000000,,424.811460113,424.823622679,424.813915099,424.823247497
5900000000,59,5900000000,,427.513282969,427.508036172,427.515678394,427.50793345
6000000000,60,6000000000,,430.632288311,430.633760883,430.634641092,430.633978507
6101000000,61,6101000000,,445.357870634,445.366882464,445.360448808,445.367359416
6200000000,62,6200000000,,425.944371429,425.9490634,425.947293991,425.94962353
6300000000,63,6300000000,,437.806524409,437.811176784,437.809669117,437.811654236
6400000000,64,6400000000,,416.660817377,416.665214747,416.664049702,416.665530785
6501000000,65,6501000000,,435.629166664,435.625729224,435.63251589,435.625981027
6600000000,66,6600000000,,426.365892658,426.378402095,426.371640831,426.378594124
6700000000,67,6700000000,,432.642431968,432.650340949,432.65572015,432.650337412
6800000000,68,6800000000,,424.327226659,424.336474042,424.351809295,424.336294826
6901000000,69,6901000000,,435.22592091,435.241933362,435.260346209,435.241680716
7000000000,70,7000000000,,437.796614495,437.816639593,437.837935077,437.816388079
7100000000,71,7100000000,,441.93550161,441.962231744,441.980821174,441.962029857
7201000000,72,7201000000,,421.065752336,421.094959408,421.111008749,421.094811964
7300000000,73,7300000000,,427.625136237,427.652523236,427.668109455,427.652423311
7400000000,74,7400000000,,431.606844032,431.631104404,431.646415667,431.631034718
7502000000,75,7502000000,,426.460172999,426.48148137,426.491482352,426.48141794
7600000000,76,7600000000,,433.945253067,433.957128778,433.964928617,433.957058083
7700000000,77,7700000000,,427.353703733,427.361326002,427.360125108,427.361223992
7800000000,78,7800000000,,432.904108398,432.908341371,432.899813039,432.908185709
7900000000,79,7900000000,,439.06528013,439.062866875,439.053371243,439.062651389
8000000000,80,8000000000,,433.485944295,433.483587097,433.469968633,433.483309824
8100000000,81,8100000000,,434.139171554,434.134991653,434.12276243,434.134651676
8200000000,82,8200000000,,424.814962193,424.811003844,424.801541021,424.810601252
8300000000,83,8300000000,,439.11754752,439.115706193,439.109327248,439.115240644
8400000000,84,8400000000,,427.452484124,427.452100023,427.449802946,427.451571196
8500000000,85,8500000000,,428.752321143,428.755076447,428.755198807,428.7544826
