%time,field.layout.data_offset,field.data0,field.data1
281000000,0,-182.679292814,-182.679466165
320000000,0,-104.353862632,-104.354196657
360000000,0,-74.0228455903,-74.0232702094
400000000,0,-49.9437322074,-49.9442317923
443000000,0,-29.4241771785,-29.4247406247
479000000,0,4.66031871608,4.65964425545
521000000,0,36.6112339561,36.610455091
559000000,0,63.1449288817,63.1440522207
599000000,0,86.4518219738,86.4508582397
639000000,0,106.769589688,106.768550047
679000000,0,114.481848888,114.480747325
718000000,0,121.018225986,121.017070182
751000000,0,106.380210676,106.379006077
799000000,0,93.2926995681,93.2914573162
839000000,0,81.5050107003,81.5037345355
876000000,0,52.0586688727,52.0573611745
920000000,0,25.5153151323,25.5139803662
958000000,0,1.50509451608,1.50373369274
999000000,0,-19.7540975504,-19.7554817949
1039000000,0,-37.3918703135,-37.3932739897
1079000000,0,-46.752800853,-46.7542258295
1119000000,0,-54.3821351207,-54.3835799106
1168000000,0,-49.2063821241,-49.207844866
1199000000,0,-40.8339498565,-40.8354344925
1242000000,0,-34.9937634034,-34.9952633102
1283000000,0,-23.6695496188,-23.6710724028
1317000000,0,-15.4736539485,-15.4751925011
1355000000,0,-6.32072146483,-6.28043150457
1399000000,0,1.86978559596,1.90387087013
1432000000,0,8.84927522839,8.87807321741
1478000000,0,10.849616912,10.7794811806
1519000000,0,12.4901137189,12.430336164
1560000000,0,6.98878133182,6.93778879287
1596000000,0,1.99420791111,1.95067128232
1634000000,0,-2.05384074575,-2.09133443832
1674000000,0,-8.87459030359,-8.90691215456
1717000000,0,-14.9317060781,-14.9594984402
1759000000,0,-20.4322794638,-20.4481611658
1799000000,0,-25.1275757827,-25.141356755
1833000000,0,-29.3123830814,-29.3242917234
1912000000,0,-37.6298051719,-37.6390506482
1939000000,0,-31.4280122404,-31.7858384642
1960000000,0,-26.1627452461,-26.4918711526
1994000000,0,-16.2647963977,-16.5399698147
2035000000,0,-9.70814500683,-9.94757893067
2072000000,0,-10.7739635311,-10.9782795278
2125000000,0,-12.2103462061,-12.3854313459
2159000000,0,-7.72644751127,-7.87597053969
2204000000,0,-3.8611484488,-3.98939292526
2243000000,0,-0.475960075115,-0.58556902073
2288000000,0,-2.11295719134,-2.2063618071
2321000000,0,-4.3211283347,-4.40109659343
2361000000,0,-8.32719851505,-8.39575890158
2398000000,0,-12.2594065147,-12.3178064571
2415000000,0,-15.8002602609,-15.8495109782
2477000000,0,-17.7846977976,-17.8284190745
2520000000,0,-19.9450879455,-19.982694025
2558000000,0,-18.4763955987,-18.5090967432
2602000000,0,-17.0254965391,-17.0539046199
2638000000,0,-15.4811924957,-15.5058599563
2676000000,0,-14.2403327268,-14.2620405575
2720000000,0,-13.071388309,-13.0903080357
2756000000,0,-11.9903284536,-12.0071909717
2794000000,0,-10.512560406,-10.5272586661
2843000000,0,-8.41554042738,-8.42874272834
2881000000,0,-6.12989458602,-6.14157232161
2919000000,0,-4.32921900509,-4.33969565838
2961000000,0,-2.36000122419,-2.3694356188
2996000000,0,-0.597754851496,-0.606278685836
3041000000,0,0.864299829269,0.856531436769
3081000000,0,-0.875773307827,-0.882886064478
3118000000,0,-2.47332307206,-2.47986096763
3158000000,0,-2.98617920176,-2.99217999747
3198000000,0,-3.38251380001,-3.38807849381
3238000000,0,-3.72961970069,-3.73480245915
3280000000,0,-4.66124906444,-4.6660627409
3320000000,0,-5.44467545785,-5.4491883678
3355000000,0,-4.83528197083,-4.83948844404
3400000000,0,-4.2531091125,-4.25705236997
3439000000,0,-3.74560030345,-3.74931410057
3481000000,0,-4.40734155341,-4.4108369156
3513000000,0,-4.97850833849,-4.98183697739
3558000000,0,-3.06497008104,-3.06815611807
3599000000,0,-1.04909378401,-1.05219431172
3641000000,0,0.716389582664,0.713363945705
3679000000,0,0.469092339301,0.511416598095
3722000000,0,0.0698605064272,0.105338861409
3756000000,0,0.180975556915,0.210753787803
3801000000,0,0.308739622371,0.33365900455
3844000000,0,0.420117693692,0.440801376907
3882000000,0,-0.824315894181,-0.807092948436
3920000000,0,-1.95567457074,-1.94141387136
3960000000,0,-1.33173974812,-1.32009144033
3999000000,0,-0.721679120554,-0.712257819666
4032000000,0,-0.286896636646,-0.279062497647
4080000000,0,-0.598579810883,-0.59268125095
4120000000,0,-0.983280531113,-0.978569961234
4159000000,0,0.481411257984,0.484846360422
4202000000,0,3.90009670227,3.90248485176
4240000000,0,6.40601201553,6.40763274343
4279000000,0,5.16499236231,5.16591534492
4324000000,0,3.81050316891,3.81081894535
4360000000,0,1.70563818219,1.70547311307
4400000000,0,-0.234123773152,-0.234684728624
4444000000,0,-0.019747672266,-0.0206559602026
4482000000,0,0.175955666961,0.174793227259
4515000000,0,0.35316741074,0.351774832123
4574000000,0,0.501183126491,0.499598325586
4599000000,0,0.519952183028,0.518200444283
4658000000,0,0.531645172537,0.529768358485
4677000000,0,1.23663792661,1.23465512183
4719000000,0,1.98963954569,1.98757200394
4762000000,0,0.494301852566,0.492170929637
4797000000,0,-0.838790472257,-0.840971166513
4851000000,0,-2.07446479005,-2.07669161876
4881000000,0,-0.887722678289,-0.889996493757
4921000000,0,0.854404213771,0.852090838566
4958000000,0,2.03390479619,2.03153965249
4999000000,0,2.92317706461,2.92076828081
5041000000,0,3.09994417639,3.09746455885
5076000000,0,3.22663040217,3.2240856197
5120000000,0,3.33173720734,3.32913835645
5154000000,0,2.3928957659,2.39018013947
5202000000,0,1.48683797094,1.48401112908
5239000000,0,0.82269286581,0.819784503135
5281000000,0,1.45421731189,1.45117038849
5334000000,0,1.99377247554,1.99061190465
5359000000,0,2.27056061263,2.26731652794
5400000000,0,2.49692247837,2.49360800549
5440000000,0,2.68981533187,2.68644087843
5480000000,0,2.11038236928,2.10700259818
5521000000,0,1.57655350046,1.57317265156
5561000000,0,3.94204358865,3.93868332299
5598000000,0,5.9280726435,5.92472958751
5642000000,0,4.19116201177,4.18786491105
5680000000,0,2.36204622485,2.35879112211
5725000000,0,0.879567145331,0.876346082213
5758000000,0,1.91136656694,1.85058219849
5800000000,0,2.93503042459,2.88281532862
5838000000,0,3.84739815451,3.80282065818
5880000000,0,2.7558225485,2.61977873323
5919000000,0,1.5875767698,1.47125241086
5957000000,0,0.959400641832,0.860282419846
5998000000,0,0.456235860546,0.371393504746
6036000000,0,0.474787872905,0.390121828054
6081000000,0,0.507143442318,0.435739164196
6120000000,0,0.53200350165,0.470788658062
6150000000,0,2.62971036083,2.57712418581
6199000000,0,4.47442975186,4.42902403046
6240000000,0,6.09001548703,6.05089832758
6279000000,0,4.93056563688,4.89674721133
6323000000,0,3.60836181364,3.57905076741
6358000000,0,4.14332452095,4.11799693275
6399000000,0,4.66607265095,4.6438134242
6438000000,0,5.13690253218,5.11740692388
6482000000,0,2.55633525033,2.53918596516
6520000000,0,0.158666613102,0.143562302807
6555000000,0,0.844215020586,0.830775857088
6603000000,0,1.54173697196,1.5296824857
6641000000,0,2.16667442672,2.15586052087
6680000000,0,1.37949589562,1.36890898525
6719000000,0,0.645330220385,0.634897771009
6761000000,0,0.90607832835,0.894244916988
6795000000,0,1.17131153286,1.15820943893
6840000000,0,1.39206453728,1.37790714809
6879000000,0,0.419088820242,0.402191220082
6918000000,0,-0.512343762634,-0.531752848772
6960000000,0,0.250270273142,0.22785395794
7000000000,0,1.0146432621,0.989338507275
7040000000,0,1.64899077693,1.62129794516
7080000000,0,2.52222856192,2.51018354103
7123000000,0,3.31425083823,3.29773746238
7163000000,0,4.55994749085,4.53990017678
7201000000,0,5.63713335531,5.61427830122
7239000000,0,6.60252845047,6.57714973006
7243000000,0,6.35759759528,6.33060644284
7317000000,0,4.42298245485,4.39607540737
7368000000,0,3.38269318687,3.35789005552
