%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1000000,0,1000000,world,0.0,0.0,0.74,0.0,0.0,0.0,1.0
11000000,1,11000000,world,-1.07738277069e-27,-1.09807001825e-27,0.739461,-5.3725141903e-27,4.12735521657e-27,1.15199516752e-27,1.0
21000000,2,21000000,world,1.63692024856e-24,1.51811157212e-24,0.737942,1.20292517363e-23,-1.19965837191e-23,-1.854574052e-24,1.0
31000000,3,31000000,world,-4.38394968409e-25,-6.00545634499e-25,0.735443,7.22102059036e-24,-1.67577970031e-23,7.60542676413e-25,1.0
41000000,4,41000000,world,-1.4288227372e-24,-1.79321964477e-24,0.731964,3.00119168489e-24,-2.37804484207e-23,1.87282292978e-24,1.0
51000000,5,51000000,world,-2.69206115799e-25,-7.55861801429e-25,0.727505,1.38393085235e-24,-2.25640175756e-23,9.00100114244e-26,1.0
61000000,6,61000000,world,4.18084781635e-19,-3.15816710653e-19,0.722066,5.15552968045e-21,1.10946936718e-20,-1.04651691129e-24,1.0
71000000,7,71000000,world,3.05010199841e-18,-2.6238031999e-18,0.715647,1.86638507512e-19,2.29770723777e-19,1.16670326043e-24,1.0
81000000,8,81000000,world,5.8469441967e-18,-5.07605638525e-18,0.708248,4.01988025484e-19,4.41791858718e-19,-2.24180539519e-24,1.0
91000000,9,91000000,world,8.78677367554e-18,-7.6543092322e-18,0.699869,6.16918032234e-19,6.55928294429e-19,-1.56495371869e-24,1.0
101000000,10,101000000,world,1.11677707565e-17,-9.54367934912e-18,0.69051,7.18581717312e-19,8.2083361737e-19,-4.33239385345e-24,1.0
111000000,11,111000000,world,1.35331339136e-17,-1.13846981476e-17,0.680171,7.11004183546e-19,9.21402183089e-19,-2.97964980672e-24,1.0
121000000,12,121000000,world,1.594479985e-17,-1.32532298251e-17,0.668852,7.62026868701e-19,1.05413842448e-18,-3.25797304252e-24,1.0
131000000,13,131000000,world,1.59885508973e-14,1.50535760957e-14,0.656553080965,1.1051059407e-13,-9.85921398518e-14,-1.86829353842e-14,1.0
141000000,14,141000000,world,3.38606128643e-14,3.11646104449e-14,0.643275584944,4.53076887086e-13,-4.4798602063e-13,-3.84932683937e-14,1.0
151000000,15,151000000,world,-6.02863524841e-15,-1.11960564893e-14,0.629023413989,8.71488608776e-13,-9.22718283192e-13,1.49263245355e-14,1.0
161000000,16,161000000,world,-1.73994389969e-06,1.3053525312e-07,0.624997933125,-9.51066720924e-07,-1.30537029613e-06,-3.24324628353e-07,0.999999999999
171000000,17,171000000,world,3.75301490662e-06,2.05668332543e-06,0.624996420002,-2.19694019511e-06,2.93288322095e-06,-1.031912556e-06,0.999999999993
181000000,18,181000000,world,4.40879482433e-06,-1.32030938528e-06,0.624998874115,1.27771048772e-08,1.38733520444e-06,-1.85306933233e-06,0.999999999997
191000000,19,191000000,world,4.38771588717e-06,-3.4261370835e-06,0.624997560962,1.82263750417e-06,1.33372310366e-06,-1.82749671431e-06,0.999999999996
201000000,20,201000000,world,-1.94738736408e-07,2.38778331239e-06,0.624996624891,-2.76732195165e-06,-2.31421855263e-06,-1.98040446246e-06,0.999999999992
211000000,21,211000000,world,6.03754487276e-06,4.67510073257e-08,0.62499742591,-7.20377793125e-07,2.59320354059e-06,-2.45129850949e-06,0.999999999993
221000000,22,221000000,world,2.0142198688e-06,-4.33581591436e-06,0.624999001845,2.82606718417e-06,-6.61891648661e-07,-3.38736207532e-06,0.99999999999
231000000,23,231000000,world,4.25918704603e-06,-2.76666878727e-06,0.624997302836,1.68708816359e-06,1.7808614387e-06,-2.60275430033e-06,0.999999999994
241000000,24,241000000,world,-1.00562540586e-06,2.88884190165e-07,0.624998160102,-5.1593878285e-07,-3.14007807753e-06,-3.13633072186e-06,0.99999999999
251000000,25,251000000,world,4.95419440218e-06,-2.78964294252e-06,0.6249970114,1.9458194737e-06,2.4141941702e-06,-1.96285539311e-06,0.999999999993
261000000,26,261000000,world,6.5933377093e-07,2.44859897447e-06,0.624999196435,-2.59068768624e-06,-7.92856997836e-07,-1.06768412642e-06,0.999999999996
271000000,27,271000000,world,-1.56813181481e-08,-3.16151878362e-06,0.624997563191,1.85607435654e-06,-1.27442137978e-06,-1.16608204955e-06,0.999999999997
281000000,28,281000000,world,4.21894209975e-06,-6.34472106915e-07,0.62499830401,-6.8696327979e-08,2.15363427109e-06,-1.22686605109e-06,0.999999999997
291000000,29,291000000,world,-5.664840837e-06,7.07831519551e-08,0.624996709839,6.89998820121e-08,-4.0897454391e-06,-2.69204493491e-06,0.999999999988
301000000,30,301000000,world,4.67262524129e-07,4.41835552006e-07,0.624999386556,-1.25682118052e-07,8.45508736843e-07,-2.5274190289e-06,0.999999999996
311000000,31,311000000,world,-2.18034857255e-06,1.57432147717e-06,0.62499837468,-1.06983901745e-06,-1.28243063737e-06,-2.1178094428e-06,0.999999999996
321000000,32,321000000,world,-3.31548919543e-07,1.69807231986e-06,0.62499925537,-1.12543030274e-06,1.40586707367e-07,-2.19752350706e-06,0.999999999997
331000000,33,331000000,world,-1.20380823078e-06,-5.43110770352e-07,0.624999005008,6.97344991075e-07,-5.85946711128e-07,-2.1965644444e-06,0.999999999997
341000000,34,341000000,world,-1.79639288761e-06,2.87933353876e-07,0.624998792105,3.74792830561e-07,-1.27383618856e-06,-1.72085080312e-06,0.999999999998
351000000,35,351000000,world,-6.04821471771e-08,1.56869800695e-06,0.624999576195,-7.4925384464e-07,-4.5792095042e-09,-1.91033657877e-06,0.999999999998
361000000,36,361000000,world,-1.49608019292e-07,-4.982418302e-07,0.624999504906,8.90262920635e-07,-1.40790731187e-08,-1.91377935532e-06,0.999999999998
371000000,37,371000000,world,-2.78390135186e-08,1.59474668107e-06,0.624999559075,-8.01165335641e-07,4.69048597755e-08,-1.82585182061e-06,0.999999999998
381000000,38,381000000,world,1.1418581478e-05,1.44271713358e-07,0.625007050494,3.05425101291e-07,9.11175170228e-06,-1.59752474557e-06,0.999999999957
391000000,39,391000000,world,-1.14078581039e-06,1.05091713816e-06,0.624999539773,-4.81636709434e-07,-1.01383574493e-06,-1.20457800953e-06,0.999999999999
401000000,40,401000000,world,5.27351045911e-07,1.5298247364e-07,0.624999520184,3.05943844472e-07,3.65217164835e-07,-1.25627967349e-06,0.999999999999
411000000,41,411000000,world,4.23030702801e-08,8.02444446609e-07,0.624999818101,-2.30715525628e-07,-1.49460288192e-09,-1.23868079041e-06,0.999999999999
421000000,42,421000000,world,6.15370152293e-07,-9.01801670652e-07,0.624999987741,5.55285106235e-09,1.23057228937e-09,-3.03628298414e-06,0.999999999995
431000000,43,431000000,world,9.87372891279e-07,-9.52596165233e-07,0.625000222526,1.21967660922e-09,2.90906503437e-07,-3.02518268042e-06,0.999999999995
441000000,44,441000000,world,5.85322433467e-07,-7.00064453809e-07,0.625000159454,-2.3259084842e-07,3.57032720263e-09,-2.94863834495e-06,0.999999999996
451000000,45,451000000,world,6.01048611641e-07,-1.01027292457e-06,0.624999990616,-2.39990097953e-09,4.11466079116e-10,-3.0122311401e-06,0.999999999995
461000000,46,461000000,world,6.82536209355e-07,-1.00113691894e-06,0.625000072216,2.98946357302e-09,1.35348329826e-07,-3.02263371543e-06,0.999999999995
471000000,47,471000000,world,5.57024143624e-07,-1.0254286963e-06,0.625000006896,-1.70395062766e-09,-1.54336406746e-08,-3.00453396446e-06,0.999999999995
481000000,48,481000000,world,6.47628022676e-07,-1.20575283818e-06,0.625000833964,9.17266970646e-09,3.3614780915e-08,-3.00373440485e-06,0.999999999995
491000000,49,491000000,world,9.13708577269e-07,-2.59327644891e-06,0.625021610662,5.71076199752e-08,1.08212199251e-07,-2.99342377081e-06,0.999999999996
501000000,50,501000000,world,1.30689473357e-06,-4.22229009101e-06,0.625099367978,3.86484601369e-08,1.9217450557e-07,-2.98357633148e-06,0.999999999996
511000000,51,511000000,world,1.71452733062e-06,-4.70214136652e-06,0.625271278523,-1.7976040957e-07,2.51818011899e-07,-2.9737709194e-06,0.999999999996
521000000,52,521000000,world,2.3448613096e-06,-6.13278423464e-06,0.625573668499,-3.5747921656e-07,3.22373492806e-07,-2.96385347117e-06,0.999999999995
531000000,53,531000000,world,3.1886989785e-06,-8.35733319477e-06,0.626042060198,-5.06403892275e-07,4.12337719747e-07,-2.95371611173e-06,0.999999999995
