%time,field.x,field.y,field.z
255000000,0.0,0.0,3.0
415000000,0.0,0.0,3.0
639000000,0.0,0.0,3.0
879000000,0.0,0.0,3.0
1182000000,0.0,0.0,3.0
1522000000,0.0,0.0,3.0
1799000000,0.0,0.0,3.0
2135000000,0.0,0.0,3.0
2456000000,0.0,0.0,3.0
2689000000,0.0,0.0,3.0
3021000000,0.0,0.0,3.0
3255000000,0.0,0.0,3.0
3479000000,0.0,0.0,3.0
3691000000,0.0,0.0,3.0
3900000000,0.0,0.0,3.0
4154000000,0.0,0.0,3.0
4390000000,0.0,0.0,3.0
4630000000,0.0,0.0,3.0
4890000000,0.0,0.0,3.0
5120000000,0.0,0.0,3.0
5327000000,0.0,0.0,3.0
5548000000,0.0,0.0,3.0
5781000000,0.0,0.0,3.0
6007000000,0.0,0.0,3.0
6221000000,0.0,0.0,3.0
6434000000,0.0,0.0,3.0
6635000000,0.0,0.0,3.0
6841000000,0.0,0.0,3.0
7073000000,0.0,0.0,3.0
7354000000,0.0,0.0,3.0
7557000000,0.0,0.0,3.0
7801000000,0.0,0.0,3.0
8030000000,0.0,0.0,3.0
8233000000,0.0,0.0,3.0
8483000000,0.0,0.0,3.0
8712000000,0.0,0.0,3.0
8922000000,0.0,0.0,3.0
9123000000,0.0,0.0,3.0
9330000000,0.0,0.0,3.0
9569000000,0.0,0.0,3.0
9768000000,0.0,0.0,3.0
9997000000,0.0,0.0,3.0
10204000000,0.0,0.0,3.0
10426000000,0.0,0.0,3.0
10648000000,0.0,0.0,3.0
10850000000,0.0,0.0,3.0
11066000000,0.0,0.0,3.0
11263000000,0.0,0.0,3.0
11501000000,0.0,0.0,3.0
11720000000,0.0,0.0,3.0
11965000000,0.0,0.0,3.0
12252000000,0.0,0.0,3.0
12461000000,0.0,0.0,3.0
12700000000,0.0,0.0,3.0
12905000000,0.0,0.0,3.0
13121000000,0.0,0.0,3.0
13326000000,0.0,0.0,3.0
13524000000,0.0,0.0,3.0
13767000000,0.0,0.0,3.0
13995000000,0.0,0.0,3.0
14194000000,0.0,0.0,3.0
14472000000,0.0,0.0,3.0
14744000000,0.0,0.0,3.0
14968000000,0.0,0.0,3.0
15204000000,0.0,0.0,3.0
15469000000,0.0,0.0,3.0
15704000000,0.0,0.0,3.0
15981000000,0.0,0.0,3.0
16288000000,0.0,0.0,3.0
16567000000,0.0,0.0,3.0
