%time,field.header.seq,field.header.stamp,field.header.frame_id,field.roll,field.pitch,field.jaw,field.roll_dot,field.pitch_dot,field.jaw_dot
41000000,0,41000000,,2.12357143168e-23,-5.71423134947e-23,2.12907977128e-24,0.0,0.0,0.0
126000000,1,126000000,,-1.22333721904e-22,4.2758452203e-22,-9.30290254892e-24,0.0,0.0,0.0
169000000,2,169000000,,1.00441866196e-12,-1.00302004116e-12,-8.02290159763e-14,0.0,0.0,0.0
206000000,3,206000000,,4.34983894593e-06,-5.75173999096e-06,-1.02013973446e-05,0.00465148780495,-0.00645153550431,-0.000176565663423
246000000,4,246000000,,3.77945298169e-07,6.03106514063e-07,-1.17115223475e-05,-0.00329222646542,-0.00457894103602,0.000238864377025
289000000,5,289000000,,-1.76924766038e-06,3.07403453803e-08,-9.78230946203e-06,1.29353039391e-09,-5.7507837381e-10,1.68942845824e-11
329000000,6,329000000,,1.29458283027e-06,-1.50590392423e-06,-1.03865741039e-05,0.00137278530747,-0.00186795508489,-8.24001836008e-05
366000000,7,366000000,,6.20024849241e-08,1.97790967604e-07,-8.43592897581e-06,-9.8922747771e-10,-1.41258305053e-09,5.69184317734e-11
406000000,8,406000000,,3.3213552797e-07,-1.00637209677e-09,-6.48101604384e-06,-3.29291260925e-10,-1.67210388873e-13,8.02516961305e-13
446000000,9,446000000,,-3.47945339207e-10,-2.76684176015e-07,-6.45890168016e-06,3.37458053241e-15,-3.85881673837e-11,2.16292072143e-13
486000000,10,486000000,,5.51503603674e-07,2.23970602065e-07,-6.45827867629e-06,8.62879442919e-14,2.89227572014e-13,2.62782095481e-14
526000000,11,526000000,,3.89716007021e-07,1.13755470466e-06,-6.37784751234e-06,0.0,0.0,0.0
566000000,12,566000000,,-4.41616066382e-07,2.79503001366e-06,-6.26445171292e-06,-7.16029015593e-13,1.40242407531e-12,7.93524859537e-14
606000000,13,606000000,,-1.42349040289e-06,5.38352014701e-06,-6.12776602793e-06,-1.01903489987e-12,2.47179793994e-12,1.19894965809e-13
647000000,14,647000000,,-2.50558355219e-06,8.27915755508e-06,-6.0017814576e-06,-1.67414129434e-12,5.69326270156e-12,2.2647877497e-13
689000000,15,689000000,,-4.00970066039e-06,1.36166272569e-05,-5.80311143494e-06,-2.37984610317e-12,8.08431186577e-12,2.83439179245e-13
726000000,16,726000000,,-5.26135454493e-06,1.86980560102e-05,-5.62108334634e-06,-2.43031701534e-12,8.51361862952e-12,3.05666109828e-13
767000000,17,767000000,,-6.62509364702e-06,2.41806719714e-05,-5.42689349459e-06,-1.45225129665e-12,8.19216049164e-12,3.08699409351e-13
806000000,18,806000000,,-7.84385156294e-06,2.94094206765e-05,-5.23298967892e-06,-1.94586057337e-12,8.41343401198e-12,3.1784183575e-13
846000000,19,846000000,,-8.7734324552e-06,3.44171676261e-05,-5.03342744196e-06,-1.72078063604e-12,7.77073631136e-12,3.14075236088e-13
886000000,20,886000000,,-9.68016320257e-06,3.91939465771e-05,-4.83178291688e-06,-8.73527107852e-13,6.70220606444e-12,2.97465963537e-13
926000000,21,926000000,,-1.03307957033e-05,4.35002293671e-05,-4.63281730845e-06,-1.06127465756e-12,5.90901199499e-12,2.74434690467e-13
966000000,22,966000000,,-1.08570911834e-05,4.7614765208e-05,-4.42104374088e-06,-2.62290514828e-13,4.07520848664e-12,2.32305765336e-13
1006000000,23,1006000000,,-1.1223140973e-05,5.08497832925e-05,-4.21944969276e-06,-3.17304993044e-13,2.73899848115e-12,1.89101840198e-13
1046000000,24,1046000000,,-1.13370169856e-05,5.36601837666e-05,-4.00507815357e-06,4.52126976537e-14,1.23848620161e-12,1.1023626944e-13
1086000000,25,1086000000,,-1.13618707474e-05,5.57094208489e-05,-3.79668676942e-06,2.27371900062e-14,1.06566676056e-12,1.34608592176e-13
1130000000,26,1130000000,,-1.10065511763e-05,5.68607465539e-05,-3.57093858838e-06,1.9402872592e-13,2.15413001022e-13,7.80445722154e-14
1166000000,27,1166000000,,-1.06167626654e-05,5.7114095398e-05,-3.38841527991e-06,0.0,0.0,0.0
1206000000,28,1206000000,,-9.77756826614e-06,5.63134999538e-05,-3.16855880556e-06,5.82449615882e-13,-7.626893366e-13,1.099893695e-13
1248000000,29,1248000000,,-8.6601885414e-06,5.42774214409e-05,-2.95177915177e-06,1.08370929418e-12,-2.36286489506e-12,1.87583265978e-13
1286000000,30,1286000000,,-7.27351698515e-06,5.12671576871e-05,-2.76609921457e-06,2.41647587357e-12,-5.4493839996e-12,2.74678581746e-13
1326000000,31,1326000000,,-5.43633086636e-06,4.66104465886e-05,-2.55898066825e-06,3.58891410514e-12,-9.72217792383e-12,3.6673458324e-13
1366000000,32,1366000000,,-3.00668079944e-06,4.01623947255e-05,-2.35311904362e-06,5.92759218446e-12,-1.65342756847e-11,4.64554718478e-13
1406000000,33,1406000000,,-4.43398278094e-07,3.28712594637e-05,-2.16197804548e-06,8.04574289137e-12,-2.3352788453e-11,5.40489636554e-13
1447000000,34,1447000000,,2.85832948066e-06,2.33758910326e-05,-1.96309338207e-06,1.03156068756e-11,-2.9865616924e-11,6.02242051801e-13
1486000000,35,1486000000,,6.23374990028e-06,1.32397972266e-05,-1.77811568847e-06,1.39446110908e-11,-4.25062936238e-11,7.10196766847e-13
1526000000,36,1526000000,,1.0209147149e-05,1.36014102736e-06,-1.59157900725e-06,1.57197380113e-11,-4.71530037238e-11,7.28526397195e-13
1567000000,37,1567000000,,1.4411994016e-05,-1.16936735139e-05,-1.4083905171e-06,2.04734753456e-11,-6.23735854632e-11,8.30423457863e-13
1608000000,38,1608000000,,1.86543311429e-05,-2.48130745604e-05,-1.23831887322e-06,2.03201500765e-11,-6.36295321987e-11,8.10786767586e-13
1646000000,39,1646000000,,2.35612715187e-05,-4.05647733714e-05,-1.04846060367e-06,2.35024170264e-11,-7.46156122999e-11,8.65139286165e-13
1687000000,40,1687000000,,2.81959801214e-05,-5.53961326659e-05,-8.80882055299e-07,2.35445048874e-11,-7.71915725784e-11,8.53604838723e-13
1728000000,41,1728000000,,3.30018738168e-05,-7.13119734428e-05,-7.10629819878e-07,2.555822394e-11,-8.4162857239e-11,8.81699986459e-13
1772000000,42,1772000000,,3.63623257726e-05,-8.24646413093e-05,-5.90241825194e-07,2.17036666417e-11,-7.27997592764e-11,8.04803218426e-13
1806000000,43,1806000000,,4.20113283326e-05,-0.000102051220892,-3.8065957142e-07,2.35266979509e-11,-8.14727937892e-11,8.330669596e-13
1846000000,44,1846000000,,4.61957024527e-05,-0.000115697228466,-2.39413367353e-07,1.61280277328e-11,-4.87568353746e-11,4.98069630244e-13
1886000000,45,1886000000,,5.0127349823e-05,-0.000125471080537,-1.3477226446e-07,9.56117390122e-12,-1.88878773733e-11,2.15636929428e-13
1927000000,46,1927000000,,5.35580475116e-05,-0.000131132153911,-6.66439703423e-08,4.46019913711e-12,-6.12011136214e-12,7.36326486437e-14
