%time,field0,field1,field2,field3,field4,field5,field6,field7
118000000,3.58732406867e-43,2.80259692865e-45,3.58732406867e-43,2.80259692865e-45,-2.68002104415,-2.68002104415,-1.14284626616e-23,-6.73630429576e-27
119000000,7.13879647135e-16,-3.02851973229e-18,7.14868981617e-16,-3.0556247866e-18,-15.3970574673,-15.3970574673,1.13900912727e-20,6.08052666524e-19
126000000,5.3838627788e-16,-4.86692342207e-18,5.4098158683e-16,-4.89402847639e-18,-20.0,-20.0,3.7986360739e-20,-2.46539335715e-18
169000000,1.95069607898e-12,-5.03205322596e-15,2.23007827534e-12,-5.74665087784e-15,-20.0,-20.0,-2.43464934293e-13,-3.15481703106e-15
210000000,0.00174923932472,-8.55710361859e-06,0.00177598295522,-8.73257199127e-06,-20.0,-20.0,1.6169937187e-07,-0.000277572118174
247000000,-0.00268538638681,8.85300383489e-06,-0.00267305128248,8.59271438526e-06,-15.5530915009,-15.5530774773,1.06082607041e-05,-0.00020102102203
285000000,-0.000484561081485,9.28193674602e-06,-0.000484836670804,8.9775732759e-06,20.0,20.0,1.88799263429e-05,-9.05753839762e-06
332000000,-0.00606996236954,5.70320161226e-05,-0.00607739476033,5.67056914585e-05,20.0,20.0,2.04403731761e-05,-0.000104917781185
378000000,-0.0036674237513,6.12621461906e-05,-0.00362565914146,6.12378785746e-05,20.0,20.0,2.2213731241e-05,-8.19665586505e-05
409000000,-0.00228118666171,6.37099895546e-05,-0.00219484672414,6.38356334136e-05,20.0,20.0,2.21176378627e-05,-0.000102193371062
450000000,-0.00148353753804,6.54409949119e-05,-0.00136985067712,6.55405353251e-05,20.0,20.0,2.17614303875e-05,-0.000112346000506
491000000,-0.000935016927637,6.56499275828e-05,-0.000810335538205,6.56562592534e-05,20.0,20.0,2.16835228482e-05,-0.000113937901543
530000000,-0.000508337663922,6.38204582721e-05,-0.000383681703176,6.37262281596e-05,20.0,20.0,2.18928659917e-05,-0.000113615454897
582000000,-0.000219971847707,6.09581567165e-05,-0.000101223799815,6.07802242381e-05,20.0,20.0,2.24755840756e-05,-0.000114205442383
608000000,-7.68019567062e-05,5.82131710688e-05,3.3736172872e-05,5.7973125891e-05,20.0,20.0,2.36051568171e-05,-0.000115679721375
