%time,field.x,field.y,field.z
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
7000000,0.0,0.0,0.0
410000000,0.0,0.0,0.0
638000000,0.0,0.0,0.0
1076000000,0.0,0.0,0.0
1361000000,0.0,0.0,0.0
1675000000,0.0,0.0,0.0
2016000000,0.0,0.0,0.0
2319000000,0.0,0.0,0.0
2620000000,0.0,0.0,0.0
2982000000,0.0,0.0,0.0
3272000000,0.0,0.0,0.0
3604000000,0.0,0.0,0.0
3879000000,0.0,0.0,0.0
4117000000,0.0,0.0,0.0
4581000000,0.0,0.0,0.0
4857000000,0.0,0.0,0.0
5227000000,0.0,0.0,0.0
5427000000,0.0,0.0,0.0
5743000000,0.0,0.0,0.0
6121000000,0.0,0.0,0.0
6435000000,0.0,0.0,0.0
6720000000,0.0,0.0,0.0
7057000000,0.0,0.0,0.0
7326000000,0.0,0.0,0.0
7677000000,0.0,-0.1,0.0
7983000000,0.0,-0.1,0.0
8382000000,0.0,-0.1,0.0
8644000000,0.0,-0.1,0.0
8962000000,0.0,-0.1,0.0
9228000000,0.0,-0.1,0.0
9571000000,0.0,-0.1,0.0
9813000000,0.0,-0.1,0.0
10059000000,0.0,0.0,0.0
10446000000,0.0,0.0,0.0
10798000000,0.0,0.0,0.0
11024000000,0.0,0.0,0.0
11432000000,0.0,0.0,0.0
11776000000,0.0,0.0,0.0
12111000000,0.0,0.1,0.0
12439000000,0.0,0.1,0.0
12751000000,0.0,0.1,0.0
12937000000,0.0,0.1,0.0
13366000000,0.0,0.1,0.0
13565000000,0.0,0.0,0.0
13857000000,0.0,0.0,0.0
14286000000,0.0,0.0,0.0
14526000000,0.0,0.0,0.0
14878000000,0.0,0.0,0.0
15311000000,0.0,0.0,0.0
15518000000,0.0,0.0,0.0
15798000000,0.0,0.0,0.0
16109000000,0.0,0.0,0.0
16389000000,0.0,0.0,0.0
16759000000,0.0,-0.3,0.0
17068000000,0.0,-0.3,0.0
17397000000,0.0,-0.3,0.0
17738000000,0.0,-0.3,0.0
18086000000,0.0,-0.3,0.0
18377000000,0.0,-0.3,0.0
