%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
118000000,0,118000000,,-1.17006867023e-15,-1.17322519003e-15,-1.17322546752e-15,-1.1700689173e-15
123000000,1,123000000,,-2.35969743957e-15,-2.36165366963e-15,-2.3616538887e-15,-2.35969762823e-15
128000000,2,128000000,,-3.55507475766e-15,-3.55578005574e-15,-3.55608516565e-15,-3.55537988511e-15
174000000,3,174000000,,3.56240244618e-14,3.5699724949e-14,-4.49471536403e-14,-4.50226843817e-14
220000000,4,220000000,,8.62684035202e-05,6.22065517349e-05,-8.62684035314e-05,-6.22065517461e-05
251000000,5,251000000,,9.70381880232e-05,-1.8286884211e-05,-9.70381880357e-05,1.82868841984e-05
329000000,6,329000000,,3.84613285295e-05,-7.3058894288e-06,-3.84613285428e-05,7.30588941556e-06
355000000,7,355000000,,3.08891707757e-05,1.91798301632e-05,-3.08891707892e-05,-1.91798301767e-05
386000000,8,386000000,,1.97363165119e-05,9.99682942141e-06,-1.97363165257e-05,-9.9968294352e-06
412000000,9,412000000,,1.75657323784e-05,5.63745422386e-06,-1.75657323924e-05,-5.6374542379e-06
457000000,10,457000000,,1.71166205411e-05,3.74462708783e-06,-1.71166205552e-05,-3.74462710189e-06
501000000,11,501000000,,1.59470766178e-05,3.29902744095e-06,-1.59470766317e-05,-3.29902745486e-06
545000000,12,545000000,,1.42552133483e-05,3.29522917664e-06,-1.42552133619e-05,-3.29522919023e-06
582000000,13,582000000,,1.25798847398e-05,3.29353258105e-06,-1.2579884753e-05,-3.29353259419e-06
619000000,14,619000000,,1.12249385002e-05,3.20119490517e-06,-1.12249385128e-05,-3.20119491773e-06
652000000,15,652000000,,9.97146478608e-06,3.02552163222e-06,-9.97146479804e-06,-3.02552164417e-06
692000000,16,692000000,,9.37003382385e-06,2.83687140332e-06,-9.37003383516e-06,-2.83687141463e-06
731000000,17,731000000,,8.7762396811e-06,2.64583651633e-06,-8.77623969174e-06,-2.64583652697e-06
777000000,18,777000000,,8.1627719551e-06,2.45401593322e-06,-8.16277196514e-06,-2.45401594326e-06
820000000,19,820000000,,7.53009817157e-06,2.26607630445e-06,-7.53009818108e-06,-2.26607631396e-06
882000000,20,882000000,,6.87592579327e-06,2.0879194613e-06,-6.87592580241e-06,-2.08791947044e-06
909000000,21,909000000,,6.08598210489e-06,1.8784001212e-06,-6.08598211379e-06,-1.8784001301e-06
946000000,22,946000000,,5.46475601908e-06,1.72553204442e-06,-5.46475602787e-06,-1.7255320532e-06
1006000000,23,1006000000,,4.77569204478e-06,1.5641026505e-06,-4.77569205359e-06,-1.56410265931e-06
1025000000,24,1025000000,,3.96573566029e-06,1.37740344744e-06,-3.96573566925e-06,-1.37740345639e-06
1058000000,25,1058000000,,3.29217292348e-06,1.23566571227e-06,-3.29217293267e-06,-1.23566572145e-06
1115000000,26,1115000000,,2.55311325896e-06,1.09430736772e-06,-2.55311326844e-06,-1.0943073772e-06
1151000000,27,1151000000,,1.82148218872e-06,9.6274844861e-07,-1.82148219854e-06,-9.62748458425e-07
1183000000,28,1183000000,,1.1236558859e-06,8.39719835847e-07,-1.12365589597e-06,-8.39719845918e-07
1228000000,29,1228000000,,4.77090838077e-07,7.41098402881e-07,-4.77090848317e-07,-7.41098413117e-07
1254000000,30,1254000000,,-1.05581093035e-07,6.67409009623e-07,1.05581082684e-07,-6.67409019969e-07
1311000000,31,1311000000,,-6.09180138134e-07,6.20364293469e-07,6.09180127709e-07,-6.2036430389e-07
1342000000,32,1342000000,,-1.00662820419e-06,6.10029441225e-07,1.00662819372e-06,-6.10029451682e-07
1381000000,33,1381000000,,-1.26576902975e-06,6.48618436729e-07,1.26576901928e-06,-6.48618447201e-07
1424000000,34,1424000000,,-1.40264151766e-06,7.25981195861e-07,1.40264150718e-06,-7.2598120633e-07
1467000000,35,1467000000,,-1.36166009593e-06,8.64716089057e-07,1.36166008546e-06,-8.6471609953e-07
1501000000,36,1501000000,,-1.16934212765e-06,1.05087988472e-06,1.16934211716e-06,-1.0508798952e-06
1528000000,37,1528000000,,-7.8860234399e-07,1.30011022876e-06,7.88602333477e-07,-1.30011023927e-06
1588000000,38,1588000000,,-2.18345650039e-07,1.60735029524e-06,2.18345639473e-07,-1.60735030581e-06
1634000000,39,1634000000,,5.2484874545e-07,1.972095353e-06,-5.248487561e-07,-1.97209536364e-06
1659000000,40,1659000000,,1.70425796274e-06,2.48129112303e-06,-1.7042579735e-06,-2.48129113379e-06
1700000000,41,1700000000,,2.73313893932e-06,2.92392787996e-06,-2.73313895023e-06,-2.92392789087e-06
1755000000,42,1755000000,,4.03762181838e-06,3.45150449952e-06,-4.03762182947e-06,-3.4515045106e-06
1788000000,43,1788000000,,5.56811561562e-06,4.07815431557e-06,-5.5681156269e-06,-4.07815432685e-06
1807000000,44,1807000000,,7.20890917651e-06,4.70532221704e-06,-7.20890918799e-06,-4.70532222851e-06
1852000000,45,1852000000,,5.40227070792e-06,5.364306845e-06,-5.4022707196e-06,-5.36430685667e-06
1900000000,46,1900000000,,6.37991376702e-06,6.07339333523e-06,-6.37991377888e-06,-6.07339334708e-06
1936000000,47,1936000000,,8.26380787164e-06,6.81223038863e-06,-8.26380788367e-06,-6.81223040065e-06
1983000000,48,1983000000,,1.02341402023e-05,7.56020253643e-06,-1.02341402144e-05,-7.5602025486e-06
2015000000,49,2015000000,,1.20828038793e-05,8.29659950809e-06,-1.20828038916e-05,-8.29659952039e-06
2051000000,50,2051000000,,1.37803920018e-05,9.01094492643e-06,-1.37803920142e-05,-9.01094493886e-06
2086000000,51,2086000000,,1.53043377273e-05,9.67853537531e-06,-1.53043377398e-05,-9.67853538787e-06
2137000000,52,2137000000,,1.66545947567e-05,1.0292973858e-05,-1.66545947694e-05,-1.02929738707e-05
2175000000,53,2175000000,,1.77981694828e-05,1.08210907975e-05,-1.77981694956e-05,-1.08210908103e-05
2237000000,54,2237000000,,1.86898434544e-05,1.12505202788e-05,-1.86898434673e-05,-1.12505202917e-05
2259000000,55,2259000000,,1.93243139471e-05,1.15606566281e-05,-1.93243139601e-05,-1.1560656641e-05
2305000000,56,2305000000,,1.95853995039e-05,1.17176368072e-05,-1.9585399517e-05,-1.17176368203e-05
2328000000,57,2328000000,,1.9505062292e-05,1.17161253791e-05,-1.95050623052e-05,-1.17161253923e-05
2381000000,58,2381000000,,1.91241569309e-05,1.15588991145e-05,-1.91241569442e-05,-1.15588991277e-05
2429000000,59,2429000000,,1.8309725534e-05,1.11873258667e-05,-1.83097255474e-05,-1.118732588e-05
