%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
126000000,0,126000000,,427.0,427.0,427.0,427.0
206000000,1,206000000,,777.103062715,776.896937285,777.103062715,776.896937285
329000000,2,329000000,,389.966381018,390.116277122,389.964187922,390.116754624
406000000,3,406000000,,650.313681294,650.290751342,650.31055526,650.291164085
526000000,4,526000000,,647.574553156,647.572443749,647.571147552,647.572808403
606000000,5,606000000,,572.019286446,572.017085663,572.015735911,572.017450329
726000000,6,726000000,,445.148226369,445.145999874,445.144653788,445.146365454
806000000,7,806000000,,316.004217368,316.001991698,316.000647202,316.002358042
926000000,8,926000000,,300.989303064,300.987078895,300.985737052,300.987446391
1006000000,9,1006000000,,337.988640024,337.986434903,337.985130787,337.986803027
1130000000,10,1130000000,,504.395726229,504.393566268,504.392315556,504.393935332
1206000000,11,1206000000,,467.77580522,467.773705715,467.772524537,467.774075288
1326000000,12,1326000000,,452.698420606,452.69639358,452.695288438,452.696763593
1406000000,13,1406000000,,421.193471019,421.191518967,421.190488945,421.191888922
1526000000,14,1526000000,,390.882216416,390.880335458,390.879372022,390.880704609
1608000000,15,1608000000,,381.978624202,381.976798005,381.975876289,381.977166043
1728000000,16,1728000000,,403.640529419,403.638723201,403.637797217,403.639088606
1806000000,17,1806000000,,418.622672505,418.620865292,418.619890462,418.621182161
1927000000,18,1927000000,,433.784532013,433.782747863,433.781733622,433.782981748
2006000000,19,2006000000,,421.351456039,421.349695016,421.348571079,421.349812973
2126000000,20,2126000000,,436.162207234,436.160437901,436.159145597,436.160409757
2206000000,21,2206000000,,409.80506029,409.803265201,409.801782448,409.803077454
2326000000,22,2326000000,,420.985832349,420.984005252,420.982326677,420.983655314
2406000000,23,2406000000,,403.379438058,403.377583768,403.375741713,403.377092299
2527000000,24,2527000000,,424.864538066,424.862671227,424.860719284,424.862074513
2606000000,25,2606000000,,428.085245843,428.083377914,428.081407987,428.082761085
2727000000,26,2727000000,,426.866986003,426.865150269,426.863297016,426.864589755
2849000000,27,2849000000,,450.206886275,450.205137145,450.203587859,450.204768266
2926000000,28,2926000000,,399.385099631,399.38346315,399.382292452,399.383358503
3009000000,29,3009000000,,443.078278676,443.076769098,443.07640274,443.077328814
3126000000,30,3126000000,,418.587195465,418.585832927,418.586572404,418.58734433
3206000000,31,3206000000,,430.643441101,430.642222343,430.644188816,430.644824992
3326000000,32,3326000000,,417.179518679,417.178409239,417.181688035,417.182238637
3408000000,33,3408000000,,427.101869713,427.100818141,427.105325031,427.105844385
3527000000,34,3527000000,,427.480708946,427.477089983,427.484586592,427.482823403
3606000000,35,3606000000,,449.461286753,449.458767523,449.464501562,449.464342326
3726000000,36,3726000000,,435.99981479,435.995661505,436.002147571,436.000578347
3808000000,37,3808000000,,416.318060154,416.319428504,416.320003728,416.324120492
3926000000,38,3926000000,,422.891339616,422.889648709,422.892899494,422.894054281
4006000000,39,4006000000,,430.209411191,430.207728211,430.210471654,430.211571666
4126000000,40,4126000000,,432.943382785,432.941830458,432.943853015,432.944753548
4206000000,41,4206000000,,430.408109711,430.406812158,430.407987381,430.408576866
4326000000,42,4326000000,,437.359564997,437.35864641,437.358911449,437.359062528
4408000000,43,4408000000,,439.071923522,439.064326728,439.071801425,439.064020394
4528000000,44,4528000000,,432.850281621,432.847569897,432.851226047,432.847169251
4606000000,45,4606000000,,422.758809826,422.75667153,422.760790046,422.756819817
4726000000,46,4726000000,,417.839252304,417.837176012,417.841930981,417.838249634
4806000000,47,4806000000,,437.421956917,437.427737964,437.425316741,437.429124363
4927000000,48,4927000000,,435.888908702,435.889653806,435.892769446,435.891278529
5006000000,49,5006000000,,435.685304345,435.686054068,435.689531478,435.688119525
5132000000,50,5132000000,,427.516378083,427.51692767,427.520809596,427.519702082
5206000000,51,5206000000,,435.064008076,435.064073393,435.068319857,435.067881281
5326000000,52,5326000000,,431.729398045,431.728617033,431.733144148,431.733715556
5408000000,53,5408000000,,429.13057074,429.121442627,429.132687424,429.127167139
5539000000,54,5539000000,,426.781539499,426.775731456,426.781825507,426.781422738
5606000000,55,5606000000,,445.529124051,445.523216569,445.528179136,445.528310656
5726000000,56,5726000000,,421.607713192,421.601968948,421.606253453,421.606159937
5806000000,57,5806000000,,427.229653161,427.224358453,427.228121664,427.227556119
5926000000,58,5926000000,,430.138598391,430.133827812,430.137341456,430.136054848
6007000000,59,6007000000,,433.743764984,433.746825063,433.742436474,433.748294304
6126000000,60,6126000000,,440.774815995,440.773154942,440.773236381,440.773893617
6206000000,61,6206000000,,412.830786156,412.821969219,412.82922516,412.821954999
6326000000,62,6326000000,,438.673401567,438.67025968,438.673230761,438.670256576
6409000000,63,6409000000,,437.890626913,437.895455968,437.891857053,437.895329688
6526000000,64,6526000000,,448.270108188,448.270917517,448.272766747,448.270592782
6606000000,65,6606000000,,436.501467733,436.495436349,436.505634938,436.494991737
6726000000,66,6726000000,,429.041088949,429.040991202,429.045732664,429.041680234
6808000000,67,6808000000,,424.268353818,424.266946591,424.272857909,424.269086496
6927000000,68,6927000000,,426.609665421,426.607200365,426.613757442,426.610581394
7006000000,69,7006000000,,424.544170465,424.548240317,424.548248158,424.552672294
