%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
118000000,1,118000000,,427.0,427.0,427.0,427.0
200000000,2,200000000,,777.103062715,776.896937285,777.103062715,776.896937285
300000000,3,300000000,,389.966342556,390.116284427,389.964226384,390.116747318
400000000,4,400000000,,650.313661558,650.290741345,650.310574997,650.291174082
500000000,5,500000000,,647.574537209,647.57244045,647.571163499,647.572811702
601000000,6,601000000,,572.019273866,572.01708237,572.01574849,572.017453622
700000000,7,700000000,,445.148216999,445.145997037,445.144663158,445.14636829
800000000,8,800000000,,316.004209205,316.001989243,316.000655364,316.002360496
901000000,9,901000000,,300.989296978,300.987077017,300.985743138,300.98744827
1004000000,10,1004000000,,337.988635248,337.986433338,337.985135563,337.986804591
1100000000,11,1100000000,,504.395723676,504.393565174,504.392318109,504.393936426
1200000000,12,1200000000,,467.775804097,467.773704875,467.772525661,467.774076128
1300000000,13,1300000000,,452.698421215,452.69639296,452.695287829,452.696764213
1400000000,14,1400000000,,421.193472285,421.191518318,421.190487679,421.191889571
1500000000,15,1500000000,,390.882217586,390.880334407,390.879370853,390.88070566
1600000000,16,1600000000,,381.97862442,381.976796398,381.975876071,381.977167651
1700000000,17,1700000000,,403.640526686,403.638720277,403.637799951,403.63909153
1800000000,18,1800000000,,418.622666937,418.620861213,418.61989603,418.621186239
1900000000,19,1900000000,,433.784525633,433.78274179,433.781740002,433.782987821
2001000000,20,2001000000,,421.351445805,421.349687456,421.348581313,421.349820533
2100000000,21,2100000000,,436.16219193,436.160428223,436.159160902,436.160419436
2200000000,22,2200000000,,409.805042492,409.80325438,409.801800247,409.803088275
2300000000,23,2300000000,,420.985812763,420.983993535,420.982346262,420.983667032
2400000000,24,2400000000,,403.379418934,403.377572209,403.375760837,403.377103858
2500000000,25,2500000000,,424.864522443,424.862661373,424.860734908,424.862084367
2600000000,26,2600000000,,428.085234749,428.083370459,428.081419081,428.08276854
2703000000,27,2703000000,,426.866984161,426.865148037,426.863298858,426.864591987
2815000000,28,2815000000,,450.206895718,450.205141653,450.203578415,450.204763758
2906000000,29,2906000000,,399.385117898,399.383473328,399.382274185,399.383348325
3000000000,30,3000000000,,443.078317236,443.076796941,443.07636418,443.077300971
