%time,field.layout.data_offset,field.data0,field.data1
41000000,0,-429.95943108,-429.95943108
124000000,0,-429.95943108,-429.95943108
151000000,0,-397.130110987,-397.130110987
204000000,0,-320.557316559,-320.557316559
247000000,0,-228.943753825,-228.943753826
284000000,0,-143.764882309,-143.764882342
327000000,0,-62.8989445258,-62.8989445257
360000000,0,-58.48364345,-58.4833569448
405000000,0,-55.7499894594,-55.749421042
447000000,0,-15.7623591698,-15.7614102584
490000000,0,19.1484992805,19.1497700929
529000000,0,47.5204273194,47.5219597397
562000000,0,73.295060998,73.2968719588
607000000,0,94.6331748327,94.6352215714
647000000,0,101.5653895,101.567620148
685000000,0,108.504936739,108.507393596
727000000,0,113.465714912,113.468333476
768000000,0,99.8999601999,99.9027228411
806000000,0,87.3743601968,87.3772425926
848000000,0,58.4899294493,58.4929135524
891000000,0,32.9923160828,32.9953868392
921000000,0,11.7665802133,11.7697231048
960000000,0,-8.40697662431,-8.40377257401
986000000,0,-27.0521570936,-27.0488970673
1049000000,0,-36.7776670239,-36.7743699564
1085000000,0,-44.9388320462,-44.9355036082
1124000000,0,-52.3714156667,-52.3680586588
1166000000,0,-36.9674594936,-36.9640947865
1202000000,0,-20.4962267759,-20.4928552725
1241000000,0,-10.4657675847,-10.4624085358
1284000000,0,-3.82409856032,-3.82075029217
1328000000,0,2.47385897488,2.47719702031
1368000000,0,5.62482568029,5.62813481319
1410000000,0,8.03768173978,8.04096591861
1447000000,0,5.86815227226,5.87139177861
1487000000,0,3.70396697306,3.707168416
1526000000,0,1.90236984943,1.90553960705
1562000000,0,-3.94967266375,-3.94655007108
1597000000,0,-9.02393409262,-9.02085168303
1609000000,0,-14.0552588646,-14.0522174164
1685000000,0,-18.9558893574,-18.9528903077
1725000000,0,-23.24781003,-23.2448481126
1755000000,0,-26.0449172133,-26.0419794954
1806000000,0,-27.2710347429,-27.2681327509
1846000000,0,-25.1669266471,-25.2162481369
1886000000,0,-23.2171032232,-23.2590775042
1923000000,0,-21.3802836656,-21.4153365527
1965000000,0,-17.8098996295,-17.8393561383
1998000000,0,-14.61144413,-14.6361315516
2026000000,0,-13.6615132124,-13.6820303856
2085000000,0,-12.931992716,-12.9491296661
2123000000,0,-12.322662406,-12.3369760322
2167000000,0,-10.0340110801,-10.0457026786
2205000000,0,-7.63375395219,-7.64326419353
2247000000,0,-5.95969350446,-5.96729871657
2284000000,0,-8.05894935137,-8.0649454368
2325000000,0,-9.80649531089,-9.81115186255
2369000000,0,-9.84444063876,-9.84794937784
2402000000,0,-9.71324915894,-9.71569691215
2445000000,0,-12.0871403605,-12.0886809758
2487000000,0,-14.3289761193,-14.3297068585
2525000000,0,-16.1409115388,-16.1409877063
2565000000,0,-14.803542423,-14.8030443805
2606000000,0,-13.3686228835,-13.3676338494
2646000000,0,-11.7199554247,-11.7185549696
2684000000,0,-10.2312845648,-10.2295154339
2727000000,0,-8.96778716344,-8.96570512211
2765000000,0,-8.00545893136,-8.00313082085
2815000000,0,-7.64617601095,-7.64374830642
2849000000,0,-6.61851250156,-6.61579992611
2886000000,0,-4.5246892743,-4.52187288307
2923000000,0,-0.862461595067,-0.859573933387
2970000000,0,-4.73314588202,-4.90523605208
3010000000,0,-8.81703503892,-8.96148778516
3044000000,0,-5.87451457141,-5.99833005281
3084000000,0,-3.13136898281,-3.23702949401
3124000000,0,-0.728950835457,-0.818711415341
3165000000,0,-2.21907615363,-2.295468672
