%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1000000,0,1000000,world,0.0,0.0,0.74,0.0,0.0,0.0,1.0
11000000,1,11000000,world,-1.07738277069e-27,-1.09807001825e-27,0.739461,-5.3725141903e-27,4.12735521657e-27,1.15199516752e-27,1.0
21000000,2,21000000,world,1.63692024856e-24,1.51811157212e-24,0.737942,1.20292517363e-23,-1.19965837191e-23,-1.854574052e-24,1.0
31000000,3,31000000,world,-4.38394968409e-25,-6.00545634499e-25,0.735443,7.22102059036e-24,-1.67577970031e-23,7.60542676413e-25,1.0
41000000,4,41000000,world,-1.4288227372e-24,-1.79321964477e-24,0.731964,3.00119168489e-24,-2.37804484207e-23,1.87282292978e-24,1.0
51000000,5,51000000,world,-2.69206115799e-25,-7.55861801429e-25,0.727505,1.38393085235e-24,-2.25640175756e-23,9.00100114244e-26,1.0
61000000,6,61000000,world,4.36934927905e-25,3.89341348587e-26,0.722066,5.0410970436e-24,-1.98350052118e-23,-1.05020053119e-24,1.0
71000000,7,71000000,world,-1.86791788946e-24,-1.93013297106e-24,0.715647,-1.20644535193e-23,5.77375623005e-24,1.31598182171e-24,1.0
81000000,8,81000000,world,7.48519303337e-25,9.83142948158e-25,0.708248,-1.0824931521e-23,2.74627787874e-23,-2.20480911062e-24,1.0
101000000,10,101000000,world,2.35839674353e-24,4.0055428591e-24,0.69051,-3.32832026127e-23,1.17540461049e-22,-4.32512836904e-24,1.0
111000000,11,111000000,world,1.85735667253e-24,4.2854929649e-24,0.680171,-4.75719339489e-23,1.6305735749e-22,-3.03485205137e-24,1.0
121000000,12,121000000,world,2.83172823233e-24,5.97049740872e-24,0.668852,-6.41019866264e-23,2.1112063484e-22,-3.28875491333e-24,1.0
131000000,13,131000000,world,-3.7891259141e-19,3.78801971743e-19,0.656553,-7.6826874808e-20,-7.34092352726e-20,-3.54013837791e-24,1.0
141000000,14,141000000,world,1.90663111244e-14,1.79796769666e-14,0.643274123389,1.37817320166e-13,-1.24172810298e-13,-2.22891493804e-14,1.0
151000000,15,151000000,world,3.29705891827e-14,3.01461320114e-14,0.629016941796,4.92851638917e-13,-4.92210708487e-13,-3.7169093585e-14,1.0
161000000,16,161000000,world,-1.63756374595e-06,5.17784818739e-08,0.624998110512,-1.17348828402e-06,-1.57814083739e-06,-3.1979697048e-07,0.999999999998
171000000,17,171000000,world,3.75504720686e-06,2.07266699249e-06,0.624996439269,-2.239108923e-06,2.89424043033e-06,-1.01828895158e-06,0.999999999993
181000000,18,181000000,world,-3.39429267871e-06,-3.6306080497e-06,0.624996389781,2.22604555949e-06,-2.97656444269e-06,-2.28295011049e-06,0.99999999999
191000000,19,191000000,world,4.54031764089e-06,1.0738763869e-06,0.624996320642,-2.26842019366e-06,3.08547621197e-06,-3.70348065769e-06,0.999999999986
201000000,20,201000000,world,-2.76442920287e-06,-4.46202736225e-06,0.624996475176,2.19393023271e-06,-2.91566587733e-06,-4.84171116197e-06,0.999999999982
211000000,21,211000000,world,4.98165615848e-06,1.03005328367e-07,0.624996423179,-2.24747232556e-06,3.00781763853e-06,-6.17940168444e-06,0.999999999974
221000000,22,221000000,world,-2.0281006725e-06,-5.18947765913e-06,0.624996671804,2.09496640443e-06,-2.75289747153e-06,-7.23682830936e-06,0.999999999968
231000000,23,231000000,world,4.96118798144e-06,-4.96913317169e-06,0.624996851735,1.68094500022e-06,2.79088317002e-06,-7.08792147965e-06,0.99999999997
241000000,24,241000000,world,-1.82295557756e-06,-1.15733451086e-06,0.624997039785,-1.91131290971e-06,-2.44222288514e-06,-5.89940545443e-06,0.999999999978
251000000,25,251000000,world,4.23932251037e-06,-5.56385002449e-06,0.624997044824,1.76323242672e-06,2.51190471056e-06,-5.03173645364e-06,0.999999999983
261000000,26,261000000,world,-1.74985180945e-06,-1.89647473272e-06,0.624997419095,-1.64770404576e-06,-2.1304747504e-06,-4.15870420699e-06,0.999999999988
271000000,27,271000000,world,2.4450685424e-06,-5.00647189584e-06,0.624998223855,9.44500297332e-07,1.32861590206e-06,-4.52076599928e-06,0.999999999988
281000000,28,281000000,world,-1.05010635829e-06,-5.09457519271e-06,0.624998119878,1.13062828589e-06,-1.56624269457e-06,-4.84685914414e-06,0.999999999986
291000000,29,291000000,world,1.03814289174e-06,-5.13899224224e-06,0.624999352822,1.16792811111e-06,1.26596153132e-08,-4.71901668422e-06,0.999999999988
301000000,30,301000000,world,9.06044042103e-07,-2.00359359553e-06,0.624999321786,-1.27818869928e-06,-1.67613979434e-07,-4.69425844034e-06,0.999999999988
311000000,31,311000000,world,2.73874419154e-06,-2.8779202343e-06,0.624998482488,-6.78484845396e-07,1.40672205645e-06,-4.90552910861e-06,0.999999999987
321000000,32,321000000,world,1.00523589333e-07,-3.64885587296e-06,0.624999439651,3.63228250275e-09,-6.9022168574e-07,-4.96601801818e-06,0.999999999987
331000000,33,331000000,world,3.21048949092e-06,-3.24554738772e-06,0.624998786617,-1.96125296847e-07,1.69130117105e-06,-5.03405231264e-06,0.999999999986
341000000,34,341000000,world,1.13663327013e-06,-3.5012011784e-06,0.624999989307,1.95945359357e-09,1.47800094563e-08,-5.00494317383e-06,0.999999999987
351000000,35,351000000,world,1.02139475272e-06,-3.43338122426e-06,0.625000022312,-2.69086360621e-08,-4.57955629008e-08,-4.62402956997e-06,0.999999999989
361000000,36,361000000,world,1.1129273334e-06,-3.71244007746e-06,0.625000096664,2.26100742979e-09,1.3808517689e-07,-4.26303422955e-06,0.999999999991
371000000,37,371000000,world,7.89843147141e-07,-3.62275687224e-06,0.625000057492,-3.36467186619e-08,-7.88467195297e-08,-3.88131026937e-06,0.999999999992
381000000,38,381000000,world,9.4806615418e-07,-3.76515183046e-06,0.625000019759,1.3632912825e-08,4.38427656047e-08,-3.50457895582e-06,0.999999999994
391000000,39,391000000,world,8.82381802154e-07,-3.5719705787e-06,0.625000010681,-1.12999996157e-08,-4.65999839313e-08,-3.28140174006e-06,0.999999999995
401000000,40,401000000,world,9.06617379489e-07,-3.83762401841e-06,0.625000112346,1.60403591732e-07,-7.76341435264e-09,-3.22357023482e-06,0.999999999995
411000000,41,411000000,world,8.91843303062e-07,-3.36286547971e-06,0.625000149211,-2.12897145333e-07,2.81061440508e-09,-3.24106545702e-06,0.999999999995
421000000,42,421000000,world,8.89505475092e-07,-3.63309033955e-06,0.624999990709,4.1367702063e-10,2.59210282241e-09,-3.24669440272e-06,0.999999999995
431000000,43,431000000,world,1.50206280082e-06,-3.80405054635e-06,0.624999478345,1.05562337787e-07,5.45487710043e-07,-3.23461729608e-06,0.999999999995
441000000,44,441000000,world,3.56222136464e-07,-3.66195663555e-06,0.624999673029,-6.11542143913e-09,-3.96349957706e-07,-3.22406933805e-06,0.999999999995
451000000,45,451000000,world,8.03905277234e-07,-3.66589041462e-06,0.624999991391,-1.18102195646e-08,1.5034509147e-08,-3.22667733412e-06,0.999999999995
461000000,46,461000000,world,7.92552582974e-07,-3.47963367065e-06,0.625000163495,-1.53383528198e-07,2.17840558957e-09,-3.24600824185e-06,0.999999999995
471000000,47,471000000,world,4.18442186561e-07,-3.91893341301e-06,0.625001797278,1.87956318678e-07,1.55946775962e-08,-3.24238156171e-06,0.999999999995
481000000,48,481000000,world,-1.4152888991e-06,-4.06975940784e-06,0.625025381877,2.578786623e-07,6.51206175835e-08,-3.23354526046e-06,0.999999999995
491000000,49,491000000,world,-4.72797590671e-06,-4.21232003338e-06,0.625108365036,2.85588251044e-07,1.58377356644e-07,-3.22462160807e-06,0.999999999995
501000000,50,501000000,world,-9.38351714121e-06,-4.36441359799e-06,0.625288691701,2.85150638146e-07,2.43770104238e-07,-3.2149714052e-06,0.999999999995
511000000,51,511000000,world,-1.47372028941e-05,-4.36407036092e-06,0.625603454755,2.50844844105e-07,3.79464029472e-07,-3.20440651559e-06,0.999999999995
521000000,52,521000000,world,-2.10699677838e-05,-4.36499551771e-06,0.626088882252,2.06190151648e-07,5.25729083162e-07,-3.1926456705e-06,0.999999999995
531000000,53,531000000,world,-2.83876912103e-05,-4.42146561936e-06,0.626780326909,1.63591089528e-07,6.66858135412e-07,-3.18004284359e-06,0.999999999995
541000000,54,541000000,world,-3.65697077104e-05,-4.5404664556e-06,0.627712104489,8.75428824087e-08,8.02908731574e-07,-3.16692462523e-06,0.999999999995
