%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1000000,0,1000000,world,0.0,0.0,0.74
11000000,1,11000000,world,-1.07738277069e-27,-1.09807001825e-27,0.739461
21000000,2,21000000,world,1.63692024856e-24,1.51811157212e-24,0.737942
31000000,3,31000000,world,-4.38394968409e-25,-6.00545634499e-25,0.735443
41000000,4,41000000,world,-1.4288227372e-24,-1.79321964477e-24,0.731964
51000000,5,51000000,world,-2.69206115799e-25,-7.55861801429e-25,0.727505
61000000,6,61000000,world,4.36934927905e-25,3.89341348587e-26,0.722066
71000000,7,71000000,world,-1.86791788946e-24,-1.93013297106e-24,0.715647
81000000,8,81000000,world,7.48519303337e-25,9.83142948158e-25,0.708248
101000000,10,101000000,world,2.35839674353e-24,4.0055428591e-24,0.69051
111000000,11,111000000,world,1.85735667253e-24,4.2854929649e-24,0.680171
121000000,12,121000000,world,2.83172823233e-24,5.97049740872e-24,0.668852
131000000,13,131000000,world,-3.7891259141e-19,3.78801971743e-19,0.656553
141000000,14,141000000,world,1.90663111244e-14,1.79796769666e-14,0.643274123389
151000000,15,151000000,world,3.29705891827e-14,3.01461320114e-14,0.629016941796
161000000,16,161000000,world,-1.63756374595e-06,5.17784818739e-08,0.624998110512
171000000,17,171000000,world,3.75504720686e-06,2.07266699249e-06,0.624996439269
181000000,18,181000000,world,-3.39429267871e-06,-3.6306080497e-06,0.624996389781
191000000,19,191000000,world,4.54031764089e-06,1.0738763869e-06,0.624996320642
201000000,20,201000000,world,-2.76442920287e-06,-4.46202736225e-06,0.624996475176
211000000,21,211000000,world,4.98165615848e-06,1.03005328367e-07,0.624996423179
221000000,22,221000000,world,-2.0281006725e-06,-5.18947765913e-06,0.624996671804
231000000,23,231000000,world,4.96118798144e-06,-4.96913317169e-06,0.624996851735
241000000,24,241000000,world,-1.82295557756e-06,-1.15733451086e-06,0.624997039785
251000000,25,251000000,world,4.23932251037e-06,-5.56385002449e-06,0.624997044824
261000000,26,261000000,world,-1.74985180945e-06,-1.89647473272e-06,0.624997419095
271000000,27,271000000,world,2.4450685424e-06,-5.00647189584e-06,0.624998223855
281000000,28,281000000,world,-1.05010635829e-06,-5.09457519271e-06,0.624998119878
291000000,29,291000000,world,1.03814289174e-06,-5.13899224224e-06,0.624999352822
301000000,30,301000000,world,9.06044042103e-07,-2.00359359553e-06,0.624999321786
311000000,31,311000000,world,2.73874419154e-06,-2.8779202343e-06,0.624998482488
321000000,32,321000000,world,1.00523589333e-07,-3.64885587296e-06,0.624999439651
331000000,33,331000000,world,3.21048949092e-06,-3.24554738772e-06,0.624998786617
341000000,34,341000000,world,1.13663327013e-06,-3.5012011784e-06,0.624999989307
351000000,35,351000000,world,1.02139475272e-06,-3.43338122426e-06,0.625000022312
361000000,36,361000000,world,1.1129273334e-06,-3.71244007746e-06,0.625000096664
371000000,37,371000000,world,7.89843147141e-07,-3.62275687224e-06,0.625000057492
381000000,38,381000000,world,9.4806615418e-07,-3.76515183046e-06,0.625000019759
391000000,39,391000000,world,8.82381802154e-07,-3.5719705787e-06,0.625000010681
401000000,40,401000000,world,9.06617379489e-07,-3.83762401841e-06,0.625000112346
411000000,41,411000000,world,8.91843303062e-07,-3.36286547971e-06,0.625000149211
421000000,42,421000000,world,8.89505475092e-07,-3.63309033955e-06,0.624999990709
431000000,43,431000000,world,1.50206280082e-06,-3.80405054635e-06,0.624999478345
441000000,44,441000000,world,3.56222136464e-07,-3.66195663555e-06,0.624999673029
451000000,45,451000000,world,8.03905277234e-07,-3.66589041462e-06,0.624999991391
461000000,46,461000000,world,7.92552582974e-07,-3.47963367065e-06,0.625000163495
471000000,47,471000000,world,4.18442186561e-07,-3.91893341301e-06,0.625001797278
481000000,48,481000000,world,-1.4152888991e-06,-4.06975940784e-06,0.625025381877
491000000,49,491000000,world,-4.72797590671e-06,-4.21232003338e-06,0.625108365036
501000000,50,501000000,world,-9.38351714121e-06,-4.36441359799e-06,0.625288691701
511000000,51,511000000,world,-1.47372028941e-05,-4.36407036092e-06,0.625603454755
521000000,52,521000000,world,-2.10699677838e-05,-4.36499551771e-06,0.626088882252
531000000,53,531000000,world,-2.83876912103e-05,-4.42146561936e-06,0.626780326909
541000000,54,541000000,world,-3.65697077104e-05,-4.5404664556e-06,0.627712104489
551000000,55,551000000,world,-4.51483558248e-05,-4.72335733034e-06,0.628917300246
561000000,56,561000000,world,-5.38738710257e-05,-4.96953457918e-06,0.630428073356
571000000,57,571000000,world,-6.31984355907e-05,-5.28141684459e-06,0.632275705913
581000000,58,581000000,world,-7.30371306788e-05,-5.65652073458e-06,0.634490607798
591000000,59,591000000,world,-8.27180137275e-05,-6.08866255739e-06,0.637102323619
601000000,60,601000000,world,-9.25493333317e-05,-6.57639292911e-06,0.640139541494
611000000,61,611000000,world,-0.000102734036851,-7.11723384667e-06,0.643630086669
621000000,62,621000000,world,-0.000113218435727,-7.70554135517e-06,0.647596278609
631000000,63,631000000,world,-0.000123951289196,-8.3356831082e-06,0.652049330636
641000000,64,641000000,world,-0.000134288500254,-8.96125769059e-06,0.656998690333
651000000,65,651000000,world,-0.000144758937989,-9.61603456852e-06,0.662453463827
661000000,66,661000000,world,-0.00015533869237,-1.02927332514e-05,0.668422426711
671000000,67,671000000,world,-0.000165533579914,-1.0923478959e-05,0.674914034859
681000000,68,681000000,world,-0.000175878889605,-1.1580810187e-05,0.681936435076
691000000,69,691000000,world,-0.000186353247855,-1.22607334596e-05,0.689497475476
701000000,70,701000000,world,-0.000196730035555,-1.28927735553e-05,0.697604715606
711000000,71,711000000,world,-0.000207158769119,-1.35277384709e-05,0.706265436282
721000000,72,721000000,world,-0.000217676034148,-1.41812846962e-05,0.715486649157
731000000,73,731000000,world,-0.000228266762933,-1.485125719e-05,0.725274990313
741000000,74,741000000,world,-0.000238703626749,-1.54622401527e-05,0.735626916601
751000000,75,751000000,world,-0.000249173728994,-1.60793410668e-05,0.746522375986
761000000,76,761000000,world,-0.000259690183158,-1.67085717306e-05,0.757940673994
771000000,77,771000000,world,-0.000270242031678,-1.73478261237e-05,0.769862061601
781000000,78,781000000,world,-0.000280772312015,-1.79809536994e-05,0.782267687429
791000000,79,791000000,world,-0.000291141225087,-1.85626497396e-05,0.795139552906
801000000,80,801000000,world,-0.000301529576331,-1.91532928523e-05,0.808460470069
811000000,81,811000000,world,-0.000311929591034,-1.97510066742e-05,0.822213909906
