%time,field0,field1,field2,field3
118000000,0.0522828168513,0.00856857276174,3.17259878256,7.9314969564
123000000,0.300371348712,0.0492275265945,18.2269784344,45.5674460861
126000000,0.390167211301,0.063944070741,23.6759244072,59.1898110181
169000000,0.390167211302,0.0639440707409,23.6759244072,59.1898110181
210000000,0.390930819607,0.0638517045489,23.6745175349,59.2017060657
248000000,0.302247751718,0.0498663301447,18.4139826349,45.9963136228
311000000,-0.390378197438,-0.0639187307409,-23.6755149566,-59.1951030815
346000000,-0.392809118261,-0.0636264218401,-23.670801507,-59.2559575791
378000000,-0.391764126335,-0.063754459838,-23.6728213831,-59.2301655403
410000000,-0.391161020098,-0.0638291029672,-23.6739787958,-59.2160579812
452000000,-0.390814020834,-0.063872140277,-23.6746450147,-59.2079047192
479000000,-0.390575366579,-0.0639013508488,-23.6751047237,-59.2021764656
531000000,-0.390389634196,-0.0639236438729,-23.6754631444,-59.1976897305
564000000,-0.390264027019,-0.0639384129942,-23.6757055487,-59.1946803256
610000000,-0.390201589573,-0.0639454787899,-23.6758259415,-59.1932172727
651000000,-0.390209440549,-0.0639441127401,-23.6758107404,-59.1934410116
691000000,-0.3902126516,-0.063943323067,-23.6758045166,-59.193550954
729000000,-0.390226224301,-0.0639413442822,-23.675778464,-59.1938886613
769000000,-0.390237069449,-0.0639397438266,-23.6757577655,-59.1941469042
804000000,-0.390241943016,-0.0639389008503,-23.6757486247,-59.1942543728
864000000,-0.390242063019,-0.0639386599121,-23.6757486701,-59.1942436309
907000000,-0.390247031247,-0.0639378628328,-23.6757393956,-59.1943430066
938000000,-0.336546054969,-0.05513796107,-20.4171193851,-51.0481905065
982000000,-0.198688110591,-0.0325454512955,-12.0516881342,-30.1350032385
997000000,0.00357804331466,0.000604536434252,0.222491967479,0.549917217676
1050000000,0.220237309638,0.0361114495905,13.3696265039,33.4174501183
1100000000,0.390107714011,0.0639485105895,23.6760683971,59.18590885
1123000000,0.390111582277,0.0639481529583,23.6760604649,59.1860419299
1172000000,0.390115054716,0.06394783489,23.6760532657,59.1861689664
1200000000,0.39011786314,0.0639475879274,23.6760473146,59.1862837239
1236000000,0.390120142665,0.0639473946698,23.6760423547,59.1863892884
1296000000,0.387230162744,0.0634736778765,23.5008058283,58.7479960698
1330000000,0.363456735503,0.0595774679506,22.0583411841,55.1415420456
1364000000,0.331366147444,0.0543182270039,20.1111847429,50.2733721787
1421000000,0.294211041515,0.0482290226923,17.8567108082,44.6369216311
1455000000,0.266155834406,0.0436312201807,16.1544304686,40.3809717428
1490000000,0.246229069327,0.0403656513224,14.9454043525,37.3581676166
1527000000,0.232600793613,0.0381323374271,14.1185734886,35.2908659496
1574000000,0.235452043997,0.0385996969443,14.2917068567,35.7235031423
1621000000,0.251172385187,0.0411762310991,15.2457644083,38.1084555354
1657000000,0.278445159828,0.0456444636903,16.9004519235,42.2451620139
1696000000,0.315878537657,0.0517801479801,19.1722145946,47.9243344756
1728000000,0.361141863083,0.0591987674589,21.9190372998,54.7911895803
1755000000,0.390134676961,0.0639464615963,23.6760074797,59.1873639758
1806000000,0.390130168547,0.0639470391886,23.6760160016,59.1872700914
1848000000,0.390126771705,0.063947489874,23.6760233713,59.1871057548
1888000000,0.390131579148,0.0639469588928,23.6760152256,59.1871049592
1931000000,0.390130420102,0.063947142534,23.6760182576,59.1869961166
1969000000,0.390127883115,0.0639474865607,23.6760236351,59.1868872508
2012000000,0.390127000524,0.0639476344597,23.6760257119,59.1868285651
2047000000,0.390128190922,0.0639475328549,23.676023841,59.1868140314
2086000000,0.390130461106,0.0639472990669,23.6760199995,59.1868139254
2128000000,0.390133000333,0.0639470300082,23.6760157482,59.1868093812
2170000000,0.390134915217,0.0639468332786,23.6760127688,59.1867829702
2212000000,0.390136329972,0.0639466964401,23.6760107954,59.1867404351
2253000000,0.39010997493,0.0639413961242,23.6740058447,59.1821592962
2298000000,0.390139345789,0.0639463970452,23.6760065342,59.1866542559
2326000000,0.390140312866,0.0639463098995,23.6760054413,59.1865991348
2374000000,0.390141161205,0.0639462334921,23.6760045496,59.1865437318
2406000000,0.39014213568,0.063946140501,23.676003364,59.1864964766
2450000000,0.390143731388,0.0639459723085,23.6760009238,59.1864698014
2497000000,0.390145215356,0.0639458171988,23.675998606,59.1864490607
2542000000,0.390147068811,0.063945616486,23.6759954681,59.1864482655
2580000000,0.390150254959,0.0639452499781,23.6759896687,59.1864891982
2615000000,0.390153955077,0.0639448168297,23.6759827366,59.1865563192
2651000000,0.390156937281,0.0639444687163,23.6759769964,59.1866243932
2685000000,0.390158588298,0.0639442802684,23.6759736079,59.1866810811
2722000000,0.390160140832,0.0639441029166,23.6759702152,59.186755143
2769000000,0.390162820903,0.0639437884062,23.6759644644,59.1868759931
2815000000,0.390171931101,0.0639427005972,23.6759461964,59.1871635216
2849000000,0.390166248413,0.0639433790654,23.6759560485,59.1871441341
2886000000,0.388969248259,0.0637463739455,23.6032035413,59.0053149574
2938000000,0.383367974418,0.0628278609471,23.2632600202,58.1555067488
2971000000,0.382926849462,0.0627472083959,23.2306526402,58.0836712523
3017000000,0.387434699249,0.0634757192414,23.4986849723,58.7618996014
3053000000,0.388347920778,0.0636201189009,23.5502596345,58.8973840531
3091000000,0.386062733688,0.0632426483258,23.4087434477,58.5489877903
3134000000,0.381113236299,0.0624287616486,23.1060177177,57.7967133698
3174000000,0.378007897004,0.0619170017531,22.9155135887,57.3242827681
3209000000,0.376511549966,0.0616692602213,22.8229993288,57.0961769995
3250000000,0.374513412626,0.0613399699415,22.700419295,56.7923297758
3294000000,0.371964820353,0.0609212315812,22.5448022444,56.4053859207
3327000000,0.369002332662,0.0604352697817,22.3643604332,55.955980804
3371000000,0.367700991975,0.0602218627745,22.2849176039,55.7587596819
3418000000,0.367924544799,0.0602586060268,22.2981704133,55.7930067409
3457000000,0.367913004664,0.0602570522555,22.2972681449,55.7898781275
3479000000,0.367610741333,0.0602156830622,22.2805011271,55.747550057
3558000000,0.367082625355,0.0601321641441,22.2489420859,55.6687958587
3570000000,0.366333008724,0.0600099476706,22.2034586503,55.5553607932
3612000000,0.365387413972,0.0598550086974,22.1460020233,55.4119003299
3651000000,0.3615249967,0.0592195900456,21.9096607394,54.8244265943
3693000000,0.354861085883,0.0581244552208,21.5034791922,53.8118405156
3735000000,0.345977658649,0.056666933989,20.9631553813,52.4638704194
3773000000,0.337030038299,0.0551971287123,20.4187287027,51.1044244188
3833000000,0.328164996942,0.0537443121034,19.8802424041,49.7591990017
3851000000,0.321692288688,0.0526821659269,19.4867402911,48.776428852
3907000000,0.317459364884,0.0519880306911,19.2294650863,48.1339554389
3930000000,0.315281355779,0.0516283185192,19.0964601244,47.8021423817
3970000000,0.313973612497,0.0514129558464,19.0167297805,47.6031268452
4006000000,0.313205387314,0.0512864113237,18.9698810132,47.4861142226
4060000000,0.312066670255,0.0510996539106,18.9007163583,47.3131208947
4085000000,0.31057533317,0.0508555135662,18.8102901728,47.0868212607
4133000000,0.30881441544,0.0505672532186,18.7035552008,46.8196574361
4163000000,0.306512260438,0.0501902124011,18.5639925539,46.4703559815
4205000000,0.303765306556,0.0497401722352,18.3974416913,46.0535355846
4251000000,0.300938110067,0.0492769321237,18.2260332008,45.6245266938
4302000000,0.298067151022,0.0488064931068,18.0519814613,45.1888762222
4335000000,0.295169005185,0.0483313410396,17.876255873,44.7505152675
4367000000,0.291485013898,0.0477217961064,17.6516025744,44.1891551044
4404000000,0.287079246242,0.0469983210668,17.3841221024,43.5200594083
4453000000,0.281974459964,0.0461627904921,17.0747862386,42.7461302845
4484000000,0.276271193161,0.0452292739279,16.7291612912,41.8814673929
4537000000,0.270077537519,0.0442149082806,16.3536776444,40.942282821
4561000000,0.264173788002,0.0432475187993,15.9956668277,40.0468202386
4606000000,0.258553363879,0.0423266613681,15.654869569,39.1943877364
4645000000,0.254220335078,0.0416174117877,15.3923261265,38.5375338792
4688000000,0.25104301562,0.04109816565,15.2000409467,38.0562567961
4726000000,0.24876855561,0.040726869795,15.0625404676,37.7123298215
4773000000,0.247782398115,0.0405655195198,15.0029452703,37.5630832476
4809000000,0.247917253428,0.0405883301229,15.0114672549,37.5840615733
4851000000,0.24702062392,0.0404441407195,14.9587471757,37.4498361086
4891000000,0.245195687843,0.0401482919055,14.8496529602,37.1750037083
4929000000,0.242590196045,0.0397229885575,14.6927240331,36.7809831106
4968000000,0.23947878094,0.0392140404455,14.50482205,36.3097973814
5005000000,0.235971788836,0.0386401011089,14.2927855674,35.7784652848
5045000000,0.232155018653,0.0380154990717,14.0618932046,35.2001430904
5129000000,0.228107026889,0.0373531582415,13.8169385259,34.5867802972
5141000000,0.223844674684,0.0366531076339,13.5583408843,33.9396683934
5182000000,0.220115270872,0.0360440823807,13.3328546941,33.3750726561
5210000000,0.216953648945,0.0355277986078,13.1417119191,32.8964093636
5251000000,0.213579388749,0.0349763695548,12.9375651923,32.3853043684
5291000000,0.210022874263,0.0343945657256,12.7222192183,31.8462744403
5325000000,0.206307809302,0.0337862720108,12.4970922443,31.2815621443
5368000000,0.202747411099,0.0332062045498,12.2819742826,30.7429587029
5412000000,0.199379361996,0.0326536053478,12.0776101357,30.2318119723
5449000000,0.196374654385,0.0321588186356,11.8949010545,29.7749509736
5502000000,0.193707858648,0.0317197814492,11.7327721925,29.3694435545
5545000000,0.191384015225,0.0313409925609,11.5923465939,29.0179496084
5579000000,0.189361731417,0.0310067410614,11.4691359971,28.7097439891
5612000000,0.187738015778,0.0307387585102,11.3703198452,28.4625128285
5644000000,0.184947609164,0.030279853647,11.200771807,28.0384310794
5693000000,0.18109343806,0.0296468397504,10.9667229784,27.4531108858
5727000000,0.176285817073,0.0288577753432,10.6748600159,26.7231760202
5770000000,0.172609728439,0.0282549219093,10.4518280095,26.1653458807
5810000000,0.1700469657,0.0278347939665,10.296408731,25.776411111
5852000000,0.167952160381,0.0274919807839,10.1695234698,25.4588744606
5906000000,0.166241736358,0.0272120870222,10.0659435621,25.1995174569
5957000000,0.164861965693,0.0269863886735,9.98242998403,24.9904236525
5965000000,0.163531115539,0.0267683948994,9.90179563934,24.7870191865
6017000000,0.162217361502,0.0265555428329,9.82274278959,24.5889718761
6059000000,0.160698292597,0.0263023021789,9.72973289267,24.3567014681
6096000000,0.158947581402,0.0260135221961,9.62319646882,24.0902495174
6131000000,0.157006815132,0.0256941044311,9.50523630232,23.7950905576
6174000000,0.154653191935,0.0253080731705,9.36245474395,23.4377755842
6211000000,0.151640133959,0.0248145941217,9.17981654321,22.9822265028
6257000000,0.150202444076,0.0245759896467,9.09206120001,22.7629428745
6291000000,0.150209494182,0.0245770250847,9.09261543208,22.7640359323
6333000000,0.151311262657,0.0247591034395,9.15995062754,22.9319265398
6375000000,0.151575495593,0.0248039242041,9.17644086349,22.9720678838
6410000000,0.150953377608,0.0247048333145,9.13944493482,22.8795514256
6454000000,0.149740009361,0.0245057277471,9.06586914086,22.6959096054
6486000000,0.147911169774,0.0242048851309,8.95474041532,22.4183585875
6560000000,0.145641593087,0.0238326489819,8.81704548341,22.0742609914
6609000000,0.142107103868,0.0232552476597,8.60306193591,21.5392654652
6609000000,0.1377290021,0.0225392736342,8.33780045286,20.8750190537
